EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,Corner3FGA,PenaltyCorner3FGA,OffThreePtRebounds,OffRebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,Offensive Fouls,OffThreePtReboundPct,OffFGReboundPct,OffCorner3ReboundPct,Corner3Frequency,PenaltyCorner3Frequency,PlusMinus,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PtsUnassisted2s,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,LiveBallTurnoverPct,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Arc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffTwoPtRebounds,DefThreePtRebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,PenaltyDefPoss,BadPassSteals,BlockedShortMidRange,DefShortMidRangeReboundPct,SecondChanceFtPoints,SecondChanceCorner3FGA,SecondChanceFG3A,SelfOReb,SelfORebPct,SecondChanceCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,OffArc3ReboundPct,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,BadPassTurnovers,ShortMidRangePctBlocked,PtsPutbacks,OffAtRimReboundPct,3SecondViolations,Defensive 3 Seconds Violations,DefCorner3ReboundPct,Blocked3s,BlockedArc3,SecondChanceArc3FGA,SecondChanceArc3Frequency,PenaltyCorner3FGM,PtsUnassisted3s,Travels,PenaltyCorner3Accuracy,BlockedLongMidRange,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,StepOutOfBoundsTurnovers,DefensiveGoaltends,OffensiveGoaltends,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveAttempts,BlockedCorner3,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
136-1718-1899-200765-200796,1610612738,"P.J. Brown, Paul Pierce, James Posey, Rajon Rondo, Leon Powe","Brown, Pierce, Posey, Rondo, Powe",136-1718-1899-200765-200796,BOS,79.0,1,1.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,1.0,1.0,1.0,109.36708860759494,13.333333333333334,13.0,13.333333333333334,12.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,1.0,0.51775,0.51775,0.3333333333333333,0.5,1.0,27.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,True
136-1718-1899-200765-208,1610612738,"P.J. Brown, Paul Pierce, James Posey, Rajon Rondo, Sam Cassell","Brown, Pierce, Posey, Rondo, Cassell",136-1718-1899-200765-208,BOS,40.0,1,1.0,1.0,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,,36.0,40.0,,24.0,,,,,,,,,,1.0,0.5427,0.5427,,,,23.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,True
136-1718-1899-200765-2754,1610612738,"P.J. Brown, Paul Pierce, James Posey, Rajon Rondo, Tony Allen","Brown, Pierce, Posey, Rondo, Allen",136-1718-1899-200765-2754,BOS,35.0,1,1.0,1.0,,1.0,1.0,,,,,,,,,,2.0,2.0,,,,,2.0,2.0,,,,,,,,,,1.0,2.0,,2.0,2.0,1.0,,,,,,,1.0,1.0,,,,,41.14285714285714,11.0,,11.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,True
136-1718-1899-200765-708,1610612738,"P.J. Brown, Paul Pierce, James Posey, Rajon Rondo, Kevin Garnett","Brown, Pierce, Posey, Rondo, Garnett",136-1718-1899-200765-708,BOS,115.0,1,2.0,4.0,3.0,,7.0,1.0,1.0,,,2.0,,1.0,1.0,2.0,,2.0,5.0,,,,,,,2.0,,,,,1.0,2.0,2.0,,,,2.0,,,,,1.0,,0.3333333333333333,,0.3333333333333333,,0.6666666666666666,0.5,0.5,1.0,87.65217391304347,14.0,19.666666666666668,14.0,15.666666666666666,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,,1.0,0.5540666666666666,,,,,25.3,,,,,,,1.0,2.0,,,2.0,,,,,,,-3.0,,,2.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,True
136-1718-1899-200796-208,1610612738,"P.J. Brown, Paul Pierce, James Posey, Leon Powe, Sam Cassell","Brown, Pierce, Posey, Powe, Cassell",136-1718-1899-200796-208,BOS,619.0,3,10.0,17.0,19.0,1.0,36.0,3.0,4.0,1.0,1.0,1.0,,7.0,13.0,2.0,3.0,23.0,12.0,1.0,1.0,,,2.0,10.0,1.0,5.0,7.0,1.0,16.0,6.0,8.0,10.0,8.0,3.0,2.0,21.0,2.0,1.0,0.7142857142857143,0.7142857142857143,0.5384615384615384,1.0,0.6666666666666666,1.0,0.71875,1.0,0.13333333333333333,0.75,0.7272727272727273,1.0,83.74798061389338,17.0,17.36842105263158,16.176470588235293,16.94736842105263,0.26666666666666666,0.75,0.75,0.3333333333333333,0.06666666666666667,1.0,1.0,,0.4,0.47248,0.8348,0.125,0.14285714285714285,0.08695652173913043,24.05,0.058823529411764705,2.0,1.0,,,2.0,2.0,3.0,,,4.0,,,0.3333333333333333,,0.06666666666666667,,11.0,,,4.0,,1.0,1.0,4.0,0.3333333333333333,,1.0,1.0,3.0,4.0,1.0,5.0,1.0,1.0,2.0,1.0,2.0,2.0,6.0,1.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,0.6666666666666666,1.0,0.25,0.75,0.6666666666666666,1.0,0.26666666666666666,0.75,0.75,1.0,0.3333333333333333,0.2,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.4478,0.08695652173913043,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,True
136-1718-1899-2067-208,1610612738,"P.J. Brown, Paul Pierce, James Posey, Eddie House, Sam Cassell","Brown, Pierce, Posey, House, Cassell",136-1718-1899-2067-208,BOS,153.0,1,3.0,4.0,5.0,,9.0,1.0,1.0,,,,,1.0,2.0,,4.0,6.0,2.0,,,,,,,,,,,,2.0,3.0,3.0,4.0,4.0,2.0,6.0,,,,,0.5,,0.5,,0.75,,,1.0,1.0,,84.70588235294119,15.0,18.6,15.0,18.6,0.5,1.0,1.0,,,,,,0.5,0.5044,,0.5,0.5,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,0.5,,,,,,,,,,,,,,,8.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,True
136-1718-1899-2067-2754,1610612738,"P.J. Brown, Paul Pierce, James Posey, Eddie House, Tony Allen","Brown, Pierce, Posey, House, Allen",136-1718-1899-2067-2754,BOS,183.0,2,3.0,6.0,6.0,1.0,12.0,,,,,1.0,,1.0,2.0,2.0,3.0,8.0,11.0,,,,1.0,1.0,2.0,1.0,1.0,2.0,,5.0,1.0,1.0,1.0,2.0,4.0,2.0,8.0,1.0,1.0,1.0,1.0,0.5,,0.625,,0.6666666666666666,0.5,0.5,1.0,1.0,,94.42622950819673,18.166666666666668,12.333333333333334,18.166666666666668,12.333333333333334,,,,,0.25,,,,0.5,0.480675,,0.3333333333333333,0.5,0.125,25.05,0.16666666666666666,,1.0,,,,,1.0,,1.0,1.0,,,,,0.25,,-3.0,,,,,1.0,1.0,1.0,1.0,,,,1.0,2.0,,,,1.0,1.0,,,,3.0,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,1.0,,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,1.0,0.5,0.5,0.5,1.0,,,,,,,,1.0,1.0,1.0,,,1.0,,,6.55,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,True
136-1718-1899-2067-708,1610612738,"P.J. Brown, Paul Pierce, James Posey, Eddie House, Kevin Garnett","Brown, Pierce, Posey, House, Garnett",136-1718-1899-2067-708,BOS,271.0,1,5.0,8.0,8.0,,16.0,,,,,2.0,,1.0,2.0,3.0,3.0,8.0,10.0,,,,,,2.0,2.0,1.0,2.0,,5.0,1.0,2.0,2.0,2.0,4.0,2.0,8.0,,,1.0,1.0,0.5,,0.5,,0.5714285714285714,,0.6,1.0,1.0,,85.01845018450184,17.5,16.375,17.5,16.375,,,,,0.4,,,,0.6,0.48769999999999997,,0.2857142857142857,0.5,,24.53333333333333,,,1.0,,,,1.0,1.0,,,3.0,1.0,,,,0.2,,-2.0,,,,,,,,,,,,,,1.0,2.0,1.0,,1.0,,,,3.0,,1.0,,1.0,,1.0,,1.0,1.0,,,,,,,,,,,1.0,0.3333333333333333,0.3333333333333333,,,,,1.0,,,,1.0,,,,,,0.4,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,19.15,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,True
136-1718-1899-2067-951,1610612738,"P.J. Brown, Paul Pierce, James Posey, Eddie House, Ray Allen","Brown, Pierce, Posey, House, Allen",136-1718-1899-2067-951,BOS,60.0,1,1.0,2.0,2.0,,4.0,,,,,,,1.0,1.0,,2.0,4.0,2.0,,,,,,2.0,,1.0,1.0,,2.0,,,,2.0,2.0,1.0,2.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,,96.0,13.0,17.0,8.0,17.0,,,,,,,,,,0.4016,,0.5,0.5,,,,1.0,,,,,,,,,1.0,,,,,,,2.0,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,0.5,8.7,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,True
136-1718-1899-208-708,1610612738,"P.J. Brown, Paul Pierce, James Posey, Sam Cassell, Kevin Garnett","Brown, Pierce, Posey, Cassell, Garnett",136-1718-1899-208-708,BOS,38.0,1,1.0,1.0,1.0,,2.0,,,,,,,,1.0,1.0,,,2.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,0.5,,,,75.78947368421053,28.0,10.0,12.0,10.0,,,,,,,,,0.5,0.494175,,,,,25.1,,1.0,1.0,,1.0,2.0,,1.0,1.0,,,,1.0,1.0,1.0,0.5,,-2.0,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,0.5,,,,,,,,,,,,,,,,,,,13.5,,,,,,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2008,2007-08,True
