EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,OffRebounds,Rebounds,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,ShortMidRangeFGA,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,DefRebounds,ThreePtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyTsPct,DefFTReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Offensive Fouls Drawn,ShortMidRangeFGM,PenaltyFG2M,FirstChancePoints,PenaltyFg2Pct,PenaltyEfgPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,LiveBallTurnoverPct,LongMidRangeFGM,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,DefTwoPtRebounds,SelfOReb,Steals,BadPassSteals,Offensive Fouls,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG3A,ShortMidRangeAssists,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,PenaltyFG3M,LostBallTurnovers,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,LostBallSteals,Travels,Loose Ball Fouls,PtsUnassisted3s,AtRimAssists,AtRimPctAssisted,SecondChanceTurnovers,3SecondViolations,HeaveAttempts,StepOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,DefensiveGoaltends,PenaltyCorner3FGM,PenaltyCorner3Accuracy,FTOffRebounds,OffFTReboundPct,LongMidRangePctBlocked,Blocked3s,BlockedCorner3,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,BlockedLongMidRange,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,Clear Path Fouls,Fg3aBlocked,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101133-101177-1938-200827-714,1610612759,"Ian Mahinmi, Fabricio Oberto, Manu Ginobili, Darius Washington, Michael Finley","Mahinmi, Oberto, Ginobili, Washington, Finley",101133-101177-1938-200827-714,SAS,37.0,1,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,0.75,1.5,1.0,1.0,1.0,77.83783783783784,18.0,19.0,17.0,19.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,0.48205,0.5546,0.5,0.5,1.0,9.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101133-1477-1922-200827-714,1610612759,"Ian Mahinmi, Bruce Bowen, Francisco Elson, Darius Washington, Michael Finley","Mahinmi, Bowen, Elson, Washington, Finley",101133-1477-1922-200827-714,SAS,28.0,1,,1.0,2.0,2.0,1.0,4.0,,,,,1.0,,2.0,3.0,3.0,2.0,,1.0,3.0,3.0,,,2.0,2.0,3.0,1.0,1.0,3.0,,,,,,,0.5,0.75,1.0,1.0,1.0,205.71428571428572,9.5,4.5,5.5,4.5,,,,0.5,,,,0.3592,0.3743,0.3333333333333333,,1.0,13.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,1.0,0.5,1.0,1.0,0.5,0.3592,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101133-1477-1938-2225-2588,1610612759,"Ian Mahinmi, Bruce Bowen, Manu Ginobili, Tony Parker, Matt Bonner","Mahinmi, Bowen, Ginobili, Parker, Bonner",101133-1477-1938-2225-2588,SAS,42.0,1,1.0,-2.0,1.0,2.0,,3.0,,,,,,,,,,2.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,102.85714285714286,14.0,14.0,14.0,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101133-1477-200827-2137-2588,1610612759,"Ian Mahinmi, Bruce Bowen, Darius Washington, Ime Udoka, Matt Bonner","Mahinmi, Bowen, Washington, Udoka, Bonner",101133-1477-200827-2137-2588,SAS,37.0,1,1.0,-1.0,2.0,1.0,,3.0,,,,,1.0,1.0,2.0,,2.0,3.0,,,,,2.0,,,,,,,,,,0.5,,0.5,,0.5,,,,,116.75675675675676,8.5,20.0,8.5,20.0,,,,0.5,,,,0.3537,,,,,14.85,2.0,1.0,1.0,2.0,,2.0,,,,2.0,2.0,,0.5,,,0.5,0.3537,,1.0,1.0,,,,,,1.0,1.0,2.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101133-1477-2225-2588-699,1610612759,"Ian Mahinmi, Bruce Bowen, Tony Parker, Matt Bonner, Brent Barry","Mahinmi, Bowen, Parker, Bonner, Barry",101133-1477-2225-2588-699,SAS,9.0,1,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.0,9.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101133-1922-1938-200827-714,1610612759,"Ian Mahinmi, Francisco Elson, Manu Ginobili, Darius Washington, Michael Finley","Mahinmi, Elson, Ginobili, Washington, Finley",101133-1922-1938-200827-714,SAS,22.0,1,,,1.0,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,3.0,19.0,3.0,19.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101133-1922-200827-2137-2588,1610612759,"Ian Mahinmi, Francisco Elson, Darius Washington, Ime Udoka, Matt Bonner","Mahinmi, Elson, Washington, Udoka, Bonner",101133-1922-200827-2137-2588,SAS,626.0,1,10.0,5.0,20.0,19.0,3.0,39.0,2.0,3.0,1.0,1.0,9.0,7.0,15.0,5.0,25.0,20.0,2.0,3.0,,4.0,6.0,2.0,1.0,3.0,7.0,4.0,3.0,5.0,,2.0,0.4666666666666667,0.6666666666666666,0.5263157894736842,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.125,0.3,,89.71246006389777,14.05,18.157894736842106,13.2,16.63157894736842,0.15789473684210525,0.6666666666666666,1.0,0.47368421052631576,0.3333333333333333,1.0,0.3684210526315789,0.45051578947368415,0.5515,0.09523809523809523,0.11764705882352941,0.16,13.373333333333333,2.0,14.0,3.0,1.0,,,,4.0,,,2.0,,,,,0.15789473684210525,0.3326,,,0.1,,1.0,1.0,3.0,1.0,1.0,,21.0,,,0.3333333333333333,0.5,,,,,4.0,1.0,2.0,3.0,2.0,4.0,8.0,6.0,3.0,2.0,2.0,4.0,2.0,6.0,2.0,4.0,14.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5714285714285714,0.6666666666666666,1.0,0.5,0.5,0.21052631578947367,0.13333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.125,1.0,0.4444444444444444,0.4444444444444444,1.0,0.05263157894736842,0.15789473684210525,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,24.475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101133-200827-2137-2588-699,1610612759,"Ian Mahinmi, Darius Washington, Ime Udoka, Matt Bonner, Brent Barry","Mahinmi, Washington, Udoka, Bonner, Barry",101133-200827-2137-2588-699,SAS,551.0,2,9.0,10.0,18.0,19.0,2.0,37.0,4.0,4.0,1.0,1.0,1.0,10.0,15.0,4.0,24.0,14.0,2.0,2.0,,4.0,16.0,,,3.0,11.0,2.0,7.0,6.0,2.0,2.0,0.6666666666666666,1.0,0.5263157894736842,0.6666666666666666,0.5714285714285714,0.6666666666666666,,0.3333333333333333,,96.69691470054447,13.88888888888889,15.842105263157896,13.11111111111111,14.473684210526315,0.21052631578947367,1.0,1.0,0.05263157894736842,0.3333333333333333,1.0,0.42105263157894735,0.4822473684210526,,0.10526315789473684,0.13333333333333333,0.16666666666666666,7.86,11.0,7.0,10.0,8.0,4.0,18.0,,8.0,,18.0,11.0,1.0,0.6923076923076923,,,0.5263157894736842,0.5130636363636364,,0.75,0.6111111111111112,,,,1.0,1.0,5.0,7.0,20.0,0.875,0.6363636363636364,0.5,0.625,,,,,1.0,3.0,,1.0,,4.0,4.0,,1.0,,2.0,2.0,,2.0,,,4.0,3.0,3.0,5.0,,,,,,2.0,1.0,1.0,2.0,1.0,0.2,0.2,,,,0.21052631578947367,0.13333333333333333,,0.2,0.7142857142857143,1.0,0.75,0.8,,,1.0,1.0,0.5,1.0,,0.5,1.0,1.0,,0.15789473684210525,0.05263157894736842,,,,,23.55,3.0,3.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,2.0,2.0,0.5,1.0,0.4,0.3333333333333333,0.2727272727272727,1.0,0.18181818181818182,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1477-1521-1938,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Jacque Vaughn, Manu Ginobili","Oberto, Horry, Bowen, Vaughn, Ginobili",101177-109-1477-1521-1938,SAS,505.0,3,8.0,,15.0,16.0,1.0,31.0,2.0,5.0,,1.0,7.0,6.0,12.0,,15.0,15.0,,1.0,,,8.0,,1.0,1.0,8.0,3.0,2.0,,,,0.5,,0.5,,0.5,,0.16666666666666666,0.125,,88.3960396039604,11.933333333333334,20.375,11.8,18.625,0.3333333333333333,0.4,0.4,0.4666666666666667,1.0,,0.5333333333333333,0.5224733333333333,0.5427,,,,10.799999999999999,,,,,,,,7.0,,,,,,,,,,,,,,,1.0,,1.0,,,15.0,,,,,1.0,1.0,,1.0,4.0,3.0,,,1.0,3.0,4.0,3.0,,,,2.0,1.0,3.0,,2.0,7.0,,1.0,6.0,1.0,1.0,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.2,,,,0.6666666666666666,0.5,,0.6363636363636364,0.3333333333333333,,,1.0,,0.5,0.125,,0.5714285714285714,0.5714285714285714,0.5,0.2,,,,,,23.333333333333332,,,,,,,,,,,,0.6666666666666666,,,,,,,,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1477-1521-714,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Jacque Vaughn, Michael Finley","Oberto, Horry, Bowen, Vaughn, Finley",101177-109-1477-1521-714,SAS,93.0,2,2.0,2.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,,4.0,2.0,2.0,2.0,,4.0,4.0,2.0,1.0,1.0,3.0,,1.0,,,,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,,77.41935483870968,20.0,17.666666666666668,15.5,13.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.4414666666666667,0.4704,,,1.0,10.4,,,1.0,,,,,2.0,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
