EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,Steals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Corner3FGM,PtsAssisted3s,ThreePtAssists,Corner3Assists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,RecoveredBlocks,Assisted3sPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,ShortMidRangeFGM,ShortMidRangeFGA,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,FtPoints,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFtPoints,Arc3Assists,LongMidRangeAssists,FTOffRebounds,DefThreePtRebounds,SelfOReb,BadPassSteals,Travels,SecondChanceTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffFTReboundPct,DefThreePtReboundPct,DefArc3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,2pt And 1 Free Throw Trips,LongMidRangePctBlocked,OffCorner3ReboundPct,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3FGM,PenaltyArc3Accuracy,HeaveAttempts,ShortMidRangeAssists,Blocked3s,BlockedArc3,BlockedShortMidRange,DefCorner3ReboundPct,ShortMidRangePctAssisted,Technical Free Throw Trips,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,OffShortMidRangeReboundPct,DefensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,BlockedCorner3,OffensiveGoaltends,Clear Path Fouls,team_id,year,season,team_vs
101123-101129-101236-200779-201166,1610612745,"Gerald Green, Luther Head, Chuck Hayes, Steve Novak, Aaron Brooks","Green, Head, Hayes, Novak, Brooks",101123-101129-101236-200779-201166,HOU,214.0,1,4.0,3.0,7.0,6.0,1.0,6.0,2.0,13.0,3.0,6.0,2.0,2.0,1.0,2.0,3.0,6.0,1.0,2.0,9.0,6.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,2.0,5.0,3.0,4.0,1.0,5.0,1.0,1.0,0.6666666666666666,1.0,0.5,0.5,0.5,1.0,0.5625,1.0,0.5625,1.0,0.25,0.16666666666666666,0.16666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,1.0,87.47663551401868,19.428571428571427,13.0,17.0,13.0,0.75,0.5,0.6,0.6666666666666666,0.25,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.55321875,0.4753,0.4444444444444444,25.15,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,False
101129-101236-1503-1517-1747,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Bobby Jackson, Rafer Alston","Head, Hayes, McGrady, Jackson, Alston",101129-101236-1503-1517-1747,HOU,232.0,1,4.0,,7.0,7.0,5.0,5.0,1.0,14.0,3.0,3.0,,,,1.0,3.0,4.0,,2.0,6.0,6.0,,,,4.0,2.0,,,1.0,,,2.0,2.0,2.0,4.0,,1.0,4.0,,4.0,1.0,5.0,,,1.0,6.0,5.0,,0.6666666666666666,0.6666666666666666,,,0.75,,0.5,,0.5,,0.3333333333333333,,,,0.8,1.0,,0.8,0.3333333333333333,,,0.5,1.0,86.89655172413794,17.285714285714285,15.857142857142858,14.428571428571429,15.857142857142858,0.5,1.0,1.0,0.6666666666666666,0.16666666666666666,,,,,,0.8333333333333334,,0.5467583333333333,0.5988,,25.15,0.7142857142857143,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,0.6666666666666666,1.0,0.3333333333333333,0.58765,0.6666666666666666,4.525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,False
101129-101236-1503-1517-200779,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Bobby Jackson, Steve Novak","Head, Hayes, McGrady, Jackson, Novak",101129-101236-1503-1517-200779,HOU,90.0,1,2.0,,3.0,3.0,,,,6.0,,,,,,,,,1.0,1.0,3.0,3.0,,,,,,,,,,,,1.0,,3.0,,,2.0,,2.0,,2.0,,,,3.0,,,,,1.0,1.0,,,1.5,,1.5,,1.0,,,,1.0,,,1.0,,,,1.0,,96.0,12.0,18.0,12.0,18.0,,,,,,,,,,,1.0,,0.58155,,,23.5,,,,,1.0,,,,,,,,,,1.0,,2.0,,1.0,1.0,1.0,,,,,0.5,,1.0,,1.0,,,,,,,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,False
101129-101236-1503-1517-200839,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Bobby Jackson, Mike Harris","Head, Hayes, McGrady, Jackson, Harris",101129-101236-1503-1517-200839,HOU,80.0,1,1.0,-2.0,2.0,3.0,,,,5.0,,1.0,,,,,1.0,2.0,,,2.0,4.0,,,,,2.0,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,2.0,,,,,,,0.5,,0.5,,0.5,,,,,1.0,,,,,,,,,,90.0,24.0,10.666666666666666,24.0,10.666666666666666,0.5,,,,,,,,,,0.5,,0.4567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.8,,,,,,,,,,,,,,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,False
101129-101236-1503-1517-201171,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Bobby Jackson, Carl Landry","Head, Hayes, McGrady, Jackson, Landry",101129-101236-1503-1517-201171,HOU,1829.0,7,30.0,21.0,56.0,57.0,7.0,,6.0,113.0,11.0,15.0,,1.0,6.0,13.0,23.0,32.0,6.0,14.0,71.0,50.0,,1.0,4.0,18.0,28.0,6.0,,13.0,6.0,3.0,9.0,13.0,8.0,30.0,3.0,2.0,17.0,,21.0,6.0,27.0,7.0,12.0,12.0,67.0,7.0,,0.391304347826087,0.391304347826087,0.42857142857142855,0.42857142857142855,0.71875,,0.6956521739130435,0.75,0.696078431372549,0.6666666666666666,0.30434782608695654,0.09375,0.06666666666666667,,0.7083333333333334,0.2222222222222222,0.375,0.7,0.29411764705882354,0.5,0.42857142857142855,0.8571428571428571,0.45454545454545453,88.96664844177145,15.535714285714286,16.82456140350877,14.767857142857142,16.12280701754386,0.32608695652173914,0.7333333333333333,0.7857142857142857,0.7272727272727273,0.2826086956521739,0.46153846153846156,0.46153846153846156,0.5,,,0.6304347826086957,0.46153846153846156,0.5054413043478261,0.5637,0.056338028169014086,25.55,0.125,1.0,1.0,9.0,1.0,,1.0,1.0,4.0,4.0,1.0,10.0,6.0,5.0,6.0,6.0,12.0,1.0,1.0,1.0,1.0,10.0,1.0,0.8,0.8333333333333334,0.5,,1.0,0.1956521739130435,0.021739130434782608,,0.2,1.0,0.2,0.44116,0.14084507042253522,7.26875,,12.0,4.0,,,6.0,,,0.6666666666666666,,,,,6.0,8.0,0.17391304347826086,0.75,1.0,6.0,1.0,1.0,7.0,1.0,1.0,2.0,4.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,1.0,2.0,10.0,4.0,1.0,1.0,1.0,1.0,0.25,1.0,0.6666666666666666,0.6666666666666666,0.07142857142857142,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.5,1.0,1.0,0.08,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,False
101129-101236-1503-1517-2203,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Bobby Jackson, Shane Battier","Head, Hayes, McGrady, Jackson, Battier",101129-101236-1503-1517-2203,HOU,589.0,5,10.0,1.0,18.0,20.0,,2.0,2.0,38.0,3.0,5.0,1.0,1.0,2.0,5.0,6.0,11.0,3.0,8.0,22.0,21.0,2.0,2.0,4.0,,12.0,,2.0,5.0,2.0,2.0,,3.0,,9.0,1.0,1.0,6.0,1.0,8.0,2.0,10.0,6.0,6.0,1.0,18.0,,,,,0.375,0.375,0.5454545454545454,1.0,0.5526315789473685,1.0,0.5789473684210527,1.0,0.42105263157894735,0.18181818181818182,0.2,1.0,0.75,0.25,0.25,0.7777777777777778,0.25,,,0.75,0.5,92.90322580645162,16.72222222222222,14.4,15.777777777777779,14.15,0.2631578947368421,0.6,0.75,,0.2631578947368421,0.4,0.4,0.5,1.0,,0.6842105263157895,0.4,0.5107111111111111,0.3592,0.18181818181818182,26.1,,,,5.0,3.0,,,,,,,,2.0,2.0,2.0,1.0,3.0,,,,,,,,,0.6666666666666666,0.5,1.0,0.2631578947368421,0.15789473684210525,,,,,,,8.672727272727274,1.0,9.0,3.0,1.0,,1.0,1.0,,1.0,,0.3333333333333333,0.3333333333333333,1.0,,1.0,0.05263157894736842,,,3.0,,,1.0,,,,2.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,,0.6,0.75,,1.0,,,,0.05263157894736842,0.09090909090909091,1.0,0.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,False
101129-101236-1503-1517-2449,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Bobby Jackson, Luis Scola","Head, Hayes, McGrady, Jackson, Scola",101129-101236-1503-1517-2449,HOU,280.0,2,5.0,-8.0,10.0,8.0,,,2.0,18.0,1.0,5.0,1.0,1.0,,1.0,1.0,9.0,,2.0,2.0,10.0,1.0,1.0,2.0,,2.0,,2.0,1.0,,2.0,,,,,,2.0,3.0,,3.0,2.0,5.0,,2.0,1.0,,,,,,,,0.1111111111111111,1.0,0.09090909090909091,1.0,0.09090909090909091,1.0,0.18181818181818182,0.2222222222222222,0.4,,1.0,0.25,,1.0,0.2,0.25,,,,92.57142857142857,18.3,12.125,16.6,12.125,0.45454545454545453,0.2,0.3333333333333333,,0.09090909090909091,,,1.0,1.0,,0.6363636363636364,,0.5094727272727272,0.5487,1.0,24.8,,,,2.0,1.0,,,,,,,,,,,,1.0,,,,,,,,,,0.5,1.0,0.18181818181818182,0.09090909090909091,,,,,,,5.555555555555555,,,,,,1.0,,,,,,,,,2.0,0.18181818181818182,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,False
101129-101236-1503-1719-2229,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Bonzi Wells, Mike James","Head, Hayes, McGrady, Wells, James",101129-101236-1503-1719-2229,HOU,129.0,1,2.0,,3.0,2.0,3.0,,1.0,5.0,,1.0,,,,,,1.0,1.0,1.0,3.0,3.0,,,3.0,,,,,,,,,1.0,,3.0,,1.0,1.0,,1.0,1.0,2.0,,,,,3.0,,,,1.0,1.0,,,0.75,1.5,0.75,1.5,0.5,,,,0.5,1.0,,0.5,1.0,1.0,,,,55.81395348837209,20.666666666666668,33.5,17.666666666666668,33.5,0.5,,,,,,,,,,1.0,,0.587875,0.63405,1.0,23.0,1.0,,1.0,,1.0,1.0,,1.0,,1.0,1.0,3.0,,,1.0,,2.0,2.0,,,,3.0,,0.75,0.75,0.5,,1.0,,0.5,1.0,0.5,,,0.587875,1.0,,1.0,3.0,1.0,1.0,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,False
101129-101236-1503-1719-2397,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Bonzi Wells, Yao Ming","Head, Hayes, McGrady, Wells, Ming",101129-101236-1503-1719-2397,HOU,285.0,2,5.0,7.0,9.0,8.0,5.0,,1.0,17.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,1.0,2.0,11.0,4.0,1.0,1.0,2.0,4.0,4.0,,,2.0,1.0,,2.0,3.0,,7.0,,,5.0,,6.0,,6.0,,,2.0,9.0,5.0,,0.5,0.5,0.5,0.5,0.6666666666666666,1.0,0.6875,1.0,0.6111111111111112,1.0,0.25,,,,0.8333333333333334,,,0.8571428571428571,,,,0.5,1.0,85.89473684210526,13.444444444444445,20.5,11.555555555555555,19.75,0.125,1.0,1.0,,0.25,0.5,0.5,1.0,1.0,,0.375,0.5,0.42364375,0.5337,0.18181818181818182,27.2,0.5555555555555556,,,5.0,,,1.0,,3.0,4.0,1.0,9.0,,,,,,,1.0,1.0,1.0,9.0,0.75,0.9,0.9,,,1.0,0.625,,,,,0.2,0.43886000000000003,0.8181818181818182,16.366666666666667,,3.0,1.0,,,,,,1.0,,,,,,,,,,3.0,,,,,,,1.0,2.0,,1.0,,,,,,,,3.0,2.0,,,,,,,1.0,1.0,,0.6,0.6,0.6666666666666666,1.0,,,,0.2222222222222222,0.2857142857142857,1.0,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,False
101129-101236-1503-1719-2449,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Bonzi Wells, Luis Scola","Head, Hayes, McGrady, Wells, Scola",101129-101236-1503-1719-2449,HOU,53.0,1,1.0,,2.0,2.0,,,,4.0,1.0,1.0,,,,,1.0,2.0,,,2.0,2.0,,,,2.0,,,,,,,1.0,1.0,1.0,2.0,,,,,,,,2.0,2.0,1.0,2.0,,,1.0,1.0,,,0.5,,0.5,,0.5,,,,,,,,,,,,,,,108.67924528301887,13.0,13.5,13.0,13.5,0.5,1.0,1.0,1.0,,,,,,,0.5,,0.55435,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.55,,,,,,,,,,,,,,,1.0,0.5,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,False
