EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefRebounds,OffRebounds,Rebounds,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,AtRimFGM,AtRimFGA,DefTwoPtRebounds,DeadBallTurnovers,Turnovers,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,3SecondViolations,DefTwoPtReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyOffPoss,PenaltyDefPoss,PenaltyAtRimFGA,LongMidRangeFGA,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,PenaltyTurnovers,ShootingFouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyTsPct,LongMidRangeFrequency,PenaltyAtRimFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,PtsAssisted2s,PtsPutbacks,TwoPtAssists,LongMidRangeAssists,OffThreePtRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,LiveBallTurnoverPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3A,HeaveAttempts,Fg2aBlocked,AtRimAssists,FTDefRebounds,LostBallTurnovers,Travels,SecondChanceTurnovers,Loose Ball Fouls Drawn,PenaltyFg2Pct,PenaltyEfgPct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,AtRimPctAssisted,PenaltyAtRimAccuracy,PenaltyArc3Frequency,Offensive Fouls Drawn,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,Corner3Assists,PenaltyFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3FGM,ShortMidRangeAssists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,ShortMidRangePctAssisted,PenaltyArc3Accuracy,NonShootingPenaltyNonTakeFouls,StepOutOfBoundsTurnovers,PtsUnassisted3s,OffCorner3ReboundPct,OffensiveGoaltends,Loose Ball Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,FTOffRebounds,LostBallSteals,LostBallOutOfBoundsTurnovers,Offensive Fouls,ThreePtShootingFoulsDrawn,DefensiveGoaltends,OffFTReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,ShortMidRangePctBlocked,Defensive 3 Seconds Violations,LongMidRangePctBlocked,Technical Free Throw Trips,Blocked3s,BlockedArc3,SecondChanceAtRimPctAssisted,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedLongMidRange,Clear Path Fouls,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101108-1517-1763-200756-200790,1610612740,"Chris Paul, Bobby Jackson, Ryan Bowen, Hilton Armstrong, Marcus Vinicius","Paul, Jackson, Bowen, Armstrong, Vinicius",101108-1517-1763-200756-200790,NOH,70.0,1,1.0,4.0,2.0,2.0,1.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.8333333333333334,1.5,1.0,1.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,82.28571428571428,16.0,19.0,13.5,19.0,0.6666666666666666,0.5,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.46551666666666663,0.60855,0.3333333333333333,0.5,0.5,9.5,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2008,2007-08,True
101108-1517-1763-200756-2050,1610612740,"Chris Paul, Bobby Jackson, Ryan Bowen, Hilton Armstrong, Morris Peterson","Paul, Jackson, Bowen, Armstrong, Peterson",101108-1517-1763-200756-2050,NOH,132.0,1,2.0,2.0,2.0,3.0,,5.0,,,,,,,1.0,1.0,,,,2.0,,,,,2.0,,,,,,,,,,3.0,,3.0,1.0,2.0,,,,2.0,,,,,1.0,1.0,,1.0,,,,,1.0,,,,54.54545454545454,31.0,23.333333333333332,31.0,23.333333333333332,,,,,,,,,,,1.0,,0.4544,,,,,,,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2008,2007-08,True
101108-1517-1763-200756-2446,1610612740,"Chris Paul, Bobby Jackson, Ryan Bowen, Hilton Armstrong, Rasual Butler","Paul, Jackson, Bowen, Armstrong, Butler",101108-1517-1763-200756-2446,NOH,218.0,4,4.0,,6.0,7.0,,13.0,,,,,,,1.0,3.0,,,4.0,6.0,6.0,,,,2.0,,,,,,,,,1.0,1.0,,1.0,1.0,3.0,4.0,,2.0,6.0,,,,,0.3333333333333333,0.3333333333333333,,0.6,,,,1.0,0.5,,,1.0,85.87155963302753,14.5,18.714285714285715,14.5,18.571428571428573,,,,,,,,,,,0.6666666666666666,,0.46543333333333337,,0.4,0.4,,6.366666666666667,,1.0,2.0,,1.0,1.0,,,,,,,,,,,,0.6666666666666666,0.5,0.5,4.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,0.3333333333333333,0.3333333333333333,0.5,0.4144,0.3333333333333333,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2008,2007-08,True
101108-1517-1763-200756-2561,1610612740,"Chris Paul, Bobby Jackson, Ryan Bowen, Hilton Armstrong, David West","Paul, Jackson, Bowen, Armstrong, West",101108-1517-1763-200756-2561,NOH,307.0,3,5.0,-5.0,8.0,8.0,2.0,16.0,,,,1.0,,,5.0,7.0,,1.0,1.0,11.0,16.0,,,2.0,8.0,,1.0,,,1.0,,2.0,1.0,,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,9.0,,,,,0.7142857142857143,0.625,0.5,0.6875,0.5,0.125,0.5,,0.5,0.6666666666666666,,,75.04885993485343,18.625,19.75,17.375,17.0,,,,0.125,,,,,,,0.5,,0.46905625,0.5605,0.125,0.14285714285714285,0.18181818181818182,10.585714285714285,24.6,2.0,3.0,1.0,1.0,2.0,,,,,,,1.0,,,1.0,,0.375,0.6666666666666666,0.6666666666666666,,,,4.0,,,,,,1.0,,1.0,,,,0.5,,,,,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.25,0.5,0.5,1.0,1.0,1.0,0.3333333333333333,0.75,0.75,0.3333333333333333,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2008,2007-08,True
101108-1517-1763-200756-978,1610612740,"Chris Paul, Bobby Jackson, Ryan Bowen, Hilton Armstrong, Peja Stojakovic","Paul, Jackson, Bowen, Armstrong, Stojakovic",101108-1517-1763-200756-978,NOH,529.0,6,9.0,-9.0,20.0,18.0,4.0,38.0,,1.0,1.0,4.0,,,5.0,12.0,1.0,4.0,7.0,20.0,29.0,,,5.0,8.0,3.0,3.0,1.0,1.0,2.0,1.0,5.0,3.0,2.0,4.0,5.0,9.0,7.0,6.0,8.0,,4.0,15.0,1.0,0.25,,0.3333333333333333,0.4166666666666667,0.40625,0.5,0.5,0.625,0.25,0.42857142857142855,0.6666666666666666,0.6,0.5555555555555556,1.0,0.6666666666666666,103.44045368620039,14.4,13.38888888888889,13.75,13.38888888888889,0.0625,,,0.25,0.25,0.25,1.0,,,,0.625,0.3333333333333333,0.4562,0.55595,0.2,0.25,0.25,8.341666666666667,31.0,3.0,6.0,1.0,2.0,6.0,1.0,,1.0,1.0,,,0.5,,,1.0,,0.375,0.5,0.6,4.0,8.0,1.0,5.0,3.0,3.0,7.0,1.0,1.0,,,6.0,7.0,4.0,0.5833333333333334,0.3125,0.25,0.4301,0.35,0.2,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,,2.0,,4.0,3.0,0.2,0.25,0.5,0.6666666666666666,1.0,0.3333333333333333,1.0,,0.4,0.4,,1.0,0.5,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.6666666666666666,0.5,0.08333333333333333,0.16666666666666666,1.0,0.3333333333333333,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2008,2007-08,True
101108-1517-1763-200790-2199,1610612740,"Chris Paul, Bobby Jackson, Ryan Bowen, Marcus Vinicius, Tyson Chandler","Paul, Jackson, Bowen, Vinicius, Chandler",101108-1517-1763-200790-2199,NOH,38.0,1,1.0,-1.0,1.0,1.0,,2.0,,,,,,,,,,,2.0,2.0,3.0,,,,,,,,,,,,,,,,,,1.0,2.0,,1.0,2.0,,,,,,,,1.0,,,,,,,,,75.78947368421053,22.0,16.0,22.0,16.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2008,2007-08,True
101108-1517-1763-200790-2561,1610612740,"Chris Paul, Bobby Jackson, Ryan Bowen, Marcus Vinicius, David West","Paul, Jackson, Bowen, Vinicius, West",101108-1517-1763-200790-2561,NOH,65.0,1,1.0,-3.0,1.0,2.0,1.0,3.0,,,,2.0,,1.0,,,,2.0,,,3.0,,1.0,,,,2.0,,,,,,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,0.5,0.5,,,66.46153846153847,18.0,23.5,11.0,23.0,,,,1.0,,,,1.0,,,1.0,,0.546,,,,,,25.7,,,1.0,,,,,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,0.546,,1.0,,,,,,,,,,1.0,,,,,,,,0.5,,0.5,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2008,2007-08,True
101108-1517-1763-2199-2408,1610612740,"Chris Paul, Bobby Jackson, Ryan Bowen, Tyson Chandler, Melvin Ely","Paul, Jackson, Bowen, Chandler, Ely",101108-1517-1763-2199-2408,NOH,114.0,1,2.0,-3.0,3.0,3.0,1.0,6.0,,,,,,,,3.0,,,,,3.0,,,,,,,,,,,,1.0,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,1.0,0.3333333333333333,,,75.78947368421053,20.0,18.0,13.666666666666666,18.0,,,,,,,,,,,,,0.3797333333333333,0.3327,,,,20.433333333333334,,,,1.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2008,2007-08,True
101108-1517-1763-2199-2446,1610612740,"Chris Paul, Bobby Jackson, Ryan Bowen, Tyson Chandler, Rasual Butler","Paul, Jackson, Bowen, Chandler, Butler",101108-1517-1763-2199-2446,NOH,89.0,2,1.0,1.0,4.0,3.0,1.0,7.0,,,,,,,,,,,3.0,3.0,2.0,,,,,,,,,,,,,,1.0,,1.0,,3.0,4.0,,2.0,3.0,,,,,,,,0.75,,,,,1.0,,,,113.25842696629213,6.25,21.333333333333332,6.0,21.333333333333332,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,,,1.0,,,,,2.0,2.0,,,,1.0,1.0,,,,1.0,,1.0,2.0,0.5,,,,0.3333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2008,2007-08,True
101108-1517-1763-2199-2561,1610612740,"Chris Paul, Bobby Jackson, Ryan Bowen, Tyson Chandler, David West","Paul, Jackson, Bowen, Chandler, West",101108-1517-1763-2199-2561,NOH,121.0,5,2.0,-1.0,3.0,2.0,,5.0,,1.0,,,,,1.0,2.0,,,,2.0,3.0,,,,,,,,,1.0,,2.0,,,1.0,,1.0,3.0,,,,,2.0,,,,,0.5,0.5,,0.5,,,,,1.0,,,,59.50413223140496,16.666666666666668,35.5,16.666666666666668,35.5,0.5,,,,,,,,,,0.5,,0.43485,,,,,5.5,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,1.0,0.5,1.0,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,2.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2008,2007-08,True
