EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGA,Corner3FGA,FG3A,Fg2aBlocked,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls Drawn,FG3APct,FG2APctBlocked,LongMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Avg3ptShotDistance,Arc3FGM,Arc3FGA,FG3M,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Loose Ball Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Fg3Pct,NonHeaveFg3Pct,BlocksRecoveredPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,PenaltyArc3FGA,PenaltyFG3A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,FTDefRebounds,Steals,BadPassSteals,LostBallTurnovers,Loose Ball Fouls Drawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,AtRimPctBlocked,DefFTReboundPct,AtRimPctAssisted,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,LongMidRangeFGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,DeadBallTurnovers,Travels,ThreePtShootingFoulsDrawn,Assisted3sPct,SecondChanceFg3Pct,PenaltyFg3Pct,OffThreePtReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,LostBallSteals,Offensive Fouls,OffArc3ReboundPct,FTOffRebounds,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,OffFTReboundPct,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,BlockedLongMidRange,OffensiveGoaltends,ShortMidRangePctBlocked,HeaveAttempts,Corner3FGM,Fg3aBlocked,Corner3Assists,FG3APctBlocked,Arc3PctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3FGM,DefensiveGoaltends,3SecondViolations,Defensive 3 Seconds Violations,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Blocked3s,BlockedArc3,Corner3PctBlocked,HeaveMakes,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101106-101111-1913-2072-2294,1610612749,"Andrew Bogut, Charlie Villanueva, Michael Ruffin, Michael Redd, Charlie Bell","Bogut, Villanueva, Ruffin, Redd, Bell",101106-101111-1913-2072-2294,MIL,158.0,1,3.0,6.0,5.0,6.0,5.0,3.0,1.0,11.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,5.0,4.0,10.0,4.0,1.0,2.0,1.0,3.0,3.0,5.0,4.0,10.0,6.0,2.0,2.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,1.0,7.0,10.0,5.0,1.0,0.6,0.5,0.6,0.6,0.5,0.6,0.7142857142857143,0.75,0.7142857142857143,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,100.25316455696202,13.0,15.5,10.2,15.5,0.6,1.0,1.0,0.4,0.5,1.0,0.6,1.0,0.6,0.49896,0.4921,0.49896,0.3333333333333333,0.3333333333333333,0.3,1.0,3.9799999999999995,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2008,2007-08,False
101106-101111-1913-2294-2590,1610612749,"Andrew Bogut, Charlie Villanueva, Michael Ruffin, Charlie Bell, Mo Williams","Bogut, Villanueva, Ruffin, Bell, Williams",101106-101111-1913-2294-2590,MIL,207.0,2,3.0,-1.0,5.0,5.0,4.0,,1.0,10.0,,2.0,,2.0,,2.0,1.0,1.0,5.0,2.0,4.0,5.0,,3.0,,,1.0,4.0,2.0,4.0,2.0,,3.0,1.0,2.0,3.0,5.0,,1.0,2.0,2.0,2.0,,,1.0,4.0,4.0,4.0,1.0,0.2,,0.25,0.16666666666666666,,0.25,0.2857142857142857,,0.4,0.5,0.75,0.6666666666666666,0.6,,,,,69.56521739130434,24.0,17.4,19.2,17.4,0.3333333333333333,,,0.16666666666666666,0.6666666666666666,,0.5,,0.5,0.4554916666666667,0.48546666666666666,0.456575,,,,1.0,8.52,0.8,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.2,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2008,2007-08,False
101106-101111-1913-2294-2767,1610612749,"Andrew Bogut, Charlie Villanueva, Michael Ruffin, Charlie Bell, Royal Ivey","Bogut, Villanueva, Ruffin, Bell, Ivey",101106-101111-1913-2294-2767,MIL,72.0,1,1.0,1.0,2.0,2.0,,,,4.0,,,,,,,,,,,3.0,2.0,,,,,,,,,,,,1.0,1.0,,1.0,,,2.0,,,,,,3.0,,,,,,,0.75,,,0.75,,,0.5,,0.5,,,1.0,,,80.0,11.5,24.5,11.5,24.5,,,,,,,,,1.0,0.554175,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,25.2,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2008,2007-08,False
101106-101111-201146-201196-2590,1610612749,"Andrew Bogut, Charlie Villanueva, Yi Jianlian, Ramon Sessions, Mo Williams","Bogut, Villanueva, Jianlian, Sessions, Williams",101106-101111-201146-201196-2590,MIL,53.0,1,1.0,,1.0,1.0,1.0,,,2.0,,1.0,,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,1.0,,,54.339622641509436,13.0,40.0,13.0,40.0,1.0,,,,,,1.0,,1.0,0.6131,,0.6131,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2008,2007-08,False
101106-101111-201146-2072-2294,1610612749,"Andrew Bogut, Charlie Villanueva, Yi Jianlian, Michael Redd, Charlie Bell","Bogut, Villanueva, Jianlian, Redd, Bell",101106-101111-201146-2072-2294,MIL,459.0,3,8.0,-2.0,15.0,17.0,2.0,10.0,2.0,32.0,2.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,10.0,3.0,9.0,11.0,1.0,2.0,,2.0,1.0,2.0,,2.0,,,2.0,5.0,8.0,2.0,10.0,1.0,2.0,3.0,6.0,6.0,2.0,4.0,,7.0,2.0,2.0,,0.3,0.5,0.5,0.21428571428571427,0.5,0.3333333333333333,0.28125,0.5,0.3333333333333333,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.18181818181818182,1.0,1.0,1.0,0.1111111111111111,100.3921568627451,18.066666666666666,11.058823529411764,16.466666666666665,10.352941176470589,0.42857142857142855,0.3333333333333333,0.5,0.14285714285714285,0.5,1.0,0.3333333333333333,1.0,0.7142857142857143,0.5398678571428571,0.4812,0.6120833333333333,0.25,0.3333333333333333,0.2222222222222222,0.2222222222222222,5.51,0.13333333333333333,1.0,2.0,2.0,4.0,2.0,,2.0,1.0,2.0,,,0.2857142857142857,0.2,,1.0,,0.25,,0.5,,0.5,0.5,0.14285714285714285,0.14285714285714285,24.525,,2.0,,,2.0,,,1.0,,1.0,1.0,,,1.0,0.14285714285714285,,,,1.0,1.0,6.0,3.0,3.0,2.0,1.0,6.0,3.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2008,2007-08,False
101106-101111-201146-2072-2590,1610612749,"Andrew Bogut, Charlie Villanueva, Yi Jianlian, Michael Redd, Mo Williams","Bogut, Villanueva, Jianlian, Redd, Williams",101106-101111-201146-2072-2590,MIL,435.0,3,7.0,11.0,14.0,12.0,9.0,3.0,1.0,26.0,2.0,2.0,,,2.0,2.0,4.0,6.0,9.0,4.0,22.0,11.0,,,,3.0,3.0,5.0,4.0,16.0,4.0,,,1.0,4.0,1.0,5.0,,3.0,5.0,4.0,6.0,,,,19.0,16.0,9.0,,0.6666666666666666,,0.6,0.75,1.5,0.75,0.7857142857142857,1.5,0.8,0.25,,0.4444444444444444,0.25,,0.5,,,86.06896551724138,15.571428571428571,18.083333333333332,15.214285714285714,16.083333333333332,0.16666666666666666,1.0,1.0,0.3333333333333333,,,0.25,1.0,0.4166666666666667,0.45902916666666665,,0.49704375,0.14285714285714285,,0.13636363636363635,0.7272727272727273,9.3,0.6428571428571429,3.0,3.0,1.0,3.0,,3.0,,,2.0,1.0,2.0,0.25,,,,0.6,,,,,0.75,0.75,0.25,0.08333333333333333,25.266666666666666,2.0,2.0,2.0,,2.0,2.0,2.0,,,,,0.6666666666666666,0.6666666666666666,,0.16666666666666666,1.0,1.0,1.0,2.0,3.0,8.0,4.0,6.0,1.0,2.0,14.0,,,,,,,,0.6666666666666666,0.6666666666666666,,,0.5,0.6666666666666666,,0.25,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,6.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.75,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.125,1.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2008,2007-08,False
101106-101111-201146-2294-2590,1610612749,"Andrew Bogut, Charlie Villanueva, Yi Jianlian, Charlie Bell, Mo Williams","Bogut, Villanueva, Jianlian, Bell, Williams",101106-101111-201146-2294-2590,MIL,165.0,2,3.0,1.0,5.0,4.0,,3.0,1.0,9.0,1.0,1.0,,,,,1.0,1.0,3.0,,5.0,4.0,,,,3.0,,,,,2.0,,,,1.0,1.0,2.0,,,1.0,,,,,,2.0,,,,0.3333333333333333,,,0.5,1.5,,0.5,1.5,,,,0.5,0.3333333333333333,,,,,78.54545454545455,18.8,17.75,17.0,17.75,0.2,1.0,1.0,0.2,,,,,0.6,0.45025000000000004,,,,,0.6,,9.1,,,1.0,,2.0,,1.0,,,1.0,,,0.4,,,,1.0,,,,1.0,,,0.2,,25.95,1.0,2.0,1.0,,2.0,1.0,,,,,,0.5,0.5,,0.4,0.5,0.5,0.5,,,,,1.0,,,3.0,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,3.0,1.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,,,,,,1.0,1.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2008,2007-08,False
101106-101111-201146-2294-2767,1610612749,"Andrew Bogut, Charlie Villanueva, Yi Jianlian, Charlie Bell, Royal Ivey","Bogut, Villanueva, Jianlian, Bell, Ivey",101106-101111-201146-2294-2767,MIL,38.0,1,1.0,-4.0,2.0,2.0,2.0,,1.0,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,151.57894736842107,8.5,10.5,2.0,10.5,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2008,2007-08,False
101106-101111-201146-2590-2767,1610612749,"Andrew Bogut, Charlie Villanueva, Yi Jianlian, Mo Williams, Royal Ivey","Bogut, Villanueva, Jianlian, Williams, Ivey",101106-101111-201146-2590-2767,MIL,289.0,2,5.0,-1.0,9.0,8.0,,3.0,2.0,17.0,1.0,1.0,,,,,3.0,3.0,6.0,,9.0,10.0,1.0,1.0,,5.0,,,,,2.0,,,3.0,4.0,2.0,6.0,,3.0,3.0,,,,,,4.0,,,,0.5,1.0,,0.45,1.25,,0.45,1.25,,0.75,,0.75,0.4,,0.5,,,84.70588235294117,14.88888888888889,19.375,14.0,19.25,0.1,1.0,1.0,0.3,,,,,0.5,0.43169,,,,,0.5555555555555556,,9.766666666666667,,2.0,2.0,,4.0,,,1.0,,1.0,,,0.4,,,1.0,,,,1.0,,0.6666666666666666,0.6666666666666666,0.2,,27.2,1.0,4.0,1.0,,4.0,1.0,,,,,,0.25,0.25,,0.4,0.25,0.25,0.25,,,4.0,2.0,3.0,1.0,1.0,7.0,1.0,,,1.0,,,,0.6666666666666666,0.6666666666666666,,1.0,1.0,0.5,,,,,1.0,1.0,,1.0,1.0,,3.0,1.0,1.0,,2.0,,,,1.0,1.0,,1.0,,,,,,1.0,0.5,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2008,2007-08,False
101106-101111-201146-2590-2852,1610612749,"Andrew Bogut, Charlie Villanueva, Yi Jianlian, Mo Williams, Awvee Storey","Bogut, Villanueva, Jianlian, Williams, Storey",101106-101111-201146-2590-2852,MIL,109.0,1,2.0,-4.0,3.0,2.0,,,,5.0,,,,,,,,,1.0,1.0,1.0,5.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,1.0,,1.0,,,,,,,,,,0.16666666666666666,,,,,,,,,,,66.05504587155963,25.333333333333332,16.5,25.333333333333332,16.5,,,,,,,,,0.5,0.362975,,,0.3333333333333333,0.5,,,16.5,,,1.0,,1.0,,,,,,,,0.5,,,,,,,,,,,0.5,,27.3,,1.0,,,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612749,2008,2007-08,False
