EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,ShortMidRangeFGA,SecondChanceFtPoints,SecondChancePoints,OffTwoPtRebounds,OffRebounds,TwoPtShootingFoulsDrawn,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,ShortMidRangeFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsUnassisted2s,PtsPutbacks,DefTwoPtRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,DefTwoPtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,ShortMidRangeFGM,Corner3FGA,ShootingFouls,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,PenaltyArc3FGA,PenaltyFG3A,HeaveAttempts,PenaltyArc3Frequency,PenaltyFG2A,PenaltyShotQualityAvg,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,FTDefRebounds,LostBallSteals,PenaltyFg2Pct,PenaltyEfgPct,DefFTReboundPct,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeAssists,Travels,Offensive Fouls,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,DefShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,PenaltyArc3FGM,PenaltyFG3M,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,BlockedShortMidRange,OffensiveGoaltends,PenaltyFg3Pct,LiveBallTurnoverPct,PenaltyArc3Accuracy,Fg2aBlocked,Loose Ball Fouls,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,OffShortMidRangeReboundPct,ShortMidRangePctBlocked,2pt And 1 Free Throw Trips,3SecondViolations,Defensive 3 Seconds Violations,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3FGA,SecondChanceFG3A,DefensiveGoaltends,SecondChanceCorner3Frequency,PtsUnassisted3s,SecondChanceCorner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,OffCorner3ReboundPct,Technical Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,StepOutOfBoundsTurnovers,FTOffRebounds,Clear Path Fouls,Blocked3s,BlockedCorner3,OffFTReboundPct,Fg3aBlocked,3pt And 1 Free Throw Trips,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,BlockedArc3,team_id,year,season,team_vs
101113-101122-101143-101211-2416,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Stephen Graham, Kareem Rush","Diogu, Granger, Diener, Graham, Rush",101113-101122-101143-101211-2416,IND,118.0,2,2.0,5.0,5.0,1.0,4.0,10.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,1.0,8.0,8.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.875,0.8,0.5,0.5,1.0,1.0,1.0,122.03389830508475,10.4,13.2,10.4,13.2,0.25,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.75,0.5,0.5104625,0.125,8.05,25.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,False
101113-101122-101143-101211-2605,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Stephen Graham, Marquis Daniels","Diogu, Granger, Diener, Graham, Daniels",101113-101122-101143-101211-2605,IND,50.0,1,1.0,1.0,1.0,,,2.0,,,,1.0,,,,2.0,,,1.0,1.0,2.0,,,,,,,,,,,,,,,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,0.16666666666666666,,,,,,57.599999999999994,38.0,12.0,27.0,12.0,,,,,0.5,,,,,,,,,,0.40015,,15.4,,,-1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,False
101113-101122-101143-1902-2399,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Jeff Foster, Mike Dunleavy","Diogu, Granger, Diener, Foster, Dunleavy",101113-101122-101143-1902-2399,IND,145.0,1,2.0,5.0,4.0,,,9.0,2.0,4.0,,3.0,,,2.0,7.0,,,,4.0,5.0,,,,,,,,,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,0.2857142857142857,0.2857142857142857,0.2857142857142857,,,,1.0,,89.37931034482759,14.4,18.25,13.8,18.25,0.5714285714285714,0.5,0.5,,0.42857142857142855,,,,,,,,0.5714285714285714,,0.4676571428571429,,9.185714285714285,,,-1.0,,,4.0,3.0,3.0,,0.6666666666666666,0.6,0.6,0.6666666666666666,,,,1.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,1.0,0.2,1.0,1.0,0.6666666666666666,0.5493333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,False
101113-101122-101143-1902-2605,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Jeff Foster, Marquis Daniels","Diogu, Granger, Diener, Foster, Daniels",101113-101122-101143-1902-2605,IND,114.0,1,2.0,3.0,3.0,,,6.0,,,,,,,1.0,2.0,,1.0,,2.0,4.0,,,,,,,,,,,,,,,1.0,1.0,,,3.0,,,,2.0,,,,,,,,,,0.5,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,1.0,,75.78947368421053,17.333333333333332,20.666666666666668,17.333333333333332,20.666666666666668,,,,,,,,,,,,,0.3333333333333333,,0.45470000000000005,,7.55,23.2,,-2.0,2.0,,,,,,,,,,0.6666666666666666,,,,,,,,,2.0,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,1.0,1.0,2.0,0.5,0.5,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,False
101113-101122-101143-200761-2399,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Shawne Williams, Mike Dunleavy","Diogu, Granger, Diener, Williams, Dunleavy",101113-101122-101143-200761-2399,IND,3.0,1,,1.0,,1.0,,1.0,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,480.0,3.0,,3.0,,,,,,,,,,1.0,,,,1.0,,,,,42.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,False
101113-101122-101143-200761-2605,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Shawne Williams, Marquis Daniels","Diogu, Granger, Diener, Williams, Daniels",101113-101122-101143-200761-2605,IND,35.0,1,1.0,1.0,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,82.28571428571428,7.0,28.0,7.0,28.0,,,,,,,,,,,,,,,0.446,,9.3,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,0.446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,False
101113-101122-101143-2211-2399,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Troy Murphy, Mike Dunleavy","Diogu, Granger, Diener, Murphy, Dunleavy",101113-101122-101143-2211-2399,IND,109.0,1,2.0,4.0,4.0,2.0,1.0,8.0,1.0,1.0,,1.0,,1.0,1.0,2.0,,1.0,2.0,4.0,3.0,2.0,4.0,2.0,,1.0,,1.0,,1.0,,1.0,,2.0,,2.0,2.0,1.0,,1.0,2.0,2.0,,4.0,4.0,2.0,,,1.0,1.0,,,,0.5,0.3333333333333333,0.5,1.0,0.3333333333333333,,0.5,,105.68807339449542,13.5,13.75,13.5,11.75,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,,0.3333333333333333,,,,0.6666666666666666,,0.42219999999999996,1.0,10.85,25.1,0.5,1.0,,,,,,1.0,,,,,,0.25,0.3333333333333333,,,,,,,,,1.0,,,,,,,,,,,0.5,,,1.0,,,,,,,,,,,,,,,,1.0,0.3104,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,False
101113-101122-101143-2211-2416,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Troy Murphy, Kareem Rush","Diogu, Granger, Diener, Murphy, Rush",101113-101122-101143-2211-2416,IND,178.0,2,3.0,5.0,4.0,,3.0,9.0,2.0,3.0,1.0,2.0,,2.0,3.0,5.0,,2.0,1.0,7.0,6.0,,,2.0,,2.0,,1.0,,1.0,,,1.0,2.0,,,2.0,,,2.0,1.0,2.0,,3.0,,,,,0.3333333333333333,1.0,,,,0.6,0.42857142857142855,0.4375,,0.2857142857142857,,,,72.80898876404494,19.6,20.0,19.0,20.0,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.2857142857142857,0.5,0.5,1.0,0.2857142857142857,,,,0.7142857142857143,,0.5168142857142858,,7.0200000000000005,26.15,,1.0,,,4.0,1.0,2.0,1.0,1.0,0.5,0.5,1.0,,0.125,0.16666666666666666,0.5714285714285714,2.0,2.0,2.0,2.0,2.0,4.0,4.0,,,,,,,,,,1.0,1.0,,,,,,,1.0,1.0,0.5621,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,False
101113-101122-101143-2211-2605,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Troy Murphy, Marquis Daniels","Diogu, Granger, Diener, Murphy, Daniels",101113-101122-101143-2211-2605,IND,42.0,1,1.0,2.0,3.0,,,5.0,,,,1.0,,1.0,,1.0,,1.0,,,2.0,,,,,1.0,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,0.5,,,,171.42857142857144,13.0,5.333333333333333,13.0,5.333333333333333,,,,,0.5,,,,0.5,,,,0.5,,0.478625,,14.5,25.5,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,False
101113-101122-101143-2399-2416,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Mike Dunleavy, Kareem Rush","Diogu, Granger, Diener, Dunleavy, Rush",101113-101122-101143-2399-2416,IND,581.0,4,10.0,22.0,22.0,7.0,16.0,44.0,,2.0,1.0,3.0,2.0,5.0,2.0,7.0,2.0,7.0,10.0,20.0,21.0,3.0,3.0,2.0,6.0,5.0,2.0,1.0,2.0,3.0,2.0,,,8.0,2.0,11.0,12.0,1.0,1.0,8.0,6.0,11.0,1.0,20.0,3.0,7.0,1.0,1.0,0.5,0.5,1.0,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.35714285714285715,0.5263157894736842,0.25,0.5,0.6666666666666666,0.7272727272727273,1.0,109.05335628227195,10.045454545454545,16.363636363636363,9.954545454545455,15.5,0.14285714285714285,,,,0.21428571428571427,0.3333333333333333,0.3333333333333333,,0.35714285714285715,0.4,0.4,1.0,0.6428571428571429,0.4,0.4968142857142857,0.15,10.428571428571429,25.0,0.3181818181818182,-1.0,2.0,,,1.0,1.0,3.0,,0.2,0.1,,0.14285714285714285,0.2222222222222222,0.3,,1.0,,1.0,,1.0,2.0,,6.0,,1.0,3.0,3.0,1.0,1.0,1.0,,,,0.75,0.5,0.75,1.0,,,1.0,,0.5682,1.0,2.0,5.0,0.5,0.5,0.14285714285714285,3.0,3.0,,0.75,1.0,0.44935,,,,3.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,False
