EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,PtsPutbacks,Fg2aBlocked,Fg3aBlocked,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,FG3APctBlocked,FG2APctBlocked,AtRimPctBlocked,Arc3PctBlocked,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,PtsUnassisted3s,PenaltyAtRimFGM,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFg2Pct,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,Loose Ball Fouls Drawn,LongMidRangeAssists,SelfOReb,OffShortMidRangeReboundPct,SelfORebPct,LongMidRangePctAssisted,Loose Ball Fouls,RecoveredBlocks,BlocksRecoveredPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,BlockedLongMidRange,Travels,Technical Free Throw Trips,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ShortMidRangePctBlocked,LongMidRangePctBlocked,SecondChanceArc3FGM,FTOffRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,OffFTReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,HeaveAttempts,ThreePtShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,3SecondViolations,StepOutOfBoundsTurnovers,Clear Path Fouls,Blocked3s,BlockedArc3,Corner3PctBlocked,3pt And 1 Free Throw Trips,BlockedCorner3,team_id,year,season,team_vs
101145-101235-1506-1536-1733,1610612744,"Monta Ellis, Kelenna Azubuike, Austin Croshere, Stephen Jackson, Al Harrington","Ellis, Azubuike, Croshere, Jackson, Harrington",101145-101235-1506-1536-1733,GSW,881.0,7,15.0,16.0,33.0,32.0,8.0,9.0,1.0,65.0,8.0,8.0,2.0,2.0,1.0,6.0,1.0,2.0,3.0,5.0,2.0,2.0,11.0,16.0,4.0,7.0,10.0,44.0,28.0,2.0,2.0,2.0,2.0,2.0,5.0,11.0,10.0,12.0,12.0,5.0,3.0,5.0,4.0,9.0,3.0,1.0,4.0,1.0,22.0,1.0,5.0,6.0,1.0,12.0,1.0,13.0,5.0,3.0,2.0,2.0,1.0,1.0,4.0,1.0,6.0,1.0,4.0,7.0,3.0,7.0,1.0,11.0,1.0,4.0,2.0,1.0,1.0,1.0,42.0,11.0,8.0,2.0,0.45454545454545453,0.45454545454545453,1.0,0.5714285714285714,1.0,0.5714285714285714,0.6875,0.7391304347826086,0.75,0.7857142857142857,1.0,0.7857142857142857,0.30434782608695654,0.3333333333333333,1.0,0.6666666666666666,0.2,0.7142857142857143,0.6875,0.125,0.2,0.25,1.0,1.0,0.6666666666666666,0.75,106.24290578887627,12.393939393939394,14.75,12.212121212121213,14.3125,0.34782608695652173,1.0,1.0,0.5,0.08695652173913043,1.0,1.0,0.5,0.2608695652173913,0.16666666666666666,0.16666666666666666,0.08695652173913043,0.5,0.5,1.0,0.21739130434782608,0.6,0.6,1.0,0.5,1.0,0.6521739130434783,0.6,0.5382152173913043,0.4772625,0.15384615384615385,0.21052631578947367,0.045454545454545456,0.25,7.9,25.085714285714285,0.24242424242424243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2008,2007-08,False
101145-101235-1506-1536-1884,1610612744,"Monta Ellis, Kelenna Azubuike, Austin Croshere, Stephen Jackson, Baron Davis","Ellis, Azubuike, Croshere, Jackson, Davis",101145-101235-1506-1536-1884,GSW,636.0,7,11.0,-11.0,24.0,24.0,10.0,22.0,3.0,48.0,3.0,6.0,,,,5.0,1.0,2.0,1.0,6.0,,3.0,3.0,11.0,2.0,8.0,9.0,21.0,32.0,,2.0,3.0,,3.0,6.0,6.0,2.0,4.0,6.0,6.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,8.0,3.0,2.0,5.0,2.0,9.0,3.0,12.0,,,,,,,2.0,,2.0,1.0,3.0,13.0,2.0,6.0,,11.0,1.0,2.0,4.0,1.0,1.0,1.0,19.0,6.0,10.0,4.0,0.3333333333333333,0.5,1.0,0.25,,0.25,0.2727272727272727,0.3157894736842105,,0.4375,0.3333333333333333,0.3,0.42105263157894735,,1.0,0.7142857142857143,0.375,0.6666666666666666,0.7,0.21428571428571427,0.2,0.6666666666666666,1.0,0.5,0.6666666666666666,,108.67924528301887,14.583333333333334,11.916666666666666,13.333333333333334,11.083333333333334,0.3157894736842105,0.5,0.6,0.3333333333333333,,,,,0.2631578947368421,,,0.10526315789473684,0.5,0.5,1.0,0.3157894736842105,0.16666666666666666,0.2,1.0,0.5,,0.7368421052631579,0.16666666666666666,0.4977447368421053,0.4449166666666667,0.1,0.16666666666666666,0.09523809523809523,0.2857142857142857,8.436363636363636,25.175,0.4166666666666667,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,4.0,0.5,0.3333333333333333,0.125,0.09090909090909091,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.3333333333333333,0.16666666666666666,0.49710000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2008,2007-08,False
101145-101235-1506-1536-200785,1610612744,"Monta Ellis, Kelenna Azubuike, Austin Croshere, Stephen Jackson, Kosta Perovic","Ellis, Azubuike, Croshere, Jackson, Perovic",101145-101235-1506-1536-200785,GSW,183.0,1,3.0,8.0,6.0,7.0,,3.0,,13.0,1.0,1.0,1.0,2.0,1.0,1.0,,,1.0,1.0,,,3.0,4.0,1.0,1.0,1.0,10.0,2.0,,,,,,,,,6.0,,1.0,1.0,,,,,,,,,,2.0,2.0,,4.0,,4.0,,,,,,,,,,,,1.0,,1.0,,2.0,,1.0,,,,,10.0,,,,,,,1.0,,1.0,0.75,0.9,,0.8333333333333334,,,0.2,,,0.6666666666666666,,0.6666666666666666,0.6666666666666666,,,,0.5,1.0,0.5,1.0,102.29508196721312,13.166666666666666,14.857142857142858,13.166666666666666,12.857142857142858,0.2,1.0,1.0,,0.4,0.5,0.5,,0.2,1.0,1.0,,,,,0.2,1.0,1.0,,,,0.4,1.0,0.47093999999999997,,0.16666666666666666,0.2,,,10.925,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2008,2007-08,False
101145-101235-1506-1536-201158,1610612744,"Monta Ellis, Kelenna Azubuike, Austin Croshere, Stephen Jackson, Marco Belinelli","Ellis, Azubuike, Croshere, Jackson, Belinelli",101145-101235-1506-1536-201158,GSW,136.0,1,2.0,-7.0,3.0,4.0,,,,7.0,1.0,1.0,,,,,,,,2.0,,,1.0,1.0,,2.0,,2.0,9.0,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,0.3333333333333333,,0.3333333333333333,,,0.6666666666666666,,,,,,,,,,,,,,74.11764705882354,22.0,17.5,22.0,12.5,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,0.6666666666666666,,,,,,1.0,,0.5390166666666667,,,,,,2.2,25.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2008,2007-08,False
101145-101235-1506-1536-201228,1610612744,"Monta Ellis, Kelenna Azubuike, Austin Croshere, Stephen Jackson, C.J. Watson","Ellis, Azubuike, Croshere, Jackson, Watson",101145-101235-1506-1536-201228,GSW,60.0,1,1.0,-1.0,2.0,2.0,,,,4.0,1.0,1.0,,1.0,,1.0,,,,,,,1.0,3.0,,,,2.0,3.0,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,1.0,,1.0,1.0,1.0,,,,,2.0,,,,,,,,,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,,,,,,,1.0,0.5,,,,,,1.0,,96.0,18.5,11.5,18.5,7.0,0.3333333333333333,1.0,1.0,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,,,0.3333333333333333,,0.4362,,0.3333333333333333,0.3333333333333333,,,7.966666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2008,2007-08,False
101145-101235-1506-1536-2440,1610612744,"Monta Ellis, Kelenna Azubuike, Austin Croshere, Stephen Jackson, Matt Barnes","Ellis, Azubuike, Croshere, Jackson, Barnes",101145-101235-1506-1536-2440,GSW,108.0,2,2.0,3.0,4.0,4.0,4.0,4.0,,8.0,2.0,3.0,,,,,,1.0,,,,,2.0,3.0,,1.0,,4.0,1.0,,,3.0,,1.0,,4.0,2.0,2.0,,,,1.0,,1.0,,,1.0,,2.0,,1.0,2.0,,3.0,,3.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,4.0,4.0,4.0,,0.5,0.5,,,,,0.6666666666666666,0.5,0.5,0.5,,0.5,0.25,,,0.6666666666666666,,1.0,0.75,,,,1.0,1.0,,1.0,106.66666666666666,8.75,18.25,8.75,18.25,0.75,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,0.25,,,,,,,,,,1.0,,0.49285,0.49285,,,,1.0,2.466666666666667,21.0,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,0.75,,,2.0,1.0,2.0,0.6666666666666666,0.6666666666666666,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2008,2007-08,False
101145-101235-1506-1536-2554,1610612744,"Monta Ellis, Kelenna Azubuike, Austin Croshere, Stephen Jackson, Mickael Pietrus","Ellis, Azubuike, Croshere, Jackson, Pietrus",101145-101235-1506-1536-2554,GSW,455.0,4,8.0,,15.0,16.0,8.0,6.0,,31.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,3.0,,2.0,4.0,5.0,,3.0,6.0,14.0,14.0,,,2.0,,2.0,3.0,7.0,2.0,6.0,,3.0,,1.0,,1.0,,,1.0,,2.0,,2.0,2.0,,4.0,,4.0,3.0,2.0,1.0,1.0,1.0,,2.0,1.0,3.0,2.0,2.0,3.0,,6.0,,8.0,,2.0,2.0,1.0,1.0,1.0,14.0,7.0,8.0,2.0,0.25,0.25,,,,,0.8,0.5,0.5,0.5833333333333334,,0.5833333333333334,0.375,0.3333333333333333,,0.2857142857142857,,1.0,0.4444444444444444,,,0.3333333333333333,,0.5,,1.0,98.10989010989012,12.8,16.4375,12.8,15.3125,0.375,0.6666666666666666,0.6666666666666666,0.5,0.125,1.0,1.0,,0.125,1.0,1.0,,,,,0.375,,,,0.5,,0.75,,0.53259375,0.47185,0.2,0.2857142857142857,,0.5,5.46,25.03333333333333,0.5333333333333333,,,1.0,,,,,,,,,,,,,,,,,,,,0.25,,,1.0,,2.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2008,2007-08,False
101145-101235-1506-1536-2740,1610612744,"Monta Ellis, Kelenna Azubuike, Austin Croshere, Stephen Jackson, Andris Biedrins","Ellis, Azubuike, Croshere, Jackson, Biedrins",101145-101235-1506-1536-2740,GSW,369.0,3,6.0,1.0,13.0,12.0,6.0,6.0,3.0,25.0,4.0,6.0,1.0,3.0,2.0,4.0,,,,1.0,,1.0,7.0,13.0,,1.0,,14.0,13.0,,6.0,3.0,,1.0,,4.0,4.0,10.0,,1.0,,2.0,,2.0,,,1.0,,4.0,3.0,1.0,2.0,1.0,4.0,3.0,7.0,1.0,,1.0,1.0,,,1.0,1.0,2.0,2.0,2.0,6.0,1.0,1.0,,,,,,,,,8.0,4.0,6.0,,0.2857142857142857,0.4,,,,,0.5384615384615384,0.5,0.5,0.5,1.0,0.5,0.07142857142857142,0.5,1.0,0.6666666666666666,0.5,1.0,0.75,0.42857142857142855,0.5,,0.5,1.0,,1.0,97.5609756097561,12.615384615384615,17.083333333333332,12.307692307692308,16.0,0.42857142857142855,0.6666666666666666,0.8,0.25,0.21428571428571427,0.3333333333333333,0.3333333333333333,,0.2857142857142857,0.5,0.5,,,,,0.07142857142857142,,,,0.25,,0.5,,0.44719642857142855,0.4330625,,,0.42857142857142855,0.2857142857142857,8.015384615384615,25.7,0.46153846153846156,3.0,3.0,1.0,,3.0,3.0,,4.0,1.0,,,2.0,1.0,1.0,,0.07692307692307693,0.16666666666666666,,0.5,1.0,1.0,,0.25,0.5736,,1.0,,2.0,0.6666666666666666,1.0,,,1.0,1.0,0.5,0.16666666666666666,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2008,2007-08,False
101145-101235-1506-1536-2788,1610612744,"Monta Ellis, Kelenna Azubuike, Austin Croshere, Stephen Jackson, DJ Mbenga","Ellis, Azubuike, Croshere, Jackson, Mbenga",101145-101235-1506-1536-2788,GSW,197.0,1,3.0,1.0,6.0,7.0,,,,13.0,1.0,2.0,,1.0,1.0,1.0,,,1.0,1.0,,,2.0,4.0,1.0,1.0,2.0,9.0,8.0,,,,,,,,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,5.0,,1.0,1.0,,2.0,,2.0,1.0,1.0,,,,,,,,,1.0,3.0,,2.0,,2.0,,1.0,,1.0,1.0,1.0,9.0,,,,0.5,0.5,1.0,1.0,,1.0,0.5,0.7,,0.75,,,0.2,,,1.0,,0.5,0.6666666666666666,,,1.0,,,0.5,,95.0253807106599,13.833333333333334,16.285714285714285,13.833333333333334,13.428571428571429,0.4,0.5,0.5,1.0,0.2,,,,0.2,1.0,1.0,,,,,0.2,1.0,1.0,1.0,,,0.6,1.0,0.53863,,0.16666666666666666,0.2,,,7.1,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2008,2007-08,False
101145-101235-1506-1607-2554,1610612744,"Monta Ellis, Kelenna Azubuike, Austin Croshere, Troy Hudson, Mickael Pietrus","Ellis, Azubuike, Croshere, Hudson, Pietrus",101145-101235-1506-1607-2554,GSW,120.0,1,2.0,,4.0,4.0,2.0,4.0,,8.0,2.0,3.0,,,,,,,,,,,2.0,3.0,,,1.0,5.0,5.0,,,2.0,,,,4.0,2.0,2.0,,,,1.0,,1.0,,,1.0,,2.0,,1.0,1.0,,2.0,,2.0,,,,,,,,,,,1.0,1.0,,1.0,,2.0,,1.0,,,,,5.0,4.0,2.0,,0.5,0.5,,,,,0.6666666666666666,0.6666666666666666,1.0,0.625,,1.0,,,,1.0,,1.0,1.0,,,1.0,,,,1.0,96.0,13.25,16.75,13.25,16.75,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,,,,,,,1.0,,0.5807333333333333,0.57735,0.25,0.25,,0.8,,,0.5,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2008,2007-08,False
