EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PlusMinus,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceFtPoints,OffThreePtRebounds,Blocked3s,BlockedArc3,BlockedShortMidRange,OffThreePtReboundPct,OffArc3ReboundPct,LostBallOutOfBoundsTurnovers,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,PtsPutbacks,HeaveAttempts,Defensive 3 Seconds Violations,FTOffRebounds,OffFTReboundPct,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,Travels,Loose Ball Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BlockedLongMidRange,SecondChanceTurnovers,OffCorner3ReboundPct,Technical Free Throw Trips,DefensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,3SecondViolations,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,OffensiveGoaltends,Clear Path Fouls,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,Corner3PctBlocked,HeaveMakes,BlockedCorner3,team_id,year,season,team_vs
101115-101142-1885-200770-977,1610612747,"Andrew Bynum, Ronny Turiaf, Lamar Odom, Jordan Farmar, Kobe Bryant","Bynum, Turiaf, Odom, Farmar, Bryant",101115-101142-1885-200770-977,LAL,208.0,1,3.0,5.0,6.0,1.0,11.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,76.15384615384615,1.0,17.0,20.5,14.6,20.5,0.25,1.0,1.0,0.25,0.5,0.5,0.5,1.0,0.25,0.425275,0.3767,0.2,0.2,0.4,10.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2008,2007-08,True
101115-101142-1885-965-977,1610612747,"Andrew Bynum, Ronny Turiaf, Lamar Odom, Derek Fisher, Kobe Bryant","Bynum, Turiaf, Odom, Fisher, Bryant",101115-101142-1885-965-977,LAL,2353.0,8,39.0,76.0,77.0,7.0,153.0,15.0,19.0,15.0,8.0,20.0,26.0,54.0,19.0,83.0,73.0,1.0,6.0,5.0,34.0,18.0,17.0,20.0,7.0,43.0,7.0,4.0,15.0,21.0,7.0,28.0,,4.0,9.0,9.0,19.0,1.0,17.0,24.0,12.0,1.0,1.0,1.0,1.0,78.0,0.6538461538461539,0.6538461538461539,0.48148148148148145,0.16666666666666666,0.5,0.3125,0.5533333333333333,0.3125,0.5769230769230769,0.25,1.0,0.6333333333333333,0.20588235294117646,0.25,0.7142857142857143,1.0,,93.63365915852103,1.0,15.68421052631579,15.077922077922079,14.881578947368421,14.233766233766234,0.296875,0.7894736842105263,0.8823529411764706,0.234375,0.3125,0.4,0.4,0.875,0.453125,0.485515625,0.4551375,0.16216216216216217,0.1875,0.060240963855421686,9.77037037037037,10.0,23.0,20.0,1.0,2.0,3.0,5.0,3.0,3.0,1.0,1.0,4.0,7.0,1.0,1.0,2.0,3.0,4.0,10.0,1.0,2.0,5.0,17.0,2.0,4.0,5.0,21.0,9.0,3.0,7.0,4.0,4.0,3.0,3.0,8.0,2.0,2.0,13.0,6.0,7.0,5.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0,1.0,21.0,23.0,4.0,0.75,0.4,0.5,0.5,0.4,0.29411764705882354,0.38095238095238093,0.45652173913043476,0.15625,0.07407407407407407,0.10526315789473684,0.13333333333333333,0.5555555555555556,1.0,0.5,0.16666666666666666,0.375,0.6363636363636364,0.5333333333333333,0.2,0.23076923076923078,0.6666666666666666,0.046875,0.109375,0.5714285714285714,0.5714285714285714,0.75,0.25,0.5,1.0,0.125,0.125,1.0,1.0,0.23809523809523808,0.6,0.047619047619047616,0.14285714285714285,0.6666666666666666,0.5714285714285714,0.48453333333333337,0.25301204819277107,25.009999999999998,0.3026315789473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2008,2007-08,True
101115-101142-200770-201159-2772,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Javaris Crittenton, Trevor Ariza","Bynum, Turiaf, Farmar, Crittenton, Ariza",101115-101142-200770-201159-2772,LAL,43.0,1,1.0,2.0,1.0,,3.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,100.46511627906976,,10.5,22.0,10.5,22.0,1.0,,,,,,,,1.0,0.4833,,,,,,,2.0,1.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,0.4833,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2008,2007-08,True
101115-101142-200770-201207-2575,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Coby Karl, Luke Walton","Bynum, Turiaf, Farmar, Karl, Walton",101115-101142-200770-201207-2575,LAL,2.0,1,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,720.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2008,2007-08,True
101115-101142-200770-2209-2230,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Vladimir Radmanovic, Maurice Evans","Bynum, Turiaf, Farmar, Radmanovic, Evans",101115-101142-200770-2209-2230,LAL,35.0,1,1.0,1.0,1.0,,2.0,,,,1.0,1.0,1.0,1.0,,2.0,,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,2.0,,,1.0,,1.0,,1.0,,0.5,,,0.5,,,0.5,,,82.28571428571428,,19.0,16.0,19.0,12.0,,,,,1.0,1.0,1.0,,,0.3984,,,,,15.7,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2008,2007-08,True
101115-101142-200770-2209-2756,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Vladimir Radmanovic, Sasha Vujacic","Bynum, Turiaf, Farmar, Radmanovic, Vujacic",101115-101142-200770-2209-2756,LAL,352.0,1,6.0,9.0,10.0,3.0,19.0,2.0,4.0,3.0,,2.0,3.0,9.0,2.0,11.0,17.0,1.0,3.0,3.0,6.0,,3.0,4.0,,9.0,4.0,,1.0,1.0,5.0,6.0,,1.0,2.0,3.0,4.0,,3.0,3.0,2.0,1.0,,2.0,1.0,8.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4090909090909091,0.25,0.4583333333333333,0.3,1.0,0.6666666666666666,,0.3333333333333333,0.7142857142857143,1.0,,,,77.72727272727273,0.5,19.88888888888889,17.3,14.88888888888889,14.4,0.36363636363636365,0.5,0.6666666666666666,0.2727272727272727,0.18181818181818182,,,,0.5454545454545454,0.4722181818181818,0.4988625,0.16666666666666666,0.2,0.2727272727272727,6.944444444444445,-6.0,,,1.0,2.0,,,1.0,,,,1.0,2.0,,1.0,,,1.0,2.0,,1.0,,,,,,,3.0,,2.0,1.0,2.0,1.0,1.0,2.0,1.0,,1.0,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,1.0,0.5,,,0.5,,,,0.18181818181818182,0.2222222222222222,0.25,0.3333333333333333,0.5,,,1.0,1.0,,1.0,0.3333333333333333,0.5,1.0,,0.18181818181818182,0.5,0.5,1.0,0.5,0.5,1.0,,0.25,,,,,,,,0.5,,,27.45,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2008,2007-08,True
101115-101142-200770-2209-977,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Vladimir Radmanovic, Kobe Bryant","Bynum, Turiaf, Farmar, Radmanovic, Bryant",101115-101142-200770-2209-977,LAL,475.0,2,8.0,16.0,18.0,,34.0,3.0,4.0,2.0,,1.0,4.0,7.0,3.0,14.0,19.0,,,,6.0,2.0,3.0,4.0,,9.0,,2.0,3.0,5.0,,5.0,,2.0,3.0,1.0,1.0,,3.0,4.0,,1.0,1.0,1.0,,14.0,0.75,0.75,0.5714285714285714,,0.5,,0.5384615384615384,,0.75,,1.0,0.8333333333333334,,,,1.0,,103.07368421052631,,13.625,14.277777777777779,13.625,14.277777777777779,0.36363636363636365,0.75,1.0,0.18181818181818182,0.09090909090909091,,,,0.7272727272727273,0.5289181818181818,,,,,4.542857142857143,-5.0,6.0,5.0,,,1.0,1.0,1.0,,,,1.0,4.0,,,1.0,1.0,1.0,4.0,,,1.0,2.0,1.0,1.0,3.0,8.0,3.0,,4.0,1.0,1.0,1.0,1.0,2.0,1.0,,3.0,2.0,1.0,1.0,1.0,,1.0,1.0,,,,2.0,8.0,6.0,,1.0,0.25,,1.0,0.25,0.5,0.8333333333333334,0.8,0.36363636363636365,0.14285714285714285,0.25,,0.3333333333333333,,,,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,,0.36363636363636365,0.25,0.25,1.0,,,,,,,,0.3333333333333333,1.0,,0.3333333333333333,1.0,0.25,0.5568666666666667,0.5714285714285714,25.475,0.375,,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2008,2007-08,True
101115-101142-200770-2230-977,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Maurice Evans, Kobe Bryant","Bynum, Turiaf, Farmar, Evans, Bryant",101115-101142-200770-2230-977,LAL,76.0,1,1.0,4.0,3.0,,7.0,,,,,,,,4.0,4.0,2.0,,,,,,,,,,,,1.0,1.0,,1.0,,,2.0,,,,2.0,4.0,1.0,,,,,4.0,,,,,,,1.0,,1.0,,,1.0,,,,,,132.63157894736844,,11.5,10.0,11.5,10.0,,,,,,,,,,,,1.0,1.0,,,2.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,,,,1.0,1.0,,2.0,,,2.0,2.0,,,,1.0,4.0,4.0,,,,,,,,,1.0,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2008,2007-08,True
101115-101142-200770-2575-2756,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Luke Walton, Sasha Vujacic","Bynum, Turiaf, Farmar, Walton, Vujacic",101115-101142-200770-2575-2756,LAL,327.0,2,5.0,10.0,10.0,1.0,20.0,3.0,3.0,4.0,3.0,4.0,6.0,11.0,2.0,14.0,9.0,,2.0,,8.0,4.0,4.0,4.0,1.0,8.0,3.0,1.0,3.0,4.0,3.0,7.0,,1.0,1.0,,,,4.0,3.0,2.0,1.0,1.0,1.0,1.0,14.0,0.6666666666666666,0.6666666666666666,0.5454545454545454,,0.5,,0.5384615384615384,,0.75,0.6,1.0,0.8,0.5,0.5,1.0,,,88.07339449541284,1.0,14.1,18.6,12.8,17.3,0.25,1.0,1.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.3333333333333333,0.3333333333333333,0.48415,0.45513333333333333,0.15384615384615385,0.16666666666666666,,10.9,5.0,,,,,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,,,,,,,2.0,,,3.0,,,1.0,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,0.08333333333333333,0.18181818181818182,,0.5,,,,1.0,0.5,,1.0,,,,0.08333333333333333,,,,,,,,0.3333333333333333,,,,,,,,,,,,23.1,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2008,2007-08,True
101115-101142-200770-2575-977,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Luke Walton, Kobe Bryant","Bynum, Turiaf, Farmar, Walton, Bryant",101115-101142-200770-2575-977,LAL,719.0,5,12.0,24.0,23.0,3.0,47.0,6.0,9.0,7.0,1.0,4.0,10.0,20.0,4.0,27.0,28.0,2.0,2.0,4.0,12.0,8.0,6.0,7.0,1.0,15.0,3.0,,5.0,6.0,3.0,9.0,1.0,1.0,1.0,2.0,5.0,1.0,7.0,6.0,2.0,1.0,,2.0,1.0,23.0,0.6,0.75,0.5,1.0,0.4791666666666667,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333334,0.3,,0.7142857142857143,0.23076923076923078,,0.5,,0.08333333333333333,94.13073713490961,0.5,15.5,15.08695652173913,15.291666666666666,14.956521739130435,0.375,0.6666666666666666,0.75,0.2916666666666667,0.16666666666666666,0.25,0.25,1.0,0.5416666666666666,0.4855583333333333,0.5095500000000001,0.07692307692307693,0.09090909090909091,0.14814814814814814,6.659999999999999,-1.0,13.0,15.0,2.0,2.0,3.0,5.0,3.0,,,,1.0,4.0,,1.0,,2.0,1.0,4.0,,1.0,5.0,11.0,,2.0,3.0,13.0,3.0,,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,3.0,1.0,,,,,1.0,,,,1.0,13.0,13.0,,1.0,0.25,,,0.25,0.45454545454545453,0.38461538461538464,0.43333333333333335,0.16666666666666666,0.05,0.1111111111111111,,,1.0,1.0,,1.0,1.0,0.6666666666666666,0.42857142857142855,0.42857142857142855,0.3333333333333333,,0.16666666666666666,0.25,0.25,1.0,0.6666666666666666,1.0,,,0.3333333333333333,,,0.38461538461538464,0.6,,0.15384615384615385,,0.25,0.4578538461538461,0.48148148148148145,25.975,0.5416666666666666,,,1.0,1.0,1.0,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2008,2007-08,True
