EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,FG2A,FG3A,NonHeaveArc3FGA,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,FG3APct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PlusMinus,AtRimFGM,AtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,FG2M,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,Steals,LostBallSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Offensive Fouls,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,SecondChanceAtRimFGA,FtPoints,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,HeaveAttempts,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,PenaltyTurnovers,FTA,ThreePtShootingFoulsDrawn,BlockedAtRim,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,LostBallTurnovers,DefCorner3ReboundPct,PenaltyArc3FGA,SecondChanceFG2M,SecondChancePoints,PenaltyFG3A,PtsPutbacks,OffThreePtRebounds,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,PenaltyArc3Frequency,SecondChancePointsPct,TwoPtShootingFoulsDrawn,BlockedLongMidRange,OffAtRimReboundPct,TwoPtShootingFoulsDrawnPct,Fg2aBlocked,BadPassOutOfBoundsTurnovers,FG2APctBlocked,AtRimPctBlocked,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3A,Corner3Assists,ShortMidRangeAssists,Travels,2pt And 1 Free Throw Trips,ShortMidRangePctBlocked,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,PtsUnassisted3s,SecondChanceFtPoints,SecondChanceArc3FGA,SecondChanceArc3Frequency,SecondChanceCorner3FGM,SecondChanceFG3M,OffensiveGoaltends,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,SelfOReb,FG3APctBlocked,Arc3PctBlocked,SelfORebPct,FTOffRebounds,OffFTReboundPct,SecondChanceArc3FGM,Technical Free Throw Trips,DefensiveGoaltends,3SecondViolations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffCorner3ReboundPct,Blocked3s,BlockedArc3,Defensive 3 Seconds Violations,BlockedCorner3,StepOutOfBoundsTurnovers,Clear Path Fouls,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101124-200752-200768-200784-2200,1610612763,"Hakim Warrick, Rudy Gay, Kyle Lowry, Bobby Jones, Pau Gasol","Warrick, Gay, Lowry, Jones, Gasol",101124-200752-200768-200784-2200,MEM,113.0,2,2.0,3.0,4.0,7.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,1.0,1.0,89.20353982300885,19.666666666666668,13.5,19.666666666666668,11.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5025499999999999,4.1,26.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2008,2007-08,True
101124-200752-200768-200784-2434,1610612763,"Hakim Warrick, Rudy Gay, Kyle Lowry, Bobby Jones, Juan Carlos Navarro","Warrick, Gay, Lowry, Jones, Carlos Navarro",101124-200752-200768-200784-2434,MEM,167.0,1,3.0,6.0,6.0,12.0,1.0,,4.0,,,1.0,,1.0,1.0,6.0,,,,,,,,,1.0,1.0,,1.0,103.47305389221557,11.666666666666666,16.166666666666668,11.666666666666666,16.166666666666668,0.25,,0.25,0.453825,13.4,,-2.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,8.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.75,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2008,2007-08,True
101124-200752-200768-200784-2545,1610612763,"Hakim Warrick, Rudy Gay, Kyle Lowry, Bobby Jones, Darko Milicic","Warrick, Gay, Lowry, Jones, Milicic",101124-200752-200768-200784-2545,MEM,288.0,2,5.0,9.0,10.0,19.0,,2.0,6.0,2.0,1.0,1.0,6.0,8.0,10.0,4.0,,2.0,,1.0,,1.0,0.25,0.8571428571428571,1.0,0.875,0.75,1.0,95.0,14.0,16.2,12.222222222222221,14.2,,0.25,0.5,0.46180714285714286,13.0,37.7,5.0,1.0,2.0,,1.0,4.0,2.0,7.0,2.0,2.0,2.0,1.0,1.0,,2.0,1.0,,2.0,3.0,1.0,2.0,7.0,0.5,0.5,0.3333333333333333,0.25,0.3888888888888889,0.25,0.5,0.5,,,,0.5,0.25,0.25,3.0,9.0,2.0,1.0,3.0,1.0,1.0,2.0,3.0,5.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,5.0,3.0,0.5,0.5,0.8333333333333334,0.3333333333333333,1.0,0.5,0.4,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,0.5983,0.40355,0.1111111111111111,0.3333333333333333,0.7142857142857143,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2008,2007-08,True
101124-200752-200768-200814-2031,1610612763,"Hakim Warrick, Rudy Gay, Kyle Lowry, Tarence Kinsey, Stromile Swift","Warrick, Gay, Lowry, Kinsey, Swift",101124-200752-200768-200814-2031,MEM,95.0,2,2.0,4.0,4.0,8.0,,,3.0,,,1.0,1.0,2.0,2.0,1.0,1.0,,,,,,,1.0,1.0,1.0,,,121.26315789473685,6.5,17.25,6.5,17.25,,,0.3333333333333333,0.5427666666666667,12.766666666666666,,2.0,1.0,1.0,,,2.0,1.0,2.0,,2.0,,1.0,1.0,1.0,2.0,2.0,,,1.0,,,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,,,0.6666666666666666,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2008,2007-08,True
101124-200752-200768-200814-2034,1610612763,"Hakim Warrick, Rudy Gay, Kyle Lowry, Tarence Kinsey, Mike Miller","Warrick, Gay, Lowry, Kinsey, Miller",101124-200752-200768-200814-2034,MEM,21.0,1,,2.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,,,,1.0,1.0,,1.0,1.0,,,,0.75,,,,,,274.2857142857143,9.0,1.5,8.0,1.5,0.25,0.75,0.75,0.3841333333333334,5.5,32.6,,,,1.0,,,1.0,2.0,2.0,,2.0,,,,,,,,,,,,,,1.0,0.25,0.25,,,,,1.0,1.0,,,,2.0,2.0,1.0,,,1.0,1.0,1.0,,2.0,1.0,,,,1.0,,,,,,,,,,2.0,2.0,1.0,0.25,0.25,,,,0.5,,,,,,,,0.3841333333333334,,,1.0,1.0,,,3.0,1.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2008,2007-08,True
101124-200752-200768-200814-2200,1610612763,"Hakim Warrick, Rudy Gay, Kyle Lowry, Tarence Kinsey, Pau Gasol","Warrick, Gay, Lowry, Kinsey, Gasol",101124-200752-200768-200814-2200,MEM,134.0,2,2.0,4.0,4.0,8.0,1.0,,4.0,,,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,1.0,,1.0,,0.5,1.0,0.6666666666666666,0.5,1.0,85.97014925373134,16.5,17.0,16.0,17.0,0.25,,0.25,0.4351,9.1,,-1.0,,1.0,1.0,,2.0,1.0,3.0,4.0,,2.0,,,,,,,,,,,1.0,,,0.25,0.25,0.3,0.25,,,,1.0,1.0,0.5,,,1.0,1.0,1.0,,1.0,1.0,,1.0,,,,,1.0,,1.0,,,,,,2.0,,,1.0,,1.0,,,,,,0.3333333333333333,0.3333333333333333,,,,1.0,,,0.4366,0.3581,0.2,,,0.25,,,,1.0,2.0,,2.0,,1.0,1.0,1.0,1.0,,,,0.6666666666666666,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2008,2007-08,True
101124-200752-200768-200814-2418,1610612763,"Hakim Warrick, Rudy Gay, Kyle Lowry, Tarence Kinsey, Casey Jacobsen","Warrick, Gay, Lowry, Kinsey, Jacobsen",101124-200752-200768-200814-2418,MEM,353.0,1,6.0,9.0,9.0,18.0,,2.0,6.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,,1.0,,,,,0.25,0.6666666666666666,1.0,0.75,1.0,1.0,73.42776203966005,21.333333333333332,17.88888888888889,21.333333333333332,16.555555555555557,,0.25,0.375,0.41553125,16.016666666666666,26.7,-7.0,,1.0,,2.0,5.0,2.0,4.0,11.0,2.0,2.0,1.0,1.0,,2.0,,,1.0,1.0,,,4.0,0.5,0.5,0.3333333333333333,0.25,0.25,0.125,,,,,,0.625,0.4,0.4,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.16666666666666666,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2008,2007-08,True
101124-200752-200768-200814-2545,1610612763,"Hakim Warrick, Rudy Gay, Kyle Lowry, Tarence Kinsey, Darko Milicic","Warrick, Gay, Lowry, Kinsey, Milicic",101124-200752-200768-200814-2545,MEM,419.0,2,7.0,15.0,14.0,29.0,2.0,2.0,9.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,,4.0,,2.0,,2.0,0.18181818181818182,0.2,1.0,0.3333333333333333,0.3333333333333333,1.0,99.66587112171838,15.6,13.214285714285714,15.533333333333333,12.142857142857142,0.18181818181818182,0.18181818181818182,0.6363636363636364,0.5084500000000001,6.277777777777778,33.4,-3.0,4.0,5.0,,,2.0,4.0,16.0,19.0,6.0,2.0,3.0,4.0,3.0,9.0,2.0,1.0,2.0,4.0,1.0,2.0,16.0,0.75,0.75,0.4444444444444444,0.5,0.5714285714285714,0.45454545454545453,0.8,0.8,0.75,,,0.18181818181818182,,,8.0,5.0,,1.0,5.0,1.0,3.0,4.0,4.0,13.0,1.0,,2.0,,2.0,1.0,2.0,,,1.0,6.0,,1.0,,13.0,8.0,0.75,0.75,0.8125,0.5,,0.4,0.4,,,,,,1.0,0.5529,0.57036,0.15384615384615385,,0.8125,0.5333333333333333,2.0,,2.0,,,2.0,,,,,,,,,0.3333333333333333,,2.0,1.0,1.0,0.18181818181818182,,,,,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2008,2007-08,True
101124-200752-200768-201144-201159,1610612763,"Hakim Warrick, Rudy Gay, Kyle Lowry, Mike Conley, Javaris Crittenton","Warrick, Gay, Lowry, Conley, Crittenton",101124-200752-200768-201144-201159,MEM,49.0,1,1.0,2.0,2.0,4.0,,,1.0,,,,,1.0,1.0,2.0,,,,,,,,,,,,,117.55102040816327,12.5,12.0,12.5,12.0,,,,0.405,18.8,,-1.0,,,,1.0,1.0,1.0,2.0,3.0,2.0,,1.0,1.0,,2.0,,,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,2.0,1.0,,,,,1.0,1.0,,2.0,,1.0,,1.0,,,,,,1.0,,,,,2.0,2.0,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,0.405,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2008,2007-08,True
101124-200752-200768-201144-2034,1610612763,"Hakim Warrick, Rudy Gay, Kyle Lowry, Mike Conley, Mike Miller","Warrick, Gay, Lowry, Conley, Miller",101124-200752-200768-201144-2034,MEM,1549.0,3,26.0,56.0,54.0,110.0,11.0,10.0,37.0,13.0,10.0,6.0,18.0,26.0,37.0,8.0,,9.0,1.0,5.0,3.0,5.0,0.26,0.9,0.8571428571428571,0.8888888888888888,1.0,1.0,102.25952227243383,13.232142857142858,14.962962962962964,12.5,14.925925925925926,0.22,0.2,0.62,0.504128,7.472972972972973,25.623076923076926,17.0,10.0,18.0,4.0,3.0,8.0,17.0,57.0,40.0,14.0,20.0,7.0,12.0,4.0,29.0,5.0,2.0,3.0,10.0,5.0,1.0,51.0,0.4117647058823529,0.4375,0.4594594594594595,0.49,0.5089285714285714,0.36,0.5555555555555556,0.625,0.4,0.36363636363636365,0.4,0.16,0.375,0.375,9.0,7.0,11.0,5.0,8.0,6.0,3.0,5.0,3.0,15.0,,,9.0,2.0,11.0,3.0,7.0,6.0,2.0,1.0,13.0,,2.0,4.0,15.0,9.0,0.6,0.8571428571428571,0.8333333333333334,0.7,1.0,0.45,0.39285714285714285,0.4,0.875,0.8888888888888888,0.8,,0.7142857142857143,0.5634083333333334,0.48628571428571427,0.125,,0.2631578947368421,0.16071428571428573,1.0,,1.0,3.0,6.0,2.0,2.0,2.0,1.0,0.5,0.42857142857142855,0.375,0.25,0.2857142857142857,0.14285714285714285,0.10526315789473684,7.0,,0.5,0.16279069767441862,3.0,1.0,0.08108108108108109,0.1111111111111111,2.0,3.0,3.0,1.0,5.0,2.0,15.0,3.0,5.0,3.0,,,1.0,0.38461538461538464,1.0,0.38461538461538464,0.42857142857142855,0.3,0.3,1.0,0.42857142857142855,0.6666666666666666,1.0,0.3,3.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.09090909090909091,0.75,0.06,0.6666666666666666,0.6666666666666666,1.0,0.6,0.3333333333333333,0.14285714285714285,0.14285714285714285,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2008,2007-08,True
