EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,BadPassTurnovers,DeadBallTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls Drawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG3M,SecondChanceFG3A,PenaltyFG3M,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,FTOffRebounds,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls,BlockedShortMidRange,3SecondViolations,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,FTDefRebounds,LostBallSteals,DefFTReboundPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LongMidRangePctBlocked,OffLongMidRangeReboundPct,PtsUnassisted3s,Corner3FGA,SecondChanceFtPoints,BadPassOutOfBoundsTurnovers,DefensiveGoaltends,OffCorner3ReboundPct,Corner3Frequency,PenaltyCorner3FGA,SelfOReb,SecondChanceTurnovers,Technical Free Throw Trips,Defensive 3 Seconds Violations,DefCorner3ReboundPct,SelfORebPct,PenaltyCorner3Frequency,SecondChanceAtRimFGM,Corner3FGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsPutbacks,Corner3Assists,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,BlockedLongMidRange,ShortMidRangePctBlocked,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,StepOutOfBoundsTurnovers,HeaveAttempts,PenaltyCorner3FGM,ThreePtShootingFoulsDrawn,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,team_id,year,season,team_vs
101131-101161-1497-1888-201155,1610612765,"Jason Maxiell, Amir Johnson, Chauncey Billups, Richard Hamilton, Rodney Stuckey","Maxiell, Johnson, Billups, Hamilton, Stuckey",101131-101161-1497-1888-201155,DET,176.0,1,3.0,7.0,7.0,3.0,7.0,14.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,5.0,9.0,9.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,9.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.75,0.6666666666666666,0.3333333333333333,1.0,0.2,0.2,0.25,114.54545454545455,1.0,15.0,10.142857142857142,15.0,8.0,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.41796666666666665,0.46865,0.5,0.6,0.4444444444444444,17.5,25.9,0.42857142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-1888-201155-201167,1610612765,"Jason Maxiell, Amir Johnson, Richard Hamilton, Rodney Stuckey, Arron Afflalo","Maxiell, Johnson, Hamilton, Stuckey, Afflalo",101131-101161-1888-201155-201167,DET,431.0,1,7.0,12.0,12.0,2.0,2.0,24.0,2.0,4.0,1.0,1.0,6.0,10.0,1.0,,12.0,17.0,,,1.0,,,12.0,1.0,6.0,6.0,2.0,12.0,2.0,4.0,6.0,1.0,,2.0,1.0,2.0,2.0,,,,,,,10.0,,2.0,,1.0,1.0,0.6,,0.5454545454545454,,0.5454545454545454,,0.09090909090909091,0.5,0.5,0.6666666666666666,,80.18561484918793,,20.083333333333332,15.833333333333334,19.5,15.0,0.36363636363636365,0.5,0.5,1.0,0.09090909090909091,1.0,0.45454545454545453,0.4301363636363636,0.3606,,,,9.75,26.6,0.16666666666666666,-5.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.4,1.0,1.0,0.5,1.0,1.0,0.36363636363636365,0.75,0.75,1.0,0.18181818181818182,0.5,0.5,1.0,0.3692,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-201155-201167-2553,1610612765,"Jason Maxiell, Amir Johnson, Rodney Stuckey, Arron Afflalo, Jarvis Hayes","Maxiell, Johnson, Stuckey, Afflalo, Hayes",101131-101161-201155-201167-2553,DET,910.0,4,15.0,30.0,32.0,19.0,27.0,62.0,6.0,9.0,5.0,3.0,9.0,18.0,5.0,7.0,31.0,27.0,7.0,12.0,3.0,6.0,26.0,12.0,5.0,6.0,8.0,4.0,18.0,11.0,11.0,16.0,3.0,2.0,6.0,7.0,10.0,7.0,10.0,5.0,3.0,2.0,3.0,3.0,24.0,26.0,19.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5833333333333334,0.5217391304347826,0.6666666666666666,0.5535714285714286,0.6842105263157895,0.21739130434782608,0.5,0.7857142857142857,0.7857142857142857,0.6,98.10989010989012,1.0,15.433333333333334,13.96875,14.3,12.90625,0.391304347826087,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.21739130434782608,0.2,0.391304347826087,0.4481,0.45124333333333333,0.17857142857142858,0.21739130434782608,0.8387096774193549,12.872222222222222,25.839999999999996,0.6333333333333333,4.0,4.0,2.0,4.0,1.0,5.0,2.0,4.0,7.0,2.0,,,3.0,,5.0,1.0,3.0,,2.0,1.0,0.5,0.7,0.7,0.3333333333333333,,,0.25,0.5,,1.0,0.8571428571428571,,0.17391304347826086,0.5,1.0,1.0,0.21739130434782608,0.2,0.2,,0.48346999999999996,0.22580645161290322,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,6.0,6.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,1.0,0.6666666666666666,0.4,0.1111111111111111,0.5,0.6666666666666666,0.5,0.4,0.4,1.0,0.2,0.2,1.0,1.0,0.13333333333333333,1.0,0.6666666666666666,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-1497-1888-201155-686,1610612765,"Jason Maxiell, Chauncey Billups, Richard Hamilton, Rodney Stuckey, Antonio McDyess","Maxiell, Billups, Hamilton, Stuckey, McDyess",101131-1497-1888-201155-686,DET,438.0,3,7.0,11.0,12.0,4.0,5.0,23.0,2.0,3.0,2.0,1.0,6.0,8.0,2.0,,12.0,14.0,2.0,2.0,1.0,,4.0,4.0,2.0,2.0,2.0,1.0,4.0,1.0,4.0,5.0,1.0,1.0,2.0,2.0,5.0,,,,,,,,10.0,4.0,4.0,2.0,0.3333333333333333,0.3333333333333333,0.75,1.0,0.6,0.6666666666666666,0.6,0.6666666666666666,0.2,0.5,0.3333333333333333,0.6,,75.61643835616438,,19.454545454545453,18.666666666666668,18.363636363636363,17.583333333333332,0.3,0.6666666666666666,0.6666666666666666,0.5,0.2,0.3333333333333333,0.5,0.45174000000000003,0.4081666666666666,,,0.3333333333333333,9.525,25.9,0.36363636363636365,-2.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,,1.0,,1.0,2.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,0.5,1.0,,0.25,1.0,,,1.0,1.0,0.3,0.6666666666666666,0.6666666666666666,,0.2,1.0,1.0,0.5,0.3729,0.16666666666666666,,,,,,,,,,,,8.0,,,,,,,2.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-1497-1888-201155-689,1610612765,"Jason Maxiell, Chauncey Billups, Richard Hamilton, Rodney Stuckey, Theo Ratliff","Maxiell, Billups, Hamilton, Stuckey, Ratliff",101131-1497-1888-201155-689,DET,109.0,1,2.0,5.0,4.0,5.0,4.0,9.0,1.0,2.0,,,1.0,2.0,,4.0,6.0,5.0,1.0,2.0,,4.0,6.0,2.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,4.0,,,,,,4.0,6.0,5.0,,1.0,1.0,0.5,0.5,0.5,0.5,0.75,0.75,,0.5,1.0,1.0,,118.89908256880734,,9.4,15.5,9.0,15.5,1.0,0.5,1.0,1.0,,,,0.3533,0.3533,,,1.0,17.0,,1.0,1.0,1.0,,,,,1.0,1.0,2.0,,,,1.0,,1.0,,1.0,,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,,1.0,,,,,,,,,,0.3277,0.3333333333333333,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,,,,,,,,,2.0,2.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-1497-1888-201155-739,1610612765,"Jason Maxiell, Chauncey Billups, Richard Hamilton, Rodney Stuckey, Rasheed Wallace","Maxiell, Billups, Hamilton, Stuckey, Wallace",101131-1497-1888-201155-739,DET,34.0,1,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,42.35294117647059,,13.0,,13.0,,,,,,,,,0.4051,,,,,7.6,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-1497-1888-201167-686,1610612765,"Jason Maxiell, Chauncey Billups, Richard Hamilton, Arron Afflalo, Antonio McDyess","Maxiell, Billups, Hamilton, Afflalo, McDyess",101131-1497-1888-201167-686,DET,111.0,1,2.0,3.0,3.0,,2.0,6.0,2.0,2.0,,,2.0,2.0,,,4.0,3.0,,,,,,4.0,,2.0,2.0,2.0,4.0,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,4.0,,,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,77.83783783783784,,21.333333333333332,15.666666666666666,21.333333333333332,15.666666666666666,1.0,1.0,1.0,1.0,,,,0.4015,,,,,16.75,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-1497-1888-201167-739,1610612765,"Jason Maxiell, Chauncey Billups, Richard Hamilton, Arron Afflalo, Rasheed Wallace","Maxiell, Billups, Hamilton, Afflalo, Wallace",101131-1497-1888-201167-739,DET,162.0,1,3.0,5.0,4.0,,4.0,9.0,1.0,2.0,2.0,,3.0,4.0,2.0,,9.0,7.0,,,,,,6.0,2.0,3.0,3.0,1.0,6.0,,,1.0,,,,,2.0,,,,,,,,9.0,,,2.0,1.0,1.0,0.75,,0.75,,0.75,,0.3333333333333333,,,,,80.0,,18.0,18.0,14.4,18.0,0.3333333333333333,0.5,0.5,1.0,0.3333333333333333,,0.5,0.45321666666666666,,,,,11.3,25.85,,2.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,1.0,,1.0,,1.0,,,,,,,,,1.0,,,0.5,,,,,,0.16666666666666666,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.54975,,,,,1.0,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,0.5,,,0.5,,,,,0.5,0.5,,,1.0,,,,,,0.5,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-1497-1888-2419-686,1610612765,"Jason Maxiell, Chauncey Billups, Richard Hamilton, Tayshaun Prince, Antonio McDyess","Maxiell, Billups, Hamilton, Prince, McDyess",101131-1497-1888-2419-686,DET,1014.0,6,17.0,31.0,29.0,3.0,17.0,60.0,8.0,14.0,3.0,,11.0,19.0,4.0,7.0,35.0,26.0,,,,3.0,3.0,12.0,3.0,6.0,8.0,4.0,18.0,7.0,10.0,14.0,4.0,2.0,7.0,5.0,12.0,8.0,10.0,5.0,1.0,,1.0,1.0,26.0,3.0,3.0,4.0,0.5454545454545454,0.5454545454545454,0.5789473684210527,,0.6086956521739131,,0.625,0.75,0.17391304347826086,0.5714285714285714,0.6363636363636364,0.5714285714285714,0.25,85.20710059171599,1.0,16.451612903225808,17.379310344827587,15.419354838709678,16.17241379310345,0.6086956521739131,0.5714285714285714,0.5714285714285714,0.5,0.13043478260869565,,0.2608695652173913,0.441004347826087,,0.17857142857142858,0.20833333333333334,0.08571428571428572,15.468421052631578,24.15,0.0967741935483871,9.0,4.0,1.0,2.0,2.0,3.0,1.0,1.0,9.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,3.0,,1.0,1.0,1.0,1.25,1.125,0.375,0.3333333333333333,0.5,0.4,,,0.75,1.0,0.3333333333333333,0.08695652173913043,0.5,1.0,1.0,0.13043478260869565,0.6666666666666666,0.6666666666666666,0.5,0.532875,0.2571428571428571,,,,2.0,1.0,1.0,,2.0,1.0,1.0,,10.0,6.0,2.0,1.0,2.0,2.0,,6.0,4.0,,,1.0,1.0,,1.0,0.5,1.0,,0.5,0.05263157894736842,0.5,,,0.6666666666666666,0.6666666666666666,1.0,,0.5,1.0,1.0,,,,0.6666666666666666,2.0,2.0,0.6666666666666666,,,,0.5,,1.0,4.0,1.0,1.0,1.0,0.043478260869565216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-1497-1888-2419-689,1610612765,"Jason Maxiell, Chauncey Billups, Richard Hamilton, Tayshaun Prince, Theo Ratliff","Maxiell, Billups, Hamilton, Prince, Ratliff",101131-1497-1888-2419-689,DET,467.0,4,8.0,16.0,16.0,4.0,11.0,32.0,1.0,3.0,1.0,1.0,3.0,9.0,2.0,5.0,14.0,11.0,1.0,1.0,2.0,,5.0,4.0,1.0,2.0,2.0,1.0,4.0,3.0,8.0,9.0,2.0,,4.0,1.0,5.0,4.0,5.0,2.0,,,,,14.0,5.0,4.0,,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.4090909090909091,0.8333333333333334,0.5,0.8333333333333334,0.18181818181818182,0.5,0.6,0.8,0.5,98.67237687366168,,14.125,15.0625,13.9375,15.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.09090909090909091,0.3333333333333333,0.45454545454545453,0.4205318181818182,0.34654999999999997,0.15384615384615385,0.18181818181818182,0.35714285714285715,9.933333333333334,26.6,0.25,3.0,1.0,1.0,3.0,1.0,3.0,,,,1.0,,,1.0,5.0,1.0,2.0,2.0,,,,,,,0.2,1.0,,0.16666666666666666,,,0.5,1.0,1.0,0.2727272727272727,0.3333333333333333,0.5,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,,,,,,,1.0,,,1.0,1.0,,,1.0,2.0,,1.0,1.0,,,,1.0,,,,1.0,,,,0.5,,0.5,0.5,0.1111111111111111,0.3333333333333333,,,1.0,1.0,,,,,,,,1.0,1.0,,1.0,,,,,0.5,3.0,1.0,,,,,0.09090909090909091,1.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
