EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,LongMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,FG2A,FG3A,OpponentPoints,PenaltyFG2A,PenaltyFG3A,DefThreePtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,PenaltyOffPossExcludingTakeFouls,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,Arc3FGA,PenaltyArc3FGA,NonHeaveArc3FGA,Arc3Frequency,PenaltyArc3Frequency,FtPoints,Points,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefensiveGoaltends,FirstChancePoints,TsPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyFtPoints,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyTsPct,PenaltyPointsPct,Fouls,NonShootingPenaltyNonTakeFouls,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,Corner3FGM,Arc3FGM,FG2M,FG3M,SecondChanceFG2A,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,OffRebounds,LostBallSteals,DeadBallTurnovers,Travels,Turnovers,ShootingFouls,Offensive Fouls,Technical Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PtsUnassisted2s,OffThreePtRebounds,FTDefRebounds,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChancePointsPct,ShortMidRangeAssists,LongMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,LiveBallTurnoverPct,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,DefCorner3ReboundPct,SecondChanceAtRimFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,SecondChanceFG2M,PtsPutbacks,Fg2aBlocked,FTOffRebounds,SelfOReb,LostBallTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,3SecondViolations,SecondChanceFg2Pct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffFTReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,PtsUnassisted3s,BlockedLongMidRange,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,HeaveAttempts,LongMidRangePctBlocked,team_id,year,season,team_vs
101177-109-1477-1521-1938,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Jacque Vaughn, Manu Ginobili","Oberto, Horry, Bowen, Vaughn, Ginobili",101177-109-1477-1521-1938,SAS,76.0,1,1.0,-2.0,3.0,3.0,3.0,6.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,0.6666666666666666,1.0,1.0,1.0,113.6842105263158,18.333333333333332,7.0,18.333333333333332,7.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5288666666666667,0.5288666666666667,16.2,23.55,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,False
101177-109-1477-1938-2137,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Manu Ginobili, Ime Udoka","Oberto, Horry, Bowen, Ginobili, Udoka",101177-109-1477-1938-2137,SAS,27.0,1,,-2.0,1.0,1.0,1.0,2.0,,,,,1.0,2.0,,1.0,,,,,,1.0,1.0,,,,106.66666666666666,7.0,20.0,7.0,20.0,,,,1.0,0.36885,0.36885,,26.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,False
101177-109-1477-1938-2225,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Manu Ginobili, Tony Parker","Oberto, Horry, Bowen, Ginobili, Parker",101177-109-1477-1938-2225,SAS,24.0,1,,,1.0,1.0,,2.0,,,,,,2.0,,,,,,,,,,,,,120.0,14.0,10.0,14.0,10.0,,,,,,,,,,1.0,,,,,,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,False
101177-109-1477-2137-2225,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Ime Udoka, Tony Parker","Oberto, Horry, Bowen, Udoka, Parker",101177-109-1477-2137-2225,SAS,31.0,1,1.0,-1.0,1.0,1.0,1.0,2.0,,,,,,2.0,,,,,,,,1.0,,,,,92.9032258064516,18.0,13.0,18.0,13.0,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,1.0,2.0,1.0,,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,False
101177-109-1521-1938-699,1610612759,"Fabricio Oberto, Robert Horry, Jacque Vaughn, Manu Ginobili, Brent Barry","Oberto, Horry, Vaughn, Ginobili, Barry",101177-109-1521-1938-699,SAS,1.0,1,,-1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,1440.0,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,False
101177-109-1521-2137-699,1610612759,"Fabricio Oberto, Robert Horry, Jacque Vaughn, Ime Udoka, Brent Barry","Oberto, Horry, Vaughn, Udoka, Barry",101177-109-1521-2137-699,SAS,379.0,2,6.0,3.0,10.0,11.0,,21.0,1.0,1.0,,5.0,4.0,7.0,,,1.0,4.0,5.0,3.0,1.0,,0.4444444444444444,1.0,0.8,1.0,79.78891820580475,21.6,14.818181818181818,19.7,14.818181818181818,0.1111111111111111,0.1111111111111111,,0.8888888888888888,0.4870333333333334,,3.72,24.975,,,3.0,,3.0,0.3333333333333333,,,10.0,1.0,1.0,,,10.0,0.5555555555555556,,,,,,,,2.0,,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,1.0,4.0,6.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,10.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.4,0.5555555555555556,0.75,0.3333333333333333,0.2,0.5,0.5,1.0,1.0,0.4444444444444444,0.5,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,False
101177-109-1521-699-757,1610612759,"Fabricio Oberto, Robert Horry, Jacque Vaughn, Brent Barry, Damon Stoudamire","Oberto, Horry, Vaughn, Barry, Stoudamire",101177-109-1521-699-757,SAS,432.0,1,7.0,9.0,14.0,13.0,13.0,27.0,3.0,,,6.0,3.0,4.0,6.0,3.0,1.0,8.0,9.0,,,13.0,0.3333333333333333,1.0,0.7777777777777778,1.0,90.0,12.785714285714286,19.46153846153846,12.142857142857142,17.923076923076923,0.3333333333333333,,,0.5555555555555556,0.4938166666666667,0.4938166666666667,11.9,25.166666666666668,0.9285714285714286,8.0,3.0,3.0,3.0,0.3333333333333333,0.3333333333333333,4.0,13.0,6.0,6.0,1.0,,9.0,0.5,0.1,0.14285714285714285,3.0,12.0,12.0,0.5,0.9230769230769231,4.0,1.0,2.0,1.0,2.0,,,1.0,3.0,1.0,,2.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,,6.0,1.0,,3.0,,3.0,,1.0,2.0,,,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.75,,0.2,,0.5,1.0,,0.2222222222222222,0.5,0.5,1.0,,,,0.3333333333333333,0.3333333333333333,1.0,,0.3333333333333333,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,0.3333333333333333,0.5,1.5,0.5,1.0,1.0,0.5,0.5,0.1111111111111111,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.2222222222222222,0.5,0.3333333333333333,0.3076923076923077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,False
101177-109-1938-2137-2225,1610612759,"Fabricio Oberto, Robert Horry, Manu Ginobili, Ime Udoka, Tony Parker","Oberto, Horry, Ginobili, Udoka, Parker",101177-109-1938-2137-2225,SAS,45.0,2,1.0,-2.0,,2.0,,2.0,,,,,,2.0,,,,,,,,,,,,,64.0,,7.5,,7.5,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,False
101177-109-1938-2225-699,1610612759,"Fabricio Oberto, Robert Horry, Manu Ginobili, Tony Parker, Brent Barry","Oberto, Horry, Ginobili, Parker, Barry",101177-109-1938-2225-699,SAS,43.0,1,1.0,-1.0,2.0,2.0,2.0,4.0,,,,1.0,,3.0,1.0,,,,,,,2.0,,,,,133.95348837209303,18.0,3.5,18.0,3.5,,,,,0.352,0.352,10.7,,1.0,2.0,,,,,,2.0,2.0,1.0,2.0,1.0,,2.0,0.5,0.5,0.5,2.0,2.0,2.0,0.5,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,False
101177-109-1938-2225-714,1610612759,"Fabricio Oberto, Robert Horry, Manu Ginobili, Tony Parker, Michael Finley","Oberto, Horry, Ginobili, Parker, Finley",101177-109-1938-2225-714,SAS,401.0,2,7.0,6.0,13.0,13.0,1.0,26.0,4.0,1.0,,6.0,4.0,12.0,,,,6.0,7.0,2.0,2.0,1.0,0.4,,0.8333333333333334,,93.36658354114712,16.076923076923077,14.76923076923077,15.846153846153847,14.76923076923077,0.4,0.1,,0.5,0.477395,,14.066666666666668,25.025,0.07692307692307693,4.0,3.0,,3.0,0.3,,3.0,18.0,5.0,4.0,2.0,,18.0,0.75,0.16666666666666666,0.25,2.0,2.0,2.0,1.0,0.1111111111111111,3.0,,1.0,1.0,1.0,,1.0,2.0,3.0,3.0,,4.0,9.0,2.0,2.0,3.0,5.0,2.0,1.0,,13.0,,5.0,1.0,,1.0,,2.0,2.0,1.0,,,,,,0.6666666666666666,0.6666666666666666,1.0,0.75,0.75,0.5,0.75,0.8333333333333334,,0.25,,0.5,1.0,,0.1,1.0,1.0,,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,,0.6666666666666666,,,,1.0,1.0,1.0,,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,0.1,1.0,1.0,0.25,0.25,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,False
