EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PenaltyPointsPct,PenaltyOffPossPct,Minutes,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyFG2M,PenaltyFG2A,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,PenaltyFg2Pct,PenaltyEfgPct,LiveBallTurnoverPct,OffLongMidRangeReboundPct,PenaltyShotQualityAvg,PenaltyArc3FGA,PenaltyFG3A,DefThreePtRebounds,LostBallOutOfBoundsTurnovers,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,PenaltyArc3Frequency,Fg2aBlocked,LostBallTurnovers,FG2APctBlocked,LongMidRangePctBlocked,NonShootingPenaltyNonTakeFouls,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,SecondChanceTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,OffShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,AtRimPctBlocked,ShortMidRangePctBlocked,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,LostBallSteals,StepOutOfBoundsTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,BlockedShortMidRange,DefensiveGoaltends,Defensive 3 Seconds Violations,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,BlockedLongMidRange,FTOffRebounds,Technical Free Throw Trips,OffFTReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,PtsUnassisted3s,SecondChanceCorner3FGM,SecondChanceFG3M,HeaveAttempts,SecondChanceFg3Pct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,3SecondViolations,team_id,year,season,team_vs
101107-101136-200780-2585-2735,1610612737,"Marvin Williams, Salim Stoudamire, Solomon Jones, Zaza Pachulia, Josh Childress","Williams, Stoudamire, Jones, Pachulia, Childress",101107-101136-200780-2585-2735,ATL,30.0,1,2.0,1.0,1.0,1.0,1.0,2,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,96.0,12.0,18.0,12.0,18.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,False
101107-101136-201143-2207-2735,1610612737,"Marvin Williams, Salim Stoudamire, Al Horford, Joe Johnson, Josh Childress","Williams, Stoudamire, Horford, Johnson, Childress",101107-101136-201143-2207-2735,ATL,346.0,1,-3.0,11.0,11.0,,,22,,8.0,,,5.0,5.0,6.0,,,,6.0,,,,0.36363636363636365,,0.7142857142857143,0.7142857142857143,1.0,91.5606936416185,14.181818181818182,17.272727272727273,14.0,17.181818181818183,,,6.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,9.0,2.0,11.0,1.0,1.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,0.5,0.6666666666666666,0.4444444444444444,1.0,0.36363636363636365,1.0,1.0,0.18181818181818182,0.2,0.14285714285714285,0.5,0.8,1.0,0.36363636363636365,0.5,0.5,0.5,0.18181818181818182,0.5,0.5,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.18181818181818182,1.0,1.0,0.5454545454545454,0.5014,0.5744,0.25,8.444444444444445,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,False
101107-101136-201143-2585-2735,1610612737,"Marvin Williams, Salim Stoudamire, Al Horford, Zaza Pachulia, Josh Childress","Williams, Stoudamire, Horford, Pachulia, Childress",101107-101136-201143-2585-2735,ATL,103.0,1,-1.0,4.0,4.0,4.0,2.0,8,,4.0,,4.0,,,1.0,,,,2.0,4.0,4.0,,0.6666666666666666,0.6666666666666666,,,,111.84466019417476,12.0,13.75,11.25,13.75,1.0,1.0,2.0,2.0,,,,,1.0,1.0,1.0,2.0,,2.0,3.0,,5.0,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,1.0,2.0,1.0,1.0,,,,1.0,2.0,2.0,,,,,,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,,1.0,1.0,,,,,,,,0.3333333333333333,1.0,1.0,0.6666666666666666,0.5,0.5,1.0,,,,,0.39633333333333337,0.4356,0.5,13.733333333333334,,2.0,3.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.39633333333333337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,False
101107-1710-200780-201143-2207,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Al Horford, Joe Johnson","Williams, Bibby, Jones, Horford, Johnson",101107-1710-200780-201143-2207,ATL,154.0,1,-2.0,5.0,4.0,5.0,3.0,9,,,,,1.0,3.0,3.0,1.0,,,,,5.0,,,,0.5,0.75,,84.15584415584415,14.0,21.0,14.0,16.25,,1.0,3.0,,,,,,,,,3.0,1.0,,3.0,1.0,2.0,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,0.25,,,,,,,,,,,,,0.75,,,,0.25,,,0.25,0.3984875,,,21.033333333333335,24.4,,3.0,,,1.0,,,,,0.3984875,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,False
101107-1710-200780-201151-2585,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Acie Law, Zaza Pachulia","Williams, Bibby, Jones, Law, Pachulia",101107-1710-200780-201151-2585,ATL,64.0,1,-4.0,2.0,3.0,2.0,3.0,5,,,,,,,,,,,,,2.0,,,,,,,112.5,11.0,14.0,11.0,14.0,,1.0,1.0,,,,,,,,,1.0,,,1.0,,4.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.3766,,,18.4,,,1.0,1.0,,1.0,,,1.0,,0.3766,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,False
101107-1710-200780-2207-2585,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Joe Johnson, Zaza Pachulia","Williams, Bibby, Jones, Johnson, Pachulia",101107-1710-200780-2207-2585,ATL,15.0,1,-2.0,,1.0,,1.0,1,,,,,,,,,,,,,,,,,,,,96.0,,15.0,,15.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,False
101107-1710-200780-2585-2735,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Zaza Pachulia, Josh Childress","Williams, Bibby, Jones, Pachulia, Childress",101107-1710-200780-2585-2735,ATL,57.0,1,-3.0,2.0,2.0,2.0,2.0,4,2.0,2.0,2.0,2.0,,,,1.0,2.0,1.0,2.0,2.0,2.0,1.0,0.5,0.5,,,,101.05263157894737,8.5,20.0,8.5,17.0,1.0,1.0,1.0,,,,,,,,,1.0,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,0.2341,,,16.0,,,1.0,,,,,,,,0.2341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,False
101107-1710-200780-2735-2746,1610612737,"Marvin Williams, Mike Bibby, Solomon Jones, Josh Childress, Josh Smith","Williams, Bibby, Jones, Childress, Smith",101107-1710-200780-2735-2746,ATL,139.0,1,-4.0,6.0,6.0,6.0,6.0,12,1.0,6.0,1.0,6.0,,1.0,2.0,1.0,2.0,1.0,6.0,6.0,6.0,1.0,0.6,0.6,,1.0,,124.31654676258992,13.333333333333334,9.833333333333334,12.0,9.833333333333334,1.0,1.0,2.0,1.0,1.0,1.0,,,,1.0,,,2.0,1.0,2.0,2.0,10.0,,,,2.0,,,2.0,1.0,2.0,1.0,,5.0,1.0,1.0,,,,2.0,1.0,2.0,,,,,,1.0,1.0,0.5,,0.625,,,0.5,1.0,0.5,,,,0.25,1.0,1.0,1.0,0.25,,,,,,,0.5,,,0.75,0.43095,,,3.3,27.05,1.0,2.0,2.0,2.0,2.0,0.5,0.625,1.0,,0.43095,2.0,2.0,1.0,,1.0,,1.0,,0.5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.25,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,False
101107-1710-201143-201151-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Acie Law, Josh Smith","Williams, Bibby, Horford, Law, Smith",101107-1710-201143-201151-2746,ATL,11.0,1,-1.0,1.0,,1.0,,1,,,,,,,,,,,,,1.0,,,,,,,130.9090909090909,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,False
101107-1710-201143-2207-2585,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Joe Johnson, Zaza Pachulia","Williams, Bibby, Horford, Johnson, Pachulia",101107-1710-201143-2207-2585,ATL,373.0,2,-1.0,13.0,12.0,9.0,7.0,25,5.0,15.0,3.0,13.0,2.0,4.0,4.0,4.0,8.0,2.0,15.0,13.0,9.0,2.0,0.6818181818181818,0.8125,0.6666666666666666,0.8,,96.51474530831099,12.615384615384615,17.416666666666668,12.307692307692308,17.333333333333332,0.8666666666666667,0.6923076923076923,6.0,1.0,2.0,2.0,,,,,3.0,4.0,1.0,5.0,6.0,1.0,16.0,,,,6.0,4.0,,1.0,3.0,3.0,2.0,1.0,6.0,,,,,1.0,2.0,2.0,5.0,1.0,,,,,0.6,0.6,0.8333333333333334,,0.7142857142857143,,,0.14285714285714285,,,,1.0,,0.2857142857142857,1.0,1.0,1.0,,,,0.5714285714285714,0.75,0.75,0.3333333333333333,0.14285714285714285,,,0.42857142857142855,0.5052,,,12.366666666666667,27.6,5.0,5.0,1.0,1.0,1.0,1.0,1.0,0.5,,0.53386,,,2.0,,1.0,0.5,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,,1.0,,,,,,,,,0.4,1.0,,,2.0,0.2222222222222222,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2008,2007-08,False
