EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,SecondChanceFG2M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Travels,PenaltyTurnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,LostBallOutOfBoundsTurnovers,3SecondViolations,PenaltyFg3Pct,ShortMidRangePctBlocked,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3FGM,SecondChanceTurnovers,Offensive Fouls Drawn,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,Offensive Fouls,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,PtsUnassisted3s,BlockedLongMidRange,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Loose Ball Fouls Drawn,HeaveAttempts,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,DefensiveGoaltends,Technical Free Throw Trips,StepOutOfBoundsTurnovers,LongMidRangePctBlocked,BlockedCorner3,OffensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,Clear Path Fouls,team_id,year,season,team_vs
1425-1501-1510-1739-1749,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Ruben Patterson, Cuttino Mobley","Williams, Thomas, Knight, Patterson, Mobley",1425-1501-1510-1739-1749,LAC,137.0,1,2.0,-2.0,5.0,6.0,1.0,11.0,1.0,2.0,2.0,1.0,4.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,0.25,0.25,0.25,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,1.0,115.62043795620438,9.2,15.166666666666666,8.4,15.166666666666666,0.5,0.5,0.5,1.0,0.5,0.5,0.538375,0.4228,10.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,True
1425-1501-1510-1749-1894,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Cuttino Mobley, Corey Maggette","Williams, Thomas, Knight, Mobley, Maggette",1425-1501-1510-1749-1894,LAC,2925.0,8,49.0,21.0,96.0,94.0,8.0,190.0,22.0,28.0,25.0,38.0,68.0,112.0,91.0,6.0,44.0,22.0,26.0,15.0,56.0,6.0,28.0,37.0,7.0,44.0,2.0,4.0,10.0,100.0,0.5789473684210527,0.6285714285714286,0.5588235294117647,0.55,0.6086956521739131,0.8,0.2,0.8181818181818182,0.18421052631578946,0.11764705882352941,0.75,0.8333333333333334,93.53846153846153,14.020833333333334,16.79787234042553,13.697916666666666,16.127659574468087,0.35,0.7857142857142857,0.8461538461538461,0.6818181818181818,0.3125,0.5,0.49843937499999996,0.5219666666666667,8.823529411764707,14.0,7.0,4.0,5.0,1.0,1.0,8.0,15.0,8.0,2.0,2.0,2.0,10.0,1.0,1.0,4.0,12.0,24.0,5.0,1.0,2.0,12.0,3.0,7.0,1.0,7.0,13.0,32.0,12.0,6.0,10.0,2.0,2.0,4.0,2.0,2.0,4.0,3.0,1.0,8.0,1.0,1.0,10.0,4.0,6.0,6.0,4.0,2.0,2.0,3.0,11.0,20.0,3.0,24.0,29.0,5.0,14.0,3.0,5.0,4.0,1.0,5.0,4.0,1.0,13.0,14.0,1.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.42857142857142855,0.7142857142857143,0.375,0.75,0.5416666666666666,0.15,0.029411764705882353,0.07142857142857142,0.6,1.0,0.8888888888888888,0.125,0.3333333333333333,0.2857142857142857,0.125,0.7777777777777778,0.875,1.0,0.027777777777777776,0.8,0.1875,0.5333333333333333,0.5333333333333333,0.5,0.32,0.32,0.375,0.025,1.0,1.0,1.0,0.125,0.2,0.2,1.0,0.7142857142857143,0.8,0.25,0.14285714285714285,0.125,1.0,0.125,0.2,0.436075,0.15730337078651685,0.18181818181818182,0.10714285714285714,0.11607142857142858,25.875,0.14583333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,True
1425-1501-1510-1749-201154,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Cuttino Mobley, Al Thornton","Williams, Thomas, Knight, Mobley, Thornton",1425-1501-1510-1749-201154,LAC,1032.0,5,17.0,12.0,34.0,32.0,4.0,66.0,5.0,8.0,6.0,9.0,16.0,35.0,23.0,4.0,6.0,3.0,6.0,1.0,15.0,3.0,13.0,15.0,3.0,18.0,1.0,5.0,8.0,29.0,0.3333333333333333,0.42857142857142855,0.5625,0.54,0.5833333333333334,0.8666666666666667,0.42857142857142855,0.8333333333333334,0.23076923076923078,0.3333333333333333,0.6,1.0,92.09302325581396,14.470588235294118,16.875,13.911764705882353,16.5,0.32,0.625,0.7142857142857143,0.2,0.24,0.68,0.52772,0.44205,8.49375,6.0,5.0,2.0,2.0,,1.0,1.0,2.0,3.0,1.0,4.0,2.0,5.0,,,3.0,9.0,8.0,3.0,,,6.0,,2.0,2.0,,3.0,12.0,9.0,4.0,5.0,2.0,2.0,3.0,2.0,1.0,,2.0,,2.0,,,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,8.0,,9.0,12.0,2.0,6.0,1.0,2.0,,2.0,2.0,1.0,,3.0,6.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.75,,0.75,0.375,0.75,0.3,0.36,0.125,0.125,0.375,,0.6666666666666666,,0.6666666666666666,,,1.0,0.6666666666666666,,,0.5,0.08,0.5,1.0,,0.5,0.5,0.6666666666666666,0.16,0.25,0.25,1.0,0.2,0.4,0.4,1.0,0.5,1.0,,,0.25,,,0.4,0.5337625,0.20689655172413793,0.3,0.17142857142857143,0.08571428571428572,25.022222222222222,0.17647058823529413,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,True
1425-1501-1510-1749-2549,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Cuttino Mobley, Chris Kaman","Williams, Thomas, Knight, Mobley, Kaman",1425-1501-1510-1749-2549,LAC,82.0,1,1.0,7.0,3.0,2.0,,5.0,1.0,1.0,1.0,2.0,2.0,7.0,,,4.0,2.0,3.0,1.0,7.0,,2.0,2.0,,2.0,,,,7.0,1.0,1.0,1.0,1.1666666666666667,1.1666666666666667,1.0,,1.0,,,,1.0,87.80487804878048,10.666666666666666,25.0,10.666666666666666,25.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.5093,,9.85,,,,,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,3.0,,1.0,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,0.3333333333333333,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,1.0,,,,,,26.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,True
1425-1501-1510-1749-2624,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Cuttino Mobley, Quinton Ross","Williams, Thomas, Knight, Mobley, Ross",1425-1501-1510-1749-2624,LAC,461.0,5,8.0,7.0,16.0,13.0,3.0,29.0,3.0,4.0,2.0,4.0,8.0,17.0,10.0,2.0,6.0,3.0,5.0,2.0,12.0,1.0,3.0,6.0,2.0,8.0,,1.0,3.0,13.0,0.75,0.75,0.5,0.5384615384615384,0.6071428571428571,0.42857142857142855,0.25,0.5454545454545454,0.3333333333333333,,0.3333333333333333,,90.58568329718004,13.1875,19.23076923076923,12.375,16.076923076923077,0.3076923076923077,0.75,0.75,0.6666666666666666,0.15384615384615385,0.6923076923076923,0.4913653846153846,0.6213,6.5,3.0,1.0,2.0,2.0,,,1.0,2.0,,,1.0,2.0,4.0,,2.0,2.0,5.0,3.0,2.0,,,4.0,,,2.0,,3.0,2.0,6.0,,4.0,2.0,1.0,2.0,2.0,,1.0,,1.0,3.0,,,,,,2.0,2.0,,1.0,1.0,1.0,4.0,,5.0,3.0,1.0,2.0,,2.0,2.0,,2.0,1.0,,3.0,3.0,,,1.0,0.4,0.4,1.0,,1.0,0.75,1.0,0.75,0.38461538461538464,0.125,,0.6666666666666666,,0.75,0.5,,1.0,1.0,0.6666666666666666,1.0,,,0.5,0.15384615384615385,0.5,1.0,1.0,,,,0.07692307692307693,,,,0.3076923076923077,0.5,0.5,1.0,1.0,1.0,0.5,,,,1.0,0.5,0.3915,0.14285714285714285,0.2222222222222222,0.23529411764705882,0.17647058823529413,24.72,0.1875,,,1.0,,,0.5,0.5,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,True
1425-1501-1510-1894-201154,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Corey Maggette, Al Thornton","Williams, Thomas, Knight, Maggette, Thornton",1425-1501-1510-1894-201154,LAC,54.0,1,1.0,1.0,1.0,1.0,,2.0,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,0.5,1.0,,1.0,,,,1.0,53.33333333333333,33.0,21.0,33.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,True
1425-1501-1510-1894-2624,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Corey Maggette, Quinton Ross","Williams, Thomas, Knight, Maggette, Ross",1425-1501-1510-1894-2624,LAC,105.0,1,2.0,1.0,3.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,,,,,1.0,1.0,1.0,2.0,3.0,,1.0,1.0,3.0,,,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,,68.57142857142857,23.0,18.0,9.333333333333334,18.0,0.5,1.0,1.0,,0.5,0.5,0.43845,0.3043,9.8,3.0,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,1.0,2.0,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,2.0,,1.0,,,,,,,,3.0,3.0,,,,,,,0.5,,0.5,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,1.0,,,0.43845,0.3333333333333333,0.3333333333333333,,1.0,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,True
1425-1501-1510-201154-208,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Al Thornton, Sam Cassell","Williams, Thomas, Knight, Thornton, Cassell",1425-1501-1510-201154-208,LAC,323.0,1,5.0,-6.0,9.0,10.0,1.0,19.0,2.0,3.0,4.0,5.0,10.0,11.0,17.0,3.0,4.0,2.0,2.0,1.0,4.0,4.0,1.0,2.0,5.0,7.0,,,1.0,9.0,0.4,0.5,0.5,0.4166666666666667,0.4230769230769231,0.5,0.8,0.5,0.7142857142857143,0.6666666666666666,1.0,,84.70588235294117,18.11111111111111,16.0,14.777777777777779,14.1,0.25,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.4166666666666667,0.48904583333333335,0.5330166666666667,9.879999999999999,,,1.0,1.0,,,2.0,3.0,1.0,,,,2.0,1.0,,,2.0,1.0,1.0,1.0,,2.0,,,,,,6.0,,2.0,2.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,1.0,,,,1.0,1.0,,1.0,2.0,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,0.25,,0.25,,0.16666666666666666,,,1.0,1.0,,0.5,1.0,1.0,0.5,,,,,,0.25,0.6666666666666666,0.6666666666666666,,0.25,0.25,1.0,,,,,0.16666666666666666,,,,0.25,1.0,,0.25,,,,,,0.07692307692307693,0.09090909090909091,0.18181818181818182,,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,True
1425-1501-1510-201154-2424,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Al Thornton, Dan Dickau","Williams, Thomas, Knight, Thornton, Dickau",1425-1501-1510-201154-2424,LAC,13.0,1,,-3.0,,1.0,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.76923076923076,,13.0,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,True
1425-1501-1510-201154-2624,1610612746,"Aaron Williams, Tim Thomas, Brevin Knight, Al Thornton, Quinton Ross","Williams, Thomas, Knight, Thornton, Ross",1425-1501-1510-201154-2624,LAC,278.0,2,5.0,2.0,9.0,10.0,1.0,19.0,1.0,3.0,,1.0,4.0,9.0,7.0,1.0,,,2.0,,6.0,1.0,4.0,6.0,1.0,7.0,,1.0,2.0,7.0,,,0.25,0.5714285714285714,0.5625,0.8,0.3333333333333333,0.8,0.25,,,0.8,98.41726618705034,17.22222222222222,12.3,16.11111111111111,12.3,0.42857142857142855,0.3333333333333333,1.0,,,0.8571428571428571,0.5361857142857143,0.5613,3.45,9.0,6.0,1.0,1.0,1.0,3.0,,1.0,,1.0,1.0,1.0,2.0,,2.0,2.0,3.0,1.0,1.0,,,2.0,1.0,4.0,3.0,1.0,9.0,2.0,6.0,,2.0,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,,,,1.0,1.0,,,2.0,1.0,6.0,1.0,1.0,2.0,,1.0,,,,,,,,9.0,9.0,3.0,,1.0,0.6666666666666666,0.6666666666666666,1.0,0.25,1.0,0.5714285714285714,1.0,0.5625,0.42857142857142855,0.5,0.6666666666666666,0.5,1.0,,,,1.0,,,,,,,0.14285714285714285,,,,,,,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,1.0,1.0,,,0.42857142857142855,0.3333333333333333,0.2857142857142857,0.5,0.5361857142857143,0.125,0.2,0.2222222222222222,1.0,24.3,1.0,1.0,1.0,2.0,,,0.6666666666666666,,0.14285714285714285,1.0,1.0,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2008,2007-08,True
