EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,HeaveAttempts,FTOffRebounds,FTDefRebounds,StepOutOfBoundsTurnovers,SecondChanceTurnovers,NonShootingPenaltyNonTakeFouls,DefFTReboundPct,OffFTReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimPctAssisted,OffThreePtRebounds,Offensive Fouls Drawn,OffThreePtReboundPct,OffCorner3ReboundPct,Loose Ball Fouls,Offensive Fouls,3SecondViolations,SecondChanceCorner3FGA,PenaltyCorner3FGA,Technical Free Throw Trips,OffArc3ReboundPct,DefCorner3ReboundPct,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,DefensiveGoaltends,LongMidRangePctBlocked,Travels,Loose Ball Fouls Drawn,SecondChanceCorner3FGM,PenaltyCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,PtsUnassisted3s,Defensive 3 Seconds Violations,LostBallOutOfBoundsTurnovers,Blocked3s,BlockedArc3,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,Corner3PctBlocked,OffensiveGoaltends,team_id,year,season,team_vs
101131-101161-1497-1888-2419,1610612765,"Jason Maxiell, Amir Johnson, Chauncey Billups, Richard Hamilton, Tayshaun Prince","Maxiell, Johnson, Billups, Hamilton, Prince",101131-101161-1497-1888-2419,DET,824.0,5,14.0,18.0,29.0,29.0,15.0,13.0,4.0,58.0,7.0,12.0,1.0,3.0,2.0,7.0,2.0,4.0,2.0,7.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,1.0,11.0,23.0,4.0,4.0,10.0,44.0,26.0,1.0,4.0,1.0,1.0,2.0,7.0,4.0,13.0,1.0,1.0,8.0,19.0,16.0,6.0,12.0,2.0,3.0,3.0,2.0,8.0,4.0,12.0,3.0,1.0,5.0,2.0,1.0,28.0,5.0,3.0,9.0,12.0,5.0,17.0,1.0,5.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,5.0,7.0,7.0,10.0,2.0,4.0,2.0,7.0,3.0,2.0,2.0,7.0,4.0,37.0,19.0,15.0,2.0,0.7272727272727273,0.8,1.0,1.0,1.0,1.0,1.0,0.4782608695652174,0.25,0.3076923076923077,0.6296296296296297,0.5,0.39285714285714285,0.7096774193548387,0.5833333333333334,0.5277777777777778,0.14814814814814814,0.08695652173913043,0.08333333333333333,0.25,0.6666666666666666,0.6923076923076923,0.45454545454545453,0.6,0.6666666666666666,0.45454545454545453,0.4,0.75,0.5,1.0,0.5,0.6,0.1111111111111111,101.35922330097088,0.5714285714285714,12.517241379310345,15.89655172413793,11.620689655172415,14.241379310344827,0.4444444444444444,0.5833333333333334,0.6363636363636364,0.7142857142857143,0.14814814814814814,0.5,0.6666666666666666,1.0,0.25925925925925924,0.2857142857142857,0.2857142857142857,0.5,0.037037037037037035,1.0,1.0,1.0,0.1111111111111111,1.0,1.0,1.0,0.6,0.3333333333333333,0.2,1.0,1.0,0.5,0.2857142857142857,0.07142857142857142,1.0,0.5925925925925926,1.0,0.5209351851851852,0.5192599999999999,0.4989785714285714,0.13793103448275862,0.16,0.1590909090909091,0.4318181818181818,6.726086956521739,25.575,0.5172413793103449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-1497-1888-2553,1610612765,"Jason Maxiell, Amir Johnson, Chauncey Billups, Richard Hamilton, Jarvis Hayes","Maxiell, Johnson, Billups, Hamilton, Hayes",101131-101161-1497-1888-2553,DET,381.0,3,6.0,9.0,13.0,12.0,4.0,8.0,4.0,25.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,3.0,,1.0,,1.0,5.0,10.0,2.0,4.0,,16.0,7.0,2.0,2.0,,1.0,,4.0,1.0,4.0,,1.0,,2.0,2.0,8.0,6.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,,,8.0,3.0,1.0,2.0,6.0,4.0,10.0,,,,,1.0,1.0,1.0,2.0,,3.0,1.0,1.0,4.0,1.0,2.0,,1.0,,1.0,1.0,,,1.0,1.0,12.0,2.0,4.0,,0.2,0.25,1.0,0.5,,,0.6666666666666666,0.5,1.0,0.25,0.5714285714285714,0.6666666666666666,0.2,0.5333333333333333,0.6666666666666666,0.16666666666666666,0.2857142857142857,0.1,,0.3333333333333333,0.3333333333333333,0.5,0.6,1.0,0.6,0.6,1.0,0.5,0.5,1.0,,1.0,,94.48818897637796,1.0,14.692307692307692,15.833333333333334,13.384615384615385,14.666666666666666,0.21428571428571427,0.6666666666666666,0.6666666666666666,0.5,0.21428571428571427,0.3333333333333333,0.5,,0.2857142857142857,0.5,0.5,,0.07142857142857142,1.0,1.0,1.0,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,1.0,0.3333333333333333,,,0.2,1.0,0.2,,0.5,0.5,0.4437423076923077,0.48131666666666667,0.36145,0.06666666666666667,0.09090909090909091,0.25,0.125,9.48,29.025,0.3076923076923077,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-1497-201155-2419,1610612765,"Jason Maxiell, Amir Johnson, Chauncey Billups, Rodney Stuckey, Tayshaun Prince","Maxiell, Johnson, Billups, Stuckey, Prince",101131-101161-1497-201155-2419,DET,442.0,4,7.0,3.0,13.0,13.0,4.0,1.0,2.0,26.0,3.0,6.0,1.0,2.0,1.0,3.0,,,2.0,3.0,,2.0,,,,,,,5.0,9.0,,2.0,4.0,14.0,11.0,1.0,2.0,,,,2.0,1.0,4.0,,,2.0,4.0,4.0,6.0,,2.0,,,1.0,2.0,,2.0,,,1.0,,1.0,4.0,,,4.0,4.0,2.0,6.0,,1.0,,1.0,1.0,2.0,1.0,2.0,,3.0,1.0,2.0,2.0,5.0,5.0,1.0,3.0,,3.0,2.0,1.0,,3.0,2.0,12.0,4.0,4.0,,0.4,0.5,,,,,,0.5555555555555556,0.5,0.25,0.45454545454545453,0.5,0.25,0.5384615384615384,0.5,0.4,0.18181818181818182,0.1111111111111111,0.16666666666666666,,0.3333333333333333,0.5714285714285714,,,0.5714285714285714,0.2,,,0.3333333333333333,1.0,0.6666666666666666,,,84.70588235294119,0.6666666666666666,14.538461538461538,19.46153846153846,14.384615384615385,15.692307692307692,0.5454545454545454,0.5,0.6,0.3333333333333333,,,,,0.2727272727272727,0.6666666666666666,0.6666666666666666,0.5,0.18181818181818182,,,,,,,,1.0,0.5,,,,0.75,0.3333333333333333,,,0.7272727272727273,,0.5065318181818182,0.322,0.43155,0.23076923076923078,0.2727272727272727,0.14285714285714285,0.2857142857142857,6.211111111111111,23.7,0.3076923076923077,,1.0,,,,,,1.0,,,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-1497-201155-2553,1610612765,"Jason Maxiell, Amir Johnson, Chauncey Billups, Rodney Stuckey, Jarvis Hayes","Maxiell, Johnson, Billups, Stuckey, Hayes",101131-101161-1497-201155-2553,DET,482.0,3,8.0,-2.0,14.0,16.0,,2.0,1.0,30.0,4.0,5.0,,1.0,,,1.0,1.0,2.0,4.0,,,,,,,,,7.0,10.0,,,3.0,17.0,19.0,,1.0,,,,,,,,,,,8.0,6.0,,,,,,4.0,,4.0,,,3.0,,1.0,8.0,1.0,,3.0,3.0,1.0,4.0,,3.0,3.0,,1.0,,1.0,2.0,,3.0,,2.0,5.0,4.0,4.0,,2.0,,1.0,1.0,,,1.0,,17.0,,,,0.5714285714285714,0.5714285714285714,,,,,,0.7,,,0.7,,,0.7083333333333334,,,,,,,0.3333333333333333,0.6,0.3333333333333333,,0.6,0.3333333333333333,,0.5,0.5,,0.6666666666666666,,,89.6265560165975,,17.571428571428573,14.75,16.285714285714285,13.6875,0.5,0.8,0.8,0.75,0.1,1.0,1.0,,0.4,0.5,0.5,0.5,,,,,,,,,1.0,,,,,,,,,0.5,,0.49188,0.539,,0.16666666666666666,0.16666666666666666,,,8.58,,,,,,,,1.0,,,,,,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-1497-201167-2419,1610612765,"Jason Maxiell, Amir Johnson, Chauncey Billups, Arron Afflalo, Tayshaun Prince","Maxiell, Johnson, Billups, Afflalo, Prince",101131-101161-1497-201167-2419,DET,923.0,8,15.0,11.0,27.0,26.0,20.0,17.0,4.0,53.0,3.0,8.0,1.0,2.0,2.0,3.0,,1.0,2.0,8.0,,1.0,3.0,6.0,,,2.0,4.0,5.0,17.0,3.0,7.0,13.0,32.0,21.0,1.0,4.0,,1.0,,2.0,3.0,9.0,2.0,5.0,12.0,24.0,2.0,8.0,9.0,2.0,6.0,3.0,2.0,1.0,3.0,4.0,3.0,,,,1.0,11.0,3.0,2.0,7.0,9.0,6.0,15.0,1.0,,,,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,4.0,9.0,14.0,1.0,4.0,3.0,5.0,5.0,,,5.0,2.0,30.0,24.0,20.0,3.0,0.2,0.25,1.0,0.42857142857142855,,0.4,0.42857142857142855,0.29411764705882354,0.25,0.3333333333333333,0.3958333333333333,0.2,0.42857142857142855,0.5166666666666667,0.2,0.575,0.2916666666666667,0.11764705882352941,0.125,1.0,0.5,0.6363636363636364,0.2727272727272727,0.6666666666666666,0.6428571428571429,0.2857142857142857,0.4,,0.4,0.6666666666666666,1.0,0.5,0.08333333333333333,82.68689057421452,0.4,18.703703703703702,16.076923076923077,17.11111111111111,14.923076923076923,0.3333333333333333,0.375,0.42857142857142855,,0.041666666666666664,,,,0.3333333333333333,0.25,0.25,0.5,0.041666666666666664,,,,0.25,0.5,0.5,1.0,0.4,0.5,,,,0.21428571428571427,0.6666666666666666,0.2857142857142857,0.5,0.625,0.5,0.4621416666666667,0.4204375,0.4192321428571429,0.14814814814814814,0.2,0.0625,0.75,9.411764705882353,25.7,0.7407407407407407,,2.0,,,,1.0,,1.0,1.0,,1.0,,0.3333333333333333,,,,,1.0,1.0,1.0,0.5,1.0,0.2,0.07142857142857142,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-1497-201167-2553,1610612765,"Jason Maxiell, Amir Johnson, Chauncey Billups, Arron Afflalo, Jarvis Hayes","Maxiell, Johnson, Billups, Afflalo, Hayes",101131-101161-1497-201167-2553,DET,117.0,1,2.0,,4.0,5.0,,,,9.0,1.0,2.0,,,,,,,,,,,1.0,1.0,,,,,1.0,2.0,1.0,1.0,,5.0,5.0,,,,,,,,,,,,,2.0,,3.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,5.0,,,2.0,2.0,,2.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,1.0,,,,,,1.0,1.0,,,1.0,1.0,5.0,,,,1.0,1.0,1.0,1.0,,,1.0,0.5,,,0.8333333333333334,,,0.8333333333333334,,,0.3333333333333333,,,,,1.0,,,1.0,,,,1.0,1.0,,,,110.76923076923077,1.0,10.75,14.8,10.75,14.8,0.6666666666666666,0.5,0.5,1.0,,,,,,,,,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,0.6757166666666666,,,,,,,1.45,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-1497-2413-2419,1610612765,"Jason Maxiell, Amir Johnson, Chauncey Billups, Juan Dixon, Tayshaun Prince","Maxiell, Johnson, Billups, Dixon, Prince",101131-101161-1497-2413-2419,DET,472.0,3,8.0,16.0,15.0,15.0,7.0,10.0,2.0,30.0,3.0,3.0,,,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,6.0,8.0,3.0,5.0,8.0,29.0,13.0,,,1.0,2.0,,3.0,3.0,4.0,2.0,4.0,2.0,14.0,8.0,4.0,9.0,,2.0,2.0,,4.0,3.0,7.0,2.0,1.0,3.0,,1.0,17.0,1.0,2.0,3.0,5.0,2.0,7.0,,2.0,1.0,1.0,,,,,,,,,,4.0,9.0,,4.0,,,,,,,,26.0,14.0,7.0,,0.6666666666666666,0.6666666666666666,1.0,0.6,0.5,0.5,0.6,0.75,,0.75,0.8076923076923077,0.75,0.75,0.8529411764705882,0.75,0.7777777777777778,0.38461538461538464,,,,,1.0,0.5,1.0,1.0,0.5,,0.5,1.0,1.0,,1.0,,91.52542372881356,,16.6,14.866666666666667,15.666666666666666,14.866666666666667,0.23076923076923078,1.0,1.0,1.0,0.07692307692307693,1.0,1.0,,0.3076923076923077,0.5,0.5,0.5,0.23076923076923078,0.3333333333333333,0.3333333333333333,1.0,0.15384615384615385,1.0,1.0,1.0,,,0.5,1.0,1.0,0.125,1.0,0.25,1.0,0.6153846153846154,1.0,0.4974807692307692,0.518325,0.50094375,0.23529411764705882,0.3333333333333333,0.10344827586206896,0.4827586206896552,11.2,24.18,0.4666666666666667,,,,,,,,,,,1.0,,0.5,0.5,,,,1.0,2.0,1.0,,,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-1888-201155-2419,1610612765,"Jason Maxiell, Amir Johnson, Richard Hamilton, Rodney Stuckey, Tayshaun Prince","Maxiell, Johnson, Hamilton, Stuckey, Prince",101131-101161-1888-201155-2419,DET,576.0,8,10.0,-3.0,15.0,16.0,2.0,3.0,2.0,31.0,3.0,4.0,,1.0,,1.0,,2.0,,6.0,,,,,,,,,3.0,12.0,,,5.0,11.0,14.0,,3.0,,,,,,1.0,,,1.0,1.0,6.0,,,,,,2.0,3.0,,3.0,,,3.0,,,6.0,2.0,1.0,4.0,6.0,3.0,9.0,,,,,2.0,1.0,2.0,2.0,,4.0,1.0,2.0,7.0,6.0,8.0,,3.0,1.0,5.0,5.0,,,5.0,1.0,11.0,1.0,2.0,,1.0,1.0,,,,,,0.25,,,0.25,,,0.34375,,0.25,,0.16666666666666666,,0.5,0.5,0.36363636363636365,0.25,1.0,0.4166666666666667,0.25,,0.2,0.3333333333333333,,0.6666666666666666,,,77.5,0.2,19.733333333333334,17.5,19.066666666666666,15.8125,0.3333333333333333,0.75,0.75,1.0,0.16666666666666666,,,,0.5,,,,,,,,,,,,0.3333333333333333,,,,,1.0,,,,0.3333333333333333,,0.45610833333333334,0.4456333333333333,0.5669,0.2,0.2,,0.09090909090909091,11.325000000000001,,0.13333333333333333,,1.0,1.0,,1.0,,1.0,1.0,0.5,,,,,,2.0,,,,,,,1.0,,,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-1888-201155-2553,1610612765,"Jason Maxiell, Amir Johnson, Richard Hamilton, Rodney Stuckey, Jarvis Hayes","Maxiell, Johnson, Hamilton, Stuckey, Hayes",101131-101161-1888-201155-2553,DET,1198.0,10,20.0,8.0,37.0,39.0,6.0,1.0,5.0,76.0,8.0,9.0,1.0,1.0,2.0,2.0,4.0,7.0,7.0,18.0,1.0,2.0,,2.0,,,,,19.0,34.0,1.0,4.0,4.0,45.0,37.0,2.0,5.0,,,,4.0,5.0,5.0,,,1.0,11.0,18.0,20.0,3.0,4.0,2.0,,,9.0,1.0,10.0,,1.0,4.0,1.0,4.0,21.0,6.0,3.0,9.0,15.0,8.0,23.0,1.0,4.0,3.0,1.0,3.0,,3.0,2.0,,5.0,1.0,8.0,13.0,7.0,5.0,1.0,3.0,,2.0,1.0,,1.0,2.0,2.0,41.0,11.0,6.0,,0.47368421052631576,0.5294117647058824,1.0,0.25,,,0.25,0.5588235294117647,0.4,1.0,0.5394736842105263,0.4,1.0,0.5625,0.4,1.1,0.10526315789473684,,,,0.6,0.6923076923076923,0.4,0.6,0.6666666666666666,0.4444444444444444,1.0,0.36363636363636365,0.5,0.5,0.7777777777777778,0.6,0.05555555555555555,91.35225375626044,1.0,15.756756756756756,15.76923076923077,15.135135135135135,14.717948717948717,0.23684210526315788,0.8888888888888888,0.8888888888888888,0.5,0.18421052631578946,0.5714285714285714,0.5714285714285714,0.25,0.47368421052631576,0.3888888888888889,0.3888888888888889,0.5714285714285714,0.05263157894736842,0.5,0.5,1.0,0.05263157894736842,,,,0.2,1.0,,,,0.4,1.0,,,0.34210526315789475,,0.4750539473684211,0.447575,0.57628,0.075,0.08333333333333333,0.08888888888888889,0.24444444444444444,11.379411764705882,25.225,0.16216216216216217,,,3.0,,1.0,,1.0,,0.3333333333333333,,2.0,1.0,0.6666666666666666,1.0,1.0,,1.0,,,,0.5,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
101131-101161-1888-2419-2436,1610612765,"Jason Maxiell, Amir Johnson, Richard Hamilton, Tayshaun Prince, Flip Murray","Maxiell, Johnson, Hamilton, Prince, Murray",101131-101161-1888-2419-2436,DET,276.0,1,5.0,7.0,9.0,9.0,9.0,3.0,1.0,18.0,1.0,1.0,,,1.0,1.0,1.0,2.0,1.0,1.0,,1.0,2.0,2.0,,,2.0,2.0,3.0,4.0,2.0,3.0,2.0,14.0,7.0,1.0,1.0,,,,2.0,3.0,4.0,2.0,3.0,2.0,14.0,6.0,,6.0,,2.0,2.0,1.0,3.0,2.0,5.0,2.0,,1.0,1.0,1.0,12.0,1.0,,3.0,4.0,1.0,5.0,,1.0,,1.0,1.0,,1.0,,,1.0,1.0,1.0,1.0,2.0,4.0,,,2.0,,,,,,,12.0,14.0,9.0,2.0,1.0,1.0,1.0,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.75,1.0,0.75,0.8571428571428571,1.0,0.8571428571428571,0.7777777777777778,1.0,0.7777777777777778,0.42857142857142855,0.25,,0.5,1.0,0.75,1.0,,0.75,0.5,,,,1.0,1.0,,,93.91304347826087,,13.222222222222221,17.444444444444443,12.0,17.444444444444443,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.14285714285714285,,,,0.2857142857142857,1.0,1.0,1.0,,,,,,0.14285714285714285,1.0,0.2857142857142857,1.0,0.5714285714285714,1.0,0.4769857142857143,0.3346,0.4769857142857143,,,0.14285714285714285,1.0,9.875,24.333333333333332,1.0,,,1.0,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,0.14285714285714285,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,1610612765,2008,2007-08,False
