EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,PtsUnassisted2s,NonHeaveArc3FGA,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,OpponentPoints,ShootingFouls,Fouls,FtPoints,PenaltyFtPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceOffPoss,SecondChanceFtPoints,SecondChancePoints,Fg2aBlocked,LongMidRangeAssists,OffTwoPtRebounds,OffRebounds,LostBallTurnovers,Offensive Fouls Drawn,TwoPtShootingFoulsDrawn,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,ShortMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FG3M,SecondChanceFG2A,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,ThreePtAssists,Corner3Assists,FTDefRebounds,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,DefShortMidRangeReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,SelfOReb,Steals,BadPassSteals,SecondChanceFg2Pct,SecondChanceEfgPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,LostBallOutOfBoundsTurnovers,ShortMidRangeFGM,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFG3A,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,OffThreePtRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PtsUnassisted3s,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3SecondViolations,SecondChanceArc3FGM,Travels,DefensiveGoaltends,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Technical Free Throw Trips,LongMidRangePctBlocked,FTOffRebounds,OffFTReboundPct,Defensive 3 Seconds Violations,HeaveAttempts,StepOutOfBoundsTurnovers,BlockedLongMidRange,team_id,year,season,team_vs
101177-109-1477-1521-1938,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Jacque Vaughn, Manu Ginobili","Oberto, Horry, Bowen, Vaughn, Ginobili",101177-109-1477-1521-1938,SAS,76.0,1,1.0,2.0,3.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,113.6842105263158,7.0,18.333333333333332,7.0,18.333333333333332,0.5,1.0,1.0,0.5,0.5,0.47115,21.2,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1477-1938-2137,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Manu Ginobili, Ime Udoka","Oberto, Horry, Bowen, Ginobili, Udoka",101177-109-1477-1938-2137,SAS,27.0,1,,2.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,2.0,,,1.0,,1.0,1.0,,,,2.0,1.0,1.0,1.0,,,,1.0,1.0,,,106.66666666666666,20.0,7.0,20.0,7.0,,,,,1.0,0.5302,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5302,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1477-1938-2225,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Manu Ginobili, Tony Parker","Oberto, Horry, Bowen, Ginobili, Parker",101177-109-1477-1938-2225,SAS,24.0,1,,,1.0,1.0,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,120.0,10.0,14.0,10.0,14.0,,,,,1.0,0.5281,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,0.5281,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1477-2137-2225,1610612759,"Fabricio Oberto, Robert Horry, Bruce Bowen, Ime Udoka, Tony Parker","Oberto, Horry, Bowen, Udoka, Parker",101177-109-1477-2137-2225,SAS,31.0,1,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,,2.0,2.0,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,92.9032258064516,13.0,18.0,13.0,18.0,,,,,1.0,0.5555,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,2.0,1.0,,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,0.5555,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1521-1938-699,1610612759,"Fabricio Oberto, Robert Horry, Jacque Vaughn, Manu Ginobili, Brent Barry","Oberto, Horry, Vaughn, Ginobili, Barry",101177-109-1521-1938-699,SAS,1.0,1,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,0.5,,,,,,,,1440.0,1.0,,1.0,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,0.5,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1521-2137-699,1610612759,"Fabricio Oberto, Robert Horry, Jacque Vaughn, Ime Udoka, Brent Barry","Oberto, Horry, Vaughn, Udoka, Barry",101177-109-1521-2137-699,SAS,379.0,2,6.0,-3.0,11.0,10.0,,21.0,2.0,4.0,1.0,3.0,7.0,1.0,7.0,4.0,1.0,2.0,2.0,4.0,5.0,3.0,1.0,3.0,6.0,0.42857142857142855,0.375,0.3888888888888889,0.125,1.0,0.6666666666666666,1.0,0.8,1.0,,79.78891820580475,14.818181818181818,21.6,14.818181818181818,19.7,0.5,0.5,0.5,0.125,0.5,0.48330625,9.799999999999999,25.3,,1.0,3.0,,,,,,2.0,1.0,1.0,,2.0,,,0.3333333333333333,0.3333333333333333,,,,1.0,0.375,0.3333333333333333,0.5,,,,,,,10.0,,1.0,1.0,,2.0,2.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,0.14285714285714285,0.3333333333333333,0.25,0.2,0.5,0.5,0.5,0.1111111111111111,0.125,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1521-699-757,1610612759,"Fabricio Oberto, Robert Horry, Jacque Vaughn, Brent Barry, Damon Stoudamire","Oberto, Horry, Vaughn, Barry, Stoudamire",101177-109-1521-699-757,SAS,432.0,1,7.0,-9.0,13.0,14.0,13.0,27.0,,5.0,1.0,,8.0,2.0,4.0,,1.0,1.0,3.0,5.0,7.0,,,4.0,3.0,,0.15,0.18181818181818182,0.2,,1.0,0.5,0.8,1.0,,90.0,19.46153846153846,12.785714285714286,17.923076923076923,12.142857142857142,0.5,,,0.1,0.4,0.42738,12.3,24.75,8.0,,2.0,,2.0,,3.0,4.0,,,1.0,,3.0,4.0,8.0,,,,0.3,0.3333333333333333,0.5,0.2,,,,0.4,,0.45042,1.0,0.6153846153846154,13.0,1.0,6.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,,,2.0,2.0,,1.0,,0.25,,,0.25,0.2222222222222222,0.5,1.0,,,,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,0.1,0.1,1.0,1.0,1.0,0.2,1.0,0.2,0.3876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1938-2137-2225,1610612759,"Fabricio Oberto, Robert Horry, Manu Ginobili, Ime Udoka, Tony Parker","Oberto, Horry, Ginobili, Udoka, Parker",101177-109-1938-2137-2225,SAS,45.0,2,1.0,2.0,2.0,,,2.0,,,,1.0,1.0,,2.0,,,,,,,,,1.0,2.0,1.0,1.0,1.0,,,,,,,,64.0,7.5,,7.5,,,,,,1.0,0.559,,,1.0,1.0,1.0,,,,,,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,0.5,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1938-2225-699,1610612759,"Fabricio Oberto, Robert Horry, Manu Ginobili, Tony Parker, Brent Barry","Oberto, Horry, Ginobili, Parker, Barry",101177-109-1938-2225-699,SAS,43.0,1,1.0,1.0,2.0,2.0,2.0,4.0,,,,,,,3.0,,,,1.0,1.0,1.0,,,,3.0,,,0.75,,,1.0,,1.0,,,133.95348837209303,3.5,18.0,3.5,18.0,,,,,,,,,2.0,,,,,,,3.0,,,,,,3.0,2.0,,,,,0.75,,,,,,,,,1.0,1.0,2.0,1.0,1.0,3.0,3.0,2.0,4.0,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
101177-109-1938-2225-714,1610612759,"Fabricio Oberto, Robert Horry, Manu Ginobili, Tony Parker, Michael Finley","Oberto, Horry, Ginobili, Parker, Finley",101177-109-1938-2225-714,SAS,401.0,2,7.0,-6.0,13.0,13.0,1.0,26.0,1.0,2.0,,5.0,11.0,,12.0,6.0,,,3.0,3.0,4.0,2.0,2.0,2.0,10.0,0.45454545454545453,0.45454545454545453,0.46153846153846156,,1.0,1.0,,0.75,1.0,,93.36658354114712,14.76923076923077,16.076923076923077,14.76923076923077,15.846153846153847,0.18181818181818182,0.5,0.5,,0.5454545454545454,0.49305454545454547,5.454545454545454,,4.0,4.0,6.0,2.0,2.0,2.0,4.0,4.0,4.0,2.0,2.0,1.0,4.0,4.0,4.0,0.4,0.5,0.5,0.5,0.5,,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.25,0.5,1.0,0.477375,0.3333333333333333,0.3076923076923077,18.0,2.0,5.0,2.0,,3.0,4.0,,,1.0,,2.0,,1.0,1.0,1.0,,1.0,2.0,1.0,,,0.16666666666666666,0.16666666666666666,0.5,,1.0,0.15384615384615385,0.15384615384615385,0.16666666666666666,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.2727272727272727,,,,,,,,0.5832,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2008,2007-08,True
