EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,NonHeaveArc3FGA,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,ShortMidRangeFGM,ShortMidRangeFGA,ShortMidRangeAssists,DefThreePtRebounds,DeadBallTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,DefThreePtReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,AtRimAssists,OffShortMidRangeReboundPct,AtRimPctAssisted,SecondChanceArc3Frequency,Corner3FGA,SecondChanceCorner3FGA,Fg2aBlocked,OffThreePtRebounds,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefShortMidRangeReboundPct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,FTDefRebounds,LostBallSteals,BadPassOutOfBoundsTurnovers,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefFTReboundPct,DefCorner3ReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LostBallTurnovers,Loose Ball Fouls,BlockedShortMidRange,FTOffRebounds,NonShootingPenaltyNonTakeFoulsDrawn,OffFTReboundPct,SecondChanceAtRimPctAssisted,SelfOReb,SelfORebPct,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,StepOutOfBoundsTurnovers,Travels,Technical Free Throw Trips,Blocked3s,BlockedArc3,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101154-1498-1712-2052-2406,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, DeShawn Stevenson, Caron Butler","Blatche, Daniels, Jamison, Stevenson, Butler",101154-1498-1712-2052-2406,WAS,242.0,4,4.0,8,10,7.0,6.0,1.0,18,2.0,3.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,1.0,3.0,7.0,2.0,3.0,9.0,9.0,1.0,2.0,1.0,3.0,3.0,7.0,1.0,3.0,9.0,2.0,4.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,2.0,2.0,1.0,1.0,2.0,1.0,6.0,9.0,7.0,0.3333333333333333,0.5,0.42857142857142855,0.5,0.42857142857142855,0.3333333333333333,0.5,0.375,0.4090909090909091,0.5,0.45,0.2222222222222222,1.0,0.6666666666666666,0.75,0.5,0.5,1.0,0.6666666666666666,1.0,0.5,107.10743801652893,0.5,15.125,12.1,14.125,11.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.4444444444444444,0.25,0.25,1.0,0.2222222222222222,1.0,0.5,0.375,0.6666666666666666,0.125,0.5555555555555556,0.500488888888889,0.52985,0.487825,0.18181818181818182,0.2222222222222222,0.3333333333333333,1.0,11.414285714285715,24.85,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2008,2007-08,False
101154-1498-1712-2052-2443,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, DeShawn Stevenson, Darius Songaila","Blatche, Daniels, Jamison, Stevenson, Songaila",101154-1498-1712-2052-2443,WAS,96.0,1,2.0,3,3,3.0,,1.0,6,1.0,2.0,,,1.0,2.0,,,,,2.0,3.0,,1.0,5.0,,1.0,1.0,,2.0,2.0,3.0,,1.0,5.0,2.0,2.0,,,1.0,1.0,,2.0,1.0,,1.0,1.0,2.0,2.0,2.0,,,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,3.0,5.0,3.0,0.5,0.5,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.8333333333333334,1.0,0.8333333333333334,,,,1.0,1.0,1.0,1.0,,,,90.0,,14.666666666666666,17.333333333333332,8.0,17.333333333333332,0.6666666666666666,0.5,0.5,,,,,,,,0.6666666666666666,0.5,,0.6666666666666666,0.4767333333333333,0.3469,0.4767333333333333,0.3333333333333333,0.3333333333333333,0.4,1.0,3.466666666666667,,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2008,2007-08,False
101154-1498-1712-2217-2427,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Brendan Haywood, Roger Mason Jr.","Blatche, Daniels, Jamison, Haywood, Mason Jr.",101154-1498-1712-2217-2427,WAS,172.0,1,3.0,6,5,,,2.0,11,1.0,1.0,,,,,,1.0,1.0,,3.0,5.0,1.0,2.0,8.0,6.0,1.0,1.0,,2.0,,,,,,2.0,4.0,,1.0,1.0,1.0,,2.0,1.0,1.0,1.0,1.0,2.0,,,,,,,1.0,2.0,1.0,2.0,1.0,,,,,,6.0,,,0.3333333333333333,0.3333333333333333,0.6,1.0,,0.5,0.5,,0.5714285714285714,0.5,,0.16666666666666666,,1.0,0.5,1.0,0.3333333333333333,,,1.0,,92.09302325581395,,16.333333333333332,14.8,13.166666666666666,14.8,0.16666666666666666,1.0,1.0,0.16666666666666666,,,,0.16666666666666666,,,,,,0.3333333333333333,0.44155833333333333,0.502775,,0.14285714285714285,0.16666666666666666,0.25,,7.4799999999999995,25.1,,2.0,2.0,3.0,,,,,,,,0.5,0.6666666666666666,0.6666666666666666,,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2008,2007-08,False
101154-1498-1712-2240-2406,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Gilbert Arenas, Caron Butler","Blatche, Daniels, Jamison, Arenas, Butler",101154-1498-1712-2240-2406,WAS,394.0,1,7.0,12,11,,6.0,5.0,23,1.0,6.0,1.0,2.0,,,1.0,2.0,1.0,,3.0,14.0,2.0,,6.0,11.0,2.0,3.0,,4.0,,,,,,,6.0,2.0,1.0,,,,,4.0,3.0,4.0,6.0,10.0,1.0,1.0,,,2.0,,1.0,3.0,3.0,2.0,,1.0,1.0,,1.0,,2.0,,,,,0.21428571428571427,0.6666666666666666,,0.1875,0.5,,0.17647058823529413,0.5,,0.125,,0.75,0.36363636363636365,0.8,0.46153846153846156,0.4,,,1.0,84.06091370558376,,17.583333333333332,16.636363636363637,15.5,15.818181818181818,0.375,0.16666666666666666,0.2,0.125,0.5,0.5,,0.0625,0.5,0.5,,,,0.5,0.499771875,0.544375,,,,0.6666666666666666,,7.285714285714286,24.6,,-5.0,1.0,6.0,,1.0,2.0,,,1.0,1.0,0.375,0.16666666666666666,0.25,,,1.0,,0.4,,,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,0.21428571428571427,0.16666666666666666,0.3333333333333333,1.0,1.0,1.0,1.0,0.0625,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2008,2007-08,False
101154-1498-1712-2406-2427,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Caron Butler, Roger Mason Jr.","Blatche, Daniels, Jamison, Butler, Mason Jr.",101154-1498-1712-2406-2427,WAS,698.0,4,12.0,18,18,7.0,7.0,1.0,36,3.0,5.0,,,1.0,1.0,,2.0,4.0,3.0,5.0,12.0,5.0,2.0,21.0,16.0,,,2.0,2.0,2.0,2.0,4.0,,13.0,4.0,6.0,,4.0,2.0,3.0,,7.0,1.0,5.0,9.0,1.0,10.0,1.0,,1.0,1.0,2.0,2.0,,5.0,5.0,2.0,1.0,,,,,,19.0,13.0,7.0,0.4,0.4,0.4166666666666667,,1.0,0.5588235294117647,,1.0833333333333333,0.5833333333333334,1.0,1.0833333333333333,0.29411764705882354,0.5,0.7142857142857143,0.14285714285714285,0.6666666666666666,0.1111111111111111,,,0.6666666666666666,0.5,74.26934097421204,,19.11111111111111,19.666666666666668,19.11111111111111,17.055555555555557,0.29411764705882354,0.6,0.6,0.11764705882352941,,,,0.23529411764705882,,,0.16666666666666666,1.0,0.5,0.5882352941176471,0.4806264705882353,,0.45139166666666664,0.05555555555555555,0.07692307692307693,0.09523809523809523,0.6190476190476191,6.616666666666667,25.8,0.3888888888888889,5.0,2.0,5.0,1.0,3.0,1.0,,,0.6,0.6666666666666666,0.29411764705882354,0.4,0.5,0.5,,,1.0,0.3333333333333333,0.3333333333333333,,1.0,,1.0,,,,1.0,,1.0,0.08333333333333333,,0.2,,,,1.0,0.058823529411764705,,1.0,3.0,3.0,3.0,3.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6,0.75,0.6,1.0,0.5,0.75,0.75,0.3333333333333333,0.16666666666666666,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2008,2007-08,False
101154-1498-1712-2427-2443,1610612764,"Andray Blatche, Antonio Daniels, Antawn Jamison, Roger Mason Jr., Darius Songaila","Blatche, Daniels, Jamison, Mason Jr., Songaila",101154-1498-1712-2427-2443,WAS,249.0,2,4.0,7,6,3.0,2.0,,13,,1.0,,,,1.0,,1.0,,,,3.0,,5.0,5.0,11.0,,,,,,1.0,,3.0,3.0,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,2.0,1.0,3.0,5.0,3.0,6.0,3.0,1.0,,,1.0,,5.0,3.0,3.0,,,,,,,,,0.4166666666666667,,0.5,,0.5,0.25,,0.2,,,,,0.5,75.18072289156626,,15.714285714285714,23.166666666666668,15.714285714285714,14.166666666666666,0.3333333333333333,,,0.3333333333333333,,,,,,,1.0,,,0.3333333333333333,0.4799333333333333,,0.6656,0.5,0.5,,0.6,8.700000000000001,,0.42857142857142855,-6.0,,1.0,,,1.0,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2008,2007-08,False
101154-1498-201187-2427-2443,1610612764,"Andray Blatche, Antonio Daniels, Dominic McGuire, Roger Mason Jr., Darius Songaila","Blatche, Daniels, McGuire, Mason Jr., Songaila",101154-1498-201187-2427-2443,WAS,110.0,1,2.0,4,3,4.0,,1.0,7,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,8.0,,,,1.0,1.0,1.0,1.0,1.0,3.0,8.0,,2.0,,1.0,,,,,,3.0,3.0,1.0,4.0,,,,,,,,,3.0,6.0,1.0,,,,,,7.0,8.0,4.0,,,1.0,,1.0,1.25,,1.25,0.8,0.5,0.8,0.5,,1.0,,1.0,,,,,1.0,91.63636363636364,,15.0,16.666666666666668,14.5,16.666666666666668,,,,0.5,1.0,1.0,,0.5,,,,,0.5,0.5,0.45175,,0.45175,0.3333333333333333,0.5,0.125,1.0,17.0,25.7,1.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,1.0,1.0,1.0,1.0,,3.0,1.0,,,,,,,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1610612764,2008,2007-08,False
101154-1498-2217-2406-2427,1610612764,"Andray Blatche, Antonio Daniels, Brendan Haywood, Caron Butler, Roger Mason Jr.","Blatche, Daniels, Haywood, Butler, Mason Jr.",101154-1498-2217-2406-2427,WAS,285.0,2,5.0,7,8,,,1.0,15,2.0,2.0,1.0,1.0,,,1.0,3.0,,,3.0,6.0,1.0,3.0,9.0,5.0,1.0,1.0,,2.0,,,,,,4.0,2.0,,,2.0,2.0,,4.0,1.0,1.0,3.0,1.0,4.0,2.0,1.0,,,,,3.0,5.0,2.0,4.0,2.0,1.0,,1.0,1.0,1.0,7.0,,,0.6666666666666666,0.6666666666666666,0.5,1.0,,0.42857142857142855,1.0,,0.5,1.0,,0.14285714285714285,,1.0,0.3333333333333333,0.6666666666666666,0.25,,0.5,,1.0,75.78947368421052,1.0,16.0,21.625,14.857142857142858,16.625,0.2857142857142857,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,,,1.0,1.0,,,,0.42857142857142855,0.5030071428571429,0.6586,,0.2222222222222222,0.25,0.2222222222222222,,11.516666666666666,23.4,,4.0,,1.0,,1.0,,,,0.5,0.5,0.14285714285714285,,,,,,2.0,,1.0,,1.0,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,1.0,1.0,,,,,,0.5,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1610612764,2008,2007-08,False
101154-1498-2406-2427-2443,1610612764,"Andray Blatche, Antonio Daniels, Caron Butler, Roger Mason Jr., Darius Songaila","Blatche, Daniels, Butler, Mason Jr., Songaila",101154-1498-2406-2427-2443,WAS,169.0,2,3.0,5,5,,,,10,,,,,,,,2.0,2.0,,,2.0,2.0,,6.0,,,,,,,,,,,,,,2.0,,,,,,1.0,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,,1.0,1.0,,1.0,1.0,6.0,,,,,,,,0.75,,,0.75,,,0.5,,1.0,,1.0,,,,1.0,,85.20710059171597,1.0,15.8,18.0,15.8,18.0,,,,0.5,,,,0.5,,,,,,0.5,0.46425,,,,,,,21.5,25.85,,6.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,6.0,2.0,,,,1.0,1.0,,1.0,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612764,2008,2007-08,False
101154-1712-201156-2052-2427,1610612764,"Andray Blatche, Antawn Jamison, Nick Young, DeShawn Stevenson, Roger Mason Jr.","Blatche, Jamison, Young, Stevenson, Mason Jr.",101154-1712-201156-2052-2427,WAS,194.0,1,3.0,7,7,,,1.0,14,,1.0,,,,,3.0,4.0,1.0,,3.0,5.0,1.0,,6.0,7.0,1.0,1.0,,2.0,,,,,,4.0,2.0,,1.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0,1.0,5.0,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,1.0,1.0,,1.0,1.0,4.0,,,0.6666666666666666,0.6666666666666666,0.6,1.0,,0.5,1.0,,0.5,1.0,,0.16666666666666666,0.5,0.6666666666666666,0.5,0.75,0.3333333333333333,1.0,,0.6666666666666666,,103.91752577319588,1.0,13.142857142857142,14.571428571428571,12.428571428571429,14.142857142857142,0.16666666666666666,,,0.6666666666666666,0.75,0.75,0.6666666666666666,0.16666666666666666,,,,,,0.3333333333333333,0.49790833333333334,0.4494,,,,0.3333333333333333,,17.06,24.6,,-1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,1610612764,2008,2007-08,False
