EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,DefThreePtRebounds,FTDefRebounds,DefRebounds,Rebounds,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,AtRimFGM,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Avg2ptShotDistance,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,Fg2aBlocked,OffTwoPtRebounds,OffRebounds,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,SelfOReb,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Blocked2s,BlockedAtRim,Blocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,ShortMidRangePctBlocked,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,2pt And 1 Free Throw Trips,SecondChanceArc3FGA,SecondChanceFG3A,PtsUnassisted3s,SecondChanceArc3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,OffThreePtRebounds,Offensive Fouls Drawn,SecondChanceFg3Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceFG2M,ShortMidRangeAssists,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Technical Free Throw Trips,SecondChanceFg2Pct,LiveBallTurnoverPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,LostBallSteals,LostBallTurnovers,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3FGA,Loose Ball Fouls Drawn,PenaltyCorner3Frequency,OffShortMidRangeReboundPct,OffCorner3ReboundPct,RecoveredBlocks,BlocksRecoveredPct,StepOutOfBoundsTurnovers,BlockedLongMidRange,BlockedShortMidRange,LongMidRangePctBlocked,FTOffRebounds,Travels,3SecondViolations,OffFTReboundPct,SecondChanceCorner3FGA,ThreePtShootingFoulsDrawn,DefensiveGoaltends,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawnPct,team_id,year,season,team_vs
15-1752-1921-201199-2571,1610612756,"Eric Piatkowski, Sean Marks, Gordan Giricek, DJ Strawberry, Leandro Barbosa","Piatkowski, Marks, Giricek, Strawberry, Barbosa",15-1752-1921-201199-2571,PHX,96.0,1,2.0,3.0,2.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,0.5,1.0,75.0,14.666666666666666,26.0,14.666666666666666,25.5,1.0,1.0,1.0,0.43785,0.43785,1.0,25.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,True
1730-1921-1952-2564-2571,1610612756,"Brian Skinner, Gordan Giricek, Raja Bell, Boris Diaw, Leandro Barbosa","Skinner, Giricek, Bell, Diaw, Barbosa",1730-1921-1952-2564-2571,PHX,250.0,1,4.0,7.0,7.0,,,14.0,,,,,10.0,5.0,,,,,,,5.0,5.0,,,1.0,,,10.0,,,,,0.7142857142857143,,,,,1.0,,80.64,16.428571428571427,19.285714285714285,16.428571428571427,17.714285714285715,,,0.5714285714285714,0.5060142857142857,,,,,5.0,3.0,4.0,1.0,2.0,1.0,1.0,5.0,7.0,4.0,6.0,2.0,2.0,1.0,1.0,4.0,5.0,0.4,0.4,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0,0.5714285714285714,0.75,0.75,0.3333333333333333,0.2857142857142857,0.5,0.5,0.14285714285714285,1.0,1.0,1.0,5.257142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,True
1730-1921-1952-2571-959,1610612756,"Brian Skinner, Gordan Giricek, Raja Bell, Leandro Barbosa, Steve Nash","Skinner, Giricek, Bell, Barbosa, Nash",1730-1921-1952-2571-959,PHX,1.0,1,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,,,,,,1.0,2.0,,1.0,1.0,,,,0.5,0.5,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,True
1730-1921-201199-2564-2571,1610612756,"Brian Skinner, Gordan Giricek, DJ Strawberry, Boris Diaw, Leandro Barbosa","Skinner, Giricek, Strawberry, Diaw, Barbosa",1730-1921-201199-2564-2571,PHX,182.0,1,3.0,7.0,6.0,3.0,,13.0,,,1.0,3.0,9.0,,,,6.0,,1.0,,6.0,8.0,,,3.0,4.0,,8.0,6.0,3.0,,,0.5,1.0,0.14285714285714285,,1.0,1.0,1.0,102.85714285714286,12.285714285714286,16.0,8.571428571428571,16.0,,,0.42857142857142855,0.5177642857142858,0.5485666666666666,0.6666666666666666,22.9,0.42857142857142855,9.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,6.0,2.0,4.0,1.0,1.0,1.0,,2.0,5.0,0.3333333333333333,0.3333333333333333,0.5,0.42857142857142855,1.0,,1.0,0.2857142857142857,0.5,1.0,1.0,0.14285714285714285,1.0,1.0,0.42857142857142855,0.3333333333333333,0.3333333333333333,,11.5,2.0,0.2222222222222222,0.25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,1.0,0.25,0.16666666666666666,0.5,0.6666666666666666,0.5,1.0,0.5,1.0,0.14285714285714285,0.3333333333333333,1.0,0.3507,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,True
1730-1921-2405-2564-2571,1610612756,"Brian Skinner, Gordan Giricek, Amar'e Stoudemire, Boris Diaw, Leandro Barbosa","Skinner, Giricek, Stoudemire, Diaw, Barbosa",1730-1921-2405-2564-2571,PHX,426.0,2,7.0,12.0,11.0,9.0,8.0,23.0,2.0,2.0,2.0,,13.0,16.0,2.0,,9.0,2.0,,1.0,2.0,4.0,5.0,,,,,13.0,9.0,9.0,2.0,,0.5416666666666666,0.5625,0.16666666666666666,1.0,,0.2,,77.74647887323944,20.083333333333332,16.818181818181817,18.666666666666668,16.272727272727273,0.16666666666666666,0.25,0.4166666666666667,0.4403875,0.39691875,0.6923076923076923,24.05,0.75,-3.0,1.0,3.0,2.0,4.0,2.0,3.0,5.0,10.0,2.0,8.0,1.0,2.0,,1.0,5.0,1.0,0.2,0.2,0.5,0.5416666666666666,0.3333333333333333,,1.0,0.25,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.5,0.6666666666666666,0.25,0.6666666666666666,0.6666666666666666,0.5,8.95,,,,2.0,,1.0,,2.0,,,3.0,6.0,1.0,2.0,2.0,0.5,0.5625,,0.1,,0.4,0.3333333333333333,1.0,,,,0.125,,0.39805,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.25,0.2,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,True
1730-1921-2564-2571-959,1610612756,"Brian Skinner, Gordan Giricek, Boris Diaw, Leandro Barbosa, Steve Nash","Skinner, Giricek, Diaw, Barbosa, Nash",1730-1921-2564-2571-959,PHX,20.0,1,,1.0,1.0,1.0,1.0,2.0,,,,1.0,3.0,,,1.0,3.0,,1.0,,1.0,1.0,,,1.0,1.0,,3.0,3.0,1.0,,,1.5,1.5,,,1.0,1.0,1.0,144.0,16.0,4.0,16.0,4.0,,,1.0,0.5256,0.5256,1.0,,1.0,3.0,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,,,,,,,,,1.6,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,True
1730-1952-2405-2564-2571,1610612756,"Brian Skinner, Raja Bell, Amar'e Stoudemire, Boris Diaw, Leandro Barbosa","Skinner, Bell, Stoudemire, Diaw, Barbosa",1730-1952-2405-2564-2571,PHX,33.0,1,1.0,1.0,2.0,,,3.0,,,,,,2.0,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,,130.9090909090909,11.0,11.0,11.0,11.0,,,,0.4064,,,,,-2.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,1.0,,,,,1.0,,,,,,,7.7,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,True
1730-1952-2405-2564-959,1610612756,"Brian Skinner, Raja Bell, Amar'e Stoudemire, Boris Diaw, Steve Nash","Skinner, Bell, Stoudemire, Diaw, Nash",1730-1952-2405-2564-959,PHX,198.0,1,3.0,6.0,5.0,,,11.0,2.0,,2.0,,9.0,8.0,,,,2.0,,,1.0,2.0,1.0,,,,,9.0,,,,,0.6428571428571429,,0.2857142857142857,,,1.0,,80.0,15.166666666666666,21.4,14.666666666666666,21.4,0.2857142857142857,,1.0,0.6012285714285713,,,25.45,,1.0,3.0,5.0,,,,,3.0,5.0,6.0,,3.0,3.0,3.0,,6.0,1.0,1.0,1.0,0.6,0.6428571428571429,1.0,,,0.7142857142857143,0.6,0.75,1.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,1.0,,,,0.2,0.2,0.5,0.3333333333333333,0.5,,1.0,,,,0.7323,,1.0,,1.0,,,1.0,,,,,,,,,,1.0,,,,,0.5,,0.5,,,0.5,0.5,,,0.5,,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,True
1730-1952-255-2571-959,1610612756,"Brian Skinner, Raja Bell, Grant Hill, Leandro Barbosa, Steve Nash","Skinner, Bell, Hill, Barbosa, Nash",1730-1952-255-2571-959,PHX,145.0,1,2.0,6.0,6.0,1.0,6.0,12.0,1.0,,1.0,2.0,9.0,3.0,,1.0,3.0,1.0,,1.0,3.0,3.0,2.0,,2.0,4.0,1.0,9.0,3.0,1.0,1.0,1.0,0.6428571428571429,0.75,0.2,1.0,,1.0,,119.17241379310346,12.833333333333334,11.333333333333334,12.833333333333334,11.333333333333334,0.2,,0.8,0.57694,0.7889,0.3333333333333333,25.5,0.16666666666666666,6.0,2.0,3.0,,,,1.0,2.0,4.0,,4.0,,1.0,,,3.0,2.0,,,0.5,0.7,1.0,,1.0,0.6,0.6666666666666666,0.6666666666666666,,,,,0.2,,,,6.325,1.0,0.16666666666666666,0.2,,1.0,1.0,,,,,1.0,1.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,3.0,1.0,1.0,1.0,,1.0,1.0,,,,,1.0,,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,True
1730-1952-2564-2571-959,1610612756,"Brian Skinner, Raja Bell, Boris Diaw, Leandro Barbosa, Steve Nash","Skinner, Bell, Diaw, Barbosa, Nash",1730-1952-2564-2571-959,PHX,31.0,1,1.0,1.0,1.0,1.0,1.0,2.0,,,,1.0,1.0,2.0,,1.0,1.0,,,,,,,,1.0,2.0,,1.0,1.0,1.0,,,0.5,0.5,,,,,,92.9032258064516,18.0,13.0,18.0,13.0,,,,,,1.0,,1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612756,2008,2007-08,True
