EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PtsUnassisted2s,Fg2aBlocked,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,LongMidRangeFGA,DefThreePtRebounds,BadPassTurnovers,DefThreePtReboundPct,DefArc3ReboundPct,LongMidRangeFrequency,SecondChanceOffPoss,Arc3FGA,SecondChanceArc3FGA,FG3A,SecondChanceFG3A,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,Assisted2sPct,NonPutbacksAssisted2sPct,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,AtRimPctAssisted,Arc3Frequency,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,PenaltyOffPoss,PenaltyTurnovers,Offensive Fouls,Blocked2s,BlockedAtRim,Blocks,PenaltyOffPossExcludingTakeFouls,PenaltyOffPossPct,PenaltyDefPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGM,LostBallSteals,PenaltyPointsExcludingTakeFouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctBlocked,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,ShortMidRangeAssists,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffShortMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,LongMidRangeFGM,LongMidRangeAssists,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,AtRimPctBlocked,OffAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,FTDefRebounds,SecondChanceTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,RecoveredBlocks,DefFTReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,PenaltyFtPoints,PtsAssisted3s,ThreePtAssists,Arc3Assists,Assisted3sPct,Arc3PctAssisted,Blocked3s,BlockedCorner3,NonShootingPenaltyNonTakeFouls,Corner3FGA,BadPassOutOfBoundsTurnovers,Corner3Frequency,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,BlockedLongMidRange,HeaveAttempts,OffArc3ReboundPct,BlockedShortMidRange,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,Corner3Assists,3SecondViolations,SecondChanceFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,FTOffRebounds,OffFTReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,SecondChanceAtRimPctAssisted,Defensive 3 Seconds Violations,team_id,year,season,team_vs
101129-101236-1503-1517-201171,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Bobby Jackson, Carl Landry","Head, Hayes, McGrady, Jackson, Landry",101129-101236-1503-1517-201171,HOU,231.0,1,4.0,-8.0,7.0,7.0,14.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,2.0,4.0,0.3333333333333333,0.3333333333333333,0.4,0.3333333333333333,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,87.27272727272727,12.857142857142858,20.142857142857142,12.857142857142858,18.142857142857142,0.6666666666666666,0.5,0.5,0.3333333333333333,0.6666666666666666,0.6185666666666666,0.4,0.4,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,True
101129-101236-1503-201166-201171,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Aaron Brooks, Carl Landry","Head, Hayes, McGrady, Brooks, Landry",101129-101236-1503-201166-201171,HOU,200.0,1,3.0,-5.0,6.0,7.0,13.0,1.0,1.0,1.0,1.0,3.0,2.0,4.0,9.0,2.0,1.0,,1.0,1.0,,,1.0,1.0,,1.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,1.0,0.5,,0.3333333333333333,,93.6,18.5,12.714285714285714,18.5,9.714285714285714,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.4527333333333334,0.25,0.25,7.833333333333333,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,True
101129-101236-1517-201171-2203,1610612745,"Luther Head, Chuck Hayes, Bobby Jackson, Carl Landry, Shane Battier","Head, Hayes, Jackson, Landry, Battier",101129-101236-1517-201171-2203,HOU,259.0,1,4.0,-5.0,8.0,8.0,16.0,1.0,1.0,1.0,1.0,4.0,2.0,4.0,9.0,,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,1.0,2.0,1.0,4.0,0.25,0.16666666666666666,0.2857142857142857,0.25,1.0,0.5,1.0,1.0,,88.95752895752896,17.0,15.375,16.25,15.375,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.47194166666666665,0.14285714285714285,0.2,10.975,2.0,,,,,0.3333333333333333,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,0.5421,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,True
101129-101236-1517-2203-2449,1610612745,"Luther Head, Chuck Hayes, Bobby Jackson, Shane Battier, Luis Scola","Head, Hayes, Jackson, Battier, Scola",101129-101236-1517-2203-2449,HOU,70.0,1,1.0,-2.0,3.0,2.0,5.0,,,,,,,,2.0,,,1.0,1.0,1.0,,,1.0,1.0,,,2.0,,1.0,,,,,,,,,,,0.5,0.3333333333333333,0.3333333333333333,,102.85714285714285,11.333333333333334,18.0,11.333333333333334,15.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,,,,,,,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,True
101129-101236-200779-200839-201166,1610612745,"Luther Head, Chuck Hayes, Steve Novak, Mike Harris, Aaron Brooks","Head, Hayes, Novak, Harris, Brooks",101129-101236-200779-200839-201166,HOU,183.0,1,3.0,-1.0,6.0,7.0,13.0,1.0,1.0,1.0,1.0,3.0,,5.0,6.0,2.0,1.0,1.0,3.0,3.0,1.0,,,,,,,2.0,2.0,,,,,5.0,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.3333333333333333,,,1.0,1.0,,102.29508196721312,19.5,9.428571428571429,19.5,9.428571428571429,0.16666666666666666,1.0,1.0,0.16666666666666666,0.6666666666666666,0.42555000000000004,,,11.266666666666666,1.0,2.0,,1.0,1.0,0.16666666666666666,,3.0,,3.0,,,3.0,,,,,,,,,0.5,,,,1.0,,,0.5,,,24.833333333333332,6.0,,,,,,6.0,1.0,7.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,5.0,3.0,1.0,1.0,5.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.4166666666666667,1.0,0.3333333333333333,0.3333333333333333,0.16666666666666666,1.0,0.5,0.3333333333333333,0.3333333333333333,0.42555000000000004,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,True
101129-101236-201166-201171-2203,1610612745,"Luther Head, Chuck Hayes, Aaron Brooks, Carl Landry, Shane Battier","Head, Hayes, Brooks, Landry, Battier",101129-101236-201166-201171-2203,HOU,130.0,1,2.0,1.0,3.0,4.0,7.0,2.0,2.0,2.0,3.0,6.0,,6.0,5.0,4.0,,1.0,1.0,4.0,,,,,,,,1.0,1.0,,,,,2.0,0.5,0.5,0.5,,,,1.0,1.0,,77.53846153846155,21.0,16.75,17.333333333333332,16.75,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.46195,,,7.566666666666666,2.0,,,,,0.3333333333333333,2.0,,,,,2.0,,1.0,1.0,,2.0,3.0,3.0,0.3333333333333333,0.5,,1.0,1.0,1.0,1.0,,,,,0.5233333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,1.0,2.0,3.0,4.0,2.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,True
101129-101236-201166-2203-2449,1610612745,"Luther Head, Chuck Hayes, Aaron Brooks, Shane Battier, Luis Scola","Head, Hayes, Brooks, Battier, Scola",101129-101236-201166-2203-2449,HOU,204.0,1,3.0,6.0,6.0,5.0,11.0,3.0,5.0,,4.0,7.0,1.0,9.0,3.0,4.0,1.0,1.0,3.0,5.0,1.0,,,,,,,1.0,1.0,,3.0,3.0,1.0,7.0,0.5714285714285714,0.5,0.5,0.14285714285714285,,,1.0,1.0,,77.64705882352942,17.333333333333332,20.0,16.5,20.0,0.625,0.6,0.75,,0.75,0.5482,0.125,0.14285714285714285,5.8,2.0,2.0,,1.0,1.0,0.25,1.0,1.0,,1.0,,4.0,1.0,2.0,2.0,1.0,4.0,2.0,2.0,0.5,0.5,0.125,0.6666666666666666,0.5,,1.0,,0.3333333333333333,0.125,,0.55385,24.3,2.0,,,,,,2.0,0.3333333333333333,,1.0,3.0,,,,,2.0,4.0,,,4.0,,,1.0,4.0,,,,0.5,0.5,0.4,,,,0.75,0.3333333333333333,,,,0.601075,0.4444444444444444,,1.0,,1.0,2.0,2.0,,,,0.5,0.5,0.5,,,,,,0.5,,0.2222222222222222,1.0,1.0,1.0,1.0,1.0,0.2,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,True
101129-1503-1517-201166-2203,1610612745,"Luther Head, Tracy McGrady, Bobby Jackson, Aaron Brooks, Shane Battier","Head, McGrady, Jackson, Brooks, Battier",101129-1503-1517-201166-2203,HOU,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,True
101129-1503-1517-201171-2449,1610612745,"Luther Head, Tracy McGrady, Bobby Jackson, Carl Landry, Luis Scola","Head, McGrady, Jackson, Landry, Scola",101129-1503-1517-201171-2449,HOU,305.0,3,5.0,-6.0,10.0,10.0,20.0,,2.0,3.0,1.0,6.0,3.0,5.0,11.0,2.0,1.0,2.0,4.0,5.0,,,2.0,2.0,,,4.0,2.0,5.0,,5.0,3.0,2.0,5.0,0.16666666666666666,0.16666666666666666,0.35714285714285715,0.16666666666666666,,0.5,0.5,0.5,1.0,94.42622950819673,15.5,15.0,15.0,13.9,0.3333333333333333,,,0.5,0.3333333333333333,0.4419,0.2857142857142857,0.2857142857142857,6.233333333333333,1.0,1.0,2.0,0.5,,0.16666666666666666,1.0,,,,,,,,,,,1.0,1.0,,,,0.2,0.2,,0.3333333333333333,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.5,,0.3333333333333333,0.3333333333333333,,,,,,,1.0,,,0.5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,True
101129-1503-1517-2203-2449,1610612745,"Luther Head, Tracy McGrady, Bobby Jackson, Shane Battier, Luis Scola","Head, McGrady, Jackson, Battier, Scola",101129-1503-1517-2203-2449,HOU,20.0,2,,1.0,2.0,2.0,4.0,,,,,,3.0,3.0,2.0,,,,1.0,1.0,,,,,,,,,,,2.0,4.0,,3.0,,,0.75,,,,,1.0,,288.0,3.0,7.0,3.0,7.0,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,1.0,2.0,,,,,,,,,,,3.0,,,,3.0,,,,,,0.75,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2008,2007-08,True
