EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,Points,OpponentPoints,PtsUnassisted2s,FTDefRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Fg2Pct,EfgPct,TsPct,DefFTReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PlusMinus,PenaltyOffPoss,Corner3FGA,PenaltyCorner3FGA,FG3A,PenaltyFG3A,Steals,BadPassSteals,PenaltyOffPossExcludingTakeFouls,FG3APct,Corner3Frequency,PenaltyCorner3Frequency,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,LostBallSteals,DeadBallTurnovers,Turnovers,FoulsDrawn,Offensive Fouls Drawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,ShortMidRangeFGM,ShortMidRangeFGA,Corner3FGM,Arc3FGM,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FtPoints,PenaltyFG3M,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,OffTwoPtRebounds,DefTwoPtRebounds,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,ShootingFouls,Loose Ball Fouls,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PtsUnassisted3s,PtsPutbacks,ShortMidRangeAssists,Technical Free Throw Trips,SecondChanceFg3Pct,PenaltyFg2Pct,AtRimPctBlocked,OffAtRimReboundPct,ShortMidRangePctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimFGM,PenaltyFtPoints,LostBallTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyAtRimAccuracy,SelfOReb,Offensive Fouls,3SecondViolations,SelfORebPct,PenaltyTurnovers,Loose Ball Fouls Drawn,OffCorner3ReboundPct,HeaveAttempts,BadPassOutOfBoundsTurnovers,FTOffRebounds,Blocked3s,BlockedArc3,BlockedLongMidRange,BlockedShortMidRange,OffFTReboundPct,SecondChanceCorner3FGA,Travels,SecondChanceCorner3Frequency,PenaltyCorner3FGM,LongMidRangePctBlocked,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,DefensiveGoaltends,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Clear Path Fouls,3pt And 1 Free Throw Trips,OffensiveGoaltends,Fg3aBlocked,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,team_id,year,season,team_vs
101114-101139-101179-1905-2246,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Andrei Kirilenko, Mehmet Okur","Williams, Miles, Price, Kirilenko, Okur",101114-101139-101179-1905-2246,UTA,28.0,1,1.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,154.28571428571428,18.0,5.0,18.0,5.0,1.0,1.0,1.0,1.0,0.5614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2008,2007-08,False
101114-101139-101179-200758-2078,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Ronnie Brewer, Jason Hart","Williams, Miles, Price, Brewer, Hart",101114-101139-101179-200758-2078,UTA,12.0,1,1.0,3.0,3.0,4.0,,,,,,2.0,,,,,2.0,,2.0,,,,,480.0,10.0,0.6666666666666666,10.0,0.6666666666666666,,,,1.0,0.40935,-2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.40935,25.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2008,2007-08,False
101114-101139-101179-200794-2430,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Paul Millsap, Carlos Boozer","Williams, Miles, Price, Millsap, Boozer",101114-101139-101179-200794-2430,UTA,104.0,1,4.0,3.0,3.0,7.0,2.0,2.0,3.0,3.0,6.0,1.0,,,1.0,2.0,1.0,2.0,1.0,1.0,0.75,0.75,,96.92307692307692,10.25,21.0,6.75,17.0,0.5,1.0,1.0,0.75,0.6044875,5.0,,,,1.0,,1.0,,,0.25,,,,25.9,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,6.0,1.0,3.0,3.0,2.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.5,1.0,1.0,0.3283,0.6666666666666666,6.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2008,2007-08,False
101114-101139-101179-2246-2430,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Mehmet Okur, Carlos Boozer","Williams, Miles, Price, Okur, Boozer",101114-101139-101179-2246-2430,UTA,1122.0,1,33.0,33.0,8.0,66.0,6.0,7.0,12.0,20.0,52.0,34.0,4.0,1.0,13.0,16.0,8.0,52.0,3.0,0.6,0.7272727272727273,0.7428571428571429,1.0,84.70588235294117,17.12121212121212,16.87878787878788,16.818181818181817,16.666666666666668,0.21212121212121213,0.8571428571428571,0.8571428571428571,0.6060606060606061,0.5196375,18.0,6.0,1.0,,13.0,7.0,4.0,2.0,6.0,0.3939393939393939,0.030303030303030304,,0.556725,25.446153846153848,0.18181818181818182,19.0,1.0,,,5.0,8.0,12.0,,1.0,,20.0,12.0,10.0,18.0,5.0,5.0,44.0,,5.0,3.0,2.0,,2.0,4.0,,0.8333333333333334,0.8333333333333334,,,,0.8333333333333334,,0.8,0.25,,1.0,0.8333333333333334,0.24242424242424243,0.625,0.625,1.0,0.36363636363636365,,,,0.3945,,9.74,1.0,5.0,1.0,7.0,4.0,7.0,8.0,4.0,4.0,12.0,24.0,7.0,2.0,8.0,7.0,1.0,3.0,7.0,2.0,2.0,1.0,1.0,2.0,5.0,1.0,3.0,1.0,1.0,1.0,1.0,12.0,1.0,0.6153846153846154,0.5714285714285714,0.6153846153846154,0.8571428571428571,0.8571428571428571,0.1,0.4,1.0,0.7777777777777778,0.375,0.25,0.6666666666666666,1.0,0.5,0.8333333333333334,0.8,1.0,0.15151515151515152,0.2,0.3333333333333333,1.0,1.0,1.0,0.5833333333333334,0.5833333333333334,1.0,1.0,0.5714285714285714,0.5833333333333334,0.08571428571428572,0.13636363636363635,0.23076923076923078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2008,2007-08,False
101114-101139-1723-1905-200758,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Andrei Kirilenko, Ronnie Brewer","Williams, Miles, Harpring, Kirilenko, Brewer",101114-101139-1723-1905-200758,UTA,1.0,1,,1.0,1.0,1.0,,,,,,2.0,,,,,1.0,,1.0,,,,,1440.0,,1.0,,1.0,,,,,,-2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2008,2007-08,False
101114-101139-1723-1905-200794,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Andrei Kirilenko, Paul Millsap","Williams, Miles, Harpring, Kirilenko, Millsap",101114-101139-1723-1905-200794,UTA,505.0,3,14.0,15.0,9.0,29.0,,7.0,3.0,16.0,18.0,20.0,4.0,,2.0,11.0,2.0,8.0,1.0,0.1875,0.3333333333333333,0.38636363636363635,,82.6930693069307,19.428571428571427,15.533333333333333,17.5,13.333333333333334,0.3888888888888889,,,0.5,0.4710055555555555,-2.0,8.0,,,2.0,1.0,1.0,1.0,8.0,0.1111111111111111,,,0.44033125,24.65,0.5714285714285714,8.0,5.0,,2.0,,3.0,2.0,2.0,6.0,10.0,2.0,2.0,1.0,2.0,,,5.0,,1.0,9.0,,,,5.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.5,0.5625,1.0,,0.4,0.6923076923076923,,1.0,,0.16666666666666666,,,,0.1111111111111111,0.2857142857142857,,,0.48736428571428575,0.5555555555555556,6.4875,3.0,6.0,,2.0,1.0,1.0,2.0,6.0,1.0,7.0,3.0,2.0,4.0,1.0,1.0,,9.0,1.0,,,,1.0,,10.0,,4.0,1.0,1.0,1.0,,7.0,0.5,1.0,1.0,1.0,0.4375,0.3888888888888889,0.25,0.16666666666666666,,0.25,0.6923076923076923,1.0,0.3333333333333333,,,1.0,,,0.3333333333333333,0.5,0.6,,,,1.0,1.0,0.5,0.125,1.0,1.0,0.18181818181818182,0.2,0.3888888888888889,3.0,1.0,1.0,1.0,1.0,3.0,2.0,7.0,3.0,2.0,1.0,2.0,1.0,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.3333333333333333,0.14285714285714285,1.0,1.0,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2008,2007-08,False
101114-101139-1723-1905-2246,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Andrei Kirilenko, Mehmet Okur","Williams, Miles, Harpring, Kirilenko, Okur",101114-101139-1723-1905-2246,UTA,79.0,1,2.0,3.0,,5.0,2.0,2.0,2.0,2.0,4.0,7.0,,,,,1.0,4.0,,1.0,1.0,1.0,,91.13924050632912,14.0,17.0,14.0,17.0,1.0,1.0,1.0,1.0,0.5994,-3.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,4.0,,2.0,2.0,2.0,,4.0,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2008,2007-08,False
101114-101139-1723-1905-2430,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Andrei Kirilenko, Carlos Boozer","Williams, Miles, Harpring, Kirilenko, Boozer",101114-101139-1723-1905-2430,UTA,275.0,2,10.0,10.0,10.0,20.0,3.0,4.0,5.0,6.0,17.0,17.0,2.0,1.0,4.0,5.0,2.0,14.0,1.0,0.8333333333333334,0.9285714285714286,0.9444444444444444,1.0,104.72727272727273,12.6,14.9,12.2,14.7,0.5714285714285714,0.75,1.0,0.7142857142857143,0.5146142857142857,,6.0,,,1.0,1.0,,,6.0,0.14285714285714285,,,0.49572000000000005,24.5,0.6,5.0,1.0,,,2.0,2.0,1.0,,,3.0,8.0,1.0,4.0,5.0,3.0,1.0,11.0,,,1.0,,,2.0,3.0,,0.8,0.8,,1.5,1.5,,,0.75,1.0,,,1.0,0.2857142857142857,1.0,1.0,0.5,0.14285714285714285,,,,0.4719,0.17647058823529413,5.366666666666667,,,,1.0,1.0,1.0,1.0,4.0,1.0,13.0,3.0,1.0,1.0,1.0,1.0,,1.0,3.0,2.0,,,1.0,,5.0,,,1.0,1.0,1.0,1.0,13.0,1.0,1.0,1.0,1.0,0.9,0.9285714285714286,0.16666666666666666,,1.0,0.75,1.0,,,0.6666666666666666,,1.0,,1.0,,,,,,,1.0,1.0,1.0,0.2,1.0,1.0,,,0.7647058823529411,2.0,1.0,1.0,1.0,1.0,,3.0,4.0,,,,1.0,1.0,0.75,0.25,1.0,,1.0,1.0,1.0,0.4,1.0,4.0,2.0,2.0,2.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2008,2007-08,False
101114-101139-1723-200794-201178,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Paul Millsap, Kyrylo Fesenko","Williams, Miles, Harpring, Millsap, Fesenko",101114-101139-1723-200794-201178,UTA,96.0,1,4.0,3.0,,7.0,1.0,1.0,3.0,3.0,6.0,6.0,,,,,1.0,6.0,,1.0,1.0,1.0,,105.0,13.25,14.333333333333334,13.25,14.333333333333334,0.3333333333333333,1.0,1.0,0.3333333333333333,0.48763333333333336,,,,,,,1.0,1.0,,,,,,,,2.0,,,,1.0,1.0,,,,,6.0,,3.0,3.0,1.0,1.0,6.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,,1.0,0.3333333333333333,1.0,1.0,1.0,,,,,,,8.700000000000001,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2008,2007-08,False
101114-101139-1723-200794-2246,1610612762,"Deron Williams, CJ Miles, Matt Harpring, Paul Millsap, Mehmet Okur","Williams, Miles, Harpring, Millsap, Okur",101114-101139-1723-200794-2246,UTA,1086.0,7,33.0,36.0,2.0,69.0,8.0,11.0,14.0,22.0,40.0,43.0,16.0,2.0,11.0,15.0,6.0,35.0,,0.6363636363636364,0.6071428571428571,0.6290322580645161,1.0,91.49171270718232,17.484848484848484,14.13888888888889,17.09090909090909,13.083333333333334,0.39285714285714285,0.7272727272727273,0.7272727272727273,0.6071428571428571,0.5039107142857143,-3.0,,1.0,,6.0,,4.0,3.0,,0.21428571428571427,0.03571428571428571,,,24.349999999999998,,18.0,4.0,2.0,3.0,5.0,9.0,5.0,2.0,3.0,5.0,12.0,5.0,6.0,8.0,2.0,4.0,18.0,,2.0,4.0,1.0,3.0,6.0,6.0,2.0,0.42857142857142855,0.46153846153846156,0.6666666666666666,0.6666666666666666,0.625,0.6666666666666666,,0.6428571428571429,0.3333333333333333,,,0.25,0.32142857142857145,0.5555555555555556,0.5555555555555556,0.8,0.17857142857142858,1.0,0.6666666666666666,,0.5412666666666667,0.125,8.018181818181818,1.0,2.0,1.0,1.0,,,2.0,6.0,,,6.0,1.0,,2.0,1.0,1.0,4.0,7.0,3.0,1.0,,4.0,,8.0,1.0,4.0,1.0,1.0,1.0,,,1.0,0.3333333333333333,,0.3333333333333333,,,,,0.5,0.6363636363636364,0.5,,0.75,,0.6666666666666666,0.8333333333333334,0.6666666666666666,,0.07142857142857142,0.5,0.5,1.0,1.0,1.0,0.2,0.2,1.0,,,0.2,0.12903225806451613,0.16,,,,,,,1.0,,,,2.0,,1.0,,,,0.3333333333333333,,,,,,,,2.0,,,,1.0,2.0,1.0,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2008,2007-08,False
