EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,FtPoints,OpponentPoints,PenaltyFtPoints,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,Steals,LostBallSteals,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefFTReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,Arc3FGM,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,NonHeaveArc3FGM,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,BadPassSteals,BadPassTurnovers,PenaltyTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,Corner3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Blocked2s,BlockedAtRim,Blocks,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Loose Ball Fouls,RecoveredBlocks,BlocksRecoveredPct,PtsAssisted3s,HeaveAttempts,ThreePtAssists,Arc3Assists,Assisted3sPct,Arc3PctAssisted,OffThreePtRebounds,Travels,SecondChanceTurnovers,Defensive 3 Seconds Violations,AtRimPctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,LostBallOutOfBoundsTurnovers,Offensive Fouls,BlockedShortMidRange,DefShortMidRangeReboundPct,SelfOReb,LongMidRangePctBlocked,SelfORebPct,Corner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFG3A,Corner3Assists,NonShootingPenaltyNonTakeFouls,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,3SecondViolations,SecondChanceFg3Pct,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,BlockedLongMidRange,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,OffensiveGoaltends,HeaveMakes,Blocked3s,BlockedCorner3,3pt And 1 Free Throw Trips,BlockedArc3,Clear Path Fouls,team_id,year,season,team_vs
101126-101135-1744-200776-2410,1610612752,"Nate Robinson, David Lee, Jerome James, Mardy Collins, Fred Jones","Robinson, Lee, James, Collins, Jones",101126-101135-1744-200776-2410,NYK,108.0,1,2.0,4.0,4.0,3.0,4.0,3.0,7.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,4.0,0.5,0.5,0.6666666666666666,0.6666666666666666,0.5,0.5,0.5,0.5,0.25,1.0,1.0,1.0,1.0,93.33333333333333,9.25,23.666666666666668,9.25,23.666666666666668,0.5,1.0,1.0,0.5,0.25,0.25,0.5,1.0,0.25,0.75,0.4446625,0.4446625,1.0,6.2,33.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
101126-101135-200764-200776-201043,1610612752,"Nate Robinson, David Lee, Renaldo Balkman, Mardy Collins, Randolph Morris","Robinson, Lee, Balkman, Collins, Morris",101126-101135-200764-200776-201043,NYK,274.0,2,5.0,-5.0,8.0,8.0,2.0,3.0,16.0,1.0,1.0,1.0,1.0,1.0,,,3.0,5.0,,8.0,1.0,1.0,,3.0,6.0,,,3.0,3.0,1.0,6.0,,1.0,1.0,8.0,3.0,2.0,1.0,1.0,0.6,1.0,0.6,1.0,0.6666666666666666,1.5,,,,,,84.08759124087592,15.75,18.5,15.75,17.25,0.2,1.0,1.0,1.0,0.2,,1.0,1.0,,0.2,0.4311,0.545,0.375,9.5,,0.25,1.0,3.0,1.0,2.0,13.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,1.0,2.0,0.2,0.3333333333333333,1.0,1.0,0.6,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
101126-101135-200764-200776-201163,1610612752,"Nate Robinson, David Lee, Renaldo Balkman, Mardy Collins, Wilson Chandler","Robinson, Lee, Balkman, Collins, Chandler",101126-101135-200764-200776-201163,NYK,482.0,2,8.0,3.0,16.0,15.0,9.0,8.0,31.0,3.0,5.0,2.0,3.0,3.0,3.0,2.0,5.0,8.0,4.0,18.0,3.0,5.0,2.0,11.0,4.0,6.0,3.0,2.0,2.0,1.0,4.0,,4.0,6.0,14.0,11.0,9.0,0.4,0.5,0.625,0.6,0.5416666666666666,0.6428571428571429,0.53125,0.5555555555555556,0.3333333333333333,,0.8,,,92.61410788381743,17.9375,13.0,17.0,12.933333333333334,0.4166666666666667,0.6,0.6,0.3333333333333333,0.25,0.25,0.42857142857142855,0.6666666666666666,0.2857142857142857,0.75,0.4834833333333333,0.4821642857142857,0.6111111111111112,7.6,24.7,0.5625,,,2.0,5.0,15.0,2.0,,,1.0,,3.0,,1.0,,1.0,4.0,4.0,7.0,9.0,,4.0,,,1.0,,,,,,0.6666666666666666,0.6666666666666666,0.5,0.25,0.3333333333333333,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,3.0,2.0,1.0,2.0,4.0,2.0,3.0,1.0,1.0,1.0,1.0,0.25,0.5,0.25,1.0,1.0,0.75,0.6666666666666666,0.8,0.3333333333333333,0.5,1.0,1.0,0.6666666666666666,0.08333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.5586,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
101126-101135-200764-200776-2037,1610612752,"Nate Robinson, David Lee, Renaldo Balkman, Mardy Collins, Jamal Crawford","Robinson, Lee, Balkman, Collins, Crawford",101126-101135-200764-200776-2037,NYK,131.0,1,2.0,6.0,4.0,3.0,1.0,1.0,7.0,3.0,4.0,1.0,1.0,,,,3.0,4.0,,6.0,1.0,1.0,,2.0,6.0,,,3.0,3.0,3.0,6.0,1.0,1.0,1.0,6.0,2.0,1.0,1.0,1.0,0.75,1.0,0.75,1.0,0.75,1.0,,0.5,0.5,,1.0,76.94656488549619,14.75,24.0,14.75,24.0,1.0,0.75,0.75,1.0,,,1.0,1.0,,1.0,0.5561,0.3492,0.3333333333333333,1.075,,0.25,,,,,,,,,,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
101126-101135-200764-200776-2047,1610612752,"Nate Robinson, David Lee, Renaldo Balkman, Mardy Collins, Quentin Richardson","Robinson, Lee, Balkman, Collins, Richardson",101126-101135-200764-200776-2047,NYK,103.0,1,2.0,3.0,5.0,5.0,,,10.0,1.0,1.0,,,2.0,,,2.0,3.0,,5.0,,,,,,4.0,,,,,,1.0,3.0,3.0,5.0,,,,,0.6666666666666666,,0.6666666666666666,,0.8333333333333334,,,1.0,1.0,1.0,,139.80582524271844,7.0,13.6,7.0,13.6,0.3333333333333333,1.0,1.0,,0.6666666666666666,,,,,0.3333333333333333,0.5472333333333333,,,11.633333333333333,,,,,1.0,1.0,2.0,,,,,,1.0,1.0,1.0,,2.0,,1.0,1.0,1.0,1.0,1.0,,,0.5,,,,,,0.5,0.5,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
101126-101135-200764-200776-2407,1610612752,"Nate Robinson, David Lee, Renaldo Balkman, Mardy Collins, Jared Jeffries","Robinson, Lee, Balkman, Collins, Jeffries",101126-101135-200764-200776-2407,NYK,239.0,2,4.0,-2.0,6.0,7.0,,,13.0,,2.0,,,1.0,2.0,1.0,,3.0,2.0,5.0,,,1.0,,,,1.0,,1.0,,3.0,2.0,2.0,2.0,5.0,,,,,,,0.3,,0.4166666666666667,,0.4,1.0,0.5,1.0,1.0,78.32635983263599,20.5,16.571428571428573,20.5,14.428571428571429,0.4,,,,0.2,0.4,,,1.0,0.8,0.507375,,,6.7,33.1,,,,,2.0,7.0,,,,,,1.0,,,,1.0,2.0,2.0,1.0,2.0,,1.0,,,,,,,,,,,,0.16666666666666666,0.25,,,,,1.0,,1.0,,,,,,,,1.0,,,,1.0,,,,,0.5,,1.0,,,,,,,,,,,,0.5,0.5,,,,1.0,,,,,,,1.0,,,,3.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
101126-101135-200764-200776-2410,1610612752,"Nate Robinson, David Lee, Renaldo Balkman, Mardy Collins, Fred Jones","Robinson, Lee, Balkman, Collins, Jones",101126-101135-200764-200776-2410,NYK,800.0,3,13.0,-15.0,25.0,23.0,,,48.0,4.0,7.0,,,4.0,4.0,,7.0,19.0,6.0,21.0,,,,,8.0,6.0,4.0,4.0,6.0,2.0,14.0,2.0,6.0,9.0,17.0,,,0.5714285714285714,0.6666666666666666,0.3684210526315789,,0.4,,0.38461538461538464,,0.24,0.6666666666666666,0.8571428571428571,,1.0,86.39999999999999,17.68,15.565217391304348,17.16,15.565217391304348,0.28,0.5714285714285714,1.0,0.5,0.16,0.16,,,,0.52,0.475154,,,7.7,24.666666666666668,,2.0,8.0,1.0,1.0,36.0,,4.0,1.0,1.0,,1.0,1.0,,,3.0,4.0,6.0,2.0,3.0,,1.0,0.21052631578947367,0.125,,,0.32,0.25,0.2857142857142857,0.5,0.25,0.25,1.0,0.038461538461538464,0.05,3.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,,4.0,,,2.0,2.0,,4.0,3.0,,,,,1.0,0.3333333333333333,,0.3333333333333333,1.0,1.0,1.0,,1.0,0.2,,,1.0,1.0,0.08,0.5,0.5,1.0,1.0,,0.5,,0.19047619047619047,1.0,1.0,1.0,1.0,3.0,,,,6.0,,2.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,0.42857142857142855,0.75,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
101126-101135-200764-200776-990,1610612752,"Nate Robinson, David Lee, Renaldo Balkman, Mardy Collins, Malik Rose","Robinson, Lee, Balkman, Collins, Rose",101126-101135-200764-200776-990,NYK,258.0,1,4.0,,9.0,8.0,9.0,8.0,17.0,,1.0,,1.0,1.0,,,,3.0,,2.0,,3.0,,2.0,,,,,,,,1.0,4.0,5.0,2.0,2.0,9.0,,,,,,,0.25,0.25,,1.0,1.0,,,94.88372093023256,17.77777777777778,12.25,16.22222222222222,12.25,0.3333333333333333,,,,0.3333333333333333,,0.3333333333333333,,,0.3333333333333333,0.49133333333333334,0.49133333333333334,1.0,11.233333333333334,,1.0,,1.0,,2.0,2.0,2.0,,,,1.0,2.0,,2.0,2.0,5.0,1.0,2.0,1.0,2.0,,1.0,,,0.4,1.0,0.3333333333333333,,,,,,,0.25,0.25,1.0,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,5.0,,,,,,,,,0.3333333333333333,1.0,0.3333333333333333,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,3.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
101126-101135-200764-201043-201163,1610612752,"Nate Robinson, David Lee, Renaldo Balkman, Randolph Morris, Wilson Chandler","Robinson, Lee, Balkman, Morris, Chandler",101126-101135-200764-201043-201163,NYK,56.0,1,1.0,-5.0,2.0,3.0,,,5.0,,,,,,1.0,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.5,,,,,128.57142857142856,19.5,5.666666666666667,19.5,5.666666666666667,,,,,,0.5,,,,0.5,0.51505,,,6.9,24.0,,,1.0,,,5.0,,1.0,,,,,,,,,2.0,2.0,,,,,1.0,1.0,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
101126-101135-200764-201043-2037,1610612752,"Nate Robinson, David Lee, Renaldo Balkman, Randolph Morris, Jamal Crawford","Robinson, Lee, Balkman, Morris, Crawford",101126-101135-200764-201043-2037,NYK,23.0,1,,,1.0,,1.0,,1.0,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,62.60869565217391,11.0,,11.0,,,,,,1.0,,,,,,0.3377,0.3377,,14.5,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
101126-101135-200764-201163-2037,1610612752,"Nate Robinson, David Lee, Renaldo Balkman, Wilson Chandler, Jamal Crawford","Robinson, Lee, Balkman, Chandler, Crawford",101126-101135-200764-201163-2037,NYK,231.0,3,4.0,2.0,10.0,11.0,1.0,1.0,21.0,,,,,6.0,1.0,,3.0,6.0,1.0,12.0,,,,,2.0,4.0,1.0,1.0,1.0,,2.0,1.0,4.0,4.0,12.0,,1.0,0.3333333333333333,0.3333333333333333,0.5,,0.6428571428571429,,0.6666666666666666,,0.14285714285714285,1.0,0.8,1.0,,130.9090909090909,10.9,11.090909090909092,10.9,10.909090909090908,,,,,0.8571428571428571,0.14285714285714285,,,,0.14285714285714285,0.44791428571428576,,,19.233333333333334,25.2,0.1,,,3.0,3.0,10.0,,,,1.0,,1.0,,,,1.0,2.0,2.0,2.0,4.0,,2.0,,,,,,,,,0.5,0.5,0.3333333333333333,0.2222222222222222,0.25,,,,,1.0,,1.0,,,,,,3.0,,1.0,,3.0,,1.0,,1.0,,,1.0,,1.0,,,,,0.75,,,,0.6666666666666666,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2008,2007-08,False
