EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,FG2A,PtsUnassisted2s,DefTwoPtRebounds,ShootingFouls,Fg2Pct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Avg2ptShotDistance,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Fg2aBlocked,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PtsAssisted2s,TwoPtAssists,LongMidRangeAssists,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,DefCorner3ReboundPct,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,Arc3FGM,PenaltyArc3FGM,SecondChanceFG2A,NonHeaveArc3FGM,Arc3Assists,OffTwoPtRebounds,OffRebounds,LostBallTurnovers,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyFG2M,PenaltyFG2A,AtRimAssists,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,2pt And 1 Free Throw Trips,PenaltyFg2Pct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,LostBallOutOfBoundsTurnovers,SecondChanceAtRimFGA,SecondChanceFtPoints,SecondChancePoints,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,SelfOReb,StepOutOfBoundsTurnovers,Loose Ball Fouls,Offensive Fouls Drawn,3SecondViolations,SecondChanceTsPct,DefFTReboundPct,OffThreePtReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,HeaveAttempts,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,SecondChanceTurnovers,Offensive Fouls,SecondChanceFg3Pct,SecondChanceEfgPct,ShortMidRangePctBlocked,OffFTReboundPct,OffArc3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,Loose Ball Fouls Drawn,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,RecoveredBlocks,BlocksRecoveredPct,BlockedShortMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,Travels,ThreePtShootingFoulsDrawn,DefensiveGoaltends,ThreePtShootingFoulsDrawnPct,SecondChanceArc3PctAssisted,OffensiveGoaltends,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,HeaveMakes,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Corner3PctBlocked,Blocked3s,BlockedCorner3,BlockedArc3,3pt And 1 Free Throw Trips,Clear Path Fouls,Arc3PctBlocked,team_id,year,season,team_vs
101113-101122-101143-101211-2416,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Stephen Graham, Kareem Rush","Diogu, Granger, Diener, Graham, Rush",101113-101122-101143-101211-2416,IND,118.0,2,2.0,5.0,5.0,4.0,1.0,10.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,8.0,8.0,1.0,2.0,2.0,5.0,6.0,1.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,8.0,5.0,4.0,1.0,1.0,1.0,0.6666666666666666,0.5,0.6666666666666666,1.0,0.75,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,122.03389830508475,13.2,10.4,13.2,10.4,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.5,1.0,0.5821999999999999,0.5865,0.625,24.166666666666668,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,True
101113-101122-101143-101211-2605,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Stephen Graham, Marquis Daniels","Diogu, Granger, Diener, Graham, Daniels",101113-101122-101143-101211-2605,IND,50.0,1,1.0,1.0,1.0,,,2.0,,,,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,2.0,,,,,,,,,1.0,,1.0,,,,,0.5,,57.599999999999994,12.0,38.0,12.0,27.0,,,,,,,,,,0.3903,,,,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,True
101113-101122-101143-1902-2399,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Jeff Foster, Mike Dunleavy","Diogu, Granger, Diener, Foster, Dunleavy",101113-101122-101143-1902-2399,IND,145.0,1,2.0,4.0,5.0,,,9.0,1.0,1.0,,,,,1.0,1.0,,5.0,4.0,,,,,3.0,,1.0,1.0,1.0,3.0,,2.0,2.0,,,,,,,,,5.0,,,,,1.0,1.0,,1.0,0.625,,0.625,,0.25,,,0.4,,89.37931034482759,18.25,14.4,18.25,13.8,0.25,1.0,1.0,1.0,,,,,0.5,0.52085,,,24.4,,1.0,,,1.0,3.0,2.0,2.0,,0.3333333333333333,0.4,,,,,12.299999999999999,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,0.5,0.3333333333333333,0.25,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,True
101113-101122-101143-1902-2605,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Jeff Foster, Marquis Daniels","Diogu, Granger, Diener, Foster, Daniels",101113-101122-101143-1902-2605,IND,114.0,1,2.0,3.0,3.0,,,6.0,,,,,,,,,2.0,4.0,2.0,,,,,,,,1.0,,2.0,1.0,2.0,2.0,,,,,,3.0,4.0,,4.0,,,,,,,,,0.5,,0.5,,,,1.0,1.0,,75.78947368421053,20.666666666666668,17.333333333333332,20.666666666666668,17.333333333333332,,,,,,,,,,0.378,,,,,2.0,,,1.0,2.0,,1.0,,0.5,1.0,1.0,,,,17.05,,1.0,2.0,,,,,,,1.0,0.5,0.5,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,True
101113-101122-101143-200761-2399,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Shawne Williams, Mike Dunleavy","Diogu, Granger, Diener, Williams, Dunleavy",101113-101122-101143-200761-2399,IND,3.0,1,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,True
101113-101122-101143-200761-2605,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Shawne Williams, Marquis Daniels","Diogu, Granger, Diener, Williams, Daniels",101113-101122-101143-200761-2605,IND,35.0,1,1.0,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,82.28571428571428,28.0,7.0,28.0,7.0,,,,,,,,,,0.3546,,,,,,,,,1.0,,1.0,,,1.0,1.0,,,,16.3,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,True
101113-101122-101143-2211-2399,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Troy Murphy, Mike Dunleavy","Diogu, Granger, Diener, Murphy, Dunleavy",101113-101122-101143-2211-2399,IND,109.0,1,2.0,4.0,4.0,1.0,2.0,8.0,,,,,1.0,1.0,1.0,1.0,,3.0,4.0,1.0,1.0,,3.0,3.0,1.0,1.0,1.0,,3.0,1.0,2.0,3.0,1.0,,1.0,,2.0,1.0,,,3.0,3.0,1.0,,,1.0,1.0,1.0,1.0,0.5,1.5,0.5,1.5,0.3333333333333333,1.0,1.0,1.0,1.0,105.68807339449542,13.75,13.5,11.75,13.5,,,,,0.3333333333333333,,,1.0,0.3333333333333333,0.43105,0.54705,1.0,26.1,0.25,-1.0,,1.0,,2.0,,1.0,1.0,,1.0,,0.3333333333333333,,,12.05,,,1.0,,,,,1.0,,0.3333333333333333,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.4034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,True
101113-101122-101143-2211-2416,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Troy Murphy, Kareem Rush","Diogu, Granger, Diener, Murphy, Rush",101113-101122-101143-2211-2416,IND,178.0,2,3.0,4.0,5.0,3.0,,9.0,,,,,,,,,2.0,6.0,7.0,,,,2.0,,,,2.0,,4.0,1.0,2.0,2.0,,,2.0,2.0,1.0,2.0,3.0,,6.0,2.0,3.0,,,,,,,1.0,1.0,1.0,1.0,,,0.5,0.5,0.5,72.80898876404494,20.0,19.6,20.0,19.0,,,,,,,,,1.0,0.58495,0.5666,0.3333333333333333,,0.75,-1.0,,,2.0,2.0,,1.0,1.0,1.0,0.5,,,,,,2.0,,,,,,1.0,,1.0,,,,4.0,2.0,,2.0,1.0,1.0,,,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,True
101113-101122-101143-2211-2605,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Troy Murphy, Marquis Daniels","Diogu, Granger, Diener, Murphy, Daniels",101113-101122-101143-2211-2605,IND,42.0,1,1.0,3.0,2.0,,,5.0,,,,,,,,,2.0,2.0,,,,,,,,,,,,1.0,2.0,2.0,,,1.0,,,1.0,2.0,,2.0,,,,,,,,,,,1.0,,,,1.0,1.0,1.0,171.42857142857144,5.333333333333333,13.0,5.333333333333333,13.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,True
101113-101122-101143-2399-2416,1610612754,"Ike Diogu, Danny Granger, Travis Diener, Mike Dunleavy, Kareem Rush","Diogu, Granger, Diener, Dunleavy, Rush",101113-101122-101143-2399-2416,IND,581.0,4,10.0,22.0,22.0,16.0,7.0,44.0,1.0,3.0,1.0,1.0,2.0,1.0,2.0,5.0,9.0,21.0,20.0,2.0,2.0,5.0,17.0,6.0,2.0,2.0,3.0,1.0,8.0,5.0,10.0,13.0,1.0,1.0,3.0,3.0,6.0,8.0,11.0,1.0,19.0,17.0,16.0,1.0,1.0,1.0,0.4,1.0,0.4,0.375,0.46153846153846156,0.5,0.53125,0.3125,0.3333333333333333,1.0,0.9,1.0,109.05335628227195,16.363636363636363,10.045454545454545,15.5,9.954545454545455,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.125,0.07692307692307693,1.0,0.07692307692307693,0.625,0.477740625,0.4611923076923077,0.8095238095238095,23.78,0.7272727272727273,1.0,2.0,5.0,3.0,11.0,4.0,4.0,4.0,0.2727272727272727,0.8,1.0,0.3125,0.4,0.4,6.245454545454546,5.0,,1.0,1.0,0.09090909090909091,0.2,0.5,1.0,0.3125,0.0625,,,2.0,1.0,,5.0,0.3333333333333333,0.3333333333333333,1.0,,0.25,0.3333333333333333,2.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,,0.25,0.2727272727272727,0.3333333333333333,0.5,0.5,1.0,1.0,0.5,0.63735,1.0,1.0,5.0,3.0,11.0,,,2.0,1.0,0.2727272727272727,0.2,0.25,,0.38461538461538464,0.2,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.25,0.5,0.1,0.5,1.0,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2008,2007-08,True
