EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,Corner3FGA,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,FtPoints,NonHeaveArc3FGM,Arc3Assists,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg2ptShotDistance,PenaltyOffPossPct,PenaltyAtRimFGA,PenaltyFG2A,Fg2aBlocked,Travels,PenaltyTurnovers,Blocked2s,BlockedLongMidRange,Blocks,FG2APctBlocked,AtRimPctBlocked,PenaltyAtRimFrequency,PenaltyShotQualityAvg,SecondChanceArc3FGA,PenaltyArc3FGA,SecondChanceFG3A,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,ShootingFouls,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,SecondChanceArc3Frequency,PenaltyArc3Frequency,PenaltyPointsPct,OffTwoPtRebounds,Steals,BadPassSteals,OffTwoPtReboundPct,OffShortMidRangeReboundPct,LongMidRangeFGM,PenaltyArc3FGM,PenaltyFG3M,LongMidRangeAssists,PenaltyFg3Pct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3Accuracy,PenaltyAtRimFGM,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFtPoints,ShortMidRangeAssists,LostBallSteals,BadPassTurnovers,BlockedAtRim,DefensiveGoaltends,DefLongMidRangeReboundPct,ShortMidRangePctAssisted,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PtsPutbacks,SelfOReb,Loose Ball Fouls Drawn,OffAtRimReboundPct,SelfORebPct,2pt And 1 Free Throw Trips,BlockedShortMidRange,RecoveredBlocks,BlocksRecoveredPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,HeaveAttempts,SecondChanceTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,LostBallOutOfBoundsTurnovers,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,3SecondViolations,SecondChanceFtPoints,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,FTOffRebounds,Clear Path Fouls,Technical Free Throw Trips,Blocked3s,BlockedArc3,OffFTReboundPct,PtsUnassisted3s,DefCorner3ReboundPct,Defensive 3 Seconds Violations,StepOutOfBoundsTurnovers,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,OffensiveGoaltends,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,BlockedCorner3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101150-101183-1563-200760-201152,1610612755,"Lou Williams, Shavlik Randolph, Kevin Ollie, Rodney Carney, Thaddeus Young","Williams, Randolph, Ollie, Carney, Young",101150-101183-1563-200760-201152,PHI,160.0,1,3.0,1.0,4.0,4.0,4.0,1.0,8.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,2.0,9.0,8.0,1.0,1.0,2.0,4.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,2.0,7.0,7.0,0.6666666666666666,0.6666666666666666,1.0,0.5,0.5,1.0,1.0,0.9,1.0,0.9,1.0,0.4,72.0,13.0,27.0,10.0,27.0,0.6,1.0,1.0,0.6666666666666666,0.2,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,0.465,0.348,0.2222222222222222,25.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2008,2007-08,True
101150-101183-1563-200760-201160,1610612755,"Lou Williams, Shavlik Randolph, Kevin Ollie, Rodney Carney, Jason Smith","Williams, Randolph, Ollie, Carney, Smith",101150-101183-1563-200760-201160,PHI,323.0,1,5.0,-9.0,12.0,12.0,9.0,,24.0,1.0,1.0,,,,,2.0,2.0,3.0,1.0,2.0,9.0,18.0,,,,2.0,2.0,3.0,2.0,1.0,1.0,2.0,,1.0,5.0,9.0,0.5,0.5,1.0,0.5,0.5,0.6666666666666666,,0.7,,0.75,,0.4,106.99690402476779,15.0,11.916666666666666,15.0,11.083333333333334,0.2,1.0,1.0,1.0,,,,,0.4,,,,0.6,0.47081,,,25.35,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,2.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,0.4,0.5,0.5,0.4,0.5,1.0,0.2,1.0,1.0,0.2,0.5,0.5,1.0,0.5,0.16666666666666666,0.25,9.299999999999999,0.08333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2008,2007-08,True
101150-101183-1563-201152-201160,1610612755,"Lou Williams, Shavlik Randolph, Kevin Ollie, Thaddeus Young, Jason Smith","Williams, Randolph, Ollie, Young, Smith",101150-101183-1563-201152-201160,PHI,82.0,1,1.0,-4.0,4.0,3.0,3.0,,7.0,,1.0,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,122.92682926829268,13.0,10.0,13.0,9.0,0.5,,,,,,,,,,,,0.5,0.4616,,,,4.0,,,1.0,,,,,1.0,,1.0,1.0,,,1.0,,1.0,,,,,,,,4.0,,,,0.5,0.5,,1.0,,,,0.5,,,,,,,7.95,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.4616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2008,2007-08,True
101150-101183-1563-201160-2584,1610612755,"Lou Williams, Shavlik Randolph, Kevin Ollie, Jason Smith, Willie Green","Williams, Randolph, Ollie, Smith, Green",101150-101183-1563-201160-2584,PHI,137.0,1,2.0,-3.0,4.0,4.0,2.0,1.0,8.0,,,,,,,4.0,1.0,1.0,,4.0,2.0,5.0,,,,,2.0,,4.0,,,,,,,2.0,,,,,,1.0,,0.2,,0.2,,0.8,84.08759124087592,27.75,6.5,26.5,5.5,,,,,,,,,0.8,,,,0.8,0.36364,,,26.65,4.0,1.0,1.0,,,,,,,,1.0,2.0,,,,,,1.0,,,,,,,4.0,,,,,0.5,,,0.2,1.0,1.0,,,,,,,,11.9,1.0,,1.0,,,,,,,,,,0.36364,1.0,4.0,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,0.2,0.2,0.5,0.25,0.25,0.25,0.5,1.0,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2008,2007-08,True
101150-101183-1889-200760-201152,1610612755,"Lou Williams, Shavlik Randolph, Andre Miller, Rodney Carney, Thaddeus Young","Williams, Randolph, Miller, Carney, Young",101150-101183-1889-200760-201152,PHI,43.0,1,1.0,,2.0,2.0,2.0,,4.0,,1.0,,,,,,,2.0,,,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,0.3333333333333333,,,133.95348837209303,12.0,9.5,12.0,9.5,0.5,,,,,,,,,,,,0.5,0.4603,,,,,,1.0,,,2.0,,,,,,1.0,,,,,,,,,1.0,,2.0,1.0,,,,,,,,,0.5,,,,,,,,0.3333333333333333,0.3333333333333333,4.4,,,,1.0,,,,,,0.5,1.0,,,,,,,,,,,1.0,,,,,,,,0.5,,,,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2008,2007-08,True
101150-101183-1889-2223-2738,1610612755,"Lou Williams, Shavlik Randolph, Andre Miller, Samuel Dalembert, Andre Iguodala","Williams, Randolph, Miller, Dalembert, Iguodala",101150-101183-1889-2223-2738,PHI,10.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2008,2007-08,True
101150-101183-200760-200811-2584,1610612755,"Lou Williams, Shavlik Randolph, Rodney Carney, Lou Amundson, Willie Green","Williams, Randolph, Carney, Amundson, Green",101150-101183-200760-200811-2584,PHI,119.0,1,2.0,3.0,2.0,3.0,,,5.0,,,,,,,1.0,1.0,1.0,1.0,1.0,5.0,2.0,,,,2.0,,3.0,1.0,1.0,1.0,2.0,,,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.25,,1.25,,0.5,60.50420168067227,19.0,27.0,19.0,19.0,,,,,,,,,0.5,,,,0.5,0.400375,,,25.7,2.0,,,1.0,1.0,,1.0,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,2.0,,,,0.25,0.2,,0.5,,,,0.5,1.0,1.0,1.0,1.0,,,20.3,1.0,,1.0,,,,,,,,,,0.400375,,1.0,,1.0,1.0,5.0,,,,,5.0,1.0,1.25,1.25,,,,,,,0.5,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2008,2007-08,True
101150-101183-200760-201152-201160,1610612755,"Lou Williams, Shavlik Randolph, Rodney Carney, Thaddeus Young, Jason Smith","Williams, Randolph, Carney, Young, Smith",101150-101183-200760-201152-201160,PHI,536.0,2,9.0,5.0,18.0,16.0,5.0,3.0,34.0,3.0,7.0,,1.0,2.0,2.0,3.0,7.0,12.0,2.0,5.0,24.0,19.0,2.0,3.0,4.0,10.0,4.0,6.0,3.0,5.0,2.0,7.0,2.0,1.0,16.0,20.0,0.7142857142857143,0.7142857142857143,1.0,0.4,0.4,0.5833333333333334,0.6666666666666666,0.5882352941176471,0.5,0.631578947368421,0.5,0.29411764705882354,91.34328358208955,16.88888888888889,14.5,14.444444444444445,13.4375,0.4117647058823529,0.42857142857142855,0.6,0.3333333333333333,0.11764705882352941,1.0,1.0,1.0,0.17647058823529413,0.25,,,0.7058823529411765,0.5247235294117647,0.59715,0.16666666666666666,24.8,9.0,1.0,2.0,3.0,,4.0,,,2.0,1.0,5.0,9.0,1.0,,,,1.0,7.0,,,3.0,,4.0,2.0,9.0,1.0,1.0,1.0,0.2857142857142857,0.4444444444444444,,1.0,0.11764705882352941,0.5,0.5,0.17647058823529413,,,,,0.10526315789473684,0.14285714285714285,6.458333333333333,0.5,3.0,7.0,2.0,,,1.0,,1.0,0.16666666666666666,0.2857142857142857,0.3,0.52053,1.0,1.0,1.0,5.0,3.0,18.0,3.0,2.0,4.0,3.0,18.0,0.7142857142857143,0.8,0.8181818181818182,1.0,1.0,0.5,1.0,1.0,0.25,0.1,0.75,1.0,1.0,,0.2,1.0,3.0,,2.0,3.0,0.6666666666666666,1.0,1.0,1.0,,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2008,2007-08,True
101150-101183-201152-2584-2738,1610612755,"Lou Williams, Shavlik Randolph, Thaddeus Young, Willie Green, Andre Iguodala","Williams, Randolph, Young, Green, Iguodala",101150-101183-201152-2584-2738,PHI,5.0,1,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,288.0,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2008,2007-08,True
101150-101183-2584-2594-2738,1610612755,"Lou Williams, Shavlik Randolph, Willie Green, Kyle Korver, Andre Iguodala","Williams, Randolph, Green, Korver, Iguodala",101150-101183-2584-2594-2738,PHI,23.0,1,,-2.0,1.0,1.0,,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,125.21739130434781,3.0,20.0,3.0,20.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2008,2007-08,True
