EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,LongMidRangeFGM,OpponentPoints,Fg2aBlocked,LongMidRangeAssists,FTDefRebounds,DeadBallTurnovers,Fouls,Offensive Fouls,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShortMidRangeFGA,Arc3FGM,Arc3FGA,FG3M,FG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,Steals,BadPassSteals,LostBallTurnovers,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG3APct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,ShortMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,Avg3ptShotDistance,LostBallSteals,ShootingFouls,Technical Free Throw Trips,Blocked2s,BlockedAtRim,BlockedLongMidRange,Blocks,Travels,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyArc3FGA,PenaltyFG3A,SelfOReb,SelfORebPct,PenaltyArc3Frequency,Corner3FGA,PenaltyCorner3FGA,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,Blocked3s,BlockedCorner3,RecoveredBlocks,NonShootingPenaltyNonTakeFoulsDrawn,DefAtRimReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Corner3Frequency,PenaltyCorner3Frequency,PenaltyArc3FGM,PenaltyFG3M,ShortMidRangeAssists,OffThreePtRebounds,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,ShortMidRangePctAssisted,PenaltyArc3Accuracy,BadPassOutOfBoundsTurnovers,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,HeaveAttempts,Offensive Fouls Drawn,SecondChanceFtPoints,Loose Ball Fouls,ShortMidRangePctBlocked,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,OffCorner3ReboundPct,FTOffRebounds,OffFTReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,BlockedShortMidRange,LostBallOutOfBoundsTurnovers,SecondChanceArc3FGM,SecondChanceFG3M,PtsUnassisted3s,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,DefensiveGoaltends,3SecondViolations,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,Clear Path Fouls,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedArc3,OffensiveGoaltends,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
1112-1559-200748-200757-201149,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Thabo Sefolosha, Joakim Noah","Wallace, Griffin, Thomas, Sefolosha, Noah",1112-1559-200748-200757-201149,CHI,82.0,2,1.0,5.0,3.0,3.0,3.0,3.0,2.0,6.0,2.0,3.0,2.0,2.0,1.0,2.0,1.0,2.0,4.0,1.0,5.0,2.0,2.0,4.0,1.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,3.0,3.0,0.5,1.0,0.5,1.0,0.3333333333333333,0.5,1.0,0.3333333333333333,0.5,1.0,0.375,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,105.36585365853658,14.666666666666666,12.666666666666666,10.666666666666666,12.666666666666666,0.75,0.6666666666666666,0.6666666666666666,0.5,0.25,1.0,1.0,0.5,0.6666666666666666,0.5,0.75,0.529225,0.58905,0.505,0.4,0.4,0.8,0.6,3.725,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,True
1112-1559-200748-200757-201189,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Thabo Sefolosha, Aaron Gray","Wallace, Griffin, Thomas, Sefolosha, Gray",1112-1559-200748-200757-201189,CHI,18.0,1,,3.0,1.0,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,3.0,,,,,,,,2.0,,,1.0,1.0,1.0,2.0,,,,,,,,,,,2.0,1.0,1.0,1.0,3.0,,,1.0,1.0,1.0,,,1.0,,,1.5,,,,,,,,,,,,80.0,18.0,,18.0,,1.0,1.0,1.0,1.0,,,,,,,1.0,0.5484,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,True
1112-1559-200748-200757-693,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Thabo Sefolosha, Joe Smith","Wallace, Griffin, Thomas, Sefolosha, Smith",1112-1559-200748-200757-693,CHI,97.0,1,2.0,-1.0,3.0,3.0,3.0,3.0,1.0,6.0,,2.0,,1.0,,2.0,1.0,1.0,3.0,,2.0,,1.0,,1.0,3.0,,2.0,2.0,,,1.0,1.0,,2.0,1.0,1.0,2.0,1.0,3.0,,,1.0,,1.0,,,,,2.0,2.0,3.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,0.3333333333333333,,0.3333333333333333,,1.0,0.5,1.0,0.5,0.5,,,1.0,89.0721649484536,18.666666666666668,13.666666666666666,15.666666666666666,13.666666666666666,0.6666666666666666,,,,0.3333333333333333,1.0,,,0.6666666666666666,,0.6666666666666666,0.5105333333333334,0.5162,0.5105333333333334,,,,1.0,6.566666666666666,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,True
1112-1559-200748-201149-2768,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Joakim Noah, Chris Duhon","Wallace, Griffin, Thomas, Noah, Duhon",1112-1559-200748-201149-2768,CHI,214.0,1,4.0,5.0,5.0,6.0,,,,11.0,2.0,2.0,,,,,1.0,3.0,4.0,,9.0,,,,,,,,6.0,,,3.0,4.0,2.0,9.0,1.0,,2.0,1.0,3.0,1.0,,1.0,,,,,,,9.0,,,1.0,1.0,0.75,,,0.9,,,0.9,,,1.0,,1.0,0.5,1.0,,,,,74.01869158878505,18.6,20.166666666666668,18.6,18.333333333333332,0.4,1.0,1.0,1.0,0.2,,,,,,0.6,0.52355,,,,,,,7.65,,1.0,4.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,0.2,1.0,1.0,1.0,1.0,24.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,True
1112-1559-200748-2550-2751,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Kirk Hinrich, Viktor Khryapa","Wallace, Griffin, Thomas, Hinrich, Khryapa",1112-1559-200748-2550-2751,CHI,247.0,1,4.0,-6.0,6.0,7.0,1.0,,,13.0,,1.0,,,,,3.0,2.0,4.0,2.0,6.0,,,,1.0,1.0,,2.0,2.0,2.0,,1.0,1.0,,2.0,,1.0,1.0,,1.0,1.0,1.0,1.0,,,2.0,3.0,,1.0,6.0,2.0,1.0,0.5,0.5,0.5,,1.0,0.5,,1.0,0.6,,1.0,1.0,0.25,,0.25,,,,,0.5,75.78947368421053,20.0,18.142857142857142,20.0,15.428571428571429,0.25,,,,0.75,,,,,,0.25,0.416375,,0.4382,0.2,0.2,,0.3333333333333333,14.275,0.16666666666666666,2.0,12.0,1.0,1.0,,,2.0,,,0.25,1.0,,0.6666666666666666,0.6666666666666666,0.5,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,True
1112-1559-200748-2550-2804,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Kirk Hinrich, Andres Nocioni","Wallace, Griffin, Thomas, Hinrich, Nocioni",1112-1559-200748-2550-2804,CHI,90.0,1,2.0,,3.0,3.0,1.0,2.0,,6.0,,,,,,,2.0,1.0,2.0,,2.0,,,,,1.0,,,,2.0,,,,,,,1.0,2.0,,2.0,,,1.0,,,,,,,2.0,,1.0,,,0.5,,,0.5,,,0.5,,,,0.5,,0.6666666666666666,,,,0.5,,96.0,12.333333333333334,17.666666666666668,12.333333333333334,16.0,,,,,1.0,,,,,,,0.39405,,0.3673,,,,,18.75,0.3333333333333333,1.0,2.0,,,,1.0,2.0,,,,,,0.5,0.5,,,,,,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,True
1112-1559-200748-2732-2768,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Ben Gordon, Chris Duhon","Wallace, Griffin, Thomas, Gordon, Duhon",1112-1559-200748-2732-2768,CHI,174.0,1,3.0,,6.0,5.0,,,,11.0,,,,,,,2.0,1.0,3.0,2.0,4.0,,,,,,,,,2.0,,,,,,,2.0,3.0,,3.0,2.0,,2.0,,,1.0,2.0,,1.0,4.0,,,,,0.3333333333333333,,,0.3333333333333333,,,0.5,,,1.0,0.6666666666666666,,0.75,,,,0.5,1.0,91.0344827586207,14.666666666666666,17.2,14.666666666666666,15.2,,,,,0.6666666666666666,,,,,,,0.4109666666666667,,,0.25,0.25,,,17.599999999999998,,,4.0,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,2.0,,,,,1.0,,1.0,0.3333333333333333,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,True
1112-1559-200748-2768-693,1610612741,"Ben Wallace, Adrian Griffin, Tyrus Thomas, Chris Duhon, Joe Smith","Wallace, Griffin, Thomas, Duhon, Smith",1112-1559-200748-2768-693,CHI,279.0,1,5.0,-2.0,8.0,9.0,6.0,,1.0,17.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,3.0,4.0,2.0,8.0,1.0,1.0,2.0,3.0,4.0,,6.0,2.0,4.0,2.0,1.0,1.0,,2.0,1.0,,3.0,1.0,4.0,1.0,,1.0,,1.0,2.0,2.0,,1.0,6.0,6.0,6.0,0.3333333333333333,0.5,0.75,1.0,0.75,0.42857142857142855,1.0,0.5,0.5,1.0,0.5,1.0,,1.0,0.5,0.25,1.0,,,,87.74193548387096,14.75,17.88888888888889,14.625,16.77777777777778,0.42857142857142855,0.6666666666666666,0.6666666666666666,,0.14285714285714285,1.0,1.0,,0.5,0.6666666666666666,0.8571428571428571,0.5012071428571429,0.6395,0.4847166666666667,0.125,0.2,0.25,0.75,6.2,0.75,1.0,10.0,,1.0,2.0,,3.0,,,,,1.0,1.0,1.0,1.0,,,3.0,,3.0,,3.0,,,,1.0,,,1.0,,,,0.42857142857142855,1.0,,1.0,,0.42857142857142855,,,,,27.133333333333336,,2.0,,,,,,,,,,2.0,2.0,1.0,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,True
1112-1559-200757-201149-2768,1610612741,"Ben Wallace, Adrian Griffin, Thabo Sefolosha, Joakim Noah, Chris Duhon","Wallace, Griffin, Sefolosha, Noah, Duhon",1112-1559-200757-201149-2768,CHI,59.0,1,1.0,-2.0,1.0,1.0,,,,2.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.8135593220339,20.0,39.0,20.0,39.0,1.0,,,,,,,,,,1.0,0.5551,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,True
1112-1559-200757-201149-2804,1610612741,"Ben Wallace, Adrian Griffin, Thabo Sefolosha, Joakim Noah, Andres Nocioni","Wallace, Griffin, Sefolosha, Noah, Nocioni",1112-1559-200757-201149-2804,CHI,167.0,1,3.0,-4.0,6.0,5.0,,,2.0,11.0,1.0,3.0,,,,,2.0,2.0,5.0,1.0,5.0,,1.0,,,,,,4.0,,,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,,,,,,1.0,2.0,,1.0,5.0,,,1.0,1.0,0.4,,,0.4,,,0.4166666666666667,,,,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,,,1.0,94.8502994011976,16.5,13.6,13.0,13.6,0.6,0.3333333333333333,0.3333333333333333,1.0,0.4,,,,,,0.6,0.5144599999999999,0.3733,,0.16666666666666666,0.16666666666666666,,,7.06,,1.0,9.0,,1.0,,,1.0,,,,,,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612741,2008,2007-08,True
