EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyDefPoss,TotalPoss,Steals,LostBallSteals,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,PlusMinus,PenaltyOffPoss,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,FG2APctBlocked,LongMidRangePctBlocked,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefLongMidRangeReboundPct,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,Corner3FGA,SecondChanceCorner3FGA,PenaltyCorner3FGA,FG3A,SecondChanceFG3A,PenaltyFG3A,FG3APct,Corner3Frequency,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,AtRimFG3AFrequency,SecondChanceShotQualityAvg,Avg3ptShotDistance,Fouls,NonShootingPenaltyNonTakeFouls,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,FG2M,FtPoints,Points,SecondChanceFG2A,PtsUnassisted2s,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Fg2Pct,EfgPct,TsPct,AtRimPctBlocked,OffAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,PenaltyAtRimFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGM,Arc3FGM,Arc3FGA,FG3M,PenaltyFG2M,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AssistPoints,DefThreePtRebounds,FTDefRebounds,ShootingFouls,Blocked2s,BlockedAtRim,Blocks,Defensive 3 Seconds Violations,PenaltyPointsExcludingTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,DefThreePtReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,NonHeaveArc3Accuracy,PenaltyPointsPct,PenaltyAtRimFGM,PtsAssisted2s,TwoPtAssists,AtRimAssists,LongMidRangeAssists,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,LiveBallTurnoverPct,AtRimPctAssisted,LongMidRangePctAssisted,PenaltyAtRimAccuracy,ShortMidRangeFGM,SecondChanceFtPoints,SecondChancePoints,OffThreePtRebounds,SelfOReb,LostBallTurnovers,Offensive Fouls,RecoveredBlocks,SecondChanceTsPct,OffThreePtReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChancePointsPct,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,BadPassOutOfBoundsTurnovers,SecondChanceFg3Pct,SecondChanceEfgPct,OffCorner3ReboundPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGA,HeaveAttempts,Offensive Fouls Drawn,PenaltyArc3Frequency,PenaltyCorner3FGM,PenaltyFG3M,Loose Ball Fouls,BlockedShortMidRange,PenaltyFg3Pct,PenaltyCorner3Accuracy,PtsUnassisted3s,SecondChanceAtRimFGM,SecondChanceFG2M,PtsPutbacks,SecondChanceFg2Pct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,SecondChanceAtRimAccuracy,PenaltyArc3FGM,PenaltyFtPoints,Fg3aBlocked,ShortMidRangeAssists,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APctBlocked,Arc3PctBlocked,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceTurnovers,team_id,year,season,team_vs
101121-101181-1766-2574-2743,1610612761,"Joey Graham, Jose Calderon, Maceo Baston, Jason Kapono, Kris Humphries","Graham, Calderon, Baston, Kapono, Humphries",101121-101181-1766-2574-2743,TOR,33.0,1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,87.27272727272727,11.0,22.0,11.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-200081-2547-2568,1610612761,"Joey Graham, Jose Calderon, Jamario Moon, Chris Bosh, Carlos Delfino","Graham, Calderon, Moon, Bosh, Delfino",101121-101181-200081-2547-2568,TOR,59.0,1,1.0,1.0,2.0,2.0,3.0,,,73.22033898305085,20.0,19.5,20.0,19.5,-2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.5,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.38405,0.38405,18.35,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-200081-2568-2743,1610612761,"Joey Graham, Jose Calderon, Jamario Moon, Carlos Delfino, Kris Humphries","Graham, Calderon, Moon, Delfino, Humphries",101121-101181-200081-2568-2743,TOR,13.0,1,,1.0,1.0,1.0,2.0,,,221.53846153846152,4.0,9.0,,9.0,,1.0,,,,,,,,,,,1.0,,,,,,,,,,0.44025,0.44025,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.44025,23.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101121-101181-2551-2574-2743,1610612761,"Joey Graham, Jose Calderon, T.J. Ford, Jason Kapono, Kris Humphries","Graham, Calderon, Ford, Kapono, Humphries",101121-101181-2551-2574-2743,TOR,2.0,1,,,,,,,,,,,,,-1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101181-1515-1725-200081-2547,1610612761,"Jose Calderon, Anthony Parker, Rasho Nesterovic, Jamario Moon, Chris Bosh","Calderon, Parker, Nesterovic, Moon, Bosh",101181-1515-1725-200081-2547,TOR,78.0,1,1.0,3.0,2.0,,5.0,,,92.3076923076923,19.666666666666668,9.5,18.0,9.5,,2.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.3333333333333333,,1.0,0.5,1.0,0.5,,1.0,0.3333333333333333,0.5118666666666667,0.4895,6.933333333333334,0.6666666666666666,1.0,,,,,,,,,,,0.6666666666666666,0.4146,,,,1.0,2.0,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.6666666666666666,0.5,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101181-1515-1725-200745-2574,1610612761,"Jose Calderon, Anthony Parker, Rasho Nesterovic, Andrea Bargnani, Jason Kapono","Calderon, Parker, Nesterovic, Bargnani, Kapono",101181-1515-1725-200745-2574,TOR,343.0,1,6.0,10.0,10.0,4.0,20.0,1.0,1.0,83.96501457725947,17.8,16.5,15.8,15.9,-1.0,4.0,4.0,7.0,13.0,6.0,1.0,2.0,,2.0,2.0,4.0,4.0,0.14285714285714285,,,0.5,0.3333333333333333,0.3333333333333333,1.0,,0.36363636363636365,0.43465000000000004,0.40486666666666665,11.985714285714286,0.4,2.0,1.0,,,4.0,,,0.36363636363636365,0.09090909090909091,,,0.5454545454545454,0.3524,25.35,2.0,,,2.0,2.0,2.0,2.0,12.0,2.0,4.0,,,,,1.0,2.0,,1.0,12.0,0.2857142857142857,0.45454545454545453,0.5,0.5,0.5,0.18181818181818182,,,0.3333333333333333,0.08333333333333333,0.125,1.0,1.0,2.0,1.0,1.0,3.0,2.0,2.0,4.0,6.0,3.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.09090909090909091,0.5,0.5,1.0,1.0,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101181-1515-1725-2547-2574,1610612761,"Jose Calderon, Anthony Parker, Rasho Nesterovic, Chris Bosh, Jason Kapono","Calderon, Parker, Nesterovic, Bosh, Kapono",101181-1515-1725-2547-2574,TOR,172.0,1,3.0,4.0,6.0,1.0,10.0,1.0,,83.72093023255813,18.25,16.5,18.25,15.166666666666666,-1.0,2.0,1.0,2.0,8.0,2.0,,,1.0,1.0,,1.0,2.0,,,0.5,,0.3333333333333333,,,1.0,0.3333333333333333,0.5014666666666666,0.4981,8.05,0.5,,1.0,,,1.0,,,0.3333333333333333,0.3333333333333333,,,0.6666666666666666,,24.9,2.0,,1.0,1.0,1.0,2.0,,7.0,,,,,1.0,,,,,,7.0,1.0,1.1666666666666667,1.1666666666666667,,,0.3333333333333333,1.0,1.0,0.5,,,,,1.0,1.0,,,1.0,2.0,4.0,3.0,,,1.0,3.0,,1.0,7.0,,,2.0,,,,,4.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,0.5714285714285714,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101181-1515-1725-2568-2574,1610612761,"Jose Calderon, Anthony Parker, Rasho Nesterovic, Carlos Delfino, Jason Kapono","Calderon, Parker, Nesterovic, Delfino, Kapono",101181-1515-1725-2568-2574,TOR,820.0,3,14.0,22.0,24.0,,46.0,,,80.78048780487805,16.40909090909091,19.125,15.863636363636363,18.166666666666668,3.0,,4.0,13.0,22.0,,2.0,,6.0,12.0,1.0,13.0,,0.15384615384615385,,0.75,,0.7857142857142857,0.125,,0.5,0.2222222222222222,0.49345277777777774,,7.484615384615385,,1.0,1.0,,,5.0,,,0.2777777777777778,0.05555555555555555,,,0.6666666666666666,,25.36,9.0,,4.0,7.0,,8.0,3.0,25.0,,12.0,3.0,,4.0,,3.0,3.0,1.0,2.0,23.0,0.6153846153846154,0.6111111111111112,0.6578947368421053,0.2857142857142857,,0.3888888888888889,0.5714285714285714,0.8,,0.10526315789473684,0.14285714285714285,,2.0,2.0,1.0,1.0,4.0,2.0,,,6.0,4.0,1.0,2.0,4.0,1.0,1.0,10.0,5.0,1.0,3.0,2.0,2.0,2.0,,,1.0,0.4,0.4,,,,1.0,0.8333333333333334,1.0,0.1111111111111111,0.5,0.5,1.0,1.0,1.0,0.2222222222222222,0.25,0.25,1.0,,0.25,,,4.0,2.0,1.0,1.0,,1.0,,0.25,0.25,0.25,0.25,0.5,,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.75,0.16666666666666666,0.5,1.0,1.0,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101181-1515-200081-200745-2547,1610612761,"Jose Calderon, Anthony Parker, Jamario Moon, Andrea Bargnani, Chris Bosh","Calderon, Parker, Moon, Bargnani, Bosh",101181-1515-200081-200745-2547,TOR,80.0,1,1.0,3.0,3.0,2.0,6.0,,,108.0,15.0,11.666666666666666,15.0,8.666666666666666,-2.0,,2.0,2.0,4.0,,,,,,,,,,,,,,,,,1.0,0.4159,,18.35,,,,,,,,,,,,,,,,3.0,,,,,1.0,,2.0,,,,,1.0,,,,,,2.0,0.5,0.5,0.5,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,2.0,1.0,,1.0,,1.0,,1.0,1.0,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
101181-1515-200081-2547-2568,1610612761,"Jose Calderon, Anthony Parker, Jamario Moon, Chris Bosh, Carlos Delfino","Calderon, Parker, Moon, Bosh, Delfino",101181-1515-200081-2547-2568,TOR,205.0,2,3.0,6.0,5.0,5.0,11.0,,,77.26829268292683,20.0,17.0,16.833333333333332,17.0,2.0,,2.0,5.0,7.0,,,2.0,,2.0,3.0,5.0,,,,,0.6666666666666666,1.0,0.75,1.0,,0.2857142857142857,0.4977357142857143,,9.26,,2.0,1.0,,,2.0,1.0,,0.2857142857142857,0.14285714285714285,,,0.5714285714285714,0.38675,23.9,1.0,1.0,2.0,2.0,,2.0,2.0,9.0,2.0,,1.0,,1.0,,2.0,3.0,1.0,2.0,6.0,0.4,0.5,0.5625,,,0.2857142857142857,1.0,1.0,,0.25,0.3333333333333333,,1.0,,,1.0,1.0,1.0,,,3.0,1.0,1.0,1.0,3.0,1.0,,7.0,2.0,,,,,,,,1.0,0.5,0.5,,,,,1.0,1.0,0.14285714285714285,,,,,,0.14285714285714285,1.0,1.0,1.0,,1.0,,,4.0,2.0,2.0,,,,,1.0,1.0,,1.0,,,,,3.0,1.0,,,,,0.5,1.0,,,,1.0,,,,,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2008,2007-08,False
