EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,PenaltyDefPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,OpponentPoints,PtsAssisted2s,HeaveAttempts,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FTDefRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,DefFTReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Avg2ptShotDistance,AtRimFGM,AtRimFGA,ShortMidRangeFGA,PtsUnassisted2s,AtRimAssists,DefTwoPtRebounds,Steals,LostBallSteals,FoulsDrawn,Charge Fouls Drawn,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,Arc3FGM,FG3M,FtPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,BadPassSteals,DeadBallTurnovers,PenaltyTurnovers,Offensive Fouls,Technical Free Throw Trips,PenaltyPointsExcludingTakeFouls,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyPointsPct,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,FTOffRebounds,StepOutOfBoundsTurnovers,SecondChanceTurnovers,Charge Fouls,Loose Ball Fouls,Loose Ball Fouls Drawn,BlockedShortMidRange,RecoveredBlocks,SecondChanceFg3Pct,OffFTReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ShortMidRangeAssists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctAssisted,SelfOReb,ThreePtShootingFoulsDrawn,SelfORebPct,ThreePtShootingFoulsDrawnPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,BadPassOutOfBoundsTurnovers,Travels,OffensiveGoaltends,3SecondViolations,SecondChanceAtRimPctAssisted,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,BlockingFouls,BlockedLongMidRange,DefensiveGoaltends,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Defensive 3 Seconds Violations,BlockingFoulsDrawn,Corner3PctBlocked,Blocked3s,BlockedCorner3,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Clear Path Fouls,HeaveMakes,3pt And 1 Free Throw Trips,BlockedArc3,team_id,year,season,team_vs
1710-201202-201596-2034-2544,1610612748,"Mike Bibby, Joel Anthony, Mario Chalmers, Mike Miller, LeBron James","Bibby, Anthony, Chalmers, Miller, James",1710-201202-201596-2034-2544,MIA,5.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,288.0,5.0,5.0,1.0,1.0,1.0,0.27855,0.27855,32.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,True
1710-201202-201596-2544-436,1610612748,"Mike Bibby, Joel Anthony, Mario Chalmers, LeBron James, Juwan Howard","Bibby, Anthony, Chalmers, James, Howard",1710-201202-201596-2544-436,MIA,85.0,1,2.0,,4.0,1.0,,1.0,,,,0.3333333333333333,67.76470588235294,20.0,20.0,0.3333333333333333,,0.3333333333333333,0.3662,,42.6,,1.0,-1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,22.5,18.5,0.6666666666666666,0.5,0.5,1.0,16.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,True
1710-201202-202354-2067-2592,1610612748,"Mike Bibby, Joel Anthony, Dexter Pittman, Eddie House, James Jones","Bibby, Anthony, Pittman, House, Jones",1710-201202-202354-2067-2592,MIA,135.0,1,5.0,,10.0,,,,,,,,106.66666666666667,10.4,10.4,,,0.6,0.64962,,,,2.0,1.0,5.0,5.0,,1.0,2.0,5.0,4.0,3.0,2.0,,1.0,1.0,,2.0,,1.0,1.0,,4.0,,0.5,0.5,0.4,0.4,0.4,,16.6,16.6,0.2,,,,5.58,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6666666666666666,0.6666666666666666,0.5,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,True
1710-201202-2034-2067-2548,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, Eddie House, Dwyane Wade","Bibby, Anthony, Miller, House, Wade",1710-201202-2034-2067-2548,MIA,19.0,1,,,1.0,,,,,,,,75.78947368421053,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,True
1710-201202-2034-2544-2547,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, LeBron James, Chris Bosh","Bibby, Anthony, Miller, James, Bosh",1710-201202-2034-2544-2547,MIA,814.0,5,25.0,,49.0,5.0,,6.0,,5.0,,0.23076923076923078,86.68304668304668,16.24,15.76,0.19230769230769232,,0.6538461538461539,0.49170576923076925,,24.75,,14.0,2.0,24.0,4.0,,3.0,8.0,20.0,25.0,23.0,8.0,,4.0,6.0,,14.0,2.0,13.0,17.0,5.0,21.0,,0.5,0.6666666666666666,0.4,0.4230769230769231,0.46296296296296297,0.6666666666666666,17.0,16.083333333333332,0.11538461538461539,,,,6.825,6.0,11.0,6.0,8.0,4.0,7.0,,,6.0,,0.7,0.7857142857142857,0.6666666666666666,0.4230769230769231,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.23076923076923078,3.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,6.0,4.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,4.0,4.0,2.0,1.0,1.0,2.0,4.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,0.1,0.18181818181818182,1.0,0.25,1.0,0.25,0.25,0.4,0.25,0.25,0.5,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.038461538461538464,1.0,1.0,1.0,0.2,0.2,1.0,0.75,0.6666666666666666,0.2,0.541425,0.07407407407407407,0.09523809523809523,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,True
1710-201202-2034-2544-2548,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, LeBron James, Dwyane Wade","Bibby, Anthony, Miller, James, Wade",1710-201202-2034-2544-2548,MIA,1090.0,8,35.0,17.0,67.0,8.0,5.0,12.0,9.0,8.0,17.0,0.4,88.5137614678899,16.085714285714285,15.085714285714285,0.26666666666666666,0.3125,0.6,0.5071666666666667,0.516065625,24.675,0.4857142857142857,18.0,-3.0,32.0,12.0,2.0,4.0,9.0,18.0,34.0,37.0,6.0,,3.0,6.0,,15.0,2.0,9.0,11.0,8.0,34.0,2.0,0.3333333333333333,0.3333333333333333,0.5,0.45,0.5,1.0,16.46875,15.875,0.13333333333333333,0.5,0.5,,8.95,4.0,6.0,8.0,12.0,3.0,2.0,3.0,1.0,6.0,1.0,0.4,0.5833333333333334,,0.2,0.6666666666666666,0.6666666666666666,0.75,0.26666666666666666,2.0,,,3.0,2.0,4.0,1.0,3.0,7.0,,,,9.0,,1.0,,3.0,1.0,2.0,2.0,,5.0,2.0,2.0,1.0,1.0,4.0,5.0,,9.0,1.0,4.0,,,,1.0,0.25,0.25,,,,,,0.5,,0.7142857142857143,0.2222222222222222,0.11764705882352941,,,0.14285714285714285,0.5,1.0,0.6,1.0,0.375,0.375,0.13333333333333333,0.5,0.5,1.0,0.125,0.125,1.0,,,0.125,0.5943,0.12121212121212122,0.19047619047619047,,2.0,2.0,2.0,2.0,4.0,1.0,3.0,4.0,7.0,2.0,2.0,16.0,2.0,2.0,3.0,1.0,2.0,16.0,0.2222222222222222,0.5714285714285714,0.4375,0.47058823529411764,0.5,0.6666666666666666,0.3333333333333333,0.125,1.0,0.25,0.5,0.47058823529411764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,True
1710-201202-2034-2544-2592,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, LeBron James, James Jones","Bibby, Anthony, Miller, James, Jones",1710-201202-2034-2544-2592,MIA,1146.0,9,37.0,21.0,73.0,6.0,1.0,10.0,5.0,6.0,21.0,0.2857142857142857,91.72774869109946,14.675675675675675,14.027027027027026,0.17142857142857143,0.05,0.5142857142857142,0.48682571428571436,0.45020249999999995,24.630000000000003,0.5675675675675675,19.0,20.0,36.0,24.0,8.0,12.0,14.0,25.0,54.0,34.0,10.0,,5.0,10.0,3.0,25.0,3.0,15.0,21.0,12.0,45.0,3.0,0.35714285714285715,0.4166666666666667,0.56,0.6142857142857143,0.6585365853658537,0.75,16.75,15.527777777777779,0.34285714285714286,0.6666666666666666,0.6666666666666666,0.375,11.88,4.0,8.0,5.0,18.0,2.0,6.0,4.0,2.0,9.0,,0.5454545454545454,0.631578947368421,0.5,0.22857142857142856,0.5,0.5714285714285714,0.5,0.14285714285714285,6.0,1.0,2.0,2.0,3.0,4.0,2.0,5.0,11.0,2.0,3.0,9.0,15.0,4.0,2.0,1.0,5.0,2.0,3.0,,5.0,6.0,6.0,1.0,1.0,,3.0,2.0,,13.0,1.0,7.0,2.0,1.0,2.0,1.0,0.5,0.5,0.6666666666666666,0.875,0.9,0.04,0.125,0.3333333333333333,0.45454545454545453,0.75,,0.3333333333333333,0.75,0.3333333333333333,,1.0,0.42857142857142855,0.6666666666666666,1.0,0.4,0.4,0.11428571428571428,0.75,0.75,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.3333333333333333,0.5397125,0.17073170731707318,0.22580645161290322,0.16666666666666666,,3.0,,3.0,4.0,1.0,1.0,7.0,15.0,4.0,6.0,32.0,2.0,2.0,2.0,,,32.0,0.8,0.4666666666666667,0.65,0.6666666666666666,,,0.25,0.15,,0.2,0.75,0.5925925925925926,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,0.25,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,True
1710-201202-2034-2544-436,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, LeBron James, Juwan Howard","Bibby, Anthony, Miller, James, Howard",1710-201202-2034-2544-436,MIA,382.0,4,10.0,9.0,21.0,1.0,1.0,1.0,1.0,1.0,9.0,0.09090909090909091,79.16230366492147,20.1,16.8,0.09090909090909091,0.1111111111111111,0.36363636363636365,0.4207181818181818,0.4108,25.1,0.9,6.0,-7.0,11.0,9.0,2.0,4.0,3.0,10.0,10.0,17.0,4.0,,2.0,3.0,1.0,7.0,,,3.0,,8.0,,0.6666666666666666,0.6666666666666666,0.3,0.4090909090909091,0.4166666666666667,,16.454545454545453,16.454545454545453,0.36363636363636365,0.5,0.5,0.5,11.290000000000001,,3.0,3.0,2.0,,,1.0,,1.0,,,,,0.2727272727272727,,,,0.2727272727272727,2.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,3.0,2.0,3.0,,1.0,3.0,1.0,1.0,,,3.0,,3.0,1.0,,1.0,1.0,,,2.0,,,,,,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3,1.0,1.0,0.42857142857142855,,,0.42857142857142855,0.6666666666666666,,,,,,,0.3333333333333333,0.3333333333333333,,,,,1.0,1.0,1.0,0.3333333333333333,,1.0,0.4143666666666667,,,0.2,,2.0,,,,,,3.0,8.0,1.0,1.0,10.0,1.0,,1.0,,,10.0,1.0,0.375,0.5,0.5,,,,0.2222222222222222,,,,1.0,,1.0,,,,,,,,,,,,,0.5,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,True
1710-201202-2034-2547-2548,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, Chris Bosh, Dwyane Wade","Bibby, Anthony, Miller, Bosh, Wade",1710-201202-2034-2547-2548,MIA,1851.0,7,61.0,2.0,119.0,9.0,,18.0,1.0,9.0,2.0,0.3673469387755102,92.5769854132901,15.672131147540984,14.950819672131148,0.1836734693877551,,0.6326530612244898,0.5060091836734694,0.49665,24.322222222222223,0.03278688524590164,31.0,11.0,58.0,5.0,1.0,7.0,10.0,31.0,72.0,61.0,10.0,,5.0,17.0,,46.0,1.0,21.0,29.0,16.0,65.0,,0.5,0.5555555555555556,0.3225806451612903,0.5714285714285714,0.6206896551724138,1.0,15.431034482758621,15.293103448275861,0.14285714285714285,0.14285714285714285,0.14285714285714285,,8.251612903225807,5.0,13.0,11.0,10.0,4.0,11.0,7.0,2.0,19.0,,0.6875,0.8,0.625,0.2653061224489796,0.38461538461538464,0.5,0.8,0.22448979591836735,6.0,1.0,5.0,4.0,6.0,9.0,6.0,12.0,16.0,2.0,6.0,7.0,36.0,2.0,6.0,3.0,12.0,6.0,6.0,,8.0,9.0,8.0,9.0,8.0,1.0,11.0,10.0,,20.0,1.0,9.0,1.0,,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.5,0.5,0.0967741935483871,0.23076923076923078,0.8181818181818182,0.38095238095238093,1.0,,0.2962962962962963,0.625,0.2857142857142857,,1.0,0.7142857142857143,1.0,1.0,0.36363636363636365,0.36363636363636365,0.1836734693877551,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,1.0,0.7142857142857143,0.2,0.6666666666666666,0.46680714285714286,0.1724137931034483,0.23076923076923078,0.09722222222222222,,,,1.0,1.0,1.0,1.0,,,1.0,2.0,5.0,5.0,2.0,,1.0,,5.0,1.0,,1.5,1.25,,,0.14285714285714285,,,1.0,1.0,0.06944444444444445,1.0,,1.0,,,,1.0,,,1.0,1.0,1.0,1.0,,0.16666666666666666,1.0,1.0,1.0,,1.0,,,0.25,3.0,1.0,0.125,0.05263157894736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,True
1710-201202-2034-2547-2592,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, Chris Bosh, James Jones","Bibby, Anthony, Miller, Bosh, Jones",1710-201202-2034-2547-2592,MIA,461.0,2,15.0,,30.0,2.0,,2.0,,2.0,,0.13333333333333333,93.70932754880694,14.8,13.866666666666667,0.13333333333333333,,0.4,0.4947,,24.65,,8.0,1.0,15.0,,4.0,6.0,6.0,13.0,14.0,13.0,8.0,,4.0,4.0,2.0,8.0,1.0,5.0,7.0,5.0,12.0,,0.6666666666666666,0.6666666666666666,0.46153846153846156,0.4,0.4375,1.0,15.933333333333334,15.933333333333334,0.4,0.6666666666666666,0.8,0.5,10.3,1.0,4.0,3.0,4.0,1.0,4.0,2.0,1.0,4.0,,1.0,1.0,1.0,0.26666666666666666,0.25,0.5,1.0,0.2,2.0,,,1.0,,,,,2.0,1.0,2.0,2.0,,,,4.0,,,,1.0,1.0,,2.0,1.0,1.0,,1.0,3.0,,3.0,1.0,2.0,,,,,,,0.5,0.5,0.5,0.3076923076923077,0.5,1.0,0.14285714285714285,,0.5,0.2222222222222222,0.3333333333333333,,0.5,,1.0,,,0.3333333333333333,0.5,,,,,,,,,,,0.3725,0.125,0.14285714285714285,0.14285714285714285,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,0.3333333333333333,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,True
