EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,PenaltyPointsPct,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3A,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Arc3FGM,PenaltyArc3FGM,FG3M,PenaltyFG3M,PtsAssisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,DefThreePtRebounds,BlockingFouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,ShortMidRangeFGA,Fg2aBlocked,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Charge Fouls Drawn,FG2APctBlocked,ShortMidRangePctBlocked,ShortMidRangeFrequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGM,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,Charge Fouls,Offensive Fouls,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Blocked3s,BlockedArc3,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SelfOReb,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,StepOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Loose Ball Fouls,BlockedAtRim,SecondChanceFg3Pct,SelfORebPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,Loose Ball Fouls Drawn,PenaltyCorner3FGA,PtsUnassisted3s,PenaltyCorner3Frequency,HeaveAttempts,LongMidRangeAssists,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,LongMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,Technical Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceTurnovers,PenaltyCorner3FGM,OffShortMidRangeReboundPct,PenaltyCorner3Accuracy,FTOffRebounds,LongMidRangePctBlocked,OffFTReboundPct,OffensiveGoaltends,BlockingFoulsDrawn,BlockedLongMidRange,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Offensive Fouls Drawn,DefensiveGoaltends,3SecondViolations,team_id,year,season,team_vs
101109-1733-201163-201167-2365,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Arron Afflalo, Chris Andersen","Felton, Harrington, Chandler, Afflalo, Andersen",101109-1733-201163-201167-2365,DEN,8.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,True
101109-1733-201163-201568-2030,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Danilo Gallinari, Kenyon Martin","Felton, Harrington, Chandler, Gallinari, Martin",101109-1733-201163-201568-2030,DEN,189.0,1,-1.0,1.0,7.0,1.0,7.0,2.0,3.0,,6.0,7.0,,0.5833333333333334,0.5833333333333334,1.0,3.0,5.0,6.0,5.0,6.0,1.0,11.0,2.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,8.0,1.0,1.0,3.0,4.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,3.0,2.0,2.0,1.0,2.0,5.0,0.3333333333333333,0.3333333333333333,0.75,0.75,0.6,0.6,0.5,0.2,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,83.80952380952381,19.4,15.333333333333334,19.4,14.833333333333334,0.6,0.6666666666666666,0.6666666666666666,0.5,0.2,1.0,1.0,0.2,0.6,0.6666666666666666,0.2,0.8,0.40945,0.40945,0.3333333333333333,0.4,0.14285714285714285,6.175,24.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,True
101109-1733-201163-201568-2403,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Danilo Gallinari, Nene","Felton, Harrington, Chandler, Gallinari, Nene",101109-1733-201163-201568-2403,DEN,128.0,1,2.0,4.0,7.0,2.0,5.0,2.0,4.0,1.0,5.0,5.0,1.0,0.5833333333333334,0.5,0.7142857142857143,2.0,5.0,4.0,4.0,4.0,1.0,9.0,,,,,,2.0,2.0,2.0,,2.0,2.0,5.0,2.0,2.0,,2.0,2.0,,,2.0,,1.0,,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,,1.0,4.0,,,,,0.375,0.375,1.0,0.5,1.0,0.5,1.0,0.3333333333333333,,,,101.25,14.0,14.5,12.8,14.5,,,,,0.5,,,0.5,,,0.5,0.5,0.452575,0.452575,0.2,0.3333333333333333,0.2857142857142857,19.05,24.95,0.8,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,True
101109-1733-201163-201951-2365,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Ty Lawson, Chris Andersen","Felton, Harrington, Chandler, Lawson, Andersen",101109-1733-201163-201951-2365,DEN,156.0,2,-4.0,2.0,4.0,,,2.0,2.0,,4.0,,,0.4,,,3.0,6.0,6.0,1.0,,,12.0,1.0,1.0,,,,1.0,1.0,,1.0,3.0,1.0,8.0,,,,1.0,,,2.0,1.0,,,,,,2.0,2.0,,2.0,,,,1.0,1.0,,,0.3333333333333333,,0.25,,,0.25,1.0,,1.0,,,1.0,1.0,110.76923076923076,13.5,12.5,13.5,12.5,0.25,1.0,1.0,,0.25,,,0.25,,,,0.5,0.5339125,0.4276,0.2,0.25,,10.566666666666666,24.5,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,True
101109-1733-201163-201951-2403,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Ty Lawson, Nene","Felton, Harrington, Chandler, Lawson, Nene",101109-1733-201163-201951-2403,DEN,522.0,2,-3.0,2.0,18.0,,,4.0,2.0,,12.0,,,0.5625,,,9.0,17.0,17.0,,1.0,3.0,34.0,3.0,4.0,,,,1.0,5.0,,5.0,8.0,7.0,21.0,,6.0,,,,4.0,6.0,5.0,2.0,4.0,1.0,10.0,,3.0,5.0,3.0,8.0,2.0,6.0,,1.0,,0.4,0.5,0.625,,0.5333333333333333,,1.0,0.4666666666666667,0.75,,0.8,0.375,,1.0,1.0,93.79310344827587,18.294117647058822,12.411764705882353,17.058823529411764,12.294117647058824,0.26666666666666666,0.75,1.0,0.3333333333333333,0.06666666666666667,,,0.3333333333333333,,,,0.7333333333333333,0.53974,,0.0625,0.1111111111111111,0.3333333333333333,6.2,23.642857142857142,,1.0,,2.0,,6.0,1.0,2.0,1.0,1.0,,,,,,1.0,0.2857142857142857,,0.2857142857142857,1.0,,,,,0.2,0.2,1.0,,0.2,3.0,1.0,,2.0,4.0,1.0,0.125,,0.2,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,1.0,0.6,0.5,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.13333333333333333,0.5,0.5,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,True
101109-1733-201163-201951-2747,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Ty Lawson, JR Smith","Felton, Harrington, Chandler, Lawson, Smith",101109-1733-201163-201951-2747,DEN,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,True
101109-1733-201163-2365-2747,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Chris Andersen, JR Smith","Felton, Harrington, Chandler, Andersen, Smith",101109-1733-201163-2365-2747,DEN,1058.0,4,-1.0,7.0,25.0,4.0,4.0,9.0,14.0,,18.0,4.0,,0.3787878787878788,0.4,0.16,18.0,34.0,35.0,7.0,9.0,4.0,69.0,3.0,9.0,,1.0,,5.0,7.0,1.0,3.0,16.0,10.0,26.0,,7.0,,2.0,1.0,2.0,4.0,7.0,1.0,5.0,1.0,14.0,4.0,11.0,16.0,4.0,20.0,4.0,8.0,,7.0,7.0,0.3333333333333333,0.5,0.1875,,0.34615384615384615,,0.875,0.38461538461538464,0.8461538461538461,0.3076923076923077,0.8333333333333334,0.21052631578947367,0.3333333333333333,0.6,1.0,93.91304347826087,17.235294117647058,13.485714285714286,16.58823529411765,13.028571428571428,0.34615384615384615,0.3333333333333333,0.375,0.3333333333333333,0.19230769230769232,,,0.2692307692307692,0.3333333333333333,,0.3333333333333333,0.7307692307692307,0.4910653846153846,0.4201333333333333,0.21212121212121213,0.30434782608695654,0.28,7.49375,24.6,0.20588235294117646,2.0,,4.0,,12.0,2.0,4.0,2.0,4.0,1.0,1.0,,1.0,1.0,1.0,0.4,,0.4,0.8,0.4,1.0,0.5,1.0,0.2857142857142857,0.2857142857142857,1.0,,0.2857142857142857,2.0,2.0,1.0,3.0,6.0,,0.125,0.5,0.07692307692307693,2.0,2.0,,2.0,3.0,2.0,2.0,2.0,2.0,,,1.0,3.0,1.0,,,,2.0,1.0,0.875,0.1111111111111111,0.5,0.5,,,,1.0,,,,0.11538461538461539,0.6666666666666666,0.6666666666666666,1.0,0.5,1.0,,,1.0,2.0,1.0,2.0,1.0,4.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.5,0.058823529411764705,0.5,0.5,1.0,0.5487625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,True
101109-1733-201163-2403-2747,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Nene, JR Smith","Felton, Harrington, Chandler, Nene, Smith",101109-1733-201163-2403-2747,DEN,106.0,1,-2.0,,2.0,,,1.0,,,2.0,,,0.5,,,2.0,3.0,3.0,,,,6.0,,,,,1.0,2.0,,,1.0,2.0,,4.0,,,,,,,2.0,,,,,,,1.0,1.0,,1.0,,,,,,,,0.5,,0.5,,,,1.0,,1.0,,,,,81.50943396226415,21.666666666666668,13.666666666666666,21.666666666666668,13.666666666666666,,,,,1.0,0.5,0.5,,,,,,0.3933,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,True
101109-1733-201167-201951-2403,1610612743,"Raymond Felton, Al Harrington, Arron Afflalo, Ty Lawson, Nene","Felton, Harrington, Afflalo, Lawson, Nene",101109-1733-201167-201951-2403,DEN,58.0,1,,,3.0,,3.0,1.0,,,3.0,3.0,,0.375,0.75,1.0,1.0,2.0,3.0,2.0,,1.0,5.0,,1.0,,,,,2.0,1.0,,2.0,2.0,3.0,,,,1.0,1.0,,,2.0,,1.0,,3.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,,,2.0,,,,,0.375,0.75,,0.5,1.0,0.5,1.0,0.6666666666666666,1.0,,1.0,124.13793103448276,14.5,9.666666666666666,6.0,9.666666666666666,0.25,,,,,,,0.5,,,0.5,0.75,0.5094375,0.482275,,,,5.95,26.05,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,1.0,0.5,1.0,0.5,,,,,,0.5,0.5,1.0,1.0,0.5,1.0,1.0,,,,,0.5,,0.25,,,,,,,1.0,,,,1.0,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,0.5,,,0.43645,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,True
101109-1733-201568-201951-2403,1610612743,"Raymond Felton, Al Harrington, Danilo Gallinari, Ty Lawson, Nene","Felton, Harrington, Gallinari, Lawson, Nene",101109-1733-201568-201951-2403,DEN,92.0,1,,,5.0,,5.0,1.0,,,3.0,5.0,,0.8333333333333334,0.8333333333333334,1.0,2.0,2.0,3.0,2.0,,1.0,5.0,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,2.0,5.0,,2.0,1.0,1.0,2.0,,2.0,1.0,,,,,,,,1.0,1.0,2.0,2.0,,,2.0,,,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,,,,1.0,,,,78.26086956521739,22.5,15.666666666666666,22.5,14.0,0.3333333333333333,1.0,1.0,,,,,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,1.0,0.6147166666666667,0.6147166666666667,,,0.4,0.6,23.8,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,0.5,0.5,0.5,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,1.0,1.0,,,1.0,1.0,1.0,2.0,,,1.0,,,,,,,,1.0,1.0,,,,1.0,,1.0,,,,,0.3333333333333333,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,True
