EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,PtsUnassisted2s,FirstChancePoints,Fg2Pct,EfgPct,TsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShotQualityAvg,Avg2ptShotDistance,Minutes,DefPoss,PenaltyOffPoss,PenaltyDefPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FtPoints,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFG3AFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,TwoPtShootingFoulsDrawn,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFtPoints,SecondChancePoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LostBallOutOfBoundsTurnovers,ShootingFouls,Loose Ball Fouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceTsPct,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChancePointsPct,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,HeaveAttempts,FG3APct,Arc3Frequency,PenaltyArc3Frequency,Avg3ptShotDistance,SecondChanceAtRimFGA,Corner3FGA,SecondChanceFG2M,SecondChanceFG2A,PtsPutbacks,Fg2aBlocked,FTOffRebounds,LiveBallTurnovers,BadPassTurnovers,2pt And 1 Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffShortMidRangeReboundPct,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,Corner3FGM,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,PenaltyFG3M,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,Arc3FGM,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,LongMidRangeAssists,OffThreePtRebounds,DefThreePtRebounds,LostBallTurnovers,Travels,SecondChanceTurnovers,DefThreePtReboundPct,OffThreePtReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,LongMidRangePctAssisted,ShortMidRangeAssists,ShortMidRangePctAssisted,SecondChanceAtRimFGM,Offensive Fouls,3SecondViolations,AtRimPctBlocked,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SecondChanceAtRimAccuracy,Defensive 3 Seconds Violations,OffCorner3ReboundPct,SelfOReb,SelfORebPct,Charge Fouls Drawn,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,PtsUnassisted3s,SecondChanceAtRimPctAssisted,Charge Fouls,PenaltyArc3FGM,PenaltyArc3Accuracy,Loose Ball Fouls Drawn,Technical Free Throw Trips,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,BlockingFouls,BlockingFoulsDrawn,Blocked3s,BlockedArc3,SecondChanceCorner3Frequency,OffensiveGoaltends,SecondChanceArc3FGM,SecondChanceFG3M,Clear Path Fouls,ThreePtShootingFoulsDrawn,BlockedCorner3,DefensiveGoaltends,SecondChanceFg3Pct,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,team_id,year,season,team_vs
1715-200752-201188-201589-201970,1610612763,"Jason Williams, Rudy Gay, Marc Gasol, Darrell Arthur, Sam Young","Williams, Gay, Gasol, Arthur, Young",1715-200752-201188-201589-201970,MEM,26.0,1,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,55.38461538461538,10.0,10.0,1.0,1.0,1.0,0.4134,15.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,False
1715-200752-201188-201589-2754,1610612763,"Jason Williams, Rudy Gay, Marc Gasol, Darrell Arthur, Tony Allen","Williams, Gay, Gasol, Arthur, Allen",1715-200752-201188-201589-2754,MEM,226.0,3,4.0,8.0,16.0,1.0,2.0,2.0,5.0,6.0,4.0,6.0,0.4,0.4,0.5,101.94690265486726,10.875,10.875,0.4,0.5,0.5,0.4566,10.76,4.0,8.0,6.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,3.0,2.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,4.0,2.0,4.0,6.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666,0.6666666666666666,1.0,0.5,0.6666666666666666,0.5,17.375,16.75,0.2,0.4,0.5,0.5,0.2,0.4095333333333333,0.6666666666666666,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,False
1715-200752-201589-201934-2754,1610612763,"Jason Williams, Rudy Gay, Darrell Arthur, Hasheem Thabeet, Tony Allen","Williams, Gay, Arthur, Thabeet, Allen",1715-200752-201589-201934-2754,MEM,58.0,1,-3.0,1.0,3.0,,,,,1.0,,1.0,,,0.5,74.48275862068965,31.0,31.0,,,,,,1.0,2.0,1.0,,,,,1.0,4.0,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,1.0,,2.0,,,,,,,,1.0,1.0,,,,0.5,,,,,,,13.5,13.5,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,False
1715-200752-201589-2216-2754,1610612763,"Jason Williams, Rudy Gay, Darrell Arthur, Zach Randolph, Tony Allen","Williams, Gay, Arthur, Randolph, Allen",1715-200752-201589-2216-2754,MEM,250.0,2,8.0,10.0,20.0,,,4.0,5.0,13.0,6.0,12.0,0.8,0.8,0.7222222222222222,115.19999999999999,9.3,9.3,,,,0.59724,1.98,4.0,10.0,9.0,8.0,5.0,,,5.0,5.0,3.0,4.0,5.0,11.0,3.0,4.0,5.0,,2.0,2.0,2.0,3.0,5.0,,8.0,2.0,,,,,,,11.0,9.0,2.0,0.75,0.75,0.6875,1.0,0.75,,,1.0,,15.7,15.4,1.0,,,,1.0,0.6615,0.8461538461538461,0.9,2.0,0.2857142857142857,0.2857142857142857,1.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,0.25,0.25,0.5,1.0,1.0,1.0,1.0,0.8,0.8,0.25,1.0,0.75,0.07692307692307693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,False
1715-200752-201632-201970-202349,1610612763,"Jason Williams, Rudy Gay, Hamed Haddadi, Sam Young, Greivis Vasquez","Williams, Gay, Haddadi, Young, Vasquez",1715-200752-201632-201970-202349,MEM,20.0,1,,1.0,1.0,,1.0,,1.0,,,,,,,72.0,20.0,20.0,1.0,,,0.2866,16.8,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.2866,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,False
1715-201144-201188-201564-2216,1610612763,"Jason Williams, Mike Conley, Marc Gasol, O.J. Mayo, Zach Randolph","Williams, Conley, Gasol, Mayo, Randolph",1715-201144-201188-201564-2216,MEM,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,48.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,False
1715-201144-201188-201970-2216,1610612763,"Jason Williams, Mike Conley, Marc Gasol, Sam Young, Zach Randolph","Williams, Conley, Gasol, Young, Randolph",1715-201144-201188-201970-2216,MEM,2.0,1,1.0,1.0,1.0,,,,,1.0,,1.0,,,0.5,720.0,2.0,2.0,,,,,,,,1.0,,,,,1.0,,,,1.0,1.0,,,,,,,,,1.0,,2.0,1.0,,,,,,,1.0,1.0,1.0,,,0.5,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,False
1715-201144-201188-2203-2216,1610612763,"Jason Williams, Mike Conley, Marc Gasol, Shane Battier, Zach Randolph","Williams, Conley, Gasol, Battier, Randolph",1715-201144-201188-2203-2216,MEM,130.0,1,-7.0,4.0,8.0,,,1.0,5.0,2.0,2.0,,0.2,0.16666666666666666,0.16666666666666666,88.61538461538463,19.75,18.0,,,,0.52705,3.08,2.0,4.0,1.0,1.0,3.0,1.0,2.0,,9.0,,2.0,,,,,3.0,,,1.0,,2.0,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,12.75,12.75,0.5,0.3333333333333333,0.5,1.0,0.6666666666666666,0.57515,,0.25,1.0,0.16666666666666666,0.2,2.0,,,2.0,,2.0,,,,,,2.0,,3.0,,,,,,,1.0,,,0.3333333333333333,,0.5,0.4,0.3333333333333333,,,,1.0,,1.0,,,1.0,,,0.16666666666666666,,,23.2,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.2,0.5,1.0,1.0,1.0,0.16666666666666666,0.6666666666666666,0.5359666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,False
1715-201144-201564-201970-2216,1610612763,"Jason Williams, Mike Conley, O.J. Mayo, Sam Young, Zach Randolph","Williams, Conley, Mayo, Young, Randolph",1715-201144-201564-201970-2216,MEM,12.0,1,,1.0,1.0,,,,,,,,,,,120.0,12.0,12.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,False
1715-201144-201564-202349-2216,1610612763,"Jason Williams, Mike Conley, O.J. Mayo, Greivis Vasquez, Zach Randolph","Williams, Conley, Mayo, Vasquez, Randolph",1715-201144-201564-202349-2216,MEM,44.0,1,-3.0,1.0,3.0,,,,,3.0,,3.0,,1.5,1.5,98.18181818181819,14.0,14.0,,,,0.60825,,1.0,2.0,1.0,2.0,,,,,6.0,,,,3.0,,,,,,,,1.0,,,,,,,,,,,3.0,1.0,,,1.5,1.5,,,,,,,15.0,15.0,,,,,1.0,0.60825,1.0,1.0,,,,,,,,,,,,1.0,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,22.7,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,False
