EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FTA,Technical Free Throw Trips,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FtPoints,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsPutbacks,FoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,ShortMidRangeFGM,LongMidRangeFGM,Fg2aBlocked,LongMidRangeAssists,LiveBallTurnovers,LostBallTurnovers,Turnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefAtRimReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShortMidRangeAssists,Steals,BadPassSteals,BadPassTurnovers,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,PenaltyTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefLongMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,Corner3FGM,PtsAssisted3s,ThreePtAssists,Corner3Assists,FTDefRebounds,Assisted3sPct,DefFTReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,OffThreePtRebounds,FTOffRebounds,LostBallSteals,SecondChanceTurnovers,OffFTReboundPct,OffThreePtReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,Arc3Assists,Charge Fouls,Loose Ball Fouls,Arc3PctAssisted,DefCorner3ReboundPct,Loose Ball Fouls Drawn,BlockedShortMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,Blocked3s,BlockedCorner3,PenaltyFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceFtPoints,OffArc3ReboundPct,SelfOReb,SelfORebPct,HeaveAttempts,Offensive Fouls,Offensive Fouls Drawn,BadPassOutOfBoundsTurnovers,BlockingFoulsDrawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockingFouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,3SecondViolations,DefensiveGoaltends,SecondChanceArc3PctAssisted,Fg3aBlocked,StepOutOfBoundsTurnovers,FG3APctBlocked,ShortMidRangePctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,HeaveMakes,BlockedLongMidRange,BlockedArc3,Clear Path Fouls,OffensiveGoaltends,team_id,year,season,team_vs
101135-101145-200760-200811-201151,1610612744,"David Lee, Monta Ellis, Rodney Carney, Lou Amundson, Acie Law","Lee, Ellis, Carney, Amundson, Law",101135-101145-200760-200811-201151,GSW,159.0,1,3.0,-2.0,5.0,6.0,1.0,11.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,5.0,7.0,1.0,1.0,3.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.0,0.5,0.25,0.4166666666666667,1.5,0.4166666666666667,1.5,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.25,0.3333333333333333,1.0,1.0,99.62264150943396,16.0,13.166666666666666,15.2,13.166666666666666,0.16666666666666666,1.0,1.0,1.0,0.5,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,0.5020833333333333,0.5874,0.6,15.625,23.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2011,2010-11,False
101135-101145-200760-200811-2748,1610612744,"David Lee, Monta Ellis, Rodney Carney, Lou Amundson, Dorell Wright","Lee, Ellis, Carney, Amundson, Wright",101135-101145-200760-200811-2748,GSW,72.0,1,1.0,1.0,3.0,2.0,1.0,5.0,1.0,2.0,,,,,,,1.0,3.0,,,6.0,5.0,,,2.0,,,,,,,,,2.0,,,,2.0,2.0,,,4.0,,4.0,,,,,,0.3333333333333333,0.3333333333333333,0.5,0.6,0.5,,,1.0,,,1.0,,,,100.0,13.333333333333334,16.0,12.333333333333334,16.0,0.6666666666666666,0.5,0.5,,,,,,,,,0.6666666666666666,,0.5196999999999999,0.56765,0.3333333333333333,3.533333333333333,,3.0,2.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,2.0,1.0,3.0,4.0,6.0,2.0,2.0,2.0,2.0,6.0,3.0,2.0,0.5,0.3333333333333333,0.3333333333333333,0.6,1.0,1.0,0.3333333333333333,1.0,0.5,0.6666666666666666,0.5,0.5196999999999999,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2011,2010-11,False
101135-101145-200760-201148-202130,1610612744,"David Lee, Monta Ellis, Rodney Carney, Brandan Wright, Reggie Williams","Lee, Ellis, Carney, Wright, Williams",101135-101145-200760-201148-202130,GSW,138.0,1,2.0,2.0,5.0,4.0,,9.0,,1.0,1.0,,,,,,2.0,3.0,,,7.0,5.0,,,,2.0,,,,1.0,1.0,,2.0,,,1.0,1.0,,1.0,1.0,2.0,3.0,,7.0,0.5,0.5,,,,0.6666666666666666,0.6666666666666666,,0.875,,,1.0,,,1.0,,,,,93.91304347826087,16.0,14.5,16.0,14.5,0.3333333333333333,,,,0.3333333333333333,,,,,,,0.3333333333333333,,0.4458,,,9.799999999999999,,,4.0,,,,,1.0,3.0,,,,,,,2.0,,2.0,,,,,,,,,,,0.3333333333333333,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2011,2010-11,False
101135-101145-200760-201148-202391,1610612744,"David Lee, Monta Ellis, Rodney Carney, Brandan Wright, Jeremy Lin","Lee, Ellis, Carney, Wright, Lin",101135-101145-200760-201148-202391,GSW,337.0,1,6.0,-4.0,12.0,13.0,,25.0,1.0,1.0,2.0,1.0,,,,,3.0,6.0,,1.0,10.0,14.0,,,,6.0,,,,3.0,3.0,1.0,6.0,,1.0,3.0,4.0,,4.0,1.0,1.0,5.0,1.0,10.0,1.0,1.0,,,,0.5,0.42857142857142855,,0.5,,0.14285714285714285,1.0,,1.0,1.0,,,,1.0,106.82492581602375,16.916666666666668,10.307692307692308,16.916666666666668,10.307692307692308,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.14285714285714285,,,,,,0.2857142857142857,,0.5206428571428571,,,10.9,23.7,8.0,8.0,,,1.0,1.0,3.0,4.0,,,2.0,4.0,4.0,8.0,,,2.0,1.0,8.0,8.0,1.0,,0.5,0.5,0.5833333333333334,,,0.42857142857142855,,,0.25,1.0,0.560675,0.8,0.6666666666666666,1.0,1.0,,1.0,1.0,,3.0,,1.0,,,,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,1.0,0.125,0.14285714285714285,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2011,2010-11,False
101135-101145-200760-201151-202327,1610612744,"David Lee, Monta Ellis, Rodney Carney, Acie Law, Ekpe Udoh","Lee, Ellis, Carney, Law, Udoh",101135-101145-200760-201151-202327,GSW,336.0,3,6.0,1.0,10.0,9.0,,19.0,3.0,4.0,1.0,1.0,,,,,3.0,5.0,1.0,1.0,13.0,12.0,,,,6.0,,,,3.0,4.0,3.0,9.0,,1.0,2.0,4.0,,4.0,3.0,5.0,5.0,1.0,13.0,1.0,1.0,1.0,,1.0,0.6,0.75,,0.75,,0.16666666666666666,1.0,,1.0,1.0,,,,1.0,81.42857142857143,16.4,19.11111111111111,16.4,19.11111111111111,0.6666666666666666,0.75,1.0,1.0,0.16666666666666666,0.16666666666666666,,,,,,0.8333333333333334,,0.48539166666666667,,,5.9799999999999995,23.2,1.0,,,,,,,4.0,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,0.1,,,1.0,,1.0,,2.0,,2.0,,0.2,0.25,0.5,1.0,,,,,,0.25,0.2857142857142857,,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2011,2010-11,False
101135-101145-200760-201151-2209,1610612744,"David Lee, Monta Ellis, Rodney Carney, Acie Law, Vladimir Radmanovic","Lee, Ellis, Carney, Law, Radmanovic",101135-101145-200760-201151-2209,GSW,250.0,2,4.0,1.0,9.0,7.0,2.0,16.0,2.0,2.0,1.0,2.0,,2.0,,,3.0,4.0,1.0,4.0,9.0,8.0,,,2.0,4.0,,2.0,,2.0,3.0,2.0,7.0,,,2.0,2.0,2.0,4.0,2.0,3.0,,,7.0,0.6666666666666666,0.6666666666666666,0.25,,0.25,0.75,0.5625,1.0,0.5625,1.0,0.5,1.0,,,1.0,0.25,,1.0,,92.16,13.666666666666666,18.142857142857142,11.666666666666666,18.142857142857142,0.25,1.0,1.0,1.0,0.125,0.25,0.25,,,,,0.75,,0.56874375,0.7539,0.2222222222222222,6.325,24.425,,1.0,1.0,1.0,,,1.0,,1.0,1.0,,,,,2.0,,,,,,,1.0,,,,,,0.125,1.0,1.0,,,,,,1.0,,,,2.0,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,2.0,1.0,2.0,,,,,1.0,1.0,1.0,1.0,,1.0,,1.0,3.0,1.0,1.0,,1.0,,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2011,2010-11,False
101135-101145-200760-201151-2748,1610612744,"David Lee, Monta Ellis, Rodney Carney, Acie Law, Dorell Wright","Lee, Ellis, Carney, Law, Wright",101135-101145-200760-201151-2748,GSW,6.0,1,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.0,,6.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2011,2010-11,False
101135-101145-200760-201939-202130,1610612744,"David Lee, Monta Ellis, Rodney Carney, Stephen Curry, Reggie Williams","Lee, Ellis, Carney, Curry, Williams",101135-101145-200760-201939-202130,GSW,452.0,3,8.0,-4.0,14.0,14.0,,28.0,3.0,3.0,2.0,,1.0,1.0,,,4.0,8.0,1.0,1.0,12.0,16.0,,,,6.0,,1.0,1.0,3.0,4.0,2.0,9.0,,2.0,1.0,3.0,,3.0,1.0,4.0,4.0,,12.0,0.75,0.75,1.0,,1.0,0.5,0.6111111111111112,,0.5454545454545454,,0.1111111111111111,0.2,,1.0,0.42857142857142855,,,0.5,1.0,89.20353982300885,15.142857142857142,17.142857142857142,15.142857142857142,14.714285714285714,0.3333333333333333,1.0,1.0,0.6666666666666666,0.2222222222222222,,0.1111111111111111,1.0,1.0,,,0.4444444444444444,1.0,0.5037166666666667,,,7.925,26.6,2.0,,,,,,3.0,1.0,,,,,,,2.0,,2.0,1.0,,2.0,,,,,,,,0.3333333333333333,,,,,,,0.14285714285714285,1.0,,,,2.0,2.0,3.0,,1.0,,,,0.6666666666666666,,0.3333333333333333,0.3333333333333333,,,,0.1,0.1111111111111111,1.0,1.0,1.0,,1.0,,,2.0,,,,,,,1.0,,3.0,1.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2011,2010-11,False
101135-101145-200760-201939-202327,1610612744,"David Lee, Monta Ellis, Rodney Carney, Stephen Curry, Ekpe Udoh","Lee, Ellis, Carney, Curry, Udoh",101135-101145-200760-201939-202327,GSW,186.0,2,3.0,1.0,6.0,5.0,,11.0,2.0,2.0,3.0,,,,,,3.0,5.0,,,8.0,7.0,,,,6.0,,,,3.0,3.0,2.0,6.0,,,,1.0,,1.0,1.0,2.0,2.0,,8.0,1.0,1.0,,,,0.6,0.6,,0.6666666666666666,,,,,,,,,,,85.16129032258064,16.666666666666668,17.2,16.666666666666668,14.2,0.4,1.0,1.0,1.0,0.6,,,,,,,0.4,,0.52574,,,12.18,,4.0,2.0,,,2.0,2.0,,2.0,,,3.0,4.0,,6.0,,,1.0,,6.0,4.0,,,0.75,0.75,0.75,,,,,,0.5,1.0,0.5562,0.75,0.6666666666666666,,1.0,,1.0,,,,,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.16666666666666666,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2011,2010-11,False
101135-101145-200760-201939-2209,1610612744,"David Lee, Monta Ellis, Rodney Carney, Stephen Curry, Vladimir Radmanovic","Lee, Ellis, Carney, Curry, Radmanovic",101135-101145-200760-201939-2209,GSW,212.0,2,4.0,5.0,7.0,7.0,,14.0,1.0,1.0,1.0,2.0,,,,,3.0,3.0,2.0,2.0,13.0,8.0,,,,6.0,,,,3.0,5.0,1.0,12.0,,1.0,1.0,2.0,,2.0,1.0,2.0,2.0,,13.0,1.0,1.0,1.0,,1.0,1.0,1.2,,1.0833333333333333,,0.4,1.0,,1.0,1.0,,,,,95.09433962264151,12.714285714285714,17.571428571428573,12.714285714285714,17.571428571428573,0.2,1.0,1.0,1.0,0.2,0.4,,,,,,0.6,,0.53816,,,9.633333333333333,23.5,,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,0.2,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,,1.0,,,,1.0,,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,1.0,2.0,6.0,2.0,2.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2011,2010-11,False
