EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,DeadBallTurnovers,Turnovers,Fouls,Loose Ball Fouls,Offensive Fouls,FoulsDrawn,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,FtPoints,PenaltyFtPoints,PenaltyPoints,ShootingFouls,BlockingFouls,FTA,NonShootingFoulsDrawn,PenaltyTsPct,DefCorner3ReboundPct,PenaltyPointsPct,PenaltyOffPossPct,Steals,BadPassSteals,Charge Fouls Drawn,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,AtRimAssists,PenaltyTurnovers,TwoPtShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,FTDefRebounds,DefFTReboundPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,PtsPutbacks,Fg2aBlocked,LostBallSteals,BadPassOutOfBoundsTurnovers,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,ShortMidRangeFGA,HeaveAttempts,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeFGM,LostBallTurnovers,Offensive Fouls Drawn,BlockedShortMidRange,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3FGA,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,ShortMidRangeAssists,2pt And 1 Free Throw Trips,Technical Free Throw Trips,PenaltyFg3Pct,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceCorner3Frequency,PenaltyCorner3Frequency,PenaltyArc3Accuracy,SecondChanceFtPoints,PtsUnassisted3s,HeaveMakes,Blocked3s,BlockedCorner3,PenaltyCorner3FGM,BlockingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3Accuracy,Travels,Clear Path Fouls,DefensiveGoaltends,3SecondViolations,LostBallOutOfBoundsTurnovers,Charge Fouls,OffensiveGoaltends,SecondChanceAtRimPctAssisted,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,SecondChanceFG3M,FTOffRebounds,SecondChanceFg3Pct,OffFTReboundPct,SecondChanceArc3Accuracy,BlockedLongMidRange,3pt And 1 Free Throw Trips,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
101122-1902-201177-201575-201985,1610612754,"Danny Granger, Jeff Foster, Josh McRoberts, Brandon Rush, AJ Price","Granger, Foster, McRoberts, Rush, Price",101122-1902-201177-201575-201985,IND,392.0,2,7.0,-2.0,10.0,9.0,2.0,19.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,2.0,8.0,2.0,3.0,10.0,12.0,1.0,1.0,2.0,2.0,6.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,2.0,1.0,3.0,4.0,2.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,10.0,0.5,0.5,1.0,0.6666666666666666,0.6666666666666666,0.25,0.45454545454545453,0.45454545454545453,0.2727272727272727,0.75,0.3333333333333333,0.5,0.6666666666666666,0.2857142857142857,0.3333333333333333,1.0,1.0,0.5,0.14285714285714285,69.79591836734694,1.0,24.4,16.444444444444443,21.6,13.88888888888889,0.09090909090909091,1.0,1.0,0.6363636363636364,0.14285714285714285,0.14285714285714285,1.0,0.09090909090909091,1.0,1.0,1.0,0.18181818181818182,0.5,0.5,1.0,0.5,0.36363636363636365,0.5,0.46542727272727275,0.473175,16.95,23.666666666666668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2011,2010-11,False
101122-1902-201177-201575-2563,1610612754,"Danny Granger, Jeff Foster, Josh McRoberts, Brandon Rush, Dahntay Jones","Granger, Foster, McRoberts, Rush, Jones",101122-1902-201177-201575-2563,IND,16.0,1,,-1.0,1.0,2.0,,3.0,,,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,1.0,,,,,,2.0,,,,,,,,1.0,,,,1.0,1.0,,,,,,,270.0,,,8.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2011,2010-11,False
101122-1902-201177-201954-202331,1610612754,"Danny Granger, Jeff Foster, Josh McRoberts, Darren Collison, Paul George","Granger, Foster, McRoberts, Collison, George",101122-1902-201177-201954-202331,IND,77.0,1,1.0,-1.0,2.0,3.0,,5.0,,,1.0,2.0,,,,,,1.0,2.0,,,2.0,3.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,0.5,0.5,0.5,,,,,,,,,,,,93.5064935064935,,12.0,17.666666666666668,12.0,17.666666666666668,,,,1.0,0.5,0.5,,,,,,,,,,,,,0.4435,,17.9,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2011,2010-11,False
101122-1902-201177-201954-2563,1610612754,"Danny Granger, Jeff Foster, Josh McRoberts, Darren Collison, Dahntay Jones","Granger, Foster, McRoberts, Collison, Jones",101122-1902-201177-201954-2563,IND,162.0,2,3.0,-8.0,5.0,6.0,,11.0,2.0,2.0,,,,,,1.0,,2.0,2.0,,1.0,5.0,13.0,,,2.0,2.0,,1.0,,1.0,,1.0,,,,2.0,,1.0,,1.0,,1.0,,1.0,1.0,3.0,,,1.0,,,,,,5.0,0.5,0.5,,,,1.0,0.6666666666666666,0.625,0.3333333333333333,,,1.0,1.0,,,,,1.0,,97.77777777777777,,8.6,19.833333333333332,8.6,17.0,0.6666666666666666,1.0,1.0,,,,,,,,,0.3333333333333333,,,,,1.0,,0.5257999999999999,,1.7,26.4,3.0,6.0,1.0,,2.0,1.0,,2.0,,0.5,,0.4,0.6,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,0.4509,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2011,2010-11,False
101122-1902-201177-201985-202331,1610612754,"Danny Granger, Jeff Foster, Josh McRoberts, AJ Price, Paul George","Granger, Foster, McRoberts, Price, George",101122-1902-201177-201985-202331,IND,64.0,2,1.0,1.0,2.0,2.0,,4.0,,,,1.0,,,,,,,1.0,,,2.0,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,1.0,,,1.0,,,,,,2.0,,,,,,,,0.5,,,,,,,,,,,,90.0,,25.5,6.5,25.5,2.0,,,,1.0,,,,,,,,,,,,,,,0.4094,,20.4,,,,2.0,,,1.0,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2011,2010-11,False
101122-1902-201177-201985-2399,1610612754,"Danny Granger, Jeff Foster, Josh McRoberts, AJ Price, Mike Dunleavy","Granger, Foster, McRoberts, Price, Dunleavy",101122-1902-201177-201985-2399,IND,127.0,2,2.0,2.0,5.0,3.0,1.0,8.0,1.0,3.0,1.0,1.0,,,,1.0,,2.0,4.0,,1.0,4.0,2.0,1.0,,,4.0,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,,,,,,,,,2.0,,,,,,0.5,0.4,0.4,0.2,1.0,0.5,,1.0,0.3333333333333333,,1.0,,,,90.70866141732283,,15.4,16.666666666666668,15.2,16.666666666666668,0.6,0.3333333333333333,1.0,0.2,1.0,1.0,,,,,,0.2,,,,,0.8,,0.40603999999999996,0.4167,5.55,25.0,2.0,,,,2.0,,,,,0.5,,0.5,0.4,1.0,,,1.0,2.0,,1.0,2.0,,,1.0,,2.0,2.0,,0.5,0.5,,1.0,0.5,,0.3345,,,,,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.6666666666666666,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2011,2010-11,False
101122-1902-201177-201985-2563,1610612754,"Danny Granger, Jeff Foster, Josh McRoberts, AJ Price, Dahntay Jones","Granger, Foster, McRoberts, Price, Jones",101122-1902-201177-201985-2563,IND,290.0,2,5.0,-9.0,9.0,8.0,3.0,17.0,,1.0,1.0,4.0,,1.0,,2.0,,1.0,7.0,,3.0,4.0,13.0,2.0,,,2.0,,1.0,,,,,,,,,1.0,1.0,1.0,2.0,3.0,5.0,,,1.0,3.0,,,1.0,,,,,,2.0,,,,,,0.14285714285714285,0.1,0.18181818181818182,0.3,1.0,0.16666666666666666,0.5,0.6666666666666666,0.375,,,1.0,0.5,,84.41379310344828,,20.88888888888889,12.75,17.22222222222222,12.75,0.1,,,0.4,0.25,0.25,,0.1,,,,0.2,,,,,0.4,,0.41078888888888887,0.3926,13.1,34.4,1.0,,2.0,,,2.0,1.0,2.0,,,,,0.1111111111111111,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,,,,1.0,,0.09090909090909091,0.125,,,,,1.0,2.0,,,,,0.5,0.5,0.5,,,1.0,,,0.5,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2011,2010-11,False
101122-1902-201575-201985-2399,1610612754,"Danny Granger, Jeff Foster, Brandon Rush, AJ Price, Mike Dunleavy","Granger, Foster, Rush, Price, Dunleavy",101122-1902-201575-201985-2399,IND,291.0,1,5.0,-2.0,8.0,9.0,,17.0,,2.0,,,,,2.0,3.0,,1.0,3.0,2.0,3.0,10.0,12.0,,,,2.0,6.0,3.0,2.0,,2.0,2.0,2.0,,,6.0,,1.0,1.0,2.0,,2.0,,,1.0,,,,3.0,1.0,1.0,,1.0,,10.0,,,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.7142857142857143,0.5,0.25,,0.5,0.3333333333333333,,,,,0.5,,84.12371134020619,,12.625,21.11111111111111,12.625,17.666666666666668,0.3333333333333333,,,,,,,,,,,0.5,0.6666666666666666,0.6666666666666666,1.0,,0.8333333333333334,0.6666666666666666,0.498925,,3.3000000000000003,24.53333333333333,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.14285714285714285,0.25,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,0.16666666666666666,1.0,1.0,1.0,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2011,2010-11,False
101122-1902-201946-201954-202331,1610612754,"Danny Granger, Jeff Foster, Tyler Hansbrough, Darren Collison, Paul George","Granger, Foster, Hansbrough, Collison, George",101122-1902-201946-201954-202331,IND,775.0,3,13.0,,21.0,23.0,6.0,44.0,4.0,7.0,5.0,8.0,,1.0,1.0,4.0,,11.0,21.0,1.0,5.0,26.0,26.0,5.0,1.0,12.0,10.0,3.0,4.0,1.0,6.0,1.0,7.0,1.0,,3.0,15.0,5.0,1.0,7.0,8.0,5.0,13.0,,,,7.0,,,2.0,1.0,2.0,2.0,2.0,,16.0,0.5454545454545454,0.6666666666666666,1.0,0.2,0.2,0.5238095238095238,0.4807692307692308,0.4807692307692308,0.19230769230769232,0.5833333333333334,0.5,0.25,0.5,0.35714285714285715,0.6666666666666666,0.5,0.6666666666666666,,,81.75483870967743,,16.666666666666668,18.47826086956522,15.285714285714286,15.695652173913043,0.2692307692307692,0.5714285714285714,0.5714285714285714,0.3076923076923077,0.625,0.7142857142857143,0.6,0.038461538461538464,,,,0.15384615384615385,0.25,0.25,1.0,,0.46153846153846156,0.25,0.4732596153846154,0.5230583333333333,9.685714285714287,24.759999999999998,10.0,19.0,1.0,,13.0,5.0,,2.0,,0.5416666666666666,0.5,0.5,0.47619047619047616,2.0,1.0,,1.0,2.0,2.0,5.0,9.0,3.0,2.0,,1.0,13.0,10.0,1.0,0.5555555555555556,0.5416666666666666,0.5,0.16666666666666666,0.5,0.16666666666666666,0.44985,0.038461538461538464,0.047619047619047616,,,2.0,2.0,5.0,10.0,4.0,2.0,1.0,,1.0,0.8333333333333334,0.8333333333333334,0.09523809523809523,,0.6666666666666666,0.3333333333333333,1.0,0.38461538461538464,6.0,,,,,,,,,,0.23076923076923078,2.0,,,,1.0,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,0.125,0.25,0.5,0.16666666666666666,0.08333333333333333,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2011,2010-11,False
101122-1902-201946-201954-2399,1610612754,"Danny Granger, Jeff Foster, Tyler Hansbrough, Darren Collison, Mike Dunleavy","Granger, Foster, Hansbrough, Collison, Dunleavy",101122-1902-201946-201954-2399,IND,11.0,1,,,1.0,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9090909090909,,11.0,,11.0,,,,,1.0,,,,,,,,,,,,,,,0.3219,,16.5,,1.0,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,0.3219,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612754,2011,2010-11,False
