EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2A,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,FoulsDrawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,FTOffRebounds,FTDefRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,Fouls,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,PenaltyFg3Pct,Fg2Pct,PenaltyFg2Pct,PenaltyEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted2s,PtsPutbacks,HeaveAttempts,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,OffThreePtRebounds,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Loose Ball Fouls,Charge Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,SecondChanceFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffThreePtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Frequency,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,3SecondViolations,OffArc3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BlockedShortMidRange,SecondChanceAtRimPctAssisted,Charge Fouls,Travels,Offensive Fouls,BlockingFoulsDrawn,DefCorner3ReboundPct,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceCorner3FGM,SecondChanceCorner3FGA,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockingFouls,DefensiveGoaltends,Blocked3s,BlockedCorner3,Fg3aBlocked,OffensiveGoaltends,FG3APctBlocked,LongMidRangePctBlocked,Arc3PctBlocked,BlockedArc3,3pt And 1 Free Throw Trips,Clear Path Fouls,Corner3PctBlocked,team_id,year,season,team_vs
101109-101142-200761-201163-201568,1610612752,"Raymond Felton, Ronny Turiaf, Shawne Williams, Wilson Chandler, Danilo Gallinari","Felton, Turiaf, Williams, Chandler, Gallinari",101109-101142-200761-201163-201568,NYK,164.0,2,3.0,3.0,6.0,5.0,3.0,2.0,2.0,11.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,0.375,0.4,0.16666666666666666,0.25,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,0.3333333333333333,96.58536585365853,13.333333333333334,16.8,12.333333333333334,16.8,0.25,0.5,0.25,1.0,1.0,0.5,1.0,0.495125,0.4361,0.39305,0.2,0.25,0.4,14.5,25.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2011,2010-11,True
101109-101142-200761-201163-201611,1610612752,"Raymond Felton, Ronny Turiaf, Shawne Williams, Wilson Chandler, Henry Walker","Felton, Turiaf, Williams, Chandler, Walker",101109-101142-200761-201163-201611,NYK,213.0,1,4.0,-1.0,9.0,8.0,9.0,8.0,1.0,17.0,2.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,7.0,8.0,,3.0,2.0,7.0,,2.0,1.0,,,3.0,4.0,1.0,5.0,,1.0,,1.0,2.0,4.0,2.0,4.0,,1.0,5.0,7.0,9.0,0.5,0.5,0.5,0.5,0.5,0.4,1.0,,,1.0,,,,,,114.92957746478874,13.222222222222221,11.75,12.222222222222221,11.75,0.4,0.2,0.4,0.5,0.5,0.8,0.5,0.56009,,0.56009,0.16666666666666666,0.25,1.0,7.166666666666667,24.5,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.4,0.5,0.4,0.5,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2011,2010-11,True
101109-101142-200761-201163-201962,1610612752,"Raymond Felton, Ronny Turiaf, Shawne Williams, Wilson Chandler, Toney Douglas","Felton, Turiaf, Williams, Chandler, Douglas",101109-101142-200761-201163-201962,NYK,1147.0,8,19.0,6.0,37.0,40.0,21.0,26.0,6.0,77.0,7.0,6.0,3.0,6.0,27.0,3.0,7.0,9.0,44.0,38.0,4.0,14.0,5.0,25.0,,5.0,3.0,5.0,7.0,10.0,17.0,6.0,23.0,,2.0,,1.0,1.0,6.0,9.0,10.0,1.0,5.0,33.0,25.0,21.0,0.42857142857142855,0.5,0.5147058823529411,0.5657894736842105,0.5681818181818182,0.20588235294117646,0.9090909090909091,0.38461538461538464,0.7777777777777778,0.85,0.375,,1.0,0.7777777777777778,,96.66957279860506,14.864864864864865,14.925,13.72972972972973,14.25,0.20588235294117646,0.17647058823529413,0.17647058823529413,0.5,0.5,0.4117647058823529,0.6,0.45815606060606057,0.4626,0.48019999999999996,0.13157894736842105,0.16129032258064516,0.5681818181818182,8.333333333333334,29.885714285714283,0.5675675675675675,3.0,2.0,5.0,2.0,5.0,13.0,2.0,11.0,7.0,2.0,6.0,12.0,9.0,6.0,3.0,9.0,3.0,2.0,21.0,,,2.0,5.0,4.0,5.0,4.0,,,,,,1.0,,0.46153846153846156,0.5454545454545454,1.0,0.3333333333333333,0.48148148148148145,0.5,0.5,1.0,0.8333333333333334,,,1.0,0.8333333333333334,,0.42857142857142855,0.75,0.6666666666666666,1.0,0.25,0.4,0.25,0.4,0.25,1.0,1.0,7.0,14.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,14.0,4.0,1.0,5.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.9,0.18518518518518517,0.42857142857142855,0.14285714285714285,0.3333333333333333,0.75,0.2857142857142857,1.0,0.4117647058823529,0.5,0.5833333333333334,0.2857142857142857,0.5,0.5,0.6666666666666666,0.029411764705882353,0.2,1.0,0.2,1.0,1.0,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2011,2010-11,True
101109-101142-200761-201163-202361,1610612752,"Raymond Felton, Ronny Turiaf, Shawne Williams, Wilson Chandler, Landry Fields","Felton, Turiaf, Williams, Chandler, Fields",101109-101142-200761-201163-202361,NYK,419.0,2,7.0,-6.0,13.0,13.0,11.0,,2.0,26.0,1.0,3.0,,1.0,7.0,1.0,3.0,7.0,22.0,28.0,1.0,6.0,5.0,18.0,,1.0,,,1.0,2.0,3.0,2.0,5.0,,,,,1.0,1.0,5.0,9.0,,3.0,18.0,18.0,11.0,0.3333333333333333,0.3333333333333333,0.75,0.7857142857142857,0.8181818181818182,0.3,0.6666666666666666,,1.0,0.75,0.6666666666666666,,1.0,1.0,,89.35560859188544,18.0,14.23076923076923,16.615384615384617,13.76923076923077,0.1,0.3,0.1,,,0.4,,0.46973000000000004,,0.460275,0.25,0.3333333333333333,0.8181818181818182,12.657142857142857,23.433333333333334,0.8461538461538461,1.0,1.0,1.0,,,6.0,2.0,4.0,5.0,1.0,2.0,10.0,3.0,5.0,1.0,6.0,,1.0,13.0,,,,,,1.0,3.0,2.0,,,,,,2.0,0.8333333333333334,0.8333333333333334,1.0,0.5,0.8571428571428571,0.8333333333333334,0.8125,1.0,,,,,0.5,,1.0,1.0,1.0,,0.125,1.0,,,0.18181818181818182,,,3.0,3.0,2.0,2.0,2.0,,,1.0,,,2.0,,,,2.0,2.0,2.0,,,3.0,,,,1.0,,1.0,1.0,,,,1.0,,,1.0,0.3,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.2,,,,,,0.25,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2011,2010-11,True
101109-101142-200761-201163-2427,1610612752,"Raymond Felton, Ronny Turiaf, Shawne Williams, Wilson Chandler, Roger Mason Jr.","Felton, Turiaf, Williams, Chandler, Mason Jr.",101109-101142-200761-201163-2427,NYK,77.0,1,1.0,2.0,3.0,3.0,3.0,,,6.0,1.0,,,,2.0,,,,4.0,2.0,,2.0,,4.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,,,,4.0,4.0,3.0,,,1.0,1.0,1.0,,,,,,,,,,,112.2077922077922,12.666666666666666,13.0,12.666666666666666,13.0,0.5,,,,,0.5,,0.48225,,0.48225,,,1.0,5.7,,1.0,1.0,1.0,1.0,,,2.0,,,2.0,,,2.0,,1.0,,1.0,,1.0,2.0,,,1.0,,,1.0,,,,,,,,,0.5,0.5,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,0.5,1.0,,,,,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2011,2010-11,True
101109-101142-200761-201568-201962,1610612752,"Raymond Felton, Ronny Turiaf, Shawne Williams, Danilo Gallinari, Toney Douglas","Felton, Turiaf, Williams, Gallinari, Douglas",101109-101142-200761-201568-201962,NYK,1329.0,9,22.0,3.0,46.0,47.0,20.0,17.0,4.0,93.0,12.0,9.0,1.0,5.0,29.0,2.0,6.0,8.0,44.0,41.0,4.0,12.0,7.0,20.0,,5.0,1.0,3.0,5.0,11.0,19.0,3.0,22.0,,5.0,2.0,1.0,2.0,10.0,10.0,12.0,,5.0,37.0,20.0,20.0,0.3333333333333333,0.3333333333333333,0.5142857142857142,0.55,0.5263157894736842,0.17142857142857143,0.7857142857142857,0.21428571428571427,0.5555555555555556,0.6956521739130435,0.17647058823529413,0.5,1.0,0.625,,100.76749435665914,15.543478260869565,13.063829787234043,14.478260869565217,12.106382978723405,0.34285714285714286,0.2571428571428571,0.14285714285714285,0.2,0.2,0.5142857142857142,0.2,0.4673485714285714,0.4101333333333333,0.46208,0.13157894736842105,0.15625,0.45454545454545453,8.593103448275862,25.416666666666668,0.43478260869565216,6.0,3.0,5.0,1.0,3.0,15.0,1.0,7.0,5.0,1.0,3.0,16.0,6.0,8.0,2.0,10.0,1.0,4.0,22.0,,3.0,3.0,8.0,4.0,2.0,9.0,2.0,2.0,,2.0,2.0,,2.0,0.5333333333333333,0.5333333333333333,1.0,0.3333333333333333,0.5172413793103449,0.4166666666666667,0.43333333333333335,0.875,0.8,0.75,,,1.0,1.0,0.5,0.6,0.6666666666666666,1.0,0.3333333333333333,0.6,0.2,0.3333333333333333,0.1590909090909091,1.0,1.0,2.0,8.0,7.0,1.0,,,,3.0,,,14.0,,,3.0,,4.0,,4.0,,7.0,,,1.0,2.0,,0.75,0.75,0.10344827586206896,0.16666666666666666,0.125,,0.16666666666666666,0.16666666666666666,,0.22857142857142856,0.25,0.2857142857142857,,0.7777777777777778,0.7777777777777778,0.5714285714285714,0.02857142857142857,0.25,1.0,,,,,1.0,,1.0,,,1.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2011,2010-11,True
101109-101142-200761-201568-202361,1610612752,"Raymond Felton, Ronny Turiaf, Shawne Williams, Danilo Gallinari, Landry Fields","Felton, Turiaf, Williams, Gallinari, Fields",101109-101142-200761-201568-202361,NYK,379.0,2,6.0,2.0,13.0,13.0,3.0,1.0,2.0,26.0,5.0,5.0,,2.0,11.0,,2.0,3.0,15.0,13.0,3.0,5.0,,4.0,,1.0,,3.0,2.0,2.0,4.0,3.0,7.0,1.0,2.0,,,1.0,3.0,2.0,3.0,1.0,1.0,13.0,4.0,3.0,,,0.46153846153846156,0.5,0.4,0.15384615384615385,0.5,0.6,0.6666666666666666,0.5714285714285714,0.5,1.0,,0.6666666666666666,0.2,98.78627968337732,14.461538461538462,14.692307692307692,14.0,14.153846153846153,0.38461538461538464,0.38461538461538464,0.15384615384615385,,,0.5384615384615384,,0.5089875,0.6442666666666667,0.47284,0.07142857142857142,0.08333333333333333,0.26666666666666666,9.427272727272728,36.05,0.23076923076923078,2.0,,2.0,,,6.0,,2.0,2.0,,,4.0,,2.0,,2.0,,1.0,4.0,,,2.0,2.0,2.0,,4.0,,,,,,,,0.3333333333333333,0.4,,,0.5454545454545454,0.4,0.4,0.3333333333333333,0.6666666666666666,,,0.3333333333333333,1.0,,0.4,0.5,0.5,,0.4,,,,0.13333333333333333,1.0,3.0,,1.0,4.0,,,,,1.0,,,8.0,2.0,1.0,1.0,,1.0,,,,1.0,,1.0,,,,0.3333333333333333,0.3333333333333333,0.09090909090909091,0.2,,,0.6666666666666666,,,0.07692307692307693,,,,0.8,0.8,0.25,,1.0,0.3333333333333333,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2011,2010-11,True
101109-101142-200761-201568-2405,1610612752,"Raymond Felton, Ronny Turiaf, Shawne Williams, Danilo Gallinari, Amar'e Stoudemire","Felton, Turiaf, Williams, Gallinari, Stoudemire",101109-101142-200761-201568-2405,NYK,105.0,1,2.0,2.0,4.0,5.0,,2.0,1.0,9.0,2.0,,2.0,2.0,4.0,2.0,2.0,,8.0,6.0,2.0,,,,,2.0,2.0,2.0,,1.0,2.0,2.0,4.0,,,,,,,,,,,8.0,,,1.0,1.0,0.6666666666666666,0.6666666666666666,,0.3333333333333333,0.3333333333333333,0.6666666666666666,,0.3333333333333333,0.6666666666666666,,,,,123.42857142857143,14.25,9.6,9.5,8.8,0.3333333333333333,,0.3333333333333333,1.0,1.0,0.6666666666666666,1.0,0.5049,0.51,,,,,5.975,25.5,,1.0,,,,,1.0,,,,,,,6.0,,2.0,2.0,2.0,,6.0,,1.0,,,,,1.0,,2.0,2.0,2.0,1.0,,,,,1.0,,0.25,,,,,1.0,,0.3333333333333333,,0.5,0.5,0.5,,1.0,,,,,,,1.0,,2.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,0.3333333333333333,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2011,2010-11,True
101109-101142-200761-201611-201962,1610612752,"Raymond Felton, Ronny Turiaf, Shawne Williams, Henry Walker, Toney Douglas","Felton, Turiaf, Williams, Walker, Douglas",101109-101142-200761-201611-201962,NYK,880.0,7,15.0,-3.0,33.0,32.0,13.0,22.0,1.0,65.0,5.0,5.0,,4.0,14.0,,6.0,9.0,25.0,28.0,1.0,5.0,3.0,11.0,,4.0,,3.0,10.0,2.0,12.0,3.0,15.0,1.0,3.0,,2.0,5.0,10.0,9.0,12.0,,6.0,25.0,11.0,13.0,,,0.4,0.4807692307692308,0.6111111111111112,0.3,0.4,0.5,0.9090909090909091,0.75,0.2727272727272727,,,0.875,0.1111111111111111,106.36363636363637,13.242424242424242,13.84375,12.909090909090908,12.9375,0.25,0.25,0.2,,,0.55,,0.4870775,0.4876,0.44642857142857145,0.23076923076923078,0.3,0.44,10.299999999999999,24.3,0.3939393939393939,4.0,2.0,2.0,,1.0,8.0,,,4.0,,2.0,8.0,,4.0,,4.0,,2.0,8.0,,,3.0,5.0,5.0,5.0,5.0,,1.0,1.0,1.0,1.0,1.0,,0.5,0.5,,,0.5714285714285714,0.8,0.5714285714285714,,0.5,,,0.5,0.3333333333333333,1.0,0.8,1.0,0.5,,0.2857142857142857,1.0,0.14285714285714285,,,,,1.0,4.0,3.0,2.0,1.0,,,,,,8.0,,,2.0,,2.0,,,,3.0,1.0,,3.0,,,,,0.14285714285714285,0.2,0.25,,1.0,0.6666666666666666,,0.2,0.25,0.3333333333333333,,0.6,0.6,0.6666666666666666,0.1,,,,,,0.14285714285714285,,,,,,,,,,,,,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2011,2010-11,True
101109-101142-200761-201962-202361,1610612752,"Raymond Felton, Ronny Turiaf, Shawne Williams, Toney Douglas, Landry Fields","Felton, Turiaf, Williams, Douglas, Fields",101109-101142-200761-201962-202361,NYK,1162.0,6,19.0,-7.0,34.0,36.0,3.0,6.0,6.0,70.0,10.0,7.0,,3.0,25.0,,4.0,10.0,32.0,39.0,3.0,2.0,2.0,2.0,,3.0,,5.0,7.0,8.0,15.0,6.0,21.0,1.0,,,,1.0,5.0,11.0,13.0,,6.0,26.0,2.0,3.0,,,0.3793103448275862,0.45714285714285713,0.25,0.13793103448275862,0.7272727272727273,0.35714285714285715,0.7,0.7142857142857143,0.3333333333333333,0.75,1.0,0.625,0.06666666666666667,86.74698795180723,18.294117647058822,15.0,17.235294117647058,14.38888888888889,0.3448275862068966,0.2413793103448276,0.10344827586206896,,,0.4827586206896552,,0.48142413793103445,0.5069875,0.42401666666666665,0.17647058823529413,0.2,0.0625,8.124,24.7,0.08823529411764706,7.0,,,,1.0,11.0,2.0,6.0,,,1.0,12.0,,6.0,,6.0,,6.0,12.0,,,,4.0,2.0,,6.0,1.0,2.0,,2.0,1.0,,,0.5454545454545454,0.6,,,0.44,,,0.5,0.8,,,0.75,0.6666666666666666,0.5,0.7,0.875,0.8571428571428571,,,,0.3333333333333333,,0.1875,,,1.0,8.0,3.0,1.0,,,2.0,2.0,,2.0,10.0,2.0,,3.0,,,1.0,2.0,,3.0,1.0,,2.0,1.0,,0.6666666666666666,0.4,0.12,0.2,0.125,0.25,0.3333333333333333,0.14285714285714285,1.0,0.27586206896551724,0.125,0.14285714285714285,,0.42857142857142855,0.42857142857142855,,0.034482758620689655,,,0.4,,,,,,,1.0,,,,,,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1610612752,2011,2010-11,True
