EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,DefTwoPtRebounds,DefRebounds,Rebounds,FoulsDrawn,Charge Fouls Drawn,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,PenaltyOffPossExcludingTakeFouls,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,PlusMinus,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,PenaltyArc3FGM,FG2M,FG2A,FG3M,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Corner3FGA,PenaltyCorner3FGA,ShortMidRangeAssists,Fouls,BlockedAtRim,DefShortMidRangeReboundPct,ShortMidRangePctAssisted,Corner3Frequency,PenaltyCorner3Frequency,Steals,LostBallSteals,ShootingFouls,DefCorner3ReboundPct,SecondChanceAtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,PtsPutbacks,Fg2aBlocked,Corner3Assists,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Turnovers,FG2APctBlocked,AtRimPctBlocked,DefAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,PtsUnassisted3s,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,Loose Ball Fouls,BlockedShortMidRange,SecondChanceFg3Pct,LiveBallTurnoverPct,OffCorner3ReboundPct,SelfORebPct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3Frequency,ShortMidRangePctBlocked,StepOutOfBoundsTurnovers,PenaltyCorner3FGM,SecondChanceFtPoints,LostBallTurnovers,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,PenaltyCorner3Accuracy,PenaltyTurnovers,SecondChanceAtRimPctAssisted,Offensive Fouls,FTOffRebounds,FTDefRebounds,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefFTReboundPct,OffFTReboundPct,ThreePtShootingFoulsDrawnPct,BadPassOutOfBoundsTurnovers,Offensive Fouls Drawn,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonShootingPenaltyNonTakeFouls,Loose Ball Fouls Drawn,Technical Free Throw Trips,Travels,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,OffensiveGoaltends,Blocked3s,BlockedArc3,team_id,year,season,team_vs
101150-1499-1882-201950-202323,1610612755,"Lou Williams, Tony Battie, Elton Brand, Jrue Holiday, Evan Turner","Williams, Battie, Brand, Holiday, Turner",101150-1499-1882-201950-202323,PHI,37.0,1,1.0,2.0,2.0,1.0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,155.67567567567568,1.0,5.0,13.5,5.0,13.5,1.0,1.0,1.0,0.4986,0.4986,26.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2011,2010-11,True
101150-1499-1882-201950-2738,1610612755,"Lou Williams, Tony Battie, Elton Brand, Jrue Holiday, Andre Iguodala","Williams, Battie, Brand, Holiday, Iguodala",101150-1499-1882-201950-2738,PHI,278.0,2,5.0,7.0,7.0,3.0,14,3.0,2.0,3.0,2.0,3.0,,1.0,3.0,1.0,,,,,,3.0,0.3333333333333333,,0.5,,72.51798561151078,,21.0,18.714285714285715,19.714285714285715,17.857142857142858,0.3333333333333333,0.5,0.6666666666666666,0.4958888888888889,0.501825,25.566666666666666,0.42857142857142855,-2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0,6.0,1.0,1.0,12.0,14.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,4.0,4.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,10.0,8.0,0.5,0.5,1.0,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,0.5,1.0,0.6111111111111112,0.5,0.875,0.6666666666666666,0.5,1.0,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.1111111111111111,1.0,1.0,0.2222222222222222,1.0,1.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.5,0.5,0.3333333333333333,0.5208,0.1111111111111111,0.16666666666666666,0.16666666666666666,0.6666666666666666,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2011,2010-11,True
101150-1499-201150-201950-202323,1610612755,"Lou Williams, Tony Battie, Spencer Hawes, Jrue Holiday, Evan Turner","Williams, Battie, Hawes, Holiday, Turner",101150-1499-201150-201950-202323,PHI,155.0,1,3.0,4.0,3.0,4.0,7,,,1.0,1.0,,2.0,2.0,2.0,,,1.0,,1.0,,4.0,0.25,0.6666666666666666,0.6666666666666666,1.0,65.03225806451613,,17.5,28.333333333333332,17.5,28.333333333333332,,,0.25,0.4447,0.4447,23.4,1.0,2.0,3.0,,,,,1.0,2.0,1.0,1.0,,,2.0,3.0,,,4.0,2.0,,,,2.0,3.0,,,4.0,4.0,,,,2.0,,2.0,,,1.0,4.0,,,,,,,,,4.0,4.0,1.0,1.0,,,,,0.6666666666666666,,0.6666666666666666,0.5,,0.5,0.5,,0.5,,,,,,,,,,,,0.5,0.5,0.5,0.25,1.0,1.0,1.0,,,,,,,,,,,1.0,13.533333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2011,2010-11,True
101150-1499-201150-202323-2738,1610612755,"Lou Williams, Tony Battie, Spencer Hawes, Evan Turner, Andre Iguodala","Williams, Battie, Hawes, Turner, Iguodala",101150-1499-201150-202323-2738,PHI,69.0,1,1.0,2.0,3.0,,5,,,,,,,1.0,1.0,,,,,,,,,,1.0,,104.34782608695653,,5.5,19.333333333333332,5.5,19.333333333333332,,,0.5,0.6308,,,,2.0,,,1.0,1.0,,,,1.0,1.0,,,2.0,2.0,,,4.0,2.0,,,,,,,,,2.0,2.0,,,1.0,,1.0,,1.0,,2.0,,,1.0,,,,,,4.0,,0.5,0.5,,,,,1.0,,,1.0,,,1.0,,,,1.0,,,,,,0.5,1.0,1.0,1.0,,,,0.5,1.0,1.0,,,,,,,,,,,,,9.5,,,,2.0,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2011,2010-11,True
101150-1499-201152-201950-202323,1610612755,"Lou Williams, Tony Battie, Thaddeus Young, Jrue Holiday, Evan Turner","Williams, Battie, Young, Holiday, Turner",101150-1499-201152-201950-202323,PHI,285.0,3,5.0,9.0,8.0,2.0,17,2.0,1.0,4.0,1.0,2.0,3.0,4.0,6.0,,,,,,,2.0,0.4,0.5,0.5714285714285714,0.25,85.89473684210526,,12.11111111111111,22.0,11.777777777777779,19.625,0.2,0.25,0.8,0.553045,0.5509625,24.125,0.2222222222222222,4.0,2.0,1.0,2.0,4.0,2.0,1.0,1.0,,1.0,,,3.0,6.0,1.0,,9.0,5.0,1.0,2.0,2.0,2.0,3.0,,,4.0,,6.0,3.0,,,1.0,1.0,,,,3.0,1.0,1.0,1.0,2.0,,,,,7.0,4.0,,,1.0,0.25,,0.25,0.5,0.5,0.6666666666666666,0.45,0.5,0.5,0.45,0.5,0.5,0.5,1.0,0.3333333333333333,0.4,0.5,0.5,1.0,0.4,0.5,0.6666666666666666,,0.1,1.0,1.0,0.1,,,,,,,1.0,,,0.4887,,,0.2222222222222222,0.4444444444444444,5.3999999999999995,2.0,,,,,1.0,,0.2,,,,,,1.0,2.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,1.0,0.5,0.5,1.0,0.5,0.75,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2011,2010-11,True
101150-1499-201152-201950-2738,1610612755,"Lou Williams, Tony Battie, Thaddeus Young, Jrue Holiday, Andre Iguodala","Williams, Battie, Young, Holiday, Iguodala",101150-1499-201152-201950-2738,PHI,34.0,1,1.0,1.0,1.0,1.0,2,,,,,,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,84.70588235294117,,11.0,23.0,11.0,23.0,,,,,,,1.0,2.0,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,2.0,,1.0,,2.0,2.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2011,2010-11,True
101150-1499-201152-201975-202323,1610612755,"Lou Williams, Tony Battie, Thaddeus Young, Jodie Meeks, Evan Turner","Williams, Battie, Young, Meeks, Turner",101150-1499-201152-201975-202323,PHI,500.0,4,8.0,17.0,17.0,,34,7.0,,9.0,,7.0,8.0,8.0,12.0,3.0,,1.0,,1.0,1.0,,0.5625,1.0,1.0,1.0,97.91999999999999,1.0,16.058823529411764,13.352941176470589,13.647058823529411,12.882352941176471,0.4375,,0.75,0.51329375,,25.055555555555557,,8.0,2.0,4.0,1.0,3.0,1.0,,1.0,2.0,3.0,2.0,,3.0,7.0,3.0,4.0,19.0,11.0,,1.0,3.0,,,,,,4.0,2.0,6.0,2.0,2.0,2.0,4.0,1.0,1.0,1.0,10.0,3.0,1.0,,4.0,5.0,1.0,3.0,1.0,16.0,,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,,0.3333333333333333,0.42857142857142855,,,0.46875,0.5,,0.5277777777777778,0.5,,0.25,,0.5,0.4,0.5,0.4,,0.1875,0.3333333333333333,0.3333333333333333,1.0,0.0625,,,0.1875,0.6666666666666666,0.6666666666666666,0.5,0.2857142857142857,0.2857142857142857,0.5,0.3333333333333333,,0.2857142857142857,,0.16666666666666666,0.3333333333333333,0.15789473684210525,,10.87142857142857,2.0,,,5.0,,1.0,,0.125,,2.0,1.0,2.0,,,,,1.0,,,1.0,1.0,,3.0,,,1.0,0.5,0.5,1.0,,,,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.1,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2011,2010-11,True
101150-1499-201152-201975-2738,1610612755,"Lou Williams, Tony Battie, Thaddeus Young, Jodie Meeks, Andre Iguodala","Williams, Battie, Young, Meeks, Iguodala",101150-1499-201152-201975-2738,PHI,85.0,1,1.0,4.0,3.0,,7,,,1.0,,,1.0,2.0,2.0,,,,,,,,0.25,1.0,1.0,1.0,118.58823529411764,,9.25,16.0,9.25,16.0,,,0.75,0.5380875,,22.9,,5.0,,,1.0,2.0,,,1.0,,,,,1.0,3.0,1.0,,5.0,,,,,,,,,,2.0,,3.0,,1.0,1.0,2.0,,1.0,,5.0,,,1.0,,,,,,5.0,,1.0,1.0,1.0,1.0,,1.0,0.3333333333333333,,,0.625,,,0.625,,,,1.0,,,,,1.0,0.5,0.5,1.0,1.0,0.25,,,,,,,,,,,,,,,,,,4.266666666666667,1.0,,,,,,,0.25,,1.0,,,,,,,1.0,,2.0,1.0,,,,0.6666666666666666,0.5,,1.0,1.0,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2011,2010-11,True
101150-1499-201152-202323-2738,1610612755,"Lou Williams, Tony Battie, Thaddeus Young, Evan Turner, Andre Iguodala","Williams, Battie, Young, Turner, Iguodala",101150-1499-201152-202323-2738,PHI,342.0,2,6.0,9.0,10.0,,19,2.0,,2.0,,2.0,4.0,4.0,6.0,1.0,,,,,,,0.2222222222222222,0.8,0.8,1.0,80.0,,24.666666666666668,12.0,23.444444444444443,11.6,0.2222222222222222,,0.5555555555555556,0.4509166666666667,,24.85,,-10.0,3.0,1.0,,3.0,2.0,1.0,2.0,,2.0,,,1.0,7.0,,,2.0,12.0,,2.0,,,,,,,2.0,,,,1.0,,1.0,,,,2.0,1.0,1.0,,2.0,2.0,,1.0,,2.0,,1.0,1.0,,,,,0.14285714285714285,,,0.1111111111111111,,,0.1,,,0.16666666666666666,,0.5,0.25,0.3333333333333333,0.5,,0.3333333333333333,,,,0.2222222222222222,0.5,0.5,0.2222222222222222,,,,,,,1.0,,,0.4609,0.1,0.125,,,8.742857142857144,,,1.0,1.0,,0.6666666666666666,1.0,,,,,1.0,,,,,,,1.0,,2.0,,2.0,0.14285714285714285,0.3333333333333333,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,0.14285714285714285,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2011,2010-11,True
101150-1882-201150-201950-201975,1610612755,"Lou Williams, Elton Brand, Spencer Hawes, Jrue Holiday, Jodie Meeks","Williams, Brand, Hawes, Holiday, Meeks",101150-1882-201150-201950-201975,PHI,28.0,1,,1.0,1.0,,2,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,102.85714285714286,,12.0,16.0,12.0,16.0,,,,0.4451,,,,-1.0,,,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,20.1,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612755,2011,2010-11,True
