EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,SecondChanceOffPoss,AtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,SecondChanceCorner3FGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG3A,PtsAssisted2s,PtsUnassisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FirstChancePoints,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffCorner3ReboundPct,DefArc3ReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,SecondChanceCorner3Frequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,AtRimFGM,AtRimAssists,DefTwoPtRebounds,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,FoulsDrawn,PenaltyOffPossExcludingTakeFouls,DefTwoPtReboundPct,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2A,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,ShortMidRangeAssists,OffTwoPtRebounds,Steals,LostBallSteals,Travels,Offensive Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangePctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,DefAtRimReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,PenaltyArc3FGA,FG3M,FtPoints,SecondChanceFG2M,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsAssisted3s,PtsPutbacks,HeaveAttempts,ThreePtAssists,Corner3Assists,BadPassSteals,BadPassOutOfBoundsTurnovers,BadPassTurnovers,SecondChanceTurnovers,BlockingFouls,Loose Ball Fouls,Offensive Fouls,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,ShortMidRangePctBlocked,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,2pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,Charge Fouls Drawn,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,NonHeaveArc3FGM,Arc3Assists,SelfOReb,SecondChanceFg3Pct,SelfORebPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyArc3Accuracy,Loose Ball Fouls Drawn,SecondChanceFtPoints,Charge Fouls,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,3SecondViolations,OffArc3ReboundPct,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,PenaltyCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,FTOffRebounds,3pt And 1 Free Throw Trips,OffFTReboundPct,BlockedLongMidRange,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefensiveGoaltends,team_id,year,season,team_vs
101144-1718-200765-201145-708,1610612738,"Von Wafer, Paul Pierce, Rajon Rondo, Jeff Green, Kevin Garnett","Wafer, Pierce, Rondo, Green, Garnett",101144-1718-200765-201145-708,BOS,4.0,1,1.0,1.0,1.0,360.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101144-201145-201175-2211-2753,1610612738,"Von Wafer, Jeff Green, Glen Davis, Troy Murphy, Delonte West","Wafer, Green, Davis, Murphy, West",101144-201145-201175-2211-2753,BOS,183.0,1,6.0,6.0,13.0,102.29508196721312,10.5,8.666666666666666,3.0,-4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,4.0,8.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,0.5,0.5,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,0.25,0.5,1.0,17.142857142857142,13.857142857142858,0.16666666666666666,0.16666666666666666,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,0.3333333333333333,0.16666666666666666,1.0,0.6666666666666666,0.47846666666666665,9.633333333333333,23.96666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101144-201145-201175-2420-2753,1610612738,"Von Wafer, Jeff Green, Glen Davis, Nenad Krstic, Delonte West","Wafer, Green, Davis, Krstic, West",101144-201145-201175-2420-2753,BOS,121.0,1,3.0,1.0,6.0,71.40495867768595,22.333333333333332,20.666666666666668,2.0,1.0,3.0,,1.0,,,1.0,1.0,,,,2.0,2.0,,4.0,3.0,,2.0,2.0,,,1.0,1.0,,2.0,,,,1.0,,1.0,,,1.0,1.0,1.0,4.0,,0.5,0.5,1.0,1.0,1.0,,,,,,,,0.5,,,,18.0,18.0,0.5,,,,0.5,1.0,1.0,,,,,0.5,0.4443,10.6,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
1718-200765-201145-201175-2420,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Glen Davis, Nenad Krstic","Pierce, Rondo, Green, Davis, Krstic",1718-200765-201145-201175-2420,BOS,174.0,1,8.0,8.0,15.0,124.13793103448276,10.875,10.125,3.0,-1.0,7.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,3.0,5.0,,6.0,7.0,,6.0,,,2.0,3.0,3.0,1.0,6.0,,1.0,1.0,3.0,1.0,4.0,1.0,1.0,3.0,1.0,2.0,6.0,1.0,1.0,1.0,0.6,0.6,0.6,,0.4,0.5,0.3333333333333333,1.0,1.0,,0.6666666666666666,0.5,,1.0,12.428571428571429,11.0,0.4,0.2,1.0,1.0,0.4,0.5,1.0,1.0,,,,0.4,0.42577999999999994,10.1,,7.0,1.0,1.0,1.0,2.0,,3.0,1.0,7.0,0.5,,0.5,1.0,1.0,1.0,1.0,2.0,1.0,3.0,5.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,6.0,0.6,0.6,0.6,0.5,0.5,1.0,1.0,0.5,1.0,0.4,0.5,0.4041,0.42577999999999994,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
1718-200765-201145-201175-2753,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Glen Davis, Delonte West","Pierce, Rondo, Green, Davis, West",1718-200765-201145-201175-2753,BOS,869.0,5,27.0,6.0,52.0,86.16800920598389,16.51851851851852,15.666666666666666,14.0,-18.0,25.0,5.0,2.0,2.0,7.0,,6.0,3.0,,2.0,3.0,15.0,5.0,15.0,33.0,,2.0,4.0,1.0,4.0,1.0,2.0,,5.0,,4.0,,10.0,5.0,15.0,4.0,2.0,6.0,5.0,10.0,11.0,1.0,0.3333333333333333,0.5,0.2,0.225,0.3,0.25,0.26666666666666666,0.5,0.6666666666666666,,1.0,,0.5555555555555556,0.3333333333333333,,1.0,16.92,16.28,0.1,0.35,0.2857142857142857,0.5,0.3,,,,0.15,0.1,,0.35,0.4459315789473684,11.04,27.22,9.0,1.0,,6.0,2.0,,5.0,5.0,9.0,0.42857142857142855,0.6666666666666666,0.5,1.0,,0.36,,,2.0,1.0,5.0,5.0,1.0,5.0,3.0,2.0,,,1.0,,1.0,1.0,1.0,5.0,0.2,0.16666666666666666,0.3125,,0.4166666666666667,,0.125,1.0,0.5,,,0.4747,0.3903,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,6.0,2.0,4.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,10.0,4.0,1.0,1.0,1.0,1.0,0.2,0.25,1.0,1.0,1.0,0.42857142857142855,0.6,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.16666666666666666,0.16666666666666666,0.21052631578947367,0.26666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
1718-200765-201145-201175-708,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Glen Davis, Kevin Garnett","Pierce, Rondo, Green, Davis, Garnett",1718-200765-201145-201175-708,BOS,306.0,3,10.0,4.0,20.0,94.11764705882354,13.6,12.7,5.0,2.0,10.0,1.0,5.0,,,2.0,4.0,,,,4.0,9.0,,11.0,9.0,,6.0,2.0,,1.0,3.0,3.0,2.0,6.0,,2.0,,4.0,1.0,5.0,,,,1.0,1.0,11.0,,0.75,0.75,0.4444444444444444,0.4444444444444444,0.5,,0.1111111111111111,0.2,,,1.0,,0.5714285714285714,0.2,,1.0,17.0,15.5,0.5555555555555556,,,,0.4444444444444444,0.5,0.5,1.0,,,,0.5555555555555556,0.48901111111111106,9.233333333333333,,5.0,2.0,1.0,2.0,,,,3.0,5.0,0.4,,0.4,0.5,0.5,0.5,1.0,1.0,1.0,1.0,3.0,5.0,,1.0,2.0,,,,,,,,,5.0,0.3333333333333333,0.3333333333333333,0.5,,0.2,0.3333333333333333,0.5,,,0.3333333333333333,1.0,0.248,0.4658333333333333,0.45454545454545453,,1.0,,,,3.0,,,,3.0,,,,,,2.0,,,,,,,4.0,1.0,1.0,,1.0,,,,,,,,,,0.5,1.0,,,,1.0,,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
1718-200765-201145-201175-951,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Glen Davis, Ray Allen","Pierce, Rondo, Green, Davis, Allen",1718-200765-201145-201175-951,BOS,401.0,6,12.0,5.0,26.0,93.36658354114712,15.333333333333334,14.333333333333334,7.0,-1.0,14.0,,3.0,2.0,2.0,,1.0,1.0,,2.0,4.0,6.0,3.0,14.0,15.0,,4.0,4.0,2.0,1.0,2.0,3.0,,7.0,,2.0,,6.0,,6.0,2.0,1.0,2.0,,2.0,14.0,1.0,0.5,0.5,0.6666666666666666,0.6111111111111112,0.6363636363636364,0.3333333333333333,0.16666666666666666,0.3333333333333333,1.0,,0.6666666666666666,,0.6666666666666666,,,0.6666666666666666,15.5,15.5,0.3333333333333333,0.2222222222222222,1.0,1.0,0.1111111111111111,,,,0.1111111111111111,0.2222222222222222,,0.6666666666666666,0.5435277777777778,5.733333333333333,24.7,8.0,2.0,2.0,4.0,,,1.0,5.0,8.0,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,0.5714285714285714,1.0,1.0,,2.0,2.0,7.0,,,,,,,,,,1.0,1.0,7.0,1.0,0.5,0.5833333333333334,,,,0.5,1.0,,0.25,1.0,,0.482575,0.5,,,1.0,2.0,1.0,3.0,,,2.0,3.0,3.0,,,1.0,1.0,,,1.0,,1.0,,,5.0,2.0,1.0,,1.0,1.0,0.3333333333333333,0.3333333333333333,,,,,,,,,1.0,1.0,1.0,,,0.5,0.2,0.2857142857142857,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
1718-200765-201145-2753-406,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Delonte West, Shaquille O'Neal","Pierce, Rondo, Green, West, O'Neal",1718-200765-201145-2753-406,BOS,60.0,1,2.0,2.0,5.0,120.0,9.5,9.5,1.0,4.0,3.0,,,,,,1.0,,,,,1.0,,4.0,,,,,,,,,,,,,,1.0,,1.0,,,,,,4.0,,,,,,0.6666666666666666,,,,,,,,1.0,,,,13.666666666666666,13.666666666666666,,,,,1.0,,,,,,,,0.4287,16.5,,3.0,,,1.0,,,,3.0,3.0,1.0,1.0,,,,1.0,,,,,1.0,4.0,,,,,,,,,,,,4.0,,,0.6666666666666666,,,,,,,,,,0.4287,1.0,,,,,,4.0,,,,4.0,,,,,,,,,,,,,4.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
1718-200765-201145-2753-708,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Delonte West, Kevin Garnett","Pierce, Rondo, Green, West, Garnett",1718-200765-201145-2753-708,BOS,228.0,2,6.0,6.0,12.0,75.78947368421053,18.333333333333332,15.666666666666666,4.0,2.0,6.0,2.0,4.0,,1.0,1.0,1.0,,,2.0,1.0,6.0,2.0,8.0,6.0,1.0,2.0,,2.0,1.0,1.0,3.0,1.0,8.0,,1.0,,2.0,2.0,4.0,,,,1.0,2.0,5.0,,1.0,1.0,0.16666666666666666,0.5,0.5,0.25,0.16666666666666666,0.25,,,0.5,,0.6666666666666666,0.4,,1.0,19.666666666666668,18.833333333333332,0.5,0.125,,,0.125,1.0,1.0,1.0,,0.25,,0.75,0.4579,6.983333333333333,24.35,,,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,2.0,1.0,,,,1.0,1.0,,1.0,1.0,,,,,,0.4,0.25,1.0,1.0,,,,0.562875,,,,1.0,,,2.0,,,3.0,,,6.0,,,2.0,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,0.75,0.75,,1.0,,,,,,,0.5,,,,,0.375,,,,,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,0.25,1.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
1718-200765-201145-2753-951,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Delonte West, Ray Allen","Pierce, Rondo, Green, West, Allen",1718-200765-201145-2753-951,BOS,44.0,5,,,6.0,196.36363636363637,,,1.0,3.0,6.0,,2.0,,,,,1.0,,1.0,,2.0,2.0,3.0,,,,,1.0,,,,,,,,,,,,1.0,1.0,1.0,,,3.0,,,,,0.375,0.375,0.5,,,1.0,,,,,,,,7.333333333333333,7.333333333333333,0.5,,,,,,,,0.25,0.25,,1.0,0.3218,2.85,24.35,4.0,,,,,,1.0,,4.0,,,,,,0.6666666666666666,,,,,,3.0,,,,,,,,,,,,3.0,,0.75,0.75,,,,,,,,,,0.348,1.0,,,,1.0,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,0.5,,,,,,,,1.0,,,,1.0,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,3.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
