EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGM,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,Fouls,FoulsDrawn,Offensive Fouls Drawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,PenaltyArc3FGA,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PenaltyFG3A,PtsAssisted2s,Fg3aBlocked,TwoPtAssists,AtRimAssists,ShortMidRangeAssists,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,Arc3PctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Frequency,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyOffPossPct,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,SecondChanceArc3FGA,PenaltyArc3FGM,FtPoints,SecondChanceFG3A,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,Fg2aBlocked,Corner3Assists,LongMidRangeAssists,FTDefRebounds,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,PenaltyTurnovers,ShootingFouls,BlockingFouls,Offensive Fouls,BlockingFoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,BlockedAtRim,3SecondViolations,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Loose Ball Fouls Drawn,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,HeaveAttempts,StepOutOfBoundsTurnovers,Travels,SecondChanceTurnovers,Charge Fouls Drawn,BlockedLongMidRange,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,LostBallSteals,LostBallOutOfBoundsTurnovers,PenaltyCorner3FGM,PenaltyCorner3FGA,PtsUnassisted3s,Charge Fouls,Blocked3s,BlockedCorner3,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,OffensiveGoaltends,SelfOReb,Loose Ball Fouls,Technical Free Throw Trips,BlockedArc3,DefensiveGoaltends,Corner3PctBlocked,SelfORebPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,team_id,year,season,team_vs
101115-1885-1897-200769-965,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Shannon Brown, Derek Fisher","Bynum, Odom, World Peace, Brown, Fisher",101115-1885-1897-200769-965,LAL,103.0,1,2.0,5.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.25,1.25,0.5,1.0,1.0,1.0,1.0,97.86407766990291,1.0,10.333333333333334,18.0,10.333333333333334,18.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.486875,17.3,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2011,2010-11,True
101115-1885-1897-2581-977,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Steve Blake, Kobe Bryant","Bynum, Odom, World Peace, Blake, Bryant",101115-1885-1897-2581-977,LAL,285.0,2,5.0,2.0,9.0,9.0,18.0,,3.0,,3.0,3.0,9.0,,3.0,6.0,,,3.0,,,3.0,,6.0,3.0,4.0,7.0,,,,,1.0,,,,,,4.0,,,,0.3333333333333333,0.25,0.25,0.25,,1.0,0.8,,90.94736842105263,,15.88888888888889,15.777777777777779,13.333333333333334,15.0,0.25,,,0.25,,,,0.5833333333333334,,0.4962125,8.600000000000001,25.433333333333334,1.0,3.0,3.0,2.0,4.0,1.0,2.0,1.0,2.0,1.0,4.0,1.0,4.0,2.0,1.0,1.0,6.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,0.25,0.25,0.25,0.3333333333333333,0.3333333333333333,0.4,0.5,0.3333333333333333,0.375,0.6666666666666666,0.3333333333333333,1.0,1.0,0.5,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.465375,0.3326,0.3333333333333333,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2011,2010-11,True
101115-1885-1897-965-977,1610612747,"Andrew Bynum, Lamar Odom, Metta World Peace, Derek Fisher, Kobe Bryant","Bynum, Odom, World Peace, Fisher, Bryant",101115-1885-1897-965-977,LAL,1495.0,8,25.0,-3.0,46.0,50.0,96.0,4.0,11.0,5.0,9.0,14.0,34.0,6.0,10.0,56.0,12.0,18.0,9.0,5.0,6.0,14.0,5.0,34.0,11.0,16.0,23.0,1.0,,4.0,10.0,11.0,,3.0,1.0,3.0,2.0,49.0,1.0,0.6,0.6,0.4117647058823529,0.5227272727272727,0.5833333333333334,0.22727272727272727,0.25,0.6470588235294118,0.65,0.6666666666666666,92.46822742474916,0.6666666666666666,16.73913043478261,14.5,15.434782608695652,13.56,0.25,0.36363636363636365,0.4,0.20454545454545456,0.5555555555555556,0.5555555555555556,1.0,0.5227272727272727,0.5555555555555556,0.46003409090909086,9.052941176470588,25.41,21.0,18.0,6.0,6.0,13.0,1.0,3.0,4.0,10.0,3.0,59.0,2.0,5.0,7.0,13.0,3.0,16.0,,8.0,4.0,2.0,1.0,6.0,2.0,7.0,1.0,1.0,21.0,0.5714285714285714,0.6153846153846154,0.4,0.3333333333333333,0.5,,,0.3157894736842105,0.6666666666666666,0.25,0.30434782608695654,0.3333333333333333,0.25,0.6666666666666666,0.625,,0.29545454545454547,0.46153846153846156,0.5454545454545454,0.6666666666666666,0.22727272727272727,0.4,0.4,0.5,0.5,0.3333333333333333,,0.1875,0.48101666666666665,0.425759375,0.125,0.45652173913043476,2.0,3.0,1.0,1.0,1.0,2.0,10.0,1.0,3.0,7.0,2.0,7.0,27.0,2.0,3.0,1.0,2.0,3.0,1.0,1.0,3.0,3.0,5.0,1.0,1.0,2.0,11.0,3.0,4.0,3.0,2.0,1.0,27.0,4.0,3.0,0.6666666666666666,0.5384615384615384,0.625,0.7105263157894737,0.08823529411764706,0.15384615384615385,0.09090909090909091,1.0,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.5,0.022727272727272728,1.0,1.0,1.0,0.16666666666666666,0.1875,0.6666666666666666,0.6666666666666666,0.08888888888888889,0.11428571428571428,0.48214285714285715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2011,2010-11,True
101115-1885-200769-201234-2440,1610612747,"Andrew Bynum, Lamar Odom, Shannon Brown, Trey Johnson, Matt Barnes","Bynum, Odom, Brown, Johnson, Barnes",101115-1885-200769-201234-2440,LAL,194.0,1,3.0,6.0,5.0,5.0,10.0,1.0,2.0,,1.0,3.0,4.0,,1.0,7.0,6.0,,1.0,,,,,,3.0,4.0,5.0,,,,1.0,2.0,,1.0,,1.0,1.0,5.0,,,,0.75,0.6,0.5833333333333334,0.2,,1.0,1.0,1.0,74.22680412371133,1.0,19.0,19.8,15.4,19.8,0.4,0.5,0.5,0.2,,,,0.2,,0.44893,13.1,25.7,,,1.0,,,,,2.0,2.0,,1.0,1.0,1.0,2.0,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,1.0,1.0,,,1.0,1.0,,0.5,1.0,,1.0,1.0,1.0,,,,,0.4,1.0,1.0,,,,,,0.3938,,0.2857142857142857,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2011,2010-11,True
101115-1885-200769-201234-977,1610612747,"Andrew Bynum, Lamar Odom, Shannon Brown, Trey Johnson, Kobe Bryant","Bynum, Odom, Brown, Johnson, Bryant",101115-1885-200769-201234-977,LAL,154.0,1,3.0,-1.0,5.0,4.0,9.0,2.0,3.0,,1.0,2.0,3.0,,1.0,4.0,2.0,,1.0,,,1.0,,2.0,1.0,2.0,2.0,,,1.0,2.0,,,,,,,4.0,,,,0.6666666666666666,0.5,0.5,0.25,,1.0,0.5,,84.15584415584415,,14.2,20.75,14.2,17.5,0.75,0.6666666666666666,0.6666666666666666,0.25,,,,0.25,,0.4471,19.233333333333334,28.7,,,,,,,,,,,5.0,,,,,,2.0,,1.0,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2011,2010-11,True
101115-1885-200769-2200-965,1610612747,"Andrew Bynum, Lamar Odom, Shannon Brown, Pau Gasol, Derek Fisher","Bynum, Odom, Brown, Gasol, Fisher",101115-1885-200769-2200-965,LAL,151.0,1,3.0,-1.0,4.0,4.0,8.0,,,2.0,2.0,,,2.0,2.0,7.0,,6.0,2.0,2.0,2.0,2.0,2.0,6.0,1.0,1.0,1.0,,,1.0,2.0,1.0,,,,,,7.0,1.0,1.0,1.0,,1.5,1.1666666666666667,1.0,,0.5,0.5,,76.29139072847683,,12.0,25.75,12.0,23.75,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5574,,24.85,,4.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,1.0,,,,2.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2011,2010-11,True
101115-1885-200769-2200-977,1610612747,"Andrew Bynum, Lamar Odom, Shannon Brown, Pau Gasol, Kobe Bryant","Bynum, Odom, Brown, Gasol, Bryant",101115-1885-200769-2200-977,LAL,4.0,1,,,1.0,,1.0,,,,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,360.0,,4.0,,1.0,,,,,1.0,,,,1.0,,0.33105,,25.8,1.0,,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.33105,0.33105,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2011,2010-11,True
101115-1885-200769-2440-2581,1610612747,"Andrew Bynum, Lamar Odom, Shannon Brown, Matt Barnes, Steve Blake","Bynum, Odom, Brown, Barnes, Blake",101115-1885-200769-2440-2581,LAL,3685.0,9,61.0,-10.0,102.0,100.0,202.0,9.0,28.0,6.0,17.0,33.0,70.0,8.0,25.0,102.0,38.0,24.0,16.0,6.0,8.0,22.0,6.0,52.0,19.0,32.0,42.0,5.0,3.0,13.0,30.0,29.0,4.0,6.0,2.0,6.0,1.0,95.0,1.0,0.32,0.3333333333333333,0.4714285714285714,0.47368421052631576,0.5,0.2631578947368421,0.38461538461538464,0.5,0.5172413793103449,0.3333333333333333,78.93622795115333,0.16666666666666666,17.862745098039216,18.63,17.313725490196077,17.42,0.29473684210526313,0.32142857142857145,0.32142857142857145,0.17894736842105263,0.35294117647058826,0.35294117647058826,1.0,0.4421052631578947,0.375,0.45910053191489364,10.507142857142858,25.908,4.0,8.0,9.0,10.0,17.0,1.0,2.0,14.0,25.0,1.0,112.0,2.0,3.0,7.0,1.0,1.0,28.0,,14.0,3.0,7.0,5.0,5.0,11.0,10.0,6.0,6.0,4.0,0.42424242424242425,0.4375,0.6666666666666666,0.5,0.5,,,0.13513513513513514,0.55,0.3125,0.18867924528301888,0.05263157894736842,0.4,0.35714285714285715,0.7333333333333333,0.25,0.17894736842105263,0.5882352941176471,0.625,0.3,0.2631578947368421,0.56,0.6363636363636364,0.5,0.2857142857142857,0.5,,0.5,0.57758,0.4008,0.06862745098039216,0.0392156862745098,,,2.0,8.0,3.0,,12.0,4.0,,,,2.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,2.0,8.0,2.0,17.0,1.0,2.0,2.0,18.0,4.0,9.0,2.0,3.0,2.0,2.0,1.0,1.0,,,,0.3333333333333333,0.05714285714285714,0.058823529411764705,,0.6666666666666666,0.14285714285714285,0.2727272727272727,0.625,0.4444444444444444,0.08421052631578947,0.25,0.25,1.0,0.42857142857142855,,,,0.09,0.12,0.0196078431372549,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,0.25,0.12,0.16666666666666666,0.14285714285714285,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612747,2011,2010-11,True
101115-1885-200769-2440-965,1610612747,"Andrew Bynum, Lamar Odom, Shannon Brown, Matt Barnes, Derek Fisher","Bynum, Odom, Brown, Barnes, Fisher",101115-1885-200769-2440-965,LAL,213.0,3,4.0,5.0,7.0,8.0,15.0,,,,,4.0,5.0,,,13.0,2.0,,,,,3.0,,6.0,1.0,1.0,1.0,,,,1.0,5.0,1.0,,,,,13.0,,,,0.8,0.8,0.9285714285714286,,,0.5,0.5,,101.40845070422536,,14.0,14.375,14.0,14.375,,,,,,,,,,0.42864,9.059999999999999,,1.0,2.0,,,,,,4.0,5.0,,8.0,,,,1.0,,6.0,,3.0,,3.0,,,,,2.0,1.0,1.0,0.75,0.75,,,,,,,,,,,,,0.5,,,,,,1.0,0.8,0.8,0.75,,,,,,0.4637,,0.14285714285714285,,,,,,,5.0,,,1.0,,,2.0,,,,,,,,,,1.0,,,,6.0,2.0,4.0,,,,2.0,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,0.5714285714285714,0.5714285714285714,0.15384615384615385,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612747,2011,2010-11,True
101115-1885-200769-2581-977,1610612747,"Andrew Bynum, Lamar Odom, Shannon Brown, Steve Blake, Kobe Bryant","Bynum, Odom, Brown, Blake, Bryant",101115-1885-200769-2581-977,LAL,24.0,2,,2.0,,1.0,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,0.5,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,4.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612747,2011,2010-11,True
