EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,LongMidRangeFGA,FG2A,PenaltyFG2A,PenaltyOffPossExcludingTakeFouls,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,LiveBallTurnoverPct,Minutes,PlusMinus,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG3A,Points,PenaltyFG2M,PenaltyFG3A,PenaltyPoints,PtsUnassisted2s,NonHeaveArc3FGA,DeadBallTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,AtRimFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Arc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceArc3FGA,FtPoints,OpponentPoints,SecondChanceFG3A,PenaltyFtPoints,Fg2aBlocked,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,Fouls,Blocked2s,BlockedShortMidRange,Blocks,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,AtRimFGM,Arc3FGM,FG3M,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Offensive Fouls,BlockingFoulsDrawn,BlockedAtRim,BlockedLongMidRange,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PtsUnassisted3s,LostBallSteals,BlockingFouls,3SecondViolations,PenaltyAtRimFGM,Technical Free Throw Trips,PenaltyAtRimAccuracy,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsPutbacks,SelfOReb,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,SelfORebPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,SecondChanceArc3FGM,PenaltyArc3FGM,SecondChanceFG3M,SecondChanceFtPoints,PenaltyFG3M,OffThreePtRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3Accuracy,ShortMidRangeAssists,DefCorner3ReboundPct,ShortMidRangePctAssisted,Corner3FGM,Corner3Assists,Loose Ball Fouls,Charge Fouls Drawn,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Charge Fouls,Travels,Offensive Fouls Drawn,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,HeaveAttempts,DefensiveGoaltends,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,SecondChanceCorner3Frequency,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGM,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,FTOffRebounds,OffFTReboundPct,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,BlockedCorner3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101126-101144-1718-200765-201175,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Rajon Rondo, Glen Davis","Robinson, Wafer, Pierce, Rondo, Davis",101126-101144-1718-200765-201175,BOS,24.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,23.0,23.0,1.0,0.3224,0.3224,18.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101126-101144-1718-200765-2605,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Rajon Rondo, Marquis Daniels","Robinson, Wafer, Pierce, Rondo, Daniels",101126-101144-1718-200765-2605,BOS,6.0,2,2.0,2.0,2.0,,,,2.0,480.0,3.0,3.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101126-101144-1718-200765-951,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Rajon Rondo, Ray Allen","Robinson, Wafer, Pierce, Rondo, Allen",101126-101144-1718-200765-951,BOS,78.0,7,6.0,5.0,6.0,1.0,2.0,2.0,5.0,110.76923076923076,12.833333333333334,12.833333333333334,0.16666666666666666,0.33607499999999996,0.3207,8.7,0.8333333333333334,,,1.0,1.0,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.5,0.5,0.16666666666666666,0.2,0.16666666666666666,0.2,0.6666666666666666,0.16666666666666666,1.0,1.0,0.16666666666666666,0.5,0.2,0.2,0.4,0.8333333333333334,0.16666666666666666,0.5,1.0,24.325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101126-101144-1718-201175-201623,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Semih Erden","Robinson, Wafer, Pierce, Davis, Erden",101126-101144-1718-201175-201623,BOS,307.0,3,10.0,3.0,21.0,3.0,7.0,1.0,3.0,98.50162866449512,14.6,14.0,0.375,0.44895,0.7276,10.742857142857144,0.3,2.0,1.0,3.0,2.0,0.6666666666666666,5.0,1.0,2.0,1.0,1.0,,,1.0,,2.0,1.0,6.0,,,1.0,4.0,1.0,1.0,3.0,4.0,,2.0,6.0,1.0,0.2857142857142857,,0.25,,0.3,0.25,0.125,0.25,0.3333333333333333,0.3333333333333333,,0.125,1.0,,,0.375,0.2,0.2222222222222222,0.16666666666666666,26.1,11.0,3.0,3.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,3.0,5.0,1.0,6.0,3.0,9.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.2857142857142857,0.5,0.5,1.0,0.8333333333333334,0.6,0.8333333333333334,0.5,0.5,1.0,0.5,1.0,1.0,14.636363636363637,14.090909090909092,0.25,0.5,1.0,1.0,0.3444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101126-101144-1718-201175-202376,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Luke Harangody","Robinson, Wafer, Pierce, Davis, Harangody",101126-101144-1718-201175-202376,BOS,33.0,1,1.0,1.0,2.0,1.0,1.0,1.0,1.0,87.27272727272727,14.0,14.0,1.0,0.3233,0.3233,19.2,1.0,,,,,,1.0,2.0,,,1.0,,,,,1.0,,2.0,1.0,,2.0,2.0,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101126-101144-1718-201175-2570,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Kendrick Perkins","Robinson, Wafer, Pierce, Davis, Perkins",101126-101144-1718-201175-2570,BOS,509.0,2,15.0,,30.0,6.0,10.0,,,84.87229862475444,14.0,14.0,0.5,0.48975416666666666,,12.22,,,,1.0,,,8.0,10.0,3.0,,3.0,,,2.0,,6.0,2.0,20.0,,,,,2.0,1.0,6.0,6.0,2.0,4.0,20.0,,0.6,,0.625,,0.7142857142857143,,0.16666666666666666,0.25,0.5,0.5,,0.16666666666666666,,,,0.4166666666666667,0.2857142857142857,0.3333333333333333,,24.75,15.0,,,,1.0,,5.0,10.0,,,,,8.0,1.0,11.0,,11.0,,,,,,2.0,8.0,2.0,,2.0,,,,1.0,1.0,,0.8333333333333334,,,,,1.0,1.0,19.933333333333334,19.066666666666666,0.08333333333333333,,,,,3.0,1.0,1.0,12.0,3.0,1.0,6.0,1.0,7.0,1.0,3.0,3.0,15.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101126-101144-1718-201175-2605,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Marquis Daniels","Robinson, Wafer, Pierce, Davis, Daniels",101126-101144-1718-201175-2605,BOS,156.0,2,5.0,2.0,10.0,1.0,1.0,1.0,2.0,92.3076923076923,9.8,9.8,0.5,0.45585,0.3234,17.5,0.4,,,,,,3.0,2.0,,,,,,1.0,,,1.0,9.0,,,2.0,,1.0,,3.0,6.0,,3.0,9.0,2.0,,,0.75,,0.9,0.5,0.5,,,,,0.5,,,,0.5,0.6,0.75,0.2222222222222222,25.6,5.0,2.0,,,,,6.0,7.0,,2.0,,,1.0,,1.0,,1.0,1.0,,,,,1.0,2.0,,,,,,,,0.25,,0.25,,,,,1.0,,21.4,14.6,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101126-101144-1718-201175-406,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Shaquille O'Neal","Robinson, Wafer, Pierce, Davis, O'Neal",101126-101144-1718-201175-406,BOS,168.0,2,5.0,,9.0,,3.0,,,77.14285714285715,19.2,19.2,,0.4397625,,8.666666666666666,,,,1.0,,,3.0,-4.0,1.0,,,1.0,,,,1.0,1.0,2.0,,,,,,1.0,,,,,2.0,,0.3333333333333333,,0.25,,0.25,,0.25,0.25,,,0.25,,,,,0.5,,,,23.2,4.0,,,,2.0,,,6.0,,,,,1.0,,1.0,,1.0,,,,,,,1.0,,,,,,,,1.0,,1.0,,,,,,,18.0,18.0,0.5,,,,,1.0,,,2.0,,,1.0,,1.0,,1.0,,2.0,,,,,,,1.0,1.0,,,,,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101126-101144-1718-201175-708,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Kevin Garnett","Robinson, Wafer, Pierce, Davis, Garnett",101126-101144-1718-201175-708,BOS,43.0,1,1.0,1.0,4.0,,1.0,1.0,1.0,133.95348837209303,10.0,10.0,,0.741,0.741,0.2,1.0,,,,,,1.0,,1.0,1.0,,,,,,1.0,,3.0,1.0,,3.0,,,,,1.0,,,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,,,1.0,,,1.0,,,1.0,,3.0,3.0,,,,,1.0,3.0,,1.0,,,1.0,,2.0,,2.0,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,11.0,11.0,,,,,,1.0,,,2.0,,,1.0,,1.0,,1.0,,2.0,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,,1.0,1.0,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
101126-101144-1718-201175-979,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Jermaine O'Neal","Robinson, Wafer, Pierce, Davis, O'Neal",101126-101144-1718-201175-979,BOS,165.0,1,6.0,,11.0,,3.0,,,96.0,14.5,14.5,,0.6377375,,1.5999999999999999,,,,2.0,,,3.0,-1.0,2.0,,,,,1.0,,1.0,1.0,2.0,,,,,1.0,2.0,,,,,2.0,,0.3333333333333333,,0.25,,0.25,,0.25,0.5,,,,0.25,,,,0.75,,,,25.9,5.0,,,,1.0,,,3.0,,,1.0,,,,1.0,,1.0,3.0,2.0,1.0,,,,,,,,0.3333333333333333,,1.0,,,,1.0,,,,,,,15.6,15.6,0.25,,,,,1.0,,,2.0,,,1.0,,1.0,,1.0,,2.0,1.0,,,,,,1.0,1.0,,,,1.0,,1.0,,0.5,0.5,1.0,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,False
