EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,BlockingFouls,Fouls,FoulsDrawn,FTA,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PenaltyFG3A,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,FTOffRebounds,DefThreePtRebounds,OffRebounds,SelfOReb,BadPassSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,DeadBallTurnovers,LostBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefensiveGoaltends,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PtsUnassisted3s,BlockedShortMidRange,Technical Free Throw Trips,OffLongMidRangeReboundPct,HeaveAttempts,AtRimPctBlocked,Offensive Fouls Drawn,LostBallOutOfBoundsTurnovers,Clear Path Fouls,Defensive 3 Seconds Violations,SecondChanceAtRimPctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,BlockedLongMidRange,StepOutOfBoundsTurnovers,3pt And 1 Free Throw Trips,OffensiveGoaltends,3SecondViolations,LongMidRangePctBlocked,Blocked3s,BlockedArc3,Corner3PctBlocked,HeaveMakes,BlockedCorner3,team_id,year,season,team_vs
101113-101155-1884-200751-201569,1610612746,"Ike Diogu, Ryan Gomes, Baron Davis, Randy Foye, Eric Gordon","Diogu, Gomes, Davis, Foye, Gordon",101113-101155-1884-200751-201569,LAC,105.0,1,2.0,1.0,3.0,4.0,3.0,4.0,7.0,1.0,1.0,5.0,5.0,4.0,1.0,5.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,5.0,1.0,1.0,5.0,5.0,3.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.5,0.5,1.0,96.0,17.666666666666668,13.0,17.666666666666668,12.75,1.0,0.3582,0.3582,0.5,1.0,1.0,7.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2011,2010-11,True
101113-101155-1884-200751-201933,1610612746,"Ike Diogu, Ryan Gomes, Baron Davis, Randy Foye, Blake Griffin","Diogu, Gomes, Davis, Foye, Griffin",101113-101155-1884-200751-201933,LAC,1301.0,7,22.0,-11.0,43.0,41.0,19.0,22.0,84.0,8.0,24.0,9.0,43.0,54.0,9.0,4.0,24.0,9.0,1.0,14.0,22.0,1.0,,6.0,,15.0,11.0,14.0,,2.0,38.0,24.0,19.0,2.0,0.48863636363636365,0.5714285714285714,1.0,0.5294117647058824,0.5909090909090909,1.0,92.97463489623367,16.023255813953487,14.926829268292684,15.418604651162791,14.170731707317072,0.21621621621621623,0.5083027027027027,0.4958294117647059,0.14285714285714285,,0.5581395348837209,7.9875,0.4418604651162791,5.0,6.0,10.0,2.0,4.0,2.0,3.0,4.0,4.0,6.0,1.0,4.0,1.0,4.0,1.0,9.0,1.0,4.0,14.0,2.0,13.0,2.0,5.0,1.0,5.0,7.0,2.0,8.0,10.0,18.0,6.0,4.0,9.0,1.0,1.0,5.0,2.0,7.0,1.0,1.0,2.0,1.0,2.0,16.0,4.0,3.0,1.0,4.0,8.0,1.0,1.0,2.0,2.0,1.0,6.0,1.0,1.0,8.0,2.0,4.0,1.0,5.0,2.0,1.0,3.0,1.0,1.0,6.0,2.0,2.0,2.0,1.0,1.0,3.0,0.35714285714285715,0.4166666666666667,1.0,0.15384615384615385,0.25,0.15384615384615385,0.5833333333333334,0.4,0.7777777777777778,0.4594594594594595,0.4,0.5882352941176471,0.4166666666666667,0.35135135135135137,0.041666666666666664,0.125,0.25,0.3333333333333333,0.3,0.8,0.36363636363636365,0.3333333333333333,0.5,0.25,0.25,0.6666666666666666,0.3,0.8,0.75,1.0,0.05,0.5,0.2702702702702703,0.6,0.6,0.3333333333333333,0.5,0.5714285714285714,0.25,0.16216216216216217,0.6666666666666666,0.6666666666666666,0.5,0.10810810810810811,0.25,0.25,1.0,0.24324324324324326,0.1111111111111111,0.1111111111111111,1.0,0.8,0.5,0.17647058823529413,0.6666666666666666,0.23529411764705882,0.25,0.23529411764705882,0.25,0.6216216216216216,0.1111111111111111,0.5209333333333334,0.20689655172413793,0.11627906976744186,25.138461538461538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2011,2010-11,True
101113-101155-1884-200751-202329,1610612746,"Ike Diogu, Ryan Gomes, Baron Davis, Randy Foye, Al-Farouq Aminu","Diogu, Gomes, Davis, Foye, Aminu",101113-101155-1884-200751-202329,LAC,19.0,1,,,1.0,1.0,,,2.0,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,,,,,,,,,,,1.0,,,,151.57894736842107,18.0,1.0,18.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2011,2010-11,True
101113-101155-1884-200751-202339,1610612746,"Ike Diogu, Ryan Gomes, Baron Davis, Randy Foye, Eric Bledsoe","Diogu, Gomes, Davis, Foye, Bledsoe",101113-101155-1884-200751-202339,LAC,143.0,2,2.0,1.0,3.0,4.0,3.0,3.0,7.0,,,2.0,5.0,4.0,,2.0,5.0,2.0,,2.0,3.0,,,1.0,,1.0,2.0,2.0,,,3.0,5.0,3.0,,0.8333333333333334,0.8333333333333334,,1.0,0.6666666666666666,,70.4895104895105,19.333333333333332,21.25,18.333333333333332,17.5,,0.56145,0.56145,0.3333333333333333,,1.0,,1.0,1.0,,,,,,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,2.0,,,2.0,2.0,,1.0,2.0,,,,,1.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,1.0,,1.0,,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,0.5,0.5,0.5,,,,0.75,,0.75,1.0,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,0.5,,,,0.5,1.0,1.0,,,,,,0.5,,0.5,1.0,1.0,1.0,,1.0,0.4,24.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2011,2010-11,True
101113-101155-1884-200751-2567,1610612746,"Ike Diogu, Ryan Gomes, Baron Davis, Randy Foye, Brian Cook","Diogu, Gomes, Davis, Foye, Cook",101113-101155-1884-200751-2567,LAC,215.0,3,4.0,13.0,9.0,9.0,8.0,2.0,18.0,2.0,4.0,6.0,15.0,2.0,4.0,4.0,13.0,1.0,,2.0,2.0,2.0,1.0,,,1.0,3.0,6.0,,2.0,15.0,13.0,8.0,2.0,0.9375,0.9285714285714286,,0.5,0.6666666666666666,,120.55813953488372,8.88888888888889,15.0,8.222222222222221,14.88888888888889,0.4,0.4798,0.4798,0.16666666666666666,,0.8666666666666667,4.6,0.8888888888888888,1.0,1.0,2.0,,1.0,1.0,2.0,2.0,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,,1.0,,,3.0,1.0,1.0,4.0,2.0,3.0,,1.0,1.0,,2.0,1.0,3.0,1.0,,1.0,1.0,,7.0,,,,1.0,,,1.0,,,,1.0,,,1.0,,1.0,1.0,,,,1.0,,,1.0,1.0,,1.0,,,,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,0.75,,0.75,0.9,,0.9,,0.2,,,,,,1.0,,,,,,,,0.5,1.0,,,,0.4,0.5,0.5,1.0,1.0,1.0,0.5,,,,,,,,,0.2,1.0,1.0,1.0,1.0,,0.4,0.5,,,0.2,1.0,0.6,1.0,0.386,0.2,,24.3,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2011,2010-11,True
101113-101155-1884-201569-201599,1610612746,"Ike Diogu, Ryan Gomes, Baron Davis, Eric Gordon, DeAndre Jordan","Diogu, Gomes, Davis, Gordon, Jordan",101113-101155-1884-201569-201599,LAC,586.0,1,10.0,-1.0,19.0,18.0,,7.0,37.0,3.0,12.0,3.0,16.0,17.0,,,,7.0,,8.0,9.0,2.0,2.0,2.0,,4.0,2.0,4.0,,,16.0,,,,0.47058823529411764,,,0.5833333333333334,0.5333333333333333,,90.92150170648463,12.842105263157896,19.0,12.68421052631579,17.27777777777778,0.2,0.4880133333333333,,0.11764705882352941,,,8.424999999999999,,1.0,3.0,6.0,,,,,1.0,1.0,3.0,,,,,1.0,3.0,,,5.0,1.0,3.0,,1.0,,,,,,8.0,2.0,,,3.0,1.0,,4.0,,4.0,,,3.0,1.0,,8.0,,1.0,,1.0,1.0,1.0,,3.0,,1.0,,2.0,,3.0,,,,,,,,,,2.0,3.0,2.0,3.0,1.0,,,0.8,0.8,,0.3333333333333333,,0.3333333333333333,0.4166666666666667,,,0.43333333333333335,,,,0.2,,,1.0,,0.14285714285714285,0.3333333333333333,,0.1111111111111111,0.3333333333333333,,,,0.5714285714285714,0.75,0.3333333333333333,,0.1111111111111111,0.3333333333333333,0.4,0.5,0.5,1.0,0.3333333333333333,0.3333333333333333,1.0,0.2,0.3333333333333333,0.3333333333333333,,,,,,0.2,0.3333333333333333,0.3333333333333333,,,,,,,,,,0.6,0.3333333333333333,0.638,0.14285714285714285,,25.46666666666667,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2011,2010-11,True
101113-101155-1884-201569-201933,1610612746,"Ike Diogu, Ryan Gomes, Baron Davis, Eric Gordon, Blake Griffin","Diogu, Gomes, Davis, Gordon, Griffin",101113-101155-1884-201569-201933,LAC,787.0,5,13.0,5.0,27.0,26.0,15.0,14.0,53.0,7.0,23.0,8.0,26.0,21.0,14.0,2.0,14.0,7.0,,11.0,15.0,2.0,1.0,1.0,,5.0,5.0,11.0,,1.0,24.0,14.0,15.0,1.0,0.4482758620689655,0.4117647058823529,,0.875,0.8461538461538461,1.0,96.97585768742059,13.444444444444445,16.307692307692307,12.703703703703704,15.73076923076923,0.2916666666666667,0.4724,0.45402,0.14285714285714285,,0.5384615384615384,10.97391304347826,0.5555555555555556,4.0,4.0,6.0,1.0,2.0,2.0,3.0,1.0,4.0,10.0,,,,,,1.0,,1.0,9.0,,1.0,1.0,3.0,,2.0,6.0,,1.0,12.0,6.0,,2.0,1.0,,,6.0,,6.0,,,3.0,1.0,2.0,12.0,,4.0,,4.0,4.0,,1.0,1.0,1.0,,1.0,1.0,,2.0,1.0,2.0,,1.0,,,,1.0,,4.0,1.0,1.0,1.0,1.0,,1.0,0.6666666666666666,0.75,,,,,0.391304347826087,0.3333333333333333,0.42857142857142855,0.375,0.3333333333333333,0.4,0.3333333333333333,0.041666666666666664,,,0.5,,0.2857142857142857,0.8,,0.26666666666666666,0.5,0.3333333333333333,,,0.75,1.0,1.0,0.6666666666666666,,1.0,0.25,0.6666666666666666,0.6666666666666666,0.75,0.14285714285714285,0.14285714285714285,1.0,0.4166666666666667,0.4,0.4,0.5,,,,,0.041666666666666664,,,,0.6666666666666666,0.5,0.2,0.6666666666666666,,,0.06666666666666667,,0.2916666666666667,,0.5230333333333334,0.14814814814814814,0.07692307692307693,26.1,,,1.0,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2011,2010-11,True
101113-101155-1884-201569-2260,1610612746,"Ike Diogu, Ryan Gomes, Baron Davis, Eric Gordon, Jarron Collins","Diogu, Gomes, Davis, Gordon, Collins",101113-101155-1884-201569-2260,LAC,166.0,1,3.0,7.0,6.0,5.0,6.0,5.0,11.0,1.0,3.0,3.0,8.0,1.0,3.0,3.0,8.0,2.0,,2.0,2.0,1.0,,,,1.0,2.0,4.0,,1.0,8.0,8.0,6.0,1.0,0.6666666666666666,0.6666666666666666,,0.6666666666666666,0.6666666666666666,0.5,95.42168674698796,11.666666666666666,19.2,11.666666666666666,19.2,0.25,0.547825,0.547825,0.2,,1.0,11.1,1.0,,1.0,1.0,,,1.0,1.0,,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,2.0,,3.0,,1.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,,5.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,,0.3333333333333333,0.625,,0.625,,0.25,,,,,,,,,,,,,,1.0,,,,,0.25,1.0,1.0,1.0,,,,0.25,,,,,,,,0.25,1.0,1.0,1.0,,,0.25,1.0,,,0.25,1.0,0.5,1.0,,0.25,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2011,2010-11,True
101113-101155-1884-201599-202339,1610612746,"Ike Diogu, Ryan Gomes, Baron Davis, DeAndre Jordan, Eric Bledsoe","Diogu, Gomes, Davis, Jordan, Bledsoe",101113-101155-1884-201599-202339,LAC,59.0,1,1.0,-2.0,2.0,2.0,,2.0,4.0,1.0,2.0,1.0,3.0,5.0,,,,,,,1.0,,,1.0,,2.0,1.0,1.0,,,,,,,0.75,,,,,,97.6271186440678,16.0,13.5,15.0,13.5,0.5,0.471,,0.5,,,6.05,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,3.0,,,,,2.0,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,0.5,1.0,,0.5,1.0,,1.5,,,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,0.5,,0.5559,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2011,2010-11,True
101113-101155-1884-201933-202339,1610612746,"Ike Diogu, Ryan Gomes, Baron Davis, Blake Griffin, Eric Bledsoe","Diogu, Gomes, Davis, Griffin, Bledsoe",101113-101155-1884-201933-202339,LAC,186.0,2,3.0,-1.0,6.0,6.0,4.0,6.0,12.0,1.0,2.0,2.0,6.0,7.0,2.0,2.0,6.0,1.0,,1.0,1.0,,,2.0,,3.0,2.0,3.0,,1.0,6.0,6.0,4.0,1.0,1.0,1.0,,1.0,1.0,,92.90322580645162,16.0,15.0,16.0,15.0,0.5,0.3653,0.3653,0.5,,1.0,12.85,0.6666666666666666,,,,,,,,1.0,1.0,1.0,,,,,,,,,2.0,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,,1.0,3.0,,1.0,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,1.0,,1.0,1.0,,1.0,,,,,0.3333333333333333,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2011,2010-11,True
