EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGA,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,Travels,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,SelfORebPct,Pace,BlocksRecoveredPct,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,DefLongMidRangeReboundPct,LongMidRangeFGM,PtsPutbacks,LongMidRangeAssists,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,ShootingFouls,Loose Ball Fouls,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,LiveBallTurnoverPct,DefFTReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyCorner3FGM,Arc3FGM,PenaltyArc3FGM,SecondChanceFtPoints,PenaltyFG3M,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,BadPassTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,3SecondViolations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,FG2APctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,OffFTReboundPct,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,StepOutOfBoundsTurnovers,ShortMidRangeAssists,AtRimPctBlocked,ShortMidRangePctAssisted,BadPassOutOfBoundsTurnovers,Charge Fouls,Charge Fouls Drawn,BlockingFouls,Offensive Fouls Drawn,Blocked3s,BlockedCorner3,BlockedLongMidRange,DefensiveGoaltends,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFg3Pct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PtsUnassisted3s,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,OffensiveGoaltends,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,Defensive 3 Seconds Violations,FG3APctBlocked,Arc3PctBlocked,BlockingFoulsDrawn,BlockedArc3,Corner3PctBlocked,HeaveMakes,Clear Path Fouls,team_id,year,season,team_vs
101114-101139-101179-1905-201178,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Andrei Kirilenko, Kyrylo Fesenko","Williams, Miles, Price, Kirilenko, Fesenko",101114-101139-101179-1905-201178,UTA,390.0,4,6.0,-5.0,12.0,10.0,5.0,2.0,4.0,22.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,7.0,1.0,4.0,6.0,13.0,18.0,1.0,2.0,2.0,2.0,4.0,3.0,2.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,5.0,7.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,6.0,10.0,4.0,1.0,1.0,1.0,1.0,1.0,11.0,6.0,5.0,0.5,0.5,1.0,0.25,0.3333333333333333,0.2857142857142857,0.5,0.5,0.3181818181818182,0.5,0.2857142857142857,0.40625,0.3333333333333333,0.3333333333333333,0.36363636363636365,1.0,0.6,1.0,1.0,1.0,0.7142857142857143,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.14285714285714285,81.23076923076923,1.0,19.333333333333332,15.8,16.416666666666668,15.4,0.18181818181818182,0.5,0.5,1.0,0.2727272727272727,0.3333333333333333,0.3333333333333333,0.18181818181818182,0.18181818181818182,0.5,0.5,1.0,0.18181818181818182,0.5,1.0,1.0,0.14285714285714285,1.0,0.14285714285714285,0.2857142857142857,0.5454545454545454,0.46177999999999997,0.5306,0.459225,0.26666666666666666,0.36363636363636365,0.15384615384615385,0.46153846153846156,7.485714285714286,35.375,0.4166666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2011,2010-11,True
101114-101139-101179-1905-2246,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Andrei Kirilenko, Mehmet Okur","Williams, Miles, Price, Kirilenko, Okur",101114-101139-101179-1905-2246,UTA,36.0,1,1.0,,1.0,2.0,,,,3.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,,120.0,,19.0,8.5,19.0,8.5,,,,,,,,,,,,,1.0,,,,,,,,1.0,0.63255,,,,,,,,24.6,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2011,2010-11,True
101114-101139-101179-1905-2744,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Andrei Kirilenko, Al Jefferson","Williams, Miles, Price, Kirilenko, Jefferson",101114-101139-101179-1905-2744,UTA,556.0,7,9.0,2.0,16.0,14.0,2.0,8.0,2.0,30.0,3.0,4.0,2.0,2.0,,,1.0,1.0,5.0,1.0,1.0,,3.0,,6.0,10.0,1.0,4.0,4.0,19.0,17.0,2.0,2.0,4.0,1.0,1.0,,1.0,3.0,6.0,6.0,3.0,,3.0,3.0,1.0,4.0,1.0,1.0,9.0,2.0,1.0,1.0,3.0,5.0,3.0,8.0,1.0,1.0,,,3.0,,1.0,7.0,4.0,5.0,3.0,,3.0,2.0,3.0,1.0,15.0,3.0,2.0,0.5,0.75,1.0,0.25,0.25,0.6,1.0,1.0,0.5357142857142857,1.0,1.0,0.59375,1.0,1.5,0.2857142857142857,0.375,0.25,1.0,0.6666666666666666,0.4444444444444444,0.42857142857142855,1.0,,,0.6666666666666666,,0.6666666666666666,,0.14285714285714285,77.6978417266187,0.3333333333333333,18.6875,18.357142857142858,18.3125,16.357142857142858,0.2857142857142857,0.75,0.75,0.3333333333333333,0.07142857142857142,1.0,1.0,0.35714285714285715,0.07142857142857142,1.0,1.0,1.0,0.21428571428571427,1.0,1.0,,,,,,0.5714285714285714,0.5237535714285715,0.5872,0.4215,0.1875,0.25,0.21052631578947367,0.15789473684210525,10.629999999999999,24.875,0.125,0.3333333333333333,2.0,4.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,1.0,0.4,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2011,2010-11,True
101114-101139-101179-1922-200794,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Francisco Elson, Paul Millsap","Williams, Miles, Price, Elson, Millsap",101114-101139-101179-1922-200794,UTA,1474.0,8,25.0,-20.0,49.0,48.0,32.0,21.0,5.0,97.0,4.0,7.0,2.0,2.0,2.0,2.0,1.0,4.0,11.0,1.0,4.0,2.0,6.0,4.0,9.0,22.0,2.0,10.0,22.0,46.0,66.0,3.0,6.0,9.0,4.0,8.0,6.0,19.0,33.0,2.0,16.0,6.0,,6.0,1.0,2.0,3.0,1.0,,8.0,2.0,4.0,3.0,7.0,12.0,7.0,19.0,2.0,6.0,,,10.0,,8.0,13.0,16.0,28.0,9.0,6.0,2.0,1.0,2.0,,37.0,33.0,32.0,0.1111111111111111,0.14285714285714285,1.0,0.2,0.2,0.4090909090909091,0.5,0.5,0.375,0.5,0.5,0.5113636363636364,0.6428571428571429,0.66,0.3125,0.5833333333333334,0.3076923076923077,1.0,0.25,0.6666666666666666,0.2857142857142857,0.3333333333333333,0.6666666666666666,0.14285714285714285,,0.6666666666666666,1.0,1.0,0.10526315789473684,94.76255088195387,,15.591836734693878,14.791666666666666,14.510204081632653,14.541666666666666,0.21875,0.5714285714285714,0.5714285714285714,,0.125,0.25,0.3333333333333333,0.34375,0.125,0.25,0.25,1.0,0.1875,0.3333333333333333,1.0,,0.14285714285714285,1.0,0.14285714285714285,0.2857142857142857,0.53125,0.4791515625,0.47155,0.47202142857142854,0.23684210526315788,0.32142857142857145,0.1956521739130435,0.717391304347826,11.227272727272727,23.8,0.6530612244897959,0.25,4.0,4.0,1.0,2.0,4.0,,9.0,2.0,1.0,3.0,1.0,,0.4,1.0,,0.36363636363636365,0.4,0.25,1.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,6.0,0.3333333333333333,0.09090909090909091,0.25,0.09090909090909091,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.0,0.5,0.25,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2011,2010-11,True
101114-101139-101179-1922-201178,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Francisco Elson, Kyrylo Fesenko","Williams, Miles, Price, Elson, Fesenko",101114-101139-101179-1922-201178,UTA,484.0,3,8.0,5.0,13.0,15.0,2.0,2.0,1.0,28.0,1.0,2.0,,,,,1.0,1.0,4.0,1.0,1.0,,2.0,,3.0,7.0,2.0,3.0,,12.0,7.0,,1.0,,1.0,3.0,,,2.0,4.0,2.0,6.0,,2.0,2.0,2.0,4.0,1.0,1.0,10.0,,1.0,4.0,4.0,8.0,1.0,9.0,,3.0,1.0,,4.0,,,2.0,2.0,,,,2.0,1.0,2.0,1.0,12.0,2.0,2.0,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.42857142857142855,,0.3333333333333333,0.6,,0.3333333333333333,0.6,,0.3333333333333333,0.3,0.8,0.25,1.0,,0.8888888888888888,0.2,,,0.3333333333333333,,,1.0,1.0,,83.30578512396694,0.5,13.846153846153847,20.266666666666666,13.153846153846153,20.2,0.2,0.5,0.5,1.0,0.1,1.0,1.0,0.4,0.1,1.0,1.0,1.0,0.2,,,,,,,,0.5,0.461085,0.3597,0.3943666666666667,,,,0.16666666666666666,13.157142857142857,24.866666666666664,0.15384615384615385,1.0,1.0,,1.0,,1.0,,,,,,1.0,,0.25,,1.0,0.25,0.3333333333333333,1.0,,1.0,,,,1.0,1.0,1.0,,3.0,2.0,1.0,1.0,1.0,,1.0,,,0.14285714285714285,,0.25,,0.5,0.5,0.5,1.0,,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2011,2010-11,True
101114-101139-101179-1922-202379,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Francisco Elson, Jeremy Evans","Williams, Miles, Price, Elson, Evans",101114-101139-101179-1922-202379,UTA,180.0,1,3.0,,7.0,5.0,7.0,5.0,1.0,12.0,,1.0,,,,1.0,2.0,3.0,,,,,,,2.0,4.0,,,5.0,9.0,9.0,,,,2.0,4.0,,5.0,9.0,2.0,2.0,,,,1.0,,1.0,,,2.0,,1.0,,,,1.0,1.0,,1.0,,,2.0,1.0,2.0,1.0,3.0,5.0,1.0,2.0,,,,,9.0,9.0,7.0,0.5,0.5,,,,0.5,,0.5,0.5,,0.5,0.75,,0.75,,,0.5,,,,0.5,1.0,,,,,,,,96.0,,12.428571428571429,18.6,12.428571428571429,18.6,0.25,,,,0.75,0.6666666666666666,0.6666666666666666,,,,,,,,,,0.25,,,,0.25,0.393,,0.393,0.25,0.25,,1.0,8.825,,1.0,,,,,,1.0,1.0,1.0,,,1.0,,,0.5,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,2.0,,0.25,,,,,,,,,,,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2011,2010-11,True
101114-101139-101179-1922-2246,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Francisco Elson, Mehmet Okur","Williams, Miles, Price, Elson, Okur",101114-101139-101179-1922-2246,UTA,372.0,2,6.0,4.0,12.0,11.0,5.0,5.0,,23.0,2.0,2.0,,,,,1.0,1.0,4.0,,,,2.0,1.0,5.0,7.0,1.0,2.0,4.0,17.0,13.0,,,,1.0,2.0,1.0,3.0,5.0,2.0,8.0,3.0,,2.0,1.0,1.0,2.0,,,5.0,,,3.0,3.0,7.0,,7.0,,1.0,,,1.0,,,3.0,5.0,5.0,2.0,1.0,,,,,17.0,5.0,5.0,0.2,0.2,1.0,0.5,0.5,0.7142857142857143,,0.5,0.7222222222222222,,0.3333333333333333,0.7727272727272727,,0.5,0.2222222222222222,0.75,,1.0,,0.8571428571428571,,,,,,,1.0,1.0,,89.03225806451613,,14.583333333333334,17.90909090909091,14.583333333333334,17.818181818181817,0.2222222222222222,1.0,1.0,,0.1111111111111111,1.0,1.0,0.4444444444444444,,,,,0.2222222222222222,,,,,,,0.3333333333333333,0.4444444444444444,0.44024375,,0.4077,0.2,0.25,,0.29411764705882354,13.042857142857143,31.75,0.4166666666666667,,2.0,,1.0,1.0,,,1.0,,,1.0,,,,1.0,1.0,0.5,0.5,0.5,,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,0.6666666666666666,0.5,0.5,1.0,,,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2011,2010-11,True
101114-101139-101179-1922-2744,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Francisco Elson, Al Jefferson","Williams, Miles, Price, Elson, Jefferson",101114-101139-101179-1922-2744,UTA,222.0,3,4.0,3.0,5.0,6.0,,,1.0,11.0,2.0,3.0,,1.0,,,,1.0,1.0,,,,,,2.0,5.0,,,1.0,5.0,2.0,,1.0,,,,,,,4.0,,,,,2.0,,2.0,,2.0,4.0,,1.0,1.0,1.0,2.0,1.0,3.0,,,,,1.0,,,,2.0,1.0,,,,,,,5.0,,,1.0,1.0,,,,0.4,,,0.4,,,0.4,,,,1.0,0.3333333333333333,1.0,,1.0,0.3333333333333333,,,1.0,,,,1.0,,71.35135135135135,,20.0,20.333333333333332,19.2,20.333333333333332,0.6,0.6666666666666666,0.6666666666666666,1.0,0.2,,,0.2,,,,,,1.0,,,,,,,0.6,0.54396,0.5751,,,,,,5.54,,,1.0,,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2011,2010-11,True
101114-101139-101179-200794-201178,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Paul Millsap, Kyrylo Fesenko","Williams, Miles, Price, Millsap, Fesenko",101114-101139-101179-200794-201178,UTA,429.0,3,7.0,-2.0,14.0,15.0,5.0,6.0,2.0,29.0,3.0,4.0,,1.0,1.0,2.0,,,3.0,,,,2.0,1.0,3.0,7.0,1.0,2.0,4.0,13.0,15.0,,1.0,1.0,1.0,3.0,1.0,1.0,3.0,2.0,4.0,3.0,1.0,1.0,1.0,1.0,2.0,,1.0,5.0,,1.0,4.0,1.0,5.0,3.0,8.0,,2.0,,,4.0,1.0,2.0,4.0,6.0,8.0,4.0,,,,,,12.0,3.0,5.0,0.3333333333333333,0.3333333333333333,1.0,0.5,1.0,0.42857142857142855,,0.3333333333333333,0.5,,0.25,0.5,0.25,0.25,0.2222222222222222,0.3333333333333333,0.25,0.8,,0.625,0.25,,,0.3333333333333333,,,1.0,0.75,,97.34265734265733,,13.928571428571429,15.6,13.357142857142858,14.6,0.4444444444444444,0.75,0.75,0.3333333333333333,,,,0.3333333333333333,,,,,0.2222222222222222,1.0,,,0.5,0.5,,0.25,0.6666666666666666,0.45025,0.3706,0.39666666666666667,0.3076923076923077,0.36363636363636365,0.07692307692307693,0.23076923076923078,10.028571428571428,32.65,0.35714285714285715,,,,,,2.0,2.0,2.0,,,,,,0.5,,1.0,,,,,1.0,,1.0,,1.0,,1.0,2.0,2.0,2.0,,,,,,,,,,,1.0,,0.5,0.5,1.0,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2011,2010-11,True
101114-101139-101179-200794-2744,1610612762,"Deron Williams, CJ Miles, Ronnie Price, Paul Millsap, Al Jefferson","Williams, Miles, Price, Millsap, Jefferson",101114-101139-101179-200794-2744,UTA,1870.0,11,31.0,-9.0,59.0,57.0,27.0,21.0,5.0,116.0,5.0,8.0,2.0,2.0,2.0,4.0,2.0,7.0,12.0,2.0,3.0,1.0,7.0,4.0,12.0,27.0,3.0,10.0,22.0,55.0,64.0,4.0,4.0,8.0,5.0,12.0,5.0,12.0,25.0,16.0,8.0,9.0,,7.0,8.0,3.0,11.0,2.0,3.0,25.0,1.0,4.0,6.0,15.0,22.0,5.0,27.0,1.0,4.0,,,12.0,,5.0,16.0,22.0,34.0,12.0,5.0,4.0,1.0,5.0,2.0,47.0,25.0,27.0,0.6666666666666666,0.7272727272727273,1.0,0.3,0.3,0.4444444444444444,1.0,0.4166666666666667,0.44594594594594594,1.0,0.38235294117647056,0.5094339622641509,0.8,0.46296296296296297,0.2702702702702703,0.5555555555555556,0.26666666666666666,0.5454545454545454,0.14285714285714285,0.5526315789473685,0.22727272727272727,0.3333333333333333,,0.42857142857142855,0.16666666666666666,,0.5714285714285714,0.5,0.05263157894736842,89.32620320855615,0.4,14.305084745762711,18.0,14.05084745762712,16.49122807017544,0.21621621621621623,0.625,0.8333333333333334,0.6,0.1891891891891892,0.2857142857142857,0.3333333333333333,0.32432432432432434,0.08108108108108109,0.6666666666666666,0.6666666666666666,1.0,0.1891891891891892,0.5,1.0,0.5,0.23529411764705882,0.5,0.058823529411764705,0.23529411764705882,0.4864864864864865,0.4812918918918919,0.4857,0.47325588235294114,0.25,0.3157894736842105,0.14545454545454545,0.45454545454545453,11.4,24.080000000000002,0.4576271186440678,0.42857142857142855,5.0,2.0,4.0,1.0,8.0,2.0,5.0,1.0,1.0,1.0,2.0,,0.6666666666666666,1.0,0.6666666666666666,0.4166666666666667,0.4166666666666667,0.8,1.0,1.0,,,1.0,1.0,3.0,1.0,,2.0,1.0,1.0,6.0,2.0,1.0,,5.0,0.2,0.1111111111111111,0.14285714285714285,,,0.6153846153846154,0.14285714285714285,0.14285714285714285,1.0,1.0,,0.14285714285714285,,1.0,0.25,0.5,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612762,2011,2010-11,True
