EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,LongMidRangeFGM,SecondChanceFtPoints,SecondChancePoints,PtsUnassisted2s,Fg2aBlocked,LongMidRangeAssists,OffTwoPtRebounds,FTDefRebounds,OffRebounds,LostBallSteals,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,LongMidRangePctBlocked,DefFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefShortMidRangeReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChancePointsPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,HeaveAttempts,OffThreePtRebounds,SelfOReb,DeadBallTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedLongMidRange,BlockedShortMidRange,Blocks,RecoveredBlocks,SecondChanceFg2Pct,SecondChanceEfgPct,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceShotQualityAvg,Charge Fouls,Loose Ball Fouls,BlockingFoulsDrawn,Corner3FGA,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,ShortMidRangeAssists,BlockingFouls,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,OffShortMidRangeReboundPct,ShortMidRangePctAssisted,Corner3Frequency,SecondChanceArc3Frequency,PenaltyCorner3Frequency,BadPassOutOfBoundsTurnovers,BlockedAtRim,DefAtRimReboundPct,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,PtsAssisted3s,ThreePtAssists,Arc3Assists,LostBallTurnovers,Offensive Fouls Drawn,Blocked3s,BlockedArc3,3SecondViolations,Assisted3sPct,Arc3PctAssisted,PtsPutbacks,Corner3FGM,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,Travels,SecondChanceTurnovers,Charge Fouls Drawn,DefensiveGoaltends,SecondChanceFg3Pct,ShortMidRangePctBlocked,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGM,PenaltyCorner3Accuracy,Corner3PctBlocked,SecondChanceCorner3FGM,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Clear Path Fouls,team_id,year,season,team_vs
101138-200755-201583-2045-2240,1610612753,"Brandon Bass, JJ Redick, Ryan Anderson, Hedo Turkoglu, Gilbert Arenas","Bass, Redick, Anderson, Turkoglu, Arenas",101138-200755-201583-2045-2240,ORL,246.0,2,4.0,-1.0,7.0,10,2.0,3.0,17,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,10.0,11.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,5.0,6.0,3.0,10.0,6.0,2.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.625,1.25,0.7142857142857143,1.0,0.5,1.0,1.0,0.5,0.6666666666666666,1.0,0.5,99.51219512195122,18.571428571428573,11.6,18.571428571428573,11.6,0.25,1.0,1.0,1.0,0.25,0.5,0.5,0.5,0.5,1.0,0.5,1.0,0.75,0.5,0.5051,0.52285,0.42857142857142855,0.6,0.6,9.45,25.45,0.2857142857142857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2011,2010-11,False
101138-200755-201583-2045-2749,1610612753,"Brandon Bass, JJ Redick, Ryan Anderson, Hedo Turkoglu, Jameer Nelson","Bass, Redick, Anderson, Turkoglu, Nelson",101138-200755-201583-2045-2749,ORL,342.0,1,6.0,-5.0,13.0,14,4.0,1.0,27,,1.0,,,7.0,,2.0,,1.0,2.0,8.0,,2.0,6.0,10.0,15.0,1.0,2.0,,1.0,2.0,4.0,2.0,,2.0,,1.0,1.0,,2.0,,4.0,5.0,6.0,2.0,1.0,1.0,1.0,1.0,,,4.0,7.0,2.0,9.0,4.0,4.0,0.5,0.5,,,,0.25,0.5,0.2,0.3333333333333333,0.34615384615384615,0.5,0.2,1.0,1.0,,1.0,1.0,,113.68421052631578,13.615384615384615,11.785714285714286,13.615384615384615,11.785714285714286,0.1,,,,0.7,0.2,,,,,0.3333333333333333,,0.3,,0.4517055555555555,0.42325,0.16666666666666666,0.2,0.4,17.025,31.5,0.3076923076923077,1.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,1.0,0.14285714285714285,1.0,0.16666666666666666,0.14285714285714285,0.2,1.0,0.2857142857142857,0.3333333333333333,0.5,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2011,2010-11,False
101138-200755-201583-2047-2240,1610612753,"Brandon Bass, JJ Redick, Ryan Anderson, Quentin Richardson, Gilbert Arenas","Bass, Redick, Anderson, Richardson, Arenas",101138-200755-201583-2047-2240,ORL,94.0,1,2.0,6.0,4.0,3,4.0,,7,2.0,2.0,2.0,2.0,1.0,,,,,3.0,3.0,,,,6.0,,3.0,3.0,,,,6.0,6.0,,,,3.0,3.0,2.0,6.0,,3.0,3.0,3.0,,,,,,,1.0,,,,6.0,6.0,4.0,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,1.0,,1.0,1.0,,107.23404255319149,6.5,22.666666666666668,6.5,22.666666666666668,0.6666666666666666,1.0,1.0,1.0,0.3333333333333333,,,,0.6666666666666666,1.0,,,0.6666666666666666,,0.49983333333333335,0.49983333333333335,,,1.0,7.833333333333333,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2011,2010-11,False
101138-200755-201583-2047-2749,1610612753,"Brandon Bass, JJ Redick, Ryan Anderson, Quentin Richardson, Jameer Nelson","Bass, Redick, Anderson, Richardson, Nelson",101138-200755-201583-2047-2749,ORL,452.0,2,8.0,4.0,15.0,17,10.0,11.0,32,2.0,4.0,1.0,3.0,4.0,,4.0,,2.0,6.0,9.0,,4.0,4.0,16.0,12.0,5.0,7.0,,2.0,3.0,13.0,2.0,,3.0,,1.0,1.0,,2.0,1.0,4.0,5.0,7.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,5.0,3.0,14.0,13.0,10.0,0.16666666666666666,0.16666666666666666,,,,0.6666666666666666,0.7142857142857143,0.46153846153846156,0.5555555555555556,0.5333333333333333,0.65,0.3076923076923077,0.3333333333333333,0.5714285714285714,1.0,0.625,0.5,1.0,101.94690265486726,12.466666666666667,15.588235294117647,11.333333333333334,15.0,0.3076923076923077,0.5,0.5,,0.3076923076923077,0.3076923076923077,,,0.3333333333333333,0.3333333333333333,0.2222222222222222,,0.6153846153846154,,0.48407500000000003,0.4913875,0.2,0.2727272727272727,0.8125,11.366666666666667,30.675,0.6666666666666666,2.0,3.0,,2.0,10.0,,1.0,1.0,,2.0,3.0,,,,,0.5,,,,,0.3333333333333333,0.3333333333333333,,1.0,0.75,0.75,0.3333333333333333,0.125,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5,0.5,0.3333333333333333,0.5,0.3333333333333333,0.16666666666666666,1.0,0.07692307692307693,1.0,1.0,1.0,0.5,0.3685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2011,2010-11,False
101138-200755-2045-2202-2730,1610612753,"Brandon Bass, JJ Redick, Hedo Turkoglu, Jason Richardson, Dwight Howard","Bass, Redick, Turkoglu, Richardson, Howard",101138-200755-2045-2202-2730,ORL,173.0,1,3.0,-6.0,6.0,6,3.0,,12,,,,,1.0,,1.0,,,1.0,2.0,,1.0,1.0,3.0,9.0,,,,,1.0,1.0,2.0,,1.0,,1.0,1.0,,2.0,,2.0,2.0,2.0,,,,,1.0,1.0,3.0,1.0,2.0,1.0,3.0,1.0,3.0,1.0,1.0,,,,0.5,,0.3333333333333333,,0.375,0.5,0.3333333333333333,,0.6666666666666666,,0.6666666666666666,0.5,,99.88439306358381,12.666666666666666,16.166666666666668,12.5,14.5,,,,,0.3333333333333333,0.3333333333333333,,,,,,,0.3333333333333333,,0.4719,,0.25,0.3333333333333333,0.3333333333333333,13.3,24.6,0.5,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,,,0.3333333333333333,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2011,2010-11,False
101138-200755-2045-2730-2749,1610612753,"Brandon Bass, JJ Redick, Hedo Turkoglu, Dwight Howard, Jameer Nelson","Bass, Redick, Turkoglu, Howard, Nelson",101138-200755-2045-2730-2749,ORL,389.0,3,6.0,-2.0,15.0,13,15.0,13.0,28,1.0,1.0,1.0,1.0,3.0,,6.0,,6.0,4.0,6.0,,8.0,1.0,9.0,11.0,4.0,6.0,,8.0,1.0,9.0,4.0,,6.0,,2.0,2.0,,4.0,1.0,4.0,5.0,6.0,3.0,1.0,,,,2.0,3.0,,2.0,1.0,9.0,9.0,15.0,0.5,0.5,,,,0.6666666666666666,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.3,0.3,0.5714285714285714,,0.6666666666666666,1.0,0.7142857142857143,0.5,1.0,103.65038560411311,10.666666666666666,17.615384615384617,10.266666666666667,17.307692307692307,0.07142857142857142,1.0,1.0,,0.21428571428571427,0.42857142857142855,,,0.07142857142857142,1.0,0.42857142857142855,,0.6428571428571429,,0.49464642857142854,0.49464642857142854,0.06666666666666667,0.14285714285714285,1.0,13.366666666666667,24.95,1.0,2.0,2.0,,,4.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,0.5,0.1,,1.0,0.6666666666666666,0.6666666666666666,0.5,,,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,0.1,,0.14285714285714285,0.5,0.5,,,0.55065,,1.0,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.14285714285714285,1.0,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2011,2010-11,False
101138-200755-2047-2240-2730,1610612753,"Brandon Bass, JJ Redick, Quentin Richardson, Gilbert Arenas, Dwight Howard","Bass, Redick, Richardson, Arenas, Howard",101138-200755-2047-2240-2730,ORL,219.0,1,4.0,-2.0,6.0,6,,,12,2.0,2.0,,,3.0,,,,,2.0,5.0,,,,4.0,6.0,,,,,,,,,,,,,,,1.0,1.0,2.0,2.0,,,,,1.0,,,1.0,,,4.0,,,,,,,,0.4,,0.4,,0.4,,,,0.5,1.0,0.6666666666666666,,1.0,78.9041095890411,18.833333333333332,17.666666666666668,18.833333333333332,17.666666666666668,0.4,1.0,1.0,,0.6,,,,,,,,0.4,,0.44476000000000004,,,,,12.22,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2011,2010-11,False
101138-200755-2047-2240-2749,1610612753,"Brandon Bass, JJ Redick, Quentin Richardson, Gilbert Arenas, Jameer Nelson","Bass, Redick, Richardson, Arenas, Nelson",101138-200755-2047-2240-2749,ORL,2.0,1,,-2.0,,1,,1.0,1,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,720.0,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2011,2010-11,False
101138-201583-2045-2202-2240,1610612753,"Brandon Bass, Ryan Anderson, Hedo Turkoglu, Jason Richardson, Gilbert Arenas","Bass, Anderson, Turkoglu, Richardson, Arenas",101138-201583-2045-2202-2240,ORL,23.0,1,,1.0,1.0,1,1.0,1.0,2,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,2.0,,1.0,1.0,1.0,,,,,,,,,,0.5,0.5,,,,,,,,125.21739130434781,3.0,20.0,3.0,20.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2011,2010-11,False
101138-201583-2047-2202-2749,1610612753,"Brandon Bass, Ryan Anderson, Quentin Richardson, Jason Richardson, Jameer Nelson","Bass, Anderson, Richardson, Richardson, Nelson",101138-201583-2047-2202-2749,ORL,221.0,2,4.0,2.0,7.0,8,5.0,7.0,15,3.0,4.0,3.0,4.0,1.0,,2.0,,1.0,3.0,6.0,,2.0,3.0,9.0,7.0,3.0,5.0,,1.0,1.0,7.0,2.0,,1.0,,1.0,1.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,,,,,,,3.0,3.0,2.0,7.0,7.0,5.0,0.3333333333333333,0.3333333333333333,,,,0.5,0.6,0.375,0.5,0.5,0.5833333333333334,0.25,,1.0,1.0,1.0,1.0,,97.73755656108598,16.428571428571427,13.25,16.428571428571427,13.25,0.5,0.75,0.75,0.3333333333333333,0.125,0.25,,,0.6666666666666666,0.75,0.16666666666666666,,0.75,,0.5015571428571428,0.50646,0.2222222222222222,0.2857142857142857,0.7777777777777778,5.066666666666666,34.5,0.7142857142857143,1.0,,2.0,2.0,4.0,,,1.0,,1.0,1.0,,,,,1.0,,,,,0.3333333333333333,0.25,1.0,,,,,0.2222222222222222,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,0.125,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2011,2010-11,False
