EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OpponentPoints,Fouls,NonShootingPenaltyNonTakeFouls,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,ShootingFouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,ShortMidRangeFGA,Corner3FGA,PenaltyCorner3FGA,Fg2aBlocked,DefTwoPtRebounds,BlockingFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,Corner3Frequency,PenaltyCorner3Frequency,PtsAssisted2s,TwoPtAssists,AtRimAssists,DeadBallTurnovers,Turnovers,Charge Fouls,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangeFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,OffTwoPtRebounds,SelfOReb,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,Charge Fouls Drawn,Offensive Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,BlockedAtRim,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,SelfORebPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceShotQualityAvg,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ShortMidRangeFGM,Corner3FGM,PenaltyCorner3FGM,SecondChanceFtPoints,Corner3Assists,FTOffRebounds,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,SecondChanceTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,OffensiveGoaltends,AtRimPctBlocked,LiveBallTurnoverPct,OffFTReboundPct,OffAtRimReboundPct,OffCorner3ReboundPct,DefCorner3ReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,Loose Ball Fouls,SecondChanceCorner3FGA,2pt And 1 Free Throw Trips,OffLongMidRangeReboundPct,SecondChanceCorner3Frequency,ShortMidRangeAssists,ThreePtShootingFoulsDrawn,ShortMidRangePctAssisted,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,LongMidRangeAssists,Defensive 3 Seconds Violations,LongMidRangePctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,3SecondViolations,PtsUnassisted3s,PtsPutbacks,BlockingFouls,LongMidRangePctBlocked,StepOutOfBoundsTurnovers,Offensive Fouls,Clear Path Fouls,Travels,DefensiveGoaltends,SecondChanceAtRimPctAssisted,team_id,year,season,team_vs
101109-1733-201163-201167-2365,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Arron Afflalo, Chris Andersen","Felton, Harrington, Chandler, Afflalo, Andersen",101109-1733-201163-201167-2365,DEN,8.0,1,-1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,False
101109-1733-201163-201568-2030,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Danilo Gallinari, Kenyon Martin","Felton, Harrington, Chandler, Gallinari, Martin",101109-1733-201163-201568-2030,DEN,189.0,1,1.0,7.0,2.0,,3.0,6.0,5.0,6.0,5.0,1.0,11.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,8.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,3.0,8.0,2.0,3.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,4.0,2.0,6.0,8.0,6.0,1.0,0.5,0.5,0.5,0.3333333333333333,1.0,0.3333333333333333,0.5,1.0,0.5,0.5714285714285714,1.0,0.5714285714285714,0.4,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,1.0,83.80952380952381,15.333333333333334,19.4,14.833333333333334,19.4,0.4,0.5,0.5,0.2,0.4,0.5,0.5,1.0,1.0,1.0,0.4,0.5,0.4,0.5,0.8,0.5,0.54152,0.54152,0.2857142857142857,0.4,0.25,1.0,8.166666666666666,24.75,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,False
101109-1733-201163-201568-2403,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Danilo Gallinari, Nene","Felton, Harrington, Chandler, Gallinari, Nene",101109-1733-201163-201568-2403,DEN,128.0,1,-2.0,7.0,2.0,1.0,2.0,4.0,5.0,4.0,4.0,,9.0,,,,,,,,1.0,1.0,1.0,1.0,,1.0,1.0,2.0,2.0,5.0,,,,,1.0,1.0,2.0,2.0,5.0,,3.0,1.0,1.0,1.0,1.0,1.0,3.0,,1.0,,2.0,,2.0,1.0,1.0,2.0,1.0,5.0,5.0,4.0,1.0,0.5,0.5,0.5,,,,0.5,,0.5,0.625,,0.625,0.6666666666666666,,1.0,,0.6666666666666666,,,1.0,101.25,14.5,14.0,14.5,12.8,,,,,0.3333333333333333,1.0,1.0,1.0,,,,,0.3333333333333333,1.0,0.6666666666666666,1.0,0.5018833333333333,0.5018833333333333,0.25,0.5,,1.0,4.3,23.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,False
101109-1733-201163-201951-2365,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Ty Lawson, Chris Andersen","Felton, Harrington, Chandler, Lawson, Andersen",101109-1733-201163-201951-2365,DEN,156.0,2,4.0,4.0,2.0,,3.0,6.0,6.0,,1.0,,12.0,1.0,2.0,,,,,1.0,2.0,2.0,,,1.0,3.0,2.0,2.0,,8.0,,,,,,,,,,,6.0,2.0,2.0,2.0,3.0,2.0,8.0,,1.0,,3.0,,3.0,1.0,,,,8.0,,,1.0,1.0,,1.0,0.3333333333333333,,,0.8,,,0.8,,,0.4,,1.0,,1.0,,,1.0,110.76923076923076,12.5,13.5,12.5,13.5,0.4,0.5,0.5,0.2,0.4,1.0,1.0,1.0,,,,,,,0.8,1.0,0.54107,,,,,,5.8,24.55,,,,,,2.0,,,,1.0,1.0,,,,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,False
101109-1733-201163-201951-2403,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Ty Lawson, Nene","Felton, Harrington, Chandler, Lawson, Nene",101109-1733-201163-201951-2403,DEN,522.0,2,3.0,18.0,4.0,,9.0,17.0,17.0,1.0,,1.0,34.0,4.0,5.0,,,,,4.0,1.0,2.0,,,6.0,10.0,1.0,2.0,6.0,21.0,,,3.0,,,,,2.0,2.0,10.0,3.0,2.0,1.0,1.0,2.0,1.0,5.0,,2.0,,5.0,1.0,6.0,1.0,6.0,7.0,2.0,18.0,2.0,1.0,1.0,0.5,,0.5,0.6,,,0.625,1.5,,0.6666666666666666,1.5,1.0,0.16666666666666666,,0.4,,0.625,0.2,,0.5,93.79310344827587,12.411764705882353,18.294117647058822,12.294117647058824,17.058823529411764,0.4166666666666667,0.8,0.8,0.3333333333333333,0.16666666666666666,0.5,0.5,1.0,,,,,,,0.5833333333333334,0.5,0.5122,,0.14285714285714285,0.16666666666666666,0.14285714285714285,0.09523809523809523,8.540000000000001,24.65,0.058823529411764705,1.0,,,,3.0,,,,1.0,1.0,0.08333333333333333,,,2.0,1.0,1.0,3.0,3.0,1.0,1.0,,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,1.0,0.25,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,1.0,1.0,0.2,0.5,0.5,1.0,1.0,1.0,0.61455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,False
101109-1733-201163-201951-2747,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Ty Lawson, JR Smith","Felton, Harrington, Chandler, Lawson, Smith",101109-1733-201163-201951-2747,DEN,2.0,1,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,False
101109-1733-201163-2365-2747,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Chris Andersen, JR Smith","Felton, Harrington, Chandler, Andersen, Smith",101109-1733-201163-2365-2747,DEN,1058.0,4,1.0,25.0,9.0,,18.0,35.0,34.0,9.0,7.0,3.0,69.0,4.0,9.0,,1.0,1.0,1.0,7.0,,3.0,,,7.0,20.0,1.0,6.0,9.0,26.0,,2.0,2.0,1.0,2.0,1.0,3.0,6.0,11.0,6.0,3.0,3.0,,1.0,5.0,,11.0,1.0,6.0,2.0,17.0,4.0,21.0,7.0,8.0,13.0,4.0,24.0,11.0,9.0,1.0,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.35,,0.5,0.3269230769230769,,0.5,0.40625,0.3333333333333333,0.6111111111111112,0.23076923076923078,1.0,1.0,0.2,0.7894736842105263,0.16666666666666666,,1.0,93.91304347826087,13.485714285714286,17.235294117647058,13.028571428571428,16.58823529411765,0.34615384615384615,0.4444444444444444,0.5,0.2692307692307692,0.11538461538461539,,,,0.5,,0.2,1.0,,,0.5769230769230769,,0.4783269230769231,0.5141,0.13333333333333333,0.16666666666666666,0.07692307692307693,0.4230769230769231,8.22,25.166666666666668,0.2571428571428571,4.0,3.0,3.0,1.0,9.0,1.0,0.05,,0.6923076923076923,0.6,0.15384615384615385,0.11538461538461539,0.6,8.0,4.0,4.0,2.0,6.0,,2.0,1.0,2.0,2.0,0.5714285714285714,0.5714285714285714,1.0,1.0,1.0,1.0,,,,,2.0,1.0,3.0,1.0,,1.0,,,1.0,2.0,1.0,2.0,,0.15384615384615385,,0.6666666666666666,0.058823529411764705,0.14285714285714285,0.14285714285714285,,,,0.4953,,,,,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,1.0,2.0,1.0,0.1111111111111111,0.6666666666666666,0.5,0.4,0.5,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,False
101109-1733-201163-2403-2747,1610612743,"Raymond Felton, Al Harrington, Wilson Chandler, Nene, JR Smith","Felton, Harrington, Chandler, Nene, Smith",101109-1733-201163-2403-2747,DEN,106.0,1,2.0,2.0,1.0,,2.0,3.0,3.0,,,,6.0,1.0,1.0,,,,,1.0,,,,,2.0,3.0,,,,4.0,,,,,,,,,,2.0,,,,,1.0,,2.0,,,,1.0,,1.0,,,,,4.0,,,,,,,0.6666666666666666,,,0.6666666666666666,,,0.6666666666666666,,,,,,,1.0,,,,81.50943396226415,13.666666666666666,21.666666666666668,13.666666666666666,21.666666666666668,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,,0.3333333333333333,,0.4483333333333333,,,,,,10.833333333333334,,,1.0,,,,1.0,,,,1.0,1.0,0.3333333333333333,,,2.0,1.0,1.0,,,,,,,,0.5,0.5,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,False
101109-1733-201167-201951-2403,1610612743,"Raymond Felton, Al Harrington, Arron Afflalo, Ty Lawson, Nene","Felton, Harrington, Afflalo, Lawson, Nene",101109-1733-201167-201951-2403,DEN,58.0,1,,3.0,1.0,,1.0,3.0,2.0,,2.0,,5.0,,,,,,,1.0,,,,,,1.0,,,3.0,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,2.0,4.0,2.0,3.0,,,,,,,,,,,,,0.5,,,,,,,0.3333333333333333,,,,124.13793103448276,9.666666666666666,14.5,9.666666666666666,6.0,,,,1.0,,,,,,,,,,,,,0.419,,0.6666666666666666,0.6666666666666666,,,17.7,,,,,,,1.0,,,,0.5,,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,False
101109-1733-201568-201951-2403,1610612743,"Raymond Felton, Al Harrington, Danilo Gallinari, Ty Lawson, Nene","Felton, Harrington, Gallinari, Lawson, Nene",101109-1733-201568-201951-2403,DEN,92.0,1,,5.0,1.0,,2.0,3.0,2.0,,2.0,2.0,5.0,,1.0,,,,,,,,,,1.0,2.0,,1.0,3.0,5.0,1.0,1.0,4.0,,,,,,,2.0,,,,,,,,1.0,,,,2.0,2.0,,2.0,4.0,2.0,1.0,,,,,,,0.5,1.0,,0.3333333333333333,1.0,,0.5,1.0,,0.3333333333333333,,,1.0,,1.0,,,78.26086956521739,15.666666666666666,22.5,14.0,22.5,0.3333333333333333,,,,,,,,,,,,,,0.6666666666666666,,0.55755,,0.4,0.5,0.8,,4.95,22.3,,1.0,1.0,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612743,2011,2010-11,False
