EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,FG2A,PenaltyFG2A,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,PenaltyOffPossExcludingTakeFouls,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,PlusMinus,AtRimFGM,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG3M,FG3A,FtPoints,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,Technical Free Throw Trips,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Avg3ptShotDistance,AtRimAssists,2pt And 1 Free Throw Trips,AtRimPctAssisted,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,OffTwoPtRebounds,OffRebounds,SelfOReb,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,DeadBallTurnovers,Loose Ball Fouls Drawn,DefAtRimReboundPct,LostBallSteals,Charge Fouls,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,OffAtRimReboundPct,HeaveAttempts,PenaltyCorner3FGA,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,PenaltyCorner3Frequency,SecondChanceFtPoints,ShortMidRangeAssists,PenaltyTurnovers,ShortMidRangePctAssisted,Defensive 3 Seconds Violations,Travels,SecondChanceTurnovers,BlockedAtRim,BadPassOutOfBoundsTurnovers,Charge Fouls Drawn,AtRimPctBlocked,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,FTOffRebounds,LostBallOutOfBoundsTurnovers,Offensive Fouls,RecoveredBlocks,SecondChanceFg3Pct,OffFTReboundPct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyArc3FGM,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Accuracy,Loose Ball Fouls,3SecondViolations,LongMidRangePctBlocked,PtsUnassisted3s,BlockedLongMidRange,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,DefensiveGoaltends,BlockingFouls,BlockingFoulsDrawn,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Corner3PctBlocked,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedCorner3,Clear Path Fouls,OffensiveGoaltends,BlockedArc3,HeaveMakes,team_id,year,season,team_vs
101120-101128-101129-201171-2223,1610612758,"Antoine Wright, Francisco Garcia, Luther Head, Carl Landry, Samuel Dalembert","Wright, Garcia, Head, Landry, Dalembert",101120-101128-101129-201171-2223,SAC,38.0,1,1.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,113.6842105263158,13.0,12.5,13.0,12.5,1.0,0.3733,0.3733,10.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2011,2010-11,True
101120-101128-101129-201574-202326,1610612758,"Antoine Wright, Francisco Garcia, Luther Head, Jason Thompson, DeMarcus Cousins","Wright, Garcia, Head, Thompson, Cousins",101120-101128-101129-201574-202326,SAC,457.0,1,8.0,15.0,14.0,,2.0,29.0,1.0,9.0,,3.0,1.0,6.0,6.0,,1.0,0.75,0.7142857142857143,1.0,91.37855579868709,15.8,15.714285714285714,15.8,15.142857142857142,0.09090909090909091,0.4455409090909091,,12.344444444444443,,5.0,2.0,2.0,4.0,6.0,1.0,1.0,1.0,6.0,1.0,2.0,3.0,18.0,13.0,2.0,10.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0,2.0,3.0,1.0,3.0,4.0,1.0,3.0,1.0,1.0,18.0,0.16666666666666666,0.16666666666666666,1.0,0.5,0.5,0.6666666666666666,0.6818181818181818,0.7083333333333334,0.18181818181818182,0.1111111111111111,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,1.0,0.18181818181818182,1.0,1.0,0.5454545454545454,0.6666666666666666,0.6666666666666666,0.25,0.09090909090909091,0.09090909090909091,1.0,1.0,1.0,0.36363636363636365,1.0,0.08333333333333333,0.1,24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2011,2010-11,True
101120-101128-201171-202326-2757,1610612758,"Antoine Wright, Francisco Garcia, Carl Landry, DeMarcus Cousins, Beno Udrih","Wright, Garcia, Landry, Cousins, Udrih",101120-101128-201171-202326-2757,SAC,77.0,1,1.0,3.0,3.0,,,6.0,,3.0,,1.0,,2.0,2.0,,,1.0,1.0,1.0,112.2077922077922,8.666666666666666,17.0,8.666666666666666,17.0,,0.5455,,6.6000000000000005,,5.0,2.0,2.0,,1.0,,,,2.0,,,1.0,5.0,,2.0,2.0,,,,,1.0,,1.0,,,2.0,1.0,1.0,1.0,,,,,,,1.0,,1.0,,1.0,5.0,0.5,0.5,,,,0.6666666666666666,0.6666666666666666,0.8333333333333334,,,,,1.0,,1.0,,0.6666666666666666,1.0,1.0,0.3333333333333333,,,,,,,,,0.6666666666666666,,0.3333333333333333,0.3333333333333333,,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2011,2010-11,True
101120-101128-201171-2223-2757,1610612758,"Antoine Wright, Francisco Garcia, Carl Landry, Samuel Dalembert, Beno Udrih","Wright, Garcia, Landry, Dalembert, Udrih",101120-101128-201171-2223-2757,SAC,223.0,2,4.0,6.0,6.0,3.0,,12.0,2.0,5.0,2.0,2.0,,2.0,4.0,3.0,,0.6666666666666666,0.6666666666666666,1.0,77.48878923766816,18.5,18.666666666666668,15.833333333333334,18.5,0.2857142857142857,0.49087857142857144,0.4519166666666667,6.3,0.5,7.0,2.0,2.0,,1.0,,1.0,2.0,3.0,1.0,2.0,4.0,13.0,6.0,2.0,4.0,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,,5.0,,1.0,1.0,,,,,,1.0,3.0,,5.0,,2.0,9.0,0.3333333333333333,0.5,1.0,0.5,0.5,0.6,0.6428571428571429,0.7222222222222222,0.2857142857142857,,,,,0.5,,,0.2857142857142857,1.0,1.0,0.14285714285714285,,,,,0.2857142857142857,0.5,0.5,1.0,0.5714285714285714,0.5,0.25,0.3333333333333333,25.6,1.0,1.0,0.5,2.0,1.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,5.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.5,1.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.5,0.5,0.5,1.0,0.3333333333333333,0.40615,0.3076923076923077,0.38461538461538464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2011,2010-11,True
101120-101128-201574-202326-2757,1610612758,"Antoine Wright, Francisco Garcia, Jason Thompson, DeMarcus Cousins, Beno Udrih","Wright, Garcia, Thompson, Cousins, Udrih",101120-101128-201574-202326-2757,SAC,38.0,1,1.0,1.0,1.0,,,2.0,,1.0,,1.0,,1.0,2.0,,,1.0,1.0,,75.78947368421053,17.0,21.0,15.0,21.0,,0.594,,3.3,,,,1.0,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,1.0,,,0.5,,,,,,,,0.5,,,,1.0,,,,24.4,,,,1.0,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,0.5,,,,,,1.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2011,2010-11,True
101120-101128-201590-201616-2757,1610612758,"Antoine Wright, Francisco Garcia, Donte Greene, Darnell Jackson, Beno Udrih","Wright, Garcia, Greene, Jackson, Udrih",101120-101128-201590-201616-2757,SAC,21.0,1,,1.0,,1.0,,1.0,,,,,,,,1.0,,,,,68.57142857142857,21.0,,21.0,,,0.33585,0.33585,,1.0,,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,25.7,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2011,2010-11,True
101120-101128-201616-201936-2223,1610612758,"Antoine Wright, Francisco Garcia, Darnell Jackson, Tyreke Evans, Samuel Dalembert","Wright, Garcia, Jackson, Evans, Dalembert",101120-101128-201616-201936-2223,SAC,212.0,1,4.0,6.0,7.0,,,13.0,2.0,4.0,,2.0,,2.0,4.0,,,0.5,0.5,0.5,88.30188679245283,17.166666666666668,15.571428571428571,12.166666666666666,11.714285714285714,0.3333333333333333,0.442775,,10.925,,-7.0,,1.0,,1.0,1.0,,1.0,,,2.0,,,7.0,,,,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,2.0,2.0,2.0,1.0,,,,,,,,,,,,,,0.3333333333333333,,,0.5,,,,,0.16666666666666666,,,0.16666666666666666,,,,0.16666666666666666,0.16666666666666666,,,,0.5,,,,24.1,,,,2.0,,1.0,,,,2.0,,,,,,,2.0,2.0,1.0,,,,,,,,,,,,,0.5,0.3333333333333333,1.0,,0.16666666666666666,,,0.5,,,0.33775,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2011,2010-11,True
101120-101128-201616-202326-2757,1610612758,"Antoine Wright, Francisco Garcia, Darnell Jackson, DeMarcus Cousins, Beno Udrih","Wright, Garcia, Jackson, Cousins, Udrih",101120-101128-201616-202326-2757,SAC,296.0,2,5.0,8.0,9.0,3.0,3.0,17.0,2.0,5.0,3.0,4.0,,5.0,5.0,3.0,,0.8,0.625,1.0,82.7027027027027,12.75,21.555555555555557,11.5,16.11111111111111,0.4,0.49278000000000005,0.3816,10.84,0.375,6.0,1.0,1.0,2.0,2.0,,,,4.0,,,2.0,10.0,4.0,,8.0,,,,1.0,,,,,,,1.0,2.0,1.0,,,,1.0,,2.0,3.0,,4.0,,2.0,8.0,,,,,,0.8,0.8,0.7142857142857143,,0.2,0.5,,0.3333333333333333,0.5,,1.0,0.2,1.0,1.0,0.4,1.0,1.0,,,,,,,0.2,,0.2857142857142857,0.2857142857142857,,,,,1.0,,,1.0,,1.0,1.0,2.0,2.0,,,4.0,,,,,,,,,4.0,,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,,,,,,0.5,1.0,,,,0.3776,0.2,0.4,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2011,2010-11,True
101120-101129-201171-201590-202326,1610612758,"Antoine Wright, Luther Head, Carl Landry, Donte Greene, DeMarcus Cousins","Wright, Head, Landry, Greene, Cousins",101120-101129-201171-201590-202326,SAC,10.0,1,,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,1.0,,,,288.0,9.0,1.0,9.0,1.0,0.5,0.27415,0.27415,3.0,1.0,2.0,1.0,1.0,,,,,,1.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,0.5,1.0,1.0,,,,,,,,,,0.5,,,,,,,,1.0,1.0,1.0,,,1.0,1.0,2.0,1.0,,,2.0,2.0,1.0,1.0,,,,,,2.0,,1.0,0.5,1.0,0.5,1.0,0.5,1.0,1.0,1.0,,,,,1.0,1.0,,0.3658,1.0,1.0,,,,,,,,,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2011,2010-11,True
101120-101129-201171-201616-201956,1610612758,"Antoine Wright, Luther Head, Carl Landry, Darnell Jackson, Omri Casspi","Wright, Head, Landry, Jackson, Casspi",101120-101129-201171-201616-201956,SAC,10.0,1,,1.0,,,,1.0,,1.0,,,,,,,,,,,144.0,10.0,,10.0,,,0.3092,,19.9,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612758,2011,2010-11,True
