EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,ShortMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,Steals,BadPassSteals,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,Offensive Fouls,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,DefensiveGoaltends,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceAtRimPctAssisted,DefArc3ReboundPct,PtsUnassisted3s,FtPoints,PenaltyFtPoints,LostBallSteals,PenaltyTurnovers,Loose Ball Fouls Drawn,Technical Free Throw Trips,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Offensive Fouls Drawn,LiveBallTurnoverPct,LongMidRangeFGM,SecondChanceFtPoints,LongMidRangeAssists,Travels,Blocked2s,BlockedAtRim,Blocks,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3FGM,PenaltyCorner3FGA,Corner3Assists,BlockedShortMidRange,RecoveredBlocks,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,OffCorner3ReboundPct,BlocksRecoveredPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,HeaveAttempts,DefAtRimReboundPct,PenaltyCorner3FGM,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,3SecondViolations,BadPassOutOfBoundsTurnovers,Loose Ball Fouls,FTOffRebounds,Charge Fouls,OffFTReboundPct,SecondChanceTurnovers,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockingFouls,Charge Fouls Drawn,BlockedLongMidRange,BlockingFoulsDrawn,LongMidRangePctBlocked,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Clear Path Fouls,StepOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,BlockedCorner3,ThreePtShootingFoulsDrawnPct,Corner3PctBlocked,3pt And 1 Free Throw Trips,OffensiveGoaltends,HeaveMakes,team_id,year,season,team_vs
101177-1889-200746-200750-201587,1610612757,"Fabricio Oberto, Andre Miller, LaMarcus Aldridge, Brandon Roy, Nicolas Batum","Oberto, Miller, Aldridge, Roy, Batum",101177-1889-200746-200750-201587,POR,449.0,1,7.0,2.0,16.0,16.0,7.0,5.0,4.0,32.0,6.0,8.0,1.0,1.0,2.0,4.0,2.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,1.0,3.0,8.0,14.0,1.0,5.0,19.0,17.0,1.0,2.0,1.0,2.0,5.0,3.0,8.0,1.0,3.0,9.0,4.0,12.0,3.0,2.0,4.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,3.0,1.0,3.0,1.0,5.0,4.0,9.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,14.0,9.0,7.0,0.25,0.2857142857142857,1.0,0.2,0.5,0.3333333333333333,0.2,0.5714285714285714,0.5,0.375,0.5,0.625,0.4090909090909091,0.5,0.625,0.4090909090909091,0.2631578947368421,0.07142857142857142,0.125,1.0,0.75,0.5,1.0,0.25,0.8,0.4,0.5,0.3333333333333333,1.0,0.3333333333333333,1.0,0.5,1.0,0.1111111111111111,102.62806236080178,14.8125,13.25,13.0625,13.125,0.42105263157894735,0.75,0.8571428571428571,0.16666666666666666,0.2631578947368421,0.4,0.4,0.5,0.05263157894736842,0.05263157894736842,0.21052631578947367,0.25,0.25,1.0,0.25,1.0,0.5,0.5,1.0,0.36363636363636365,0.5,0.2727272727272727,0.3333333333333333,0.6842105263157895,0.25,0.5240947368421053,0.5392,0.5541045454545455,0.05263157894736842,0.07142857142857142,0.2631578947368421,0.47368421052631576,4.764285714285714,24.72,0.4375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2011,2010-11,True
101177-1889-200746-201164-202083,1610612757,"Fabricio Oberto, Andre Miller, LaMarcus Aldridge, Rudy Fernandez, Wesley Matthews","Oberto, Miller, Aldridge, Fernandez, Matthews",101177-1889-200746-201164-202083,POR,29.0,1,,2.0,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,,,,,,,,1.0,2.0,,,2.0,,1.0,1.0,,,2.0,,,,,,2.0,,,,,,,1.0,,1.0,,1.0,,2.0,,1.0,,,,,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,,,,,1.0,1.0,,,,,,0.5,1.0,,0.5,1.0,,0.5,1.0,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,0.5,,,,,,1.0,1.0,,,,,,,,0.5,,0.5351,0.6699,,0.5,0.5,1.0,,9.5,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2011,2010-11,True
101177-1889-200750-201587-201967,1610612757,"Fabricio Oberto, Andre Miller, Brandon Roy, Nicolas Batum, Dante Cunningham","Oberto, Miller, Roy, Batum, Cunningham",101177-1889-200750-201587-201967,POR,30.0,1,,,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,96.0,19.0,11.0,19.0,11.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.3982,,0.3982,,,,,17.2,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2011,2010-11,True
101177-1889-200750-201587-948,1610612757,"Fabricio Oberto, Andre Miller, Brandon Roy, Nicolas Batum, Marcus Camby","Oberto, Miller, Roy, Batum, Camby",101177-1889-200750-201587-948,POR,37.0,1,1.0,1.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,,,,1.0,1.0,,,1.0,1.0,,,1.0,1.0,3.0,2.0,,,,,,,,1.0,1.0,3.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,1.0,,1.0,1.0,,,,1.5,,1.5,1.5,,1.5,1.0,,,,,,,,,,,,,,,,,,77.83783783783784,20.0,17.0,20.0,17.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,1.0,1.0,1.0,1.0,0.48585,,0.48585,,,,1.0,,26.6,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2011,2010-11,True
101177-200746-200750-201164-202083,1610612757,"Fabricio Oberto, LaMarcus Aldridge, Brandon Roy, Rudy Fernandez, Wesley Matthews","Oberto, Aldridge, Roy, Fernandez, Matthews",101177-200746-200750-201164-202083,POR,55.0,1,1.0,-2.0,2.0,3.0,,,,5.0,,,,,,,,1.0,,,,1.0,,,,,,1.0,,1.0,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,1.0,,,,1.0,,,,,,1.0,,,,130.9090909090909,11.5,10.666666666666666,11.5,10.666666666666666,,,,,0.5,,,,,,0.5,,,,,,,,,,,,,0.5,,0.499825,,,,,,,13.6,25.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2011,2010-11,True
101177-200746-200750-201587-202083,1610612757,"Fabricio Oberto, LaMarcus Aldridge, Brandon Roy, Nicolas Batum, Wesley Matthews","Oberto, Aldridge, Roy, Batum, Matthews",101177-200746-200750-201587-202083,POR,135.0,2,2.0,4.0,5.0,5.0,5.0,4.0,1.0,10.0,3.0,3.0,1.0,1.0,3.0,3.0,,,,,,,,,,,3.0,3.0,,,8.0,4.0,1.0,1.0,,,2.0,3.0,3.0,,,8.0,2.0,4.0,,,,,,1.0,,1.0,,1.0,,2.0,,,,2.0,,2.0,,2.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,3.0,,,,6.0,8.0,5.0,0.3333333333333333,0.3333333333333333,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.875,,,,,1.0,,,,1.0,,,,,,1.0,,,,106.66666666666667,11.2,15.8,9.8,15.8,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,,,1.0,,0.4717,0.4064,0.4717,,,0.25,1.0,2.533333333333333,,1.0,1.0,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2011,2010-11,True
101177-200746-200750-202083-202356,1610612757,"Fabricio Oberto, LaMarcus Aldridge, Brandon Roy, Wesley Matthews, Armon Johnson","Oberto, Aldridge, Roy, Matthews, Johnson",101177-200746-200750-202083-202356,POR,154.0,1,3.0,-3.0,5.0,6.0,5.0,,,11.0,,,,,,,1.0,1.0,,,,1.0,,,,1.0,1.0,1.0,,1.0,2.0,5.0,,,,,,1.0,1.0,,1.0,2.0,,2.0,,,1.0,,,,,,,,,,,,1.0,1.0,,2.0,,2.0,,1.0,,1.0,3.0,1.0,2.0,1.0,1.0,,,,,2.0,2.0,5.0,,,,,,,,1.0,,1.0,0.5,,0.5,0.5,,0.5,0.5,,,,1.0,,0.5,,0.6666666666666666,,,,,,1.0,,,,102.85714285714285,13.8,14.166666666666666,13.8,14.166666666666666,,,,,0.5,1.0,1.0,,,,0.5,,,,,,,,,,,0.5,,0.5,,0.4881,,0.4881,,,,1.0,10.5,25.9,1.0,,1.0,,,,1.0,3.0,,,,,2.0,1.0,1.0,1.0,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2011,2010-11,True
101177-200746-201164-202083-202356,1610612757,"Fabricio Oberto, LaMarcus Aldridge, Rudy Fernandez, Wesley Matthews, Armon Johnson","Oberto, Aldridge, Fernandez, Matthews, Johnson",101177-200746-201164-202083-202356,POR,161.0,2,3.0,-1.0,6.0,6.0,,,1.0,12.0,,,,,,,,,4.0,,,,,,,,2.0,4.0,,,8.0,9.0,,,,,2.0,,,,,,2.0,2.0,,,,,,1.0,,1.0,,,,2.0,,1.0,,1.0,1.0,2.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,,4.0,5.0,,2.0,1.0,6.0,,,0.5,0.5,,,,,,0.5,,,0.5,,,0.5833333333333334,1.0,,,,,1.0,0.5,0.5,,,0.5,0.5,,,0.5,,1.0,,,,107.32919254658385,13.833333333333334,13.0,13.0,12.166666666666666,,,,,,,,,1.0,,,,,,,,,,,,,,,,,0.41405,,,0.3333333333333333,0.3333333333333333,0.25,,16.1,,,,,,4.0,,,,,1.0,,,,,,,,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2011,2010-11,True
101177-200750-201164-201967-202083,1610612757,"Fabricio Oberto, Brandon Roy, Rudy Fernandez, Dante Cunningham, Wesley Matthews","Oberto, Roy, Fernandez, Cunningham, Matthews",101177-200750-201164-201967-202083,POR,796.0,3,13.0,8.0,26.0,28.0,18.0,22.0,5.0,54.0,5.0,8.0,2.0,3.0,3.0,5.0,,4.0,5.0,3.0,3.0,5.0,,,2.0,3.0,6.0,17.0,4.0,8.0,30.0,22.0,2.0,4.0,,,7.0,4.0,12.0,2.0,4.0,20.0,4.0,8.0,9.0,,5.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,,13.0,3.0,3.0,3.0,7.0,1.0,11.0,6.0,17.0,,2.0,1.0,,2.0,,5.0,,7.0,8.0,,3.0,,23.0,20.0,18.0,0.3333333333333333,0.3333333333333333,0.75,0.5,,0.5,0.5,0.35294117647058826,0.5,0.3333333333333333,0.48,0.5,0.4375,0.5172413793103449,0.5833333333333334,0.5,0.32,0.11764705882352941,0.125,1.0,0.7777777777777778,0.2727272727272727,1.0,0.75,0.8333333333333334,0.4,0.6666666666666666,0.25,,1.0,0.5,1.0,1.0,,97.68844221105527,15.538461538461538,14.0,15.076923076923077,13.857142857142858,0.32,0.625,0.7142857142857143,0.4,0.16,,,,0.2,0.12,0.2,0.6,0.6,0.6666666666666666,0.75,0.6666666666666666,,,,0.3125,0.6,0.1875,0.6666666666666666,0.64,0.6,0.522018,0.57335,0.523125,0.10714285714285714,0.15,0.23333333333333334,0.6666666666666666,8.141176470588235,24.3375,0.6923076923076923,0.5,1.0,3.0,6.0,6.0,1.0,2.0,,,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,3.0,,,3.0,,3.0,0.2,0.2,,1.0,1.0,1.0,3.0,1.0,1.0,3.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.0625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2011,2010-11,True
101177-200750-201164-201967-202356,1610612757,"Fabricio Oberto, Brandon Roy, Rudy Fernandez, Dante Cunningham, Armon Johnson","Oberto, Roy, Fernandez, Cunningham, Johnson",101177-200750-201164-201967-202356,POR,114.0,1,2.0,-2.0,5.0,3.0,2.0,3.0,,8.0,1.0,1.0,,,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,,1.0,2.0,4.0,,,,,,1.0,1.0,,,2.0,,2.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,2.0,,1.0,1.0,1.0,,,,,2.0,2.0,2.0,,,,,,,,1.0,,1.0,0.5,,1.0,0.5,,1.0,0.5,,,,1.0,,,,1.0,,,,,,,1.0,,,101.05263157894737,14.8,13.333333333333334,14.8,13.333333333333334,0.5,1.0,1.0,,,,,,,0.5,,,,,,,,,,1.0,1.0,,,1.0,,0.39625,,0.3203,,,,1.0,1.8,24.6,0.4,,,,,,,,,,,,1.0,,1.0,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2011,2010-11,True
