EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,PenaltyAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Assists,Corner3Assists,AssistPoints,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,LiveBallTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyAtRimFrequency,PenaltyCorner3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,Offensive Fouls Drawn,ShortMidRangeFGM,ShortMidRangeFGA,DefThreePtRebounds,BadPassTurnovers,DefThreePtReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,AtRimFGM,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,PtsAssisted2s,PtsUnassisted3s,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,Arc3Assists,AtRimAssists,OffTwoPtRebounds,SelfOReb,Steals,BadPassSteals,BlockingFoulsDrawn,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg3Pct,SecondChanceEfgPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,SelfORebPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,PenaltyTurnovers,BlockingFouls,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,PenaltyArc3FGM,SecondChanceFG2M,PenaltyFG3M,ShortMidRangeAssists,LongMidRangeAssists,FTDefRebounds,Offensive Fouls,PenaltyFg3Pct,SecondChanceFg2Pct,DefFTReboundPct,ShortMidRangePctAssisted,LongMidRangePctAssisted,PenaltyArc3Accuracy,HeaveAttempts,Fg3aBlocked,BlockedShortMidRange,FG3APctBlocked,Arc3PctBlocked,PenaltyAtRimFGM,PenaltyCorner3FGM,PenaltyAtRimAccuracy,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,LostBallSteals,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,OffensiveGoaltends,Defensive 3 Seconds Violations,OffCorner3ReboundPct,Technical Free Throw Trips,SecondChanceCorner3FGM,Travels,Charge Fouls,Charge Fouls Drawn,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,BlockedCorner3,BlockedLongMidRange,LongMidRangePctBlocked,SecondChanceAtRimPctAssisted,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,3SecondViolations,DefensiveGoaltends,Corner3PctBlocked,team_id,year,season,team_vs
101133-1717-1890-1891-200826,1610612742,"Ian Mahinmi, Dirk Nowitzki, Shawn Marion, Jason Terry, J.J. Barea","Mahinmi, Nowitzki, Marion, Terry, Barea",101133-1717-1890-1891-200826,DAL,242.0,1,4.0,-2.0,8.0,6.0,6.0,2.0,1.0,14.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,8.0,10.0,2.0,2.0,1.0,3.0,2.0,3.0,5.0,2.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,4.0,1.0,1.0,6.0,5.0,6.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.2,0.5,1.0,0.35714285714285715,0.5,1.0,1.0,0.5,1.0,0.25,1.0,1.0,83.30578512396694,15.375,19.833333333333332,15.375,19.833333333333332,0.16666666666666666,0.3333333333333333,0.5,0.5,0.3333333333333333,0.5,0.5,1.0,0.16666666666666666,0.2,0.2,0.2,0.6666666666666666,0.456375,0.42735,0.14285714285714285,0.25,0.25,0.625,12.6,23.866666666666664,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,False
101133-1717-1890-1891-467,1610612742,"Ian Mahinmi, Dirk Nowitzki, Shawn Marion, Jason Terry, Jason Kidd","Mahinmi, Nowitzki, Marion, Terry, Kidd",101133-1717-1890-1891-467,DAL,37.0,1,1.0,,1.0,1.0,1.0,,,2.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,77.83783783783784,15.0,22.0,15.0,22.0,,,,,,,,,1.0,,,1.0,1.0,0.50265,0.50265,,,,,,24.7,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,False
101133-1717-1890-200826-467,1610612742,"Ian Mahinmi, Dirk Nowitzki, Shawn Marion, J.J. Barea, Jason Kidd","Mahinmi, Nowitzki, Marion, Barea, Kidd",101133-1717-1890-200826-467,DAL,83.0,1,1.0,-2.0,3.0,4.0,,,,7.0,,,,,,,,,,1.0,2.0,,,,2.0,4.0,,,,,,,,2.0,,,,,,,,,1.0,,1.0,1.0,,1.0,,,,1.0,,,,,2.0,,,,,,,,0.5,,0.5,,0.5,,,,1.0,,,1.0,,,,121.44578313253012,13.0,11.0,13.0,10.0,,,,,,,,,,,,,,0.4152,,,,,,10.9,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,False
101133-1717-1891-200826-2052,1610612742,"Ian Mahinmi, Dirk Nowitzki, Jason Terry, J.J. Barea, DeShawn Stevenson","Mahinmi, Nowitzki, Terry, Barea, Stevenson",101133-1717-1891-200826-2052,DAL,889.0,3,15.0,-5.0,25.0,25.0,,,1.0,50.0,7.0,,1.0,3.0,1.0,1.0,,6.0,,6.0,14.0,5.0,7.0,5.0,32.0,37.0,,3.0,,,,,,10.0,9.0,6.0,3.0,4.0,1.0,11.0,,4.0,5.0,2.0,7.0,3.0,,3.0,8.0,13.0,,7.0,,8.0,5.0,,29.0,,,,,0.6,0.7142857142857143,0.7142857142857143,0.42857142857142855,,0.6428571428571429,,0.6666666666666666,0.75,,0.3333333333333333,1.0,0.6666666666666666,,0.7142857142857143,0.2,,,80.98987626546682,18.4,17.16,17.32,16.8,0.3333333333333333,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.047619047619047616,1.0,1.0,1.0,0.2857142857142857,,,,0.6666666666666666,0.46945,,0.20833333333333334,0.29411764705882354,0.09375,,8.057142857142857,24.357142857142858,,1.0,2.0,4.0,1.0,3.0,1.0,,0.19047619047619047,0.5,0.6666666666666666,3.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,4.0,2.0,1.0,2.0,1.0,2.0,1.0,3.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,1.0,0.75,0.14285714285714285,0.14285714285714285,0.25,0.25,0.5,0.5,0.5,0.75,1.0,0.125,1.0,0.42857142857142855,0.5,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,0.5,1.0,1.0,0.6666666666666666,0.48385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,False
101133-1717-1891-200826-978,1610612742,"Ian Mahinmi, Dirk Nowitzki, Jason Terry, J.J. Barea, Peja Stojakovic","Mahinmi, Nowitzki, Terry, Barea, Stojakovic",101133-1717-1891-200826-978,DAL,76.0,2,1.0,-6.0,4.0,3.0,2.0,,,7.0,,,,1.0,,,,1.0,1.0,,1.0,,1.0,,,6.0,,,,,1.0,,,,,1.0,,,,,,,,,,1.0,,2.0,2.0,2.0,,,,,,,,,2.0,,,,,,,,,,,,,0.5,0.5,,,,,,,132.63157894736844,11.25,10.333333333333334,11.25,10.333333333333334,,0.5,,,,,,,0.5,,,1.0,0.5,0.386425,0.38235,,,,,14.7,24.8,0.5,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,False
101133-1717-1891-2052-467,1610612742,"Ian Mahinmi, Dirk Nowitzki, Jason Terry, DeShawn Stevenson, Jason Kidd","Mahinmi, Nowitzki, Terry, Stevenson, Kidd",101133-1717-1891-2052-467,DAL,32.0,1,1.0,,1.0,,1.0,,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,45.0,32.0,,20.0,,,1.0,,,,,,,,,,,,0.3539,,,,,,14.2,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,False
101133-1890-1891-2073-467,1610612742,"Ian Mahinmi, Shawn Marion, Jason Terry, Brian Cardinal, Jason Kidd","Mahinmi, Marion, Terry, Cardinal, Kidd",101133-1890-1891-2073-467,DAL,270.0,1,4.0,4.0,8.0,8.0,2.0,6.0,1.0,16.0,2.0,,1.0,1.0,,,,1.0,1.0,3.0,5.0,1.0,1.0,2.0,11.0,7.0,,2.0,1.0,2.0,1.0,,5.0,2.0,,1.0,,2.0,,4.0,,,2.0,1.0,3.0,1.0,,2.0,2.0,4.0,,1.0,,2.0,1.0,,9.0,5.0,2.0,1.0,,,1.0,1.0,0.6,0.5,0.75,0.8333333333333334,0.7857142857142857,1.0,0.8333333333333334,0.16666666666666666,0.5,,,0.3333333333333333,0.5,,,85.33333333333333,18.875,14.875,17.75,14.625,0.3333333333333333,0.16666666666666666,1.0,1.0,,,,,0.16666666666666666,,,0.3333333333333333,0.5,0.450775,0.34705,0.14285714285714285,0.16666666666666666,0.18181818181818182,0.45454545454545453,7.859999999999999,25.0,0.25,,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.5,1.0,1.0,,,1.0,,,4.0,3.0,1.0,,2.0,,,1.0,,1.0,1.0,,,,,,,0.6666666666666666,0.6666666666666666,,1.0,,,,0.5,1.0,,,,,,,0.5,0.5,,1.0,1.0,,,,,1.0,0.3009,,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,False
101133-1891-200826-2052-2073,1610612742,"Ian Mahinmi, Jason Terry, J.J. Barea, DeShawn Stevenson, Brian Cardinal","Mahinmi, Terry, Barea, Stevenson, Cardinal",101133-1891-200826-2052-2073,DAL,3.0,1,,-3.0,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,480.0,,3.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,False
101133-1891-2052-2073-467,1610612742,"Ian Mahinmi, Jason Terry, DeShawn Stevenson, Brian Cardinal, Jason Kidd","Mahinmi, Terry, Stevenson, Cardinal, Kidd",101133-1891-2052-2073-467,DAL,67.0,2,1.0,-2.0,3.0,3.0,,1.0,,6.0,,,,,1.0,2.0,,1.0,,,,1.0,3.0,,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,1.0,,,0.3333333333333333,0.5,,,0.5,,0.5,,,1.0,,,,,,,,128.955223880597,8.333333333333334,14.0,8.333333333333334,14.0,,,,,0.6666666666666666,0.5,0.5,,0.3333333333333333,,,,1.0,0.649575,,,,,,,29.266666666666666,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,0.3333333333333333,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,False
101133-200826-201147-2052-2073,1610612742,"Ian Mahinmi, J.J. Barea, Corey Brewer, DeShawn Stevenson, Brian Cardinal","Mahinmi, Barea, Brewer, Stevenson, Cardinal",101133-200826-201147-2052-2073,DAL,303.0,2,5.0,4.0,11.0,10.0,11.0,10.0,,21.0,1.0,1.0,,1.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,10.0,6.0,,,1.0,2.0,3.0,2.0,10.0,2.0,6.0,1.0,2.0,2.0,2.0,6.0,,1.0,5.0,,5.0,1.0,,3.0,1.0,1.0,,2.0,1.0,4.0,,2.0,10.0,10.0,11.0,,2.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5,0.8,0.8,0.7142857142857143,,0.7142857142857143,0.6,0.3333333333333333,0.3333333333333333,,0.5714285714285714,,,,99.8019801980198,15.909090909090908,12.8,15.909090909090908,12.2,0.2,0.2,,,0.4,1.0,1.0,1.0,0.2,0.2,0.4,0.2,0.8,0.5431199999999999,0.5431199999999999,,,,1.0,10.1,23.566666666666666,1.0,,,,3.0,1.0,0.75,1.0,,,,1.0,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,0.3333333333333333,0.6666666666666666,,,1.0,1.0,,,,,,,,,,,2.0,3.0,,1.0,,,,2.0,,,1.0,,0.6666666666666666,,1.0,,,,,,,,,1.0,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,False
