EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,ShootingFouls,Fouls,Loose Ball Fouls,FoulsDrawn,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefCorner3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,DeadBallTurnovers,Turnovers,Offensive Fouls,DefArc3ReboundPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGM,Corner3FGA,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,BadPassSteals,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,DefShortMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Arc3FGM,Arc3FGA,FG3M,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,LiveBallTurnovers,BadPassTurnovers,SecondChanceTurnovers,BlockingFouls,2pt And 1 Free Throw Trips,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,BlockingFoulsDrawn,PenaltyCorner3FGA,SecondChanceFtPoints,PenaltyFG3A,SelfOReb,Travels,Offensive Fouls Drawn,OffShortMidRangeReboundPct,SelfORebPct,PenaltyCorner3Frequency,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,Blocked3s,BlockedArc3,ShortMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceFG3A,OffThreePtRebounds,PenaltyTurnovers,OffThreePtReboundPct,OffArc3ReboundPct,SecondChanceCorner3Frequency,LostBallTurnovers,ShortMidRangeAssists,LongMidRangeAssists,ShortMidRangePctAssisted,LongMidRangePctAssisted,PtsUnassisted3s,LostBallOutOfBoundsTurnovers,Technical Free Throw Trips,DefensiveGoaltends,3SecondViolations,SecondChanceArc3FGA,HeaveAttempts,OffCorner3ReboundPct,SecondChanceArc3Frequency,PenaltyCorner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Fg3aBlocked,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Charge Fouls,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,Arc3PctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,OffensiveGoaltends,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
101133-1717-1890-1891-200826,1610612742,"Ian Mahinmi, Dirk Nowitzki, Shawn Marion, Jason Terry, J.J. Barea","Mahinmi, Nowitzki, Marion, Terry, Barea",101133-1717-1890-1891-200826,DAL,242.0,1,4.0,2.0,6.0,8.0,2.0,6.0,14.0,3.0,3.0,1.0,1.0,1.0,3.0,4.0,4.0,10.0,8.0,1.0,1.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,6.0,2.0,1.0,10.0,3.0,2.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.75,1.0,0.75,1.0,0.7142857142857143,0.75,1.0,0.5,0.75,1.0,1.0,1.0,83.30578512396694,19.833333333333332,15.375,19.833333333333332,15.375,0.75,1.0,1.0,0.3333333333333333,0.25,1.0,1.0,0.75,0.51405,0.5856,0.3333333333333333,0.3333333333333333,0.3,4.6,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,True
101133-1717-1890-1891-467,1610612742,"Ian Mahinmi, Dirk Nowitzki, Shawn Marion, Jason Terry, Jason Kidd","Mahinmi, Nowitzki, Marion, Terry, Kidd",101133-1717-1890-1891-467,DAL,37.0,1,1.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,77.83783783783784,22.0,15.0,22.0,15.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,True
101133-1717-1890-200826-467,1610612742,"Ian Mahinmi, Dirk Nowitzki, Shawn Marion, J.J. Barea, Jason Kidd","Mahinmi, Nowitzki, Marion, Barea, Kidd",101133-1717-1890-200826-467,DAL,83.0,1,1.0,2.0,4.0,3.0,,,7.0,1.0,1.0,,,1.0,2.0,2.0,,4.0,2.0,,,,,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,2.0,,,,,0.5,0.5,1.0,,0.6666666666666666,,0.6666666666666666,,1.0,,1.0,,,,121.44578313253012,11.0,13.0,10.0,13.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,,,0.6666666666666666,0.52865,,,,,4.95,,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,0.5864,0.5,24.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,True
101133-1717-1891-200826-2052,1610612742,"Ian Mahinmi, Dirk Nowitzki, Jason Terry, J.J. Barea, DeShawn Stevenson","Mahinmi, Nowitzki, Terry, Barea, Stevenson",101133-1717-1891-200826-2052,DAL,889.0,3,15.0,5.0,25.0,25.0,,,50.0,8.0,10.0,,,,9.0,15.0,10.0,37.0,32.0,,,,,8.0,10.0,4.0,7.0,4.0,17.0,2.0,6.0,10.0,13.0,3.0,,5.0,7.0,,13.0,,14.0,8.0,,33.0,,,,,0.4444444444444444,0.5714285714285714,0.6,,0.7105263157894737,,0.74,,0.75,1.0,0.8,1.0,0.5,,80.98987626546682,17.16,18.4,16.8,17.32,0.5263157894736842,0.8,0.8888888888888888,0.5,,,,0.7368421052631579,0.5358421052631579,,0.32,0.38095238095238093,,6.819999999999999,,2.0,5.0,1.0,1.0,3.0,2.0,2.0,,2.0,4.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,0.21052631578947367,0.5,,,0.10526315789473684,1.0,1.0,,0.5741,0.10810810810810811,24.25,1.0,5.0,2.0,1.0,2.0,3.0,9.0,4.0,2.0,1.0,1.0,3.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.75,0.75,0.06666666666666667,0.1,0.6,1.0,1.0,0.3333333333333333,0.2857142857142857,0.5,0.25,1.0,0.2631578947368421,0.2,0.2,1.0,1.0,1.0,0.10526315789473684,0.5,0.5,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,True
101133-1717-1891-200826-978,1610612742,"Ian Mahinmi, Dirk Nowitzki, Jason Terry, J.J. Barea, Peja Stojakovic","Mahinmi, Nowitzki, Terry, Barea, Stojakovic",101133-1717-1891-200826-978,DAL,76.0,2,1.0,6.0,3.0,4.0,,2.0,7.0,1.0,1.0,,,,1.0,1.0,4.0,6.0,,,,,,2.0,,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,2.0,,4.0,2.0,,6.0,,,,,1.0,1.0,1.0,,1.0,,1.0,,1.0,,1.0,,1.0,,132.63157894736844,10.333333333333334,11.25,10.333333333333334,11.25,1.0,1.0,1.0,1.0,,,,1.0,0.8061,,0.6666666666666666,0.6666666666666666,,1.5,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,True
101133-1717-1891-2052-467,1610612742,"Ian Mahinmi, Dirk Nowitzki, Jason Terry, DeShawn Stevenson, Jason Kidd","Mahinmi, Nowitzki, Terry, Stevenson, Kidd",101133-1717-1891-2052-467,DAL,32.0,1,1.0,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,45.0,,32.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,True
101133-1890-1891-2073-467,1610612742,"Ian Mahinmi, Shawn Marion, Jason Terry, Brian Cardinal, Jason Kidd","Mahinmi, Marion, Terry, Cardinal, Kidd",101133-1890-1891-2073-467,DAL,270.0,1,4.0,-4.0,8.0,8.0,6.0,2.0,16.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,7.0,11.0,2.0,4.0,3.0,7.0,,4.0,,,,,,1.0,1.0,3.0,1.0,,1.0,1.0,,4.0,,6.0,2.0,1.0,3.0,7.0,6.0,,1.0,,,0.5,0.5,0.4,0.4,0.4375,0.4375,0.5,,0.5,1.0,,,85.33333333333333,14.875,18.875,14.625,17.75,0.4,1.0,1.0,,0.4,0.4,1.0,0.6,0.51316,0.51316,0.2857142857142857,0.3333333333333333,1.0,5.525,0.75,1.0,2.0,,,2.0,1.0,1.0,,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,0.2,,,,0.2,1.0,1.0,,0.5821,0.5714285714285714,23.5,,,,,,,,2.0,,,,,,,2.0,,,2.0,1.0,1.0,,,,,,,,,,,,,,0.5,,,1.0,0.6666666666666666,,,,,,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,True
101133-1891-200826-2052-2073,1610612742,"Ian Mahinmi, Jason Terry, J.J. Barea, DeShawn Stevenson, Brian Cardinal","Mahinmi, Terry, Barea, Stevenson, Cardinal",101133-1891-200826-2052-2073,DAL,3.0,1,,3.0,1.0,,1.0,,1.0,,,,,,,,,3.0,,,,,3.0,,,,1.0,,3.0,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,,,,1.5,1.5,1.5,1.5,,,,,,,480.0,3.0,,3.0,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,36.3,,,,1.0,1.0,1.0,3.0,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,True
101133-1891-2052-2073-467,1610612742,"Ian Mahinmi, Jason Terry, DeShawn Stevenson, Brian Cardinal, Jason Kidd","Mahinmi, Terry, Stevenson, Cardinal, Kidd",101133-1891-2052-2073-467,DAL,67.0,2,1.0,2.0,3.0,3.0,1.0,,6.0,,,,,1.0,,1.0,2.0,5.0,3.0,,1.0,2.0,2.0,,,,1.0,,3.0,1.0,,1.0,1.0,,,,,,1.0,,2.0,,1.0,5.0,2.0,1.0,,1.0,,,,,0.75,,0.8333333333333334,0.5,,1.0,1.0,,,1.0,128.955223880597,14.0,8.333333333333334,14.0,8.333333333333334,,,,,0.5,,,0.5,0.3633,0.2334,,,0.4,10.0,0.3333333333333333,,1.0,,,,,,,,1.0,,,,,,,,0.5,,,,,,,,,,25.4,,,,1.0,1.0,1.0,3.0,,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,,,,,,1.0,,1.0,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,0.5,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,True
101133-200826-201147-2052-2073,1610612742,"Ian Mahinmi, J.J. Barea, Corey Brewer, DeShawn Stevenson, Brian Cardinal","Mahinmi, Barea, Brewer, Stevenson, Cardinal",101133-200826-201147-2052-2073,DAL,303.0,2,5.0,-4.0,10.0,11.0,10.0,11.0,21.0,3.0,3.0,3.0,3.0,,3.0,7.0,,6.0,10.0,3.0,7.0,,6.0,2.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,7.0,1.0,,,2.0,1.0,1.0,,1.0,1.0,,4.0,6.0,10.0,2.0,,0.3333333333333333,0.5,0.42857142857142855,0.42857142857142855,0.2727272727272727,0.2727272727272727,0.2727272727272727,0.2727272727272727,1.0,1.0,1.0,,1.0,,99.8019801980198,12.8,15.909090909090908,12.2,15.909090909090908,0.2727272727272727,1.0,1.0,0.3333333333333333,,0.2727272727272727,1.0,0.6363636363636364,0.5186090909090909,0.5186090909090909,0.09090909090909091,0.14285714285714285,1.0,11.0,1.0,,2.0,,1.0,3.0,1.0,1.0,,1.0,4.0,1.0,2.0,2.0,1.0,0.5,0.3333333333333333,0.3333333333333333,0.36363636363636365,,,,0.09090909090909091,0.3333333333333333,1.0,,0.72695,0.3333333333333333,24.25,,4.0,,,3.0,,,2.0,3.0,,,,,,2.0,,2.0,3.0,2.0,2.0,,,1.0,,,,,,,,,,,1.0,1.0,,0.6666666666666666,0.42857142857142855,,0.6666666666666666,,0.36363636363636365,,,,,,0.2727272727272727,,,,,,1.0,,4.0,,,,,,0.09090909090909091,,3.0,,,0.2727272727272727,,,,,1.0,1.0,1.0,2.0,0.25,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2011,2010-11,True
