EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,DefTwoPtRebounds,DefRebounds,Rebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyOffPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,FG2M,Points,PenaltyFG2M,PenaltyFG2A,PenaltyPoints,PtsUnassisted2s,ShootingFouls,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,AtRimFrequency,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,PenaltyAtRimFrequency,AtRimFG3AFrequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,PenaltyAtRimFGM,LongMidRangeFGM,Arc3FGA,PenaltyArc3FGA,FG3A,FtPoints,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3A,PenaltyFtPoints,PtsAssisted2s,NonHeaveArc3FGA,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,ShortMidRangeAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,DefThreePtRebounds,OffRebounds,Steals,BadPassSteals,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,FoulsDrawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Arc3Frequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg3ptShotDistance,PenaltyDefPoss,Corner3FGM,Corner3FGA,SecondChanceCorner3FGA,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG2A,SecondChanceFG3A,PtsAssisted3s,HeaveAttempts,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,Corner3Assists,OffTwoPtRebounds,FTDefRebounds,LostBallOutOfBoundsTurnovers,LostBallTurnovers,SecondChanceTurnovers,Offensive Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyFG3M,PenaltyFg3Pct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,PtsPutbacks,Loose Ball Fouls,SecondChanceFg2Pct,SecondChanceEfgPct,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,FTOffRebounds,Blocked3s,BlockedCorner3,RecoveredBlocks,LongMidRangePctBlocked,OffFTReboundPct,OffCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,SelfOReb,SelfORebPct,SecondChanceCorner3FGM,PenaltyArc3FGM,SecondChanceFG3M,Offensive Fouls Drawn,Technical Free Throw Trips,BlockedLongMidRange,BlockedShortMidRange,Defensive 3 Seconds Violations,SecondChanceFg3Pct,ShortMidRangePctBlocked,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyArc3Accuracy,Travels,3SecondViolations,SecondChanceArc3FGM,DefensiveGoaltends,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PtsUnassisted3s,StepOutOfBoundsTurnovers,BlockingFouls,Charge Fouls,BlockingFoulsDrawn,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,BlockedArc3,OffensiveGoaltends,3pt And 1 Free Throw Trips,Clear Path Fouls,Corner3PctBlocked,HeaveMakes,team_id,year,season,team_vs
101107-1710-201143-201952-2230,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jeff Teague, Maurice Evans","Williams, Bibby, Horford, Teague, Evans",101107-1710-201143-201952-2230,ATL,84.0,1,1.0,-2.0,3.0,3.0,6.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,102.85714285714286,12.666666666666666,15.333333333333334,12.666666666666666,15.333333333333334,1.0,0.4243,19.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,False
101107-1710-201143-201952-2585,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jeff Teague, Zaza Pachulia","Williams, Bibby, Horford, Teague, Pachulia",101107-1710-201143-201952-2585,ATL,79.0,1,1.0,-1.0,2.0,2.0,4.0,,2.0,3.0,,,,,,,,,,,72.9113924050633,15.5,24.0,15.5,24.0,,0.46565,5.7,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.46565,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,False
101107-1710-201143-201952-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jeff Teague, Josh Smith","Williams, Bibby, Horford, Teague, Smith",101107-1710-201143-201952-2746,ATL,437.0,3,7.0,,13.0,14.0,27.0,3.0,10.0,15.0,3.0,5.0,6.0,,,1.0,0.75,0.7142857142857143,1.0,1.0,88.97025171624715,14.538461538461538,17.714285714285715,14.23076923076923,16.357142857142858,0.25,0.54325,8.4,11.0,5.0,3.0,1.0,2.0,6.0,15.0,5.0,8.0,13.0,6.0,,,13.0,13.0,11.0,0.6,0.625,0.5,0.5,0.5769230769230769,0.5909090909090909,0.4166666666666667,0.16666666666666666,0.5,0.5,0.3,0.5833333333333334,0.5586,0.8666666666666667,0.8461538461538461,1.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,6.0,2.0,1.0,3.0,3.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,0.16666666666666666,0.1,0.2,1.0,0.6666666666666666,0.5,0.16666666666666666,0.5,0.5,0.5,1.0,0.8,1.0,0.25,1.0,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,1.0,0.2,0.16666666666666666,0.2,0.13333333333333333,25.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,False
101107-1710-201143-2037-2207,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Joe Johnson","Williams, Bibby, Horford, Crawford, Johnson",101107-1710-201143-2037-2207,ATL,1060.0,5,18.0,-4.0,33.0,33.0,66.0,10.0,19.0,33.0,8.0,12.0,17.0,,3.0,5.0,0.5714285714285714,0.5789473684210527,0.42857142857142855,1.0,89.66037735849056,16.393939393939394,15.727272727272727,15.909090909090908,14.757575757575758,0.3448275862068966,0.47779285714285713,12.515789473684212,5.0,3.0,,2.0,6.0,7.0,29.0,,3.0,2.0,8.0,3.0,10.0,29.0,2.0,5.0,0.3684210526315789,,0.39655172413793105,,0.4393939393939394,0.16666666666666666,0.10344827586206896,0.20689655172413793,0.3333333333333333,0.3333333333333333,,0.4482758620689655,0.3846,0.06896551724137931,0.15151515151515152,4.0,2.0,,3.0,8.0,1.0,10.0,6.0,,,1.0,2.0,6.0,7.0,,3.0,6.0,1.0,,2.0,15.0,2.0,3.0,5.0,1.0,1.0,,2.0,1.0,,7.0,8.0,,2.0,2.0,,,,2.0,0.42857142857142855,0.42857142857142855,,0.3448275862068966,,,0.4,0.6,0.2857142857142857,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.6,,0.6666666666666666,0.6666666666666666,0.5,,0.3,0.3,0.6666666666666666,0.27586206896551724,,0.25,0.06451612903225806,0.09523809523809523,,26.32,16.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,9.0,1.0,2.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,1.0,0.3,0.3333333333333333,1.0,0.2727272727272727,0.5,0.16666666666666666,0.06896551724137931,0.5,0.5,1.0,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.60225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,False
101107-1710-201143-2037-2215,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Jason Collins","Williams, Bibby, Horford, Crawford, Collins",101107-1710-201143-2037-2215,ATL,102.0,1,2.0,-4.0,3.0,3.0,6.0,1.0,1.0,7.0,,,,1.0,1.0,1.0,,,,,84.70588235294117,18.0,16.0,18.0,16.0,0.5,0.512625,19.1,3.0,,,,,,3.0,,1.0,3.0,,,1.0,3.0,3.0,3.0,,,0.75,0.75,0.75,0.75,,,,,,0.5,0.512625,1.0,1.0,,,,,,,1.0,,,,1.0,,,,,,1.0,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,22.9,,1.0,1.0,,,,1.0,,,3.0,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,0.5,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,False
101107-1710-201143-2037-2230,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Maurice Evans","Williams, Bibby, Horford, Crawford, Evans",101107-1710-201143-2037-2230,ATL,94.0,1,2.0,1.0,3.0,3.0,6.0,1.0,3.0,4.0,,,1.0,,,,,,,,91.91489361702128,12.0,19.333333333333332,6.333333333333333,15.666666666666666,0.25,0.5152375,6.566666666666666,,2.0,,,,1.0,5.0,,,,2.0,,3.0,3.0,,,0.3333333333333333,,0.625,,0.625,,0.5,,,,,0.75,,,,1.0,1.0,,,1.0,,1.0,,,2.0,,,,1.0,1.0,,1.0,,,,3.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,0.5,0.25,0.3333333333333333,0.5,,,,0.5,,,,,0.5,1.0,,,,,,0.25,,,,,0.4,24.9,3.0,,,,1.0,,1.0,2.0,,3.0,,1.0,1.0,1.0,,1.0,,,,,,,,2.0,1.0,1.0,1.0,,0.5,,,,,,,1.0,1.0,1.0,,,1.0,0.55265,,,,,,,1.0,2.0,1.0,2.0,1.0,0.5,0.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,False
101107-1710-201143-2037-2585,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Zaza Pachulia","Williams, Bibby, Horford, Crawford, Pachulia",101107-1710-201143-2037-2585,ATL,565.0,3,9.0,19.0,16.0,15.0,31.0,6.0,11.0,6.0,8.0,11.0,14.0,,,,0.6666666666666666,0.7142857142857143,0.5,0.8333333333333334,79.00884955752213,16.4375,20.133333333333333,15.6875,17.266666666666666,0.42857142857142855,0.4816214285714286,10.672727272727274,5.0,5.0,2.0,,,8.0,25.0,2.0,3.0,9.0,6.0,1.0,3.0,21.0,9.0,5.0,0.7272727272727273,0.6666666666666666,0.5714285714285714,0.6666666666666666,0.6578947368421053,0.75,0.35714285714285715,,,,0.6666666666666666,0.5714285714285714,0.45616666666666666,0.36,0.3125,2.0,3.0,1.0,5.0,2.0,,3.0,9.0,2.0,4.0,,5.0,10.0,2.0,2.0,5.0,5.0,2.0,,3.0,10.0,1.0,2.0,3.0,1.0,1.0,,,,,9.0,11.0,1.0,4.0,2.0,,,1.0,2.0,0.625,0.625,0.6666666666666666,0.21428571428571427,0.18181818181818182,0.2,,1.0,0.3333333333333333,0.3333333333333333,,0.5,1.0,1.0,0.6,0.75,0.6666666666666666,,0.8333333333333334,1.0,0.6,0.14285714285714285,0.5,,0.23529411764705882,0.2857142857142857,0.16,24.96666666666667,6.0,,1.0,1.0,,,,1.0,1.0,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,,1.0,0.3333333333333333,,,0.07142857142857142,,,,,,,0.5,,,0.56775,,,,,,,1.0,1.0,1.0,,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,False
101107-1710-201143-2037-2694,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Josh Powell","Williams, Bibby, Horford, Crawford, Powell",101107-1710-201143-2037-2694,ATL,848.0,2,14.0,1.0,25.0,23.0,48.0,7.0,18.0,38.0,3.0,5.0,8.0,,3.0,4.0,0.6,0.625,,0.5,81.50943396226415,15.04,20.52173913043478,14.92,20.0,0.3333333333333333,0.4732571428571428,9.972222222222221,16.0,8.0,6.0,3.0,3.0,13.0,39.0,7.0,11.0,26.0,10.0,1.0,4.0,33.0,26.0,16.0,0.7222222222222222,0.6363636363636364,0.7619047619047619,0.7692307692307693,0.78,0.8125,0.38095238095238093,0.14285714285714285,1.0,1.0,0.46153846153846156,0.5238095238095238,0.48608461538461534,0.6666666666666666,0.64,3.0,3.0,2.0,7.0,1.0,,3.0,7.0,2.0,6.0,2.0,6.0,16.0,1.0,1.0,8.0,10.0,1.0,,7.0,22.0,1.0,2.0,3.0,1.0,,1.0,1.0,,2.0,6.0,8.0,,4.0,,1.0,1.0,1.0,,0.6153846153846154,0.6666666666666666,1.0,0.14285714285714285,0.05555555555555555,0.125,0.25,0.6666666666666666,1.0,0.5,1.0,1.0,1.0,,0.375,0.42857142857142855,0.3333333333333333,,1.0,1.0,1.0,0.047619047619047616,0.3333333333333333,,0.16,0.18181818181818182,0.15384615384615385,24.2,11.0,2.0,2.0,,,,2.0,2.0,,6.0,,,2.0,,2.0,2.0,,,1.0,,1.0,,,,1.0,0.6666666666666666,0.6666666666666666,,0.4,,,0.09523809523809523,1.0,1.0,1.0,,,,,,,0.6677,2.0,2.0,2.0,1.0,0.15384615384615385,1.0,1.0,1.0,2.0,2.0,,1.0,1.0,0.4,0.5,1.0,,,,1.0,,,,1.0,,1.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,False
101107-1710-201143-2037-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Josh Smith","Williams, Bibby, Horford, Crawford, Smith",101107-1710-201143-2037-2746,ATL,2146.0,13,36.0,12.0,71.0,73.0,144.0,15.0,39.0,68.0,19.0,26.0,32.0,3.0,7.0,13.0,0.76,0.6774193548387096,0.8333333333333334,0.9166666666666666,96.62628145386766,16.197183098591548,13.643835616438356,15.450704225352112,12.794520547945206,0.29411764705882354,0.48142549019607844,10.148717948717948,28.0,13.0,7.0,5.0,11.0,21.0,80.0,6.0,14.0,38.0,16.0,6.0,17.0,73.0,33.0,24.0,0.5384615384615384,0.42857142857142855,0.5882352941176471,0.5714285714285714,0.6349206349206349,0.6333333333333333,0.2549019607843137,0.21568627450980393,0.45454545454545453,0.5,0.3333333333333333,0.49019607843137253,0.5045,0.475,0.39436619718309857,3.0,9.0,3.0,7.0,8.0,5.0,12.0,20.0,,7.0,7.0,14.0,26.0,8.0,1.0,13.0,19.0,7.0,1.0,5.0,44.0,,2.0,6.0,8.0,3.0,5.0,6.0,6.0,1.0,21.0,27.0,2.0,6.0,8.0,2.0,,2.0,4.0,0.6190476190476191,0.6190476190476191,0.7,0.23529411764705882,0.02564102564102564,,0.46153846153846156,0.3333333333333333,,0.25,,0.42857142857142855,,0.5,0.6923076923076923,0.6923076923076923,0.7777777777777778,0.2,0.4666666666666667,0.4666666666666667,0.7142857142857143,0.1568627450980392,0.42857142857142855,0.23809523809523808,0.10909090909090909,0.13953488372093023,0.0875,24.958333333333332,23.0,3.0,4.0,1.0,3.0,,6.0,4.0,1.0,18.0,,3.0,6.0,3.0,3.0,6.0,5.0,,,,2.0,1.0,1.0,5.0,1.0,0.5,0.5,1.0,0.3333333333333333,0.16666666666666666,0.375,0.0784313725490196,0.75,0.75,1.0,0.375,0.375,1.0,0.2,,0.375,0.51817,1.0,2.0,4.0,0.5714285714285714,0.09523809523809523,0.5,1.0,3.0,2.0,,5.0,0.5,0.7,0.5,0.6,0.3333333333333333,,,,1.0,,,,0.5,1.0,1.0,0.043478260869565216,1.0,3.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,0.6,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,False
101107-1710-201143-2037-2863,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Damien Wilkins","Williams, Bibby, Horford, Crawford, Wilkins",101107-1710-201143-2037-2863,ATL,30.0,1,,-3.0,2.0,1.0,3.0,,,3.0,,,,,,2.0,,,,,144.0,13.0,4.0,13.0,4.0,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,False
