EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,DefPoss,TotalPoss,OpponentPoints,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,OffPoss,PenaltyOffPoss,PenaltyDefPoss,SecondChanceOffPoss,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,Points,SecondChanceFG2A,PenaltyFG2A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,DeadBallTurnovers,Travels,Turnovers,SecondChanceTurnovers,Fouls,Offensive Fouls,FoulsDrawn,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,TsPct,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LongMidRangePctBlocked,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,AtRimFGM,ShortMidRangeFGM,PtsUnassisted2s,AtRimAssists,ShootingFouls,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGA,PenaltyArc3FGA,FG3M,FG3A,FtPoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted3s,NonHeaveArc3FGA,ThreePtAssists,Corner3Assists,OffThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,PenaltyTurnovers,Loose Ball Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyEfgPct,PenaltyTsPct,FG3APct,LiveBallTurnoverPct,OffThreePtReboundPct,OffArc3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,Arc3FGM,NonHeaveArc3FGM,Arc3Assists,ShortMidRangeAssists,DefThreePtRebounds,Steals,BadPassSteals,Blocked2s,BlockedShortMidRange,Blocks,DefThreePtReboundPct,DefCorner3ReboundPct,ShortMidRangePctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyFG2M,PtsUnassisted3s,2pt And 1 Free Throw Trips,PenaltyFg2Pct,PenaltyArc3Accuracy,SecondChanceFG2M,SecondChancePoints,SelfOReb,Technical Free Throw Trips,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,DefArc3ReboundPct,SelfORebPct,SecondChancePointsPct,PenaltyAtRimFGM,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,HeaveAttempts,LostBallSteals,RecoveredBlocks,SecondChanceFg3Pct,BlocksRecoveredPct,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFtPoints,PtsPutbacks,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,Offensive Fouls Drawn,BlockedAtRim,Charge Fouls,3SecondViolations,Charge Fouls Drawn,Loose Ball Fouls,DefensiveGoaltends,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Defensive 3 Seconds Violations,SecondChanceCorner3FGA,Fg3aBlocked,FTOffRebounds,BlockingFouls,BlockingFoulsDrawn,OffensiveGoaltends,FG3APctBlocked,Arc3PctBlocked,OffFTReboundPct,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,SecondChanceCorner3Frequency,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Corner3PctBlocked,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,HeaveMakes,3pt And 1 Free Throw Trips,Blocked3s,BlockedArc3,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
1715-200752-201188-201589-201970,1610612763,"Jason Williams, Rudy Gay, Marc Gasol, Darrell Arthur, Sam Young","Williams, Gay, Gasol, Arthur, Young",1715-200752-201188-201589-201970,MEM,26.0,1,-2.0,1.0,1.0,2.0,55.38461538461538,10.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
1715-200752-201188-201589-2754,1610612763,"Jason Williams, Rudy Gay, Marc Gasol, Darrell Arthur, Tony Allen","Williams, Gay, Gasol, Arthur, Allen",1715-200752-201188-201589-2754,MEM,226.0,3,-4.0,8.0,16.0,6.0,101.94690265486726,10.875,10.875,4.0,8.0,1.0,6.0,2.0,1.0,1.0,2.0,1.0,4.0,1.0,7.0,2.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,4.0,2.0,6.0,3.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.5714285714285714,1.0,1.0,0.25,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.5,0.3333333333333333,1.0,1.0,1.0,17.375,16.75,0.14285714285714285,0.2857142857142857,0.5714285714285714,0.25,0.3333333333333333,1.0,1.0,0.14285714285714285,0.4394,0.4552,0.5997,11.557142857142859,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
1715-200752-201589-201934-2754,1610612763,"Jason Williams, Rudy Gay, Darrell Arthur, Hasheem Thabeet, Tony Allen","Williams, Gay, Arthur, Thabeet, Allen",1715-200752-201589-201934-2754,MEM,58.0,1,3.0,1.0,3.0,1.0,74.48275862068965,31.0,31.0,1.0,2.0,,1.0,,1.0,,1.0,,,2.0,2.0,4.0,,,2.0,,1.0,1.0,,2.0,,,,,,,,,,,1.0,,,4.0,,,0.5,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,13.5,13.5,0.5,0.5,,,,,,0.5,0.54265,,,5.5,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
1715-200752-201589-2216-2754,1610612763,"Jason Williams, Rudy Gay, Darrell Arthur, Zach Randolph, Tony Allen","Williams, Gay, Arthur, Randolph, Allen",1715-200752-201589-2216-2754,MEM,250.0,2,-8.0,10.0,20.0,13.0,115.19999999999999,9.3,9.3,4.0,10.0,8.0,9.0,1.0,,,,,3.0,,3.0,5.0,,2.0,,,,1.0,,3.0,,,1.0,1.0,1.0,2.0,1.0,,3.0,,5.0,,3.0,5.0,8.0,2.0,,,,0.3,0.3125,,,,,1.0,,,,0.25,,,,,,15.7,15.4,,,0.6,,,,,0.4,0.47104999999999997,,0.4800875,16.533333333333335,0.8,,,,,2.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,2.0,5.0,2.0,1.0,0.5,0.5,0.5,0.375,0.35714285714285715,0.4,0.6666666666666666,1.0,1.0,0.2,1.0,1.0,1.0,0.2,0.25,1.0,0.25,0.16666666666666666,0.25,1.0,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
1715-200752-201632-201970-202349,1610612763,"Jason Williams, Rudy Gay, Hamed Haddadi, Sam Young, Greivis Vasquez","Williams, Gay, Haddadi, Young, Vasquez",1715-200752-201632-201970-202349,MEM,20.0,1,,1.0,1.0,,72.0,20.0,20.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
1715-201144-201188-201564-2216,1610612763,"Jason Williams, Mike Conley, Marc Gasol, O.J. Mayo, Zach Randolph","Williams, Conley, Gasol, Mayo, Randolph",1715-201144-201188-201564-2216,MEM,2.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
1715-201144-201188-201970-2216,1610612763,"Jason Williams, Mike Conley, Marc Gasol, Sam Young, Zach Randolph","Williams, Conley, Gasol, Young, Randolph",1715-201144-201188-201970-2216,MEM,2.0,1,-1.0,1.0,1.0,1.0,720.0,2.0,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
1715-201144-201188-2203-2216,1610612763,"Jason Williams, Mike Conley, Marc Gasol, Shane Battier, Zach Randolph","Williams, Conley, Gasol, Battier, Randolph",1715-201144-201188-2203-2216,MEM,130.0,1,7.0,4.0,8.0,2.0,88.61538461538463,19.75,18.0,2.0,4.0,1.0,1.0,,1.0,,1.0,,,2.0,2.0,9.0,,,4.0,,2.0,3.0,,7.0,,2.0,,3.0,,3.0,,,,,1.0,,2.0,9.0,1.0,,1.0,1.0,1.0,1.1666666666666667,1.125,,,,,,0.5,,0.6,,,,0.6666666666666666,,,12.75,12.75,0.3333333333333333,0.3333333333333333,,,,,,0.6666666666666666,0.54515,,,6.2,0.25,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,1.0,,1.0,1.0,2.0,,,2.0,2.0,3.0,1.0,1.0,,,,,,,,,2.0,,1.0,2.0,1.0,1.0,1.0,,1.0,,1.0,0.3333333333333333,,,,,,,,0.3333333333333333,,,,,,0.2222222222222222,25.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
1715-201144-201564-201970-2216,1610612763,"Jason Williams, Mike Conley, O.J. Mayo, Sam Young, Zach Randolph","Williams, Conley, Mayo, Young, Randolph",1715-201144-201564-201970-2216,MEM,12.0,1,,1.0,1.0,,120.0,12.0,12.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
1715-201144-201564-202349-2216,1610612763,"Jason Williams, Mike Conley, O.J. Mayo, Greivis Vasquez, Zach Randolph","Williams, Conley, Mayo, Vasquez, Randolph",1715-201144-201564-202349-2216,MEM,44.0,1,3.0,1.0,3.0,3.0,98.18181818181819,14.0,14.0,1.0,2.0,2.0,1.0,,,,1.0,,,1.0,1.0,6.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,6.0,2.0,,,,1.0,1.25,1.5,,,,,,,,,,,,,,,15.0,15.0,,0.5,,,,,,0.5,0.439275,,0.439275,7.4,1.0,,1.0,2.0,,,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,,1.0,,,,,,,,,,1.0,1.0,,6.0,,,1.0,1.0,1.0,1.25,1.5,0.5,,,,,,,,0.5,,,0.5,0.5,1.0,1.0,24.7,1.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,3.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
