EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,TotalPoss,LongMidRangeFGA,FG2A,Fouls,Loose Ball Fouls,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,LongMidRangeFrequency,ShotQualityAvg,Avg2ptShotDistance,PlusMinus,DefPoss,PenaltyOffPoss,PenaltyDefPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,FTDefRebounds,DefRebounds,Rebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,TsPct,PenaltyTsPct,LiveBallTurnoverPct,DefFTReboundPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,PenaltyOffPossPct,Minutes,ShortMidRangeFGA,Arc3FGA,PenaltyArc3FGA,FG3A,OpponentPoints,PenaltyFG2A,PenaltyFG3A,NonHeaveArc3FGA,Steals,LostBallSteals,Charge Fouls Drawn,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,FG3APct,ShortMidRangeFrequency,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,PenaltyShotQualityAvg,Avg3ptShotDistance,LongMidRangeFGM,FG2M,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,BadPassSteals,LostBallTurnovers,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,Arc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG3M,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG3M,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,2pt And 1 Free Throw Trips,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,SelfORebPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,SecondChanceAtRimFGM,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGA,SecondChanceFG3M,PtsPutbacks,Corner3Assists,Charge Fouls,ThreePtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,SecondChanceFg3Pct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,Offensive Fouls,PtsUnassisted3s,Travels,LostBallOutOfBoundsTurnovers,PenaltyCorner3FGM,SecondChanceFtPoints,ShortMidRangeAssists,ShootingFouls,BlockingFoulsDrawn,BlockedShortMidRange,RecoveredBlocks,OffLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,ShortMidRangePctAssisted,PenaltyCorner3Accuracy,SecondChanceTurnovers,HeaveAttempts,Offensive Fouls Drawn,3SecondViolations,OffCorner3ReboundPct,ShortMidRangePctBlocked,LongMidRangePctBlocked,BlockingFouls,SecondChanceAtRimPctAssisted,Technical Free Throw Trips,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,BlockedLongMidRange,FTOffRebounds,Corner3PctBlocked,OffFTReboundPct,HeaveMakes,BlockedCorner3,OffensiveGoaltends,3pt And 1 Free Throw Trips,Clear Path Fouls,team_id,year,season,team_vs
101108-101127-201158-201160-201189,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Jason Smith, Aaron Gray","Paul, Jack, Belinelli, Smith, Gray",101108-101127-201158-201160-201189,NOH,13.0,1,1.0,1.0,1.0,1.0,1.0,1.0,110.76923076923076,13.0,13.0,1.0,0.388,19.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201160-201977,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Jason Smith, Marcus Thornton","Paul, Jack, Belinelli, Smith, Thornton",101108-101127-201158-201160-201977,NOH,10.0,2,1.0,2.0,,,,,288.0,8.0,8.0,,,,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201160-2561,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Jason Smith, David West","Paul, Jack, Belinelli, Smith, West",101108-101127-201158-201160-2561,NOH,123.0,4,4.0,9.0,,1.0,1.0,,105.3658536585366,10.25,10.25,,0.3848,8.4,-2.0,5.0,3.0,2.0,6.0,6.0,4.0,4.0,,,,,,,,4.0,6.0,2.0,6.0,4.0,3.0,0.6,0.5,,,16.4,16.4,0.5,0.6666666666666666,0.6666666666666666,0.75,2.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.3848,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201171-201189,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Carl Landry, Aaron Gray","Paul, Jack, Belinelli, Landry, Gray",101108-101127-201158-201171-201189,NOH,112.0,1,3.0,6.0,1.0,1.0,,,77.14285714285714,21.666666666666668,21.666666666666668,0.5,0.4785,18.9,,3.0,,,,2.0,,,,1.0,1.0,1.0,,1.0,,,,,2.0,,,0.5,,1.0,,15.666666666666666,15.333333333333334,,,,,2.0,,1.0,,1.0,2.0,,,1.0,1.0,,,,,,0.5,,0.5,,0.5,,25.6,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201171-2561,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Carl Landry, David West","Paul, Jack, Belinelli, Landry, West",101108-101127-201158-201171-2561,NOH,653.0,2,19.0,35.0,8.0,15.0,5.0,,77.1822358346095,16.42105263157895,14.473684210526315,0.42105263157894735,0.4684236842105263,11.193333333333333,13.0,16.0,3.0,1.0,5.0,31.0,1.0,6.0,,6.0,10.0,1.0,1.0,2.0,,3.0,5.0,3.0,25.0,6.0,3.0,0.7380952380952381,0.75,0.5,,21.3125,21.25,0.14285714285714285,0.17647058823529413,0.1935483870967742,0.15789473684210525,11.0,2.0,4.0,3.0,4.0,18.0,1.0,3.0,4.0,1.0,1.0,,,,,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.75,0.47368421052631576,0.4927125,24.575,7.0,10.0,8.0,4.0,6.0,2.0,14.0,6.0,,,0.4,0.4,0.6666666666666666,0.6842105263157895,0.6666666666666666,0.6666666666666666,1.0,0.875,0.875,0.2857142857142857,5.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,6.0,1.0,1.0,12.0,6.0,2.0,2.0,2.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,0.5,0.75,1.0,0.6,0.625,0.6,0.13333333333333333,0.4,0.6,0.5,0.5714285714285714,0.6666666666666666,1.0,0.5,0.5,0.6666666666666666,0.2,0.2631578947368421,0.4,0.6666666666666666,1.0,0.5,0.5,0.5,0.5,1.0,0.2,0.2,0.25,1.0,0.3333333333333333,0.5,0.3942,0.1935483870967742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201171-2584,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Carl Landry, Willie Green","Paul, Jack, Belinelli, Landry, Green",101108-101127-201158-201171-2584,NOH,2.0,2,2.0,2.0,,,,,1440.0,1.0,1.0,,,,4.0,,2.0,,4.0,4.0,4.0,4.0,,,,,,,,2.0,4.0,,4.0,4.0,2.0,1.0,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201171-2731,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Carl Landry, Emeka Okafor","Paul, Jack, Belinelli, Landry, Okafor",101108-101127-201158-201171-2731,NOH,103.0,1,2.0,5.0,,1.0,,,69.90291262135922,24.5,24.5,,0.5625,1.8,-2.0,3.0,,,1.0,3.0,,,,1.0,1.0,,,,,2.0,2.0,1.0,3.0,,,0.75,,,,18.0,18.0,0.5,0.5,,,2.0,,,,,5.0,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,1.0,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201171-2772,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Carl Landry, Trevor Ariza","Paul, Jack, Belinelli, Landry, Ariza",101108-101127-201158-201171-2772,NOH,9.0,1,1.0,1.0,,,,,160.0,9.0,9.0,,,,2.0,,1.0,,2.0,2.0,2.0,2.0,,,,,,,,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201189-2561,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Aaron Gray, David West","Paul, Jack, Belinelli, Gray, West",101108-101127-201158-201189-2561,NOH,781.0,2,26.0,49.0,5.0,15.0,5.0,,90.34571062740076,16.692307692307693,15.538461538461538,0.21739130434782608,0.46802173913043477,9.273333333333333,12.0,23.0,6.0,21.0,6.0,35.0,2.0,6.0,1.0,8.0,11.0,,,3.0,,6.0,7.0,2.0,28.0,6.0,6.0,0.6730769230769231,0.42857142857142855,,1.0,15.08695652173913,14.478260869565217,0.11538461538461539,0.11764705882352941,0.17142857142857143,0.23076923076923078,13.0,7.0,4.0,,8.0,23.0,5.0,1.0,4.0,4.0,,,,,,0.34782608695652173,0.30434782608695654,0.17391304347826086,,0.4782608695652174,0.40911666666666663,24.5625,2.0,7.0,2.0,1.0,6.0,1.0,17.0,7.0,4.0,,0.14285714285714285,0.2,0.4666666666666667,0.6304347826086957,0.7777777777777778,0.7,0.5,0.4,0.4,0.5,3.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,,,5.0,2.0,2.0,1.0,7.0,2.0,,12.0,15.0,2.0,,5.0,2.0,,1.0,2.0,3.0,,2.0,3.0,,,2.0,1.0,0.625,,0.625,1.0,0.4,1.1666666666666667,0.3333333333333333,1.1666666666666667,,,0.25,0.5,0.3,,0.4,0.5,0.75,1.0,,0.13043478260869565,1.0,1.0,,0.2857142857142857,0.2857142857142857,0.5,0.5,1.0,0.6666666666666666,,0.16666666666666666,1.0,,0.5,0.51525,0.2,,,,2.0,3.0,4.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17391304347826086,0.75,0.75,1.0,1.0,0.3333333333333333,1.0,1.0,0.16666666666666666,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201189-2584,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Aaron Gray, Willie Green","Paul, Jack, Belinelli, Gray, Green",101108-101127-201158-201189-2584,NOH,6.0,1,1.0,1.0,,2.0,,,240.0,6.0,6.0,,0.34605,5.0,2.0,,1.0,,,2.0,,2.0,,,1.0,,,,,,,,,2.0,1.0,0.5,0.5,,,,,,,1.0,1.0,,1.0,,,,,2.0,,,,,,,,,,0.5,,,0.5,0.34605,,,1.0,,,,,,,,,,,0.5,0.5,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,2.0,1.0,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,0.5,1.0,0.5,1.0,,,1.0,,1.0,,1.0,,,,,0.5,1.0,1.0,,,,,,,1.0,,0.5,1.0,,,0.4256,1.0,,,,1.0,,,,,,,2.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
