EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,Points,PtsUnassisted2s,DefTwoPtRebounds,DefRebounds,Rebounds,FirstChancePoints,Fg2Pct,EfgPct,TsPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,LongMidRangeFrequency,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,PenaltyDefPoss,LongMidRangeFGM,FtPoints,OpponentPoints,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,DefAtRimReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGA,Arc3FGM,Arc3FGA,SecondChanceArc3FGA,FG3M,FG3A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsAssisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,OffThreePtRebounds,OffTwoPtRebounds,DefThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,LostBallTurnovers,Turnovers,ShootingFouls,Fouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,AtRimPctAssisted,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFtPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,PtsPutbacks,ShortMidRangeAssists,SelfOReb,LostBallSteals,DeadBallTurnovers,Travels,PenaltyTurnovers,Charge Fouls,Loose Ball Fouls,Offensive Fouls Drawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffShortMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,Loose Ball Fouls Drawn,PenaltyCorner3FGA,Fg3aBlocked,2pt And 1 Free Throw Trips,BlockedLongMidRange,3SecondViolations,FG3APctBlocked,Corner3PctBlocked,OffLongMidRangeReboundPct,PenaltyCorner3Frequency,Corner3FGM,PenaltyCorner3FGM,HeaveAttempts,Corner3Assists,DefensiveGoaltends,OffCorner3ReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,SecondChanceTurnovers,Offensive Fouls,Technical Free Throw Trips,BlockedShortMidRange,ShortMidRangePctBlocked,LongMidRangePctBlocked,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,StepOutOfBoundsTurnovers,BlockingFouls,Clear Path Fouls,Charge Fouls Drawn,BlockingFoulsDrawn,OffensiveGoaltends,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,FTOffRebounds,OffFTReboundPct,Blocked3s,BlockedArc3,Arc3PctBlocked,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,3pt And 1 Free Throw Trips,BlockedCorner3,team_id,year,season,team_vs
101107-1710-201143-201952-2230,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jeff Teague, Maurice Evans","Williams, Bibby, Horford, Teague, Evans",101107-1710-201143-201952-2230,ATL,84.0,1,1.0,2.0,3.0,3.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,102.85714285714286,15.333333333333334,12.666666666666666,15.333333333333334,12.666666666666666,0.3333333333333333,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.48033333333333333,8.633333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,True
101107-1710-201143-201952-2585,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jeff Teague, Zaza Pachulia","Williams, Bibby, Horford, Teague, Pachulia",101107-1710-201143-201952-2585,ATL,79.0,1,1.0,1.0,2.0,2.0,4.0,,,,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,0.5,1.0,1.0,,72.9113924050633,24.0,15.5,24.0,15.5,,,,,1.0,,0.4115,15.6,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,True
101107-1710-201143-201952-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jeff Teague, Josh Smith","Williams, Bibby, Horford, Teague, Smith",101107-1710-201143-201952-2746,ATL,437.0,3,7.0,,14.0,13.0,27.0,3.0,5.0,1.0,4.0,6.0,10.0,15.0,,4.0,6.0,8.0,13.0,0.6,0.5357142857142857,0.5357142857142857,1.0,0.8333333333333334,1.0,88.97025171624715,17.714285714285715,14.538461538461538,16.357142857142858,14.23076923076923,0.35714285714285715,0.6,0.75,0.07142857142857142,0.2857142857142857,0.6428571428571429,0.5229785714285714,9.129999999999999,11.0,3.0,,15.0,,,,1.0,0.75,0.75,,,2.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,4.0,1.0,2.0,1.0,2.0,12.0,3.0,3.0,1.0,1.0,6.0,1.0,7.0,1.0,3.0,3.0,15.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.25,0.5,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.1,0.2,1.0,1.0,0.25,0.5,0.3333333333333333,0.2857142857142857,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.07142857142857142,0.21428571428571427,0.3333333333333333,0.3333333333333333,1.0,0.6666666666666666,0.5,1.0,0.3333333333333333,0.3333333333333333,0.583675,0.13333333333333333,24.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,True
101107-1710-201143-2037-2207,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Joe Johnson","Williams, Bibby, Horford, Crawford, Johnson",101107-1710-201143-2037-2207,ATL,1060.0,5,18.0,4.0,33.0,33.0,66.0,8.0,11.0,9.0,5.0,11.0,25.0,33.0,16.0,8.0,13.0,21.0,23.0,0.44,0.4032258064516129,0.44594594594594594,0.7272727272727273,0.7222222222222222,0.8333333333333334,89.66037735849056,15.727272727272727,16.393939393939394,14.757575757575758,15.909090909090908,0.3548387096774194,0.7272727272727273,0.7272727272727273,0.2903225806451613,0.16129032258064516,0.5483870967741935,0.5008741935483871,7.436,5.0,1.0,8.0,29.0,10.0,12.0,3.0,1.0,0.2,0.2,0.08823529411764706,0.10714285714285714,6.0,3.0,6.0,,1.0,6.0,,1.0,6.0,4.0,7.0,,10.0,6.0,,6.0,1.0,,3.0,,3.0,,2.0,,6.0,2.0,6.0,5.0,,8.0,2.0,1.0,1.0,1.0,,3.0,2.0,7.0,,,,,2.0,0.2727272727272727,0.3333333333333333,,0.16666666666666666,0.16666666666666666,0.5714285714285714,0.5714285714285714,0.625,0.1935483870967742,,,0.3333333333333333,,0.42857142857142855,0.7142857142857143,0.4,0.42105263157894735,0.6666666666666666,0.4,0.5,0.6666666666666666,,0.25,,,0.1935483870967742,0.16666666666666666,0.16666666666666666,,0.8571428571428571,0.5,,,0.16666666666666666,0.6086666666666667,0.30303030303030304,25.933333333333334,16.0,3.0,3.0,2.0,1.0,4.0,2.0,5.0,8.0,1.0,4.0,4.0,17.0,3.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,17.0,16.0,3.0,0.25,0.625,0.5416666666666666,0.53125,0.5714285714285714,1.0,0.10526315789473684,0.2222222222222222,0.2222222222222222,0.5,0.25,1.0,0.3333333333333333,0.25,0.5088291666666667,0.5151515151515151,0.48484848484848486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,True
101107-1710-201143-2037-2215,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Jason Collins","Williams, Bibby, Horford, Crawford, Collins",101107-1710-201143-2037-2215,ATL,102.0,1,2.0,4.0,3.0,3.0,6.0,1.0,1.0,1.0,,2.0,2.0,7.0,2.0,1.0,1.0,1.0,7.0,1.0,1.1666666666666667,1.1666666666666667,1.0,1.0,1.0,84.70588235294117,16.0,18.0,16.0,18.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,0.6666666666666666,0.54745,3.05,3.0,,,3.0,1.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,,,,2.0,3.0,1.0,1.0,,1.0,1.0,2.0,1.0,1.0,,5.0,,,,,,,,,,,,,,,,,,,0.5,0.5,1.0,1.0,1.0,,,,0.3333333333333333,,,,,,,,,,,,,,1.0,,,0.3333333333333333,1.0,1.0,1.0,,,,,1.0,,,26.1,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,True
101107-1710-201143-2037-2230,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Maurice Evans","Williams, Bibby, Horford, Crawford, Evans",101107-1710-201143-2037-2230,ATL,94.0,1,2.0,-1.0,3.0,3.0,6.0,,1.0,,,,1.0,4.0,,1.0,1.0,2.0,2.0,,,0.6666666666666666,0.5,0.5,1.0,91.91489361702128,19.333333333333332,12.0,15.666666666666666,6.333333333333333,1.0,,,,,1.0,0.6188,1.7,,,4.0,5.0,3.0,4.0,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,1.0,,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,0.5,,3.0,,1.0,,,,2.0,,1.0,,,4.0,4.0,,,,,,,,1.0,,,,2.0,4.0,3.0,2.0,,,,0.6666666666666666,,,,,,,1.0,,,,0.6188,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,True
101107-1710-201143-2037-2585,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Zaza Pachulia","Williams, Bibby, Horford, Crawford, Pachulia",101107-1710-201143-2037-2585,ATL,565.0,3,9.0,-19.0,15.0,16.0,31.0,1.0,3.0,4.0,7.0,2.0,14.0,6.0,4.0,2.0,4.0,8.0,5.0,0.14285714285714285,0.125,0.17647058823529413,0.6666666666666666,0.6666666666666666,1.0,79.00884955752213,20.133333333333333,16.4375,17.266666666666666,15.6875,0.1875,0.3333333333333333,0.3333333333333333,0.25,0.4375,0.3125,0.46760625,12.064285714285715,5.0,1.0,2.0,25.0,3.0,3.0,1.0,0.5,0.14285714285714285,0.14285714285714285,0.0625,0.07142857142857142,2.0,,1.0,1.0,,1.0,,,2.0,,3.0,,1.0,,,1.0,,,,,,,,,,,4.0,2.0,,4.0,,,1.0,1.0,,2.0,4.0,9.0,2.0,1.0,2.0,2.0,2.0,,,,,,,,0.125,0.125,,,0.5,,0.3333333333333333,0.6666666666666666,,0.2857142857142857,0.5,,,1.0,1.0,,,0.0625,0.0625,,,,0.3333333333333333,,,,,0.4903,0.16666666666666666,24.2,6.0,,1.0,,,,1.0,,6.0,,1.0,1.0,1.0,,,,,,1.0,,1.0,,1.0,,1.0,1.0,6.0,1.0,,,,0.0625,0.5,,,,,,0.14285714285714285,,,,0.45144999999999996,0.16666666666666666,0.4,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.16666666666666666,0.14285714285714285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,True
101107-1710-201143-2037-2694,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Josh Powell","Williams, Bibby, Horford, Crawford, Powell",101107-1710-201143-2037-2694,ATL,848.0,2,14.0,-1.0,23.0,25.0,48.0,4.0,6.0,6.0,5.0,12.0,17.0,38.0,6.0,3.0,3.0,6.0,34.0,0.7058823529411765,0.72,0.7307692307692307,0.6,0.5,,81.50943396226415,20.52173913043478,15.04,20.0,14.92,0.24,0.6666666666666666,0.8,0.24,0.2,0.56,0.5035666666666666,8.75294117647059,16.0,3.0,2.0,39.0,4.0,2.0,1.0,0.6,0.6,0.6,0.038461538461538464,0.05555555555555555,3.0,,1.0,4.0,1.0,4.0,,4.0,8.0,2.0,3.0,,4.0,18.0,12.0,3.0,1.0,1.0,9.0,4.0,13.0,1.0,3.0,2.0,30.0,1.0,2.0,,,3.0,1.0,,1.0,,1.0,1.0,4.0,6.0,1.0,1.0,1.0,1.0,,0.75,0.75,1.0,0.5,0.5714285714285714,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.32,0.058823529411764705,0.16666666666666666,1.0,,0.4,,0.3333333333333333,0.375,,,,,1.0,0.75,0.6666666666666666,0.16,0.16,0.25,0.25,1.0,0.3333333333333333,,,,0.3333333333333333,0.5394,0.10526315789473684,28.275,11.0,3.0,4.0,5.0,1.0,2.0,,5.0,8.0,4.0,6.0,,22.0,,,4.0,1.0,1.0,,,,,,1.0,,22.0,11.0,,0.6666666666666666,0.625,0.7857142857142857,0.7857142857142857,1.0,,0.14285714285714285,0.8333333333333334,0.8333333333333334,0.8,0.2857142857142857,0.75,0.14285714285714285,0.5,0.5451153846153847,0.5789473684210527,0.4782608695652174,,4.0,,,,,,,0.5,0.2857142857142857,3.0,3.0,1.0,3.0,1.0,1.0,0.75,0.75,1.0,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,True
101107-1710-201143-2037-2746,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Josh Smith","Williams, Bibby, Horford, Crawford, Smith",101107-1710-201143-2037-2746,ATL,2146.0,13,36.0,-12.0,73.0,71.0,144.0,12.0,19.0,11.0,20.0,25.0,50.0,68.0,24.0,12.0,22.0,32.0,61.0,0.5,0.4649122807017544,0.5151515151515151,0.6666666666666666,0.75,0.625,96.62628145386766,13.643835616438356,16.197183098591548,12.794520547945206,15.450704225352112,0.3333333333333333,0.631578947368421,0.631578947368421,0.19298245614035087,0.3508771929824561,0.45614035087719296,0.48906052631578945,9.876,28.0,8.0,15.0,80.0,17.0,22.0,6.0,0.5,0.4,0.42105263157894735,0.09836065573770492,0.1111111111111111,9.0,1.0,2.0,4.0,1.0,3.0,,1.0,7.0,2.0,6.0,,7.0,26.0,3.0,3.0,1.0,2.0,13.0,1.0,14.0,1.0,6.0,5.0,29.0,4.0,6.0,6.0,4.0,10.0,6.0,6.0,8.0,3.0,5.0,13.0,6.0,21.0,1.0,,1.0,,4.0,0.52,0.5416666666666666,1.0,0.14285714285714285,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.4375,0.12280701754385964,0.04,,0.6153846153846154,1.0,0.24,1.0,0.6666666666666666,0.3225806451612903,0.5714285714285714,1.0,0.8333333333333334,1.0,,0.5,0.625,0.07017543859649122,0.05263157894736842,0.3333333333333333,0.3333333333333333,1.0,0.3333333333333333,0.5,,,0.3333333333333333,0.481,0.10294117647058823,24.642857142857142,23.0,2.0,6.0,5.0,1.0,3.0,3.0,5.0,12.0,1.0,4.0,11.0,24.0,,2.0,2.0,,,5.0,,4.0,1.0,1.0,2.0,5.0,24.0,23.0,5.0,0.25,0.4166666666666667,0.40625,0.5454545454545454,0.16666666666666666,1.0,,0.45454545454545453,0.5,0.4,0.375,0.3333333333333333,0.1875,0.3333333333333333,0.453378125,0.35294117647058826,0.3150684931506849,5.0,1.0,,2.0,,,,,0.08333333333333333,0.0625,,,,,,0.5,,,,,1.0,1.0,1.0,2.0,2.0,1.0,0.09090909090909091,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,True
101107-1710-201143-2037-2863,1610612737,"Marvin Williams, Mike Bibby, Al Horford, Jamal Crawford, Damien Wilkins","Williams, Bibby, Horford, Crawford, Wilkins",101107-1710-201143-2037-2863,ATL,30.0,1,,3.0,1.0,2.0,3.0,,,,,,,3.0,,,,,3.0,,,0.75,,,,144.0,4.0,13.0,4.0,13.0,,,,,,,,,,,3.0,,2.0,4.0,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,1.0,1.0,,1.0,,,,0.5,,,,,,,,,,,,0.3333333333333333,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612737,2011,2010-11,True
