EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGA,FG3A,NonHeaveArc3FGA,OffThreePtRebounds,OffRebounds,FG3APct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,Arc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,SecondChanceOffPoss,AtRimFGM,AtRimFGA,ShortMidRangeFGM,SecondChanceArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3A,SecondChancePoints,PtsUnassisted2s,OffTwoPtRebounds,FTDefRebounds,LiveBallTurnovers,LostBallTurnovers,SecondChanceTurnovers,ShootingFouls,2pt And 1 Free Throw Trips,NonShootingPenaltyNonTakeFouls,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,LiveBallTurnoverPct,DefFTReboundPct,OffTwoPtReboundPct,OffShortMidRangeReboundPct,DefAtRimReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceArc3Frequency,SecondChanceShotQualityAvg,SecondChancePointsPct,ShortMidRangeAssists,BlockingFoulsDrawn,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,ShortMidRangePctAssisted,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,Fg3Pct,NonHeaveFg3Pct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,PtsAssisted3s,ThreePtAssists,Arc3Assists,LostBallSteals,Assisted3sPct,PenaltyFg3Pct,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,Corner3FGA,BadPassTurnovers,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,Charge Fouls Drawn,Corner3Frequency,BlockingFouls,AtRimAssists,AtRimPctAssisted,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,OffLongMidRangeReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFGM,PenaltyAtRimFGA,PenaltyCorner3FGA,Fg2aBlocked,Offensive Fouls,3SecondViolations,FG2APctBlocked,AtRimPctBlocked,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceCorner3FGA,SecondChanceFtPoints,PtsPutbacks,Charge Fouls,Offensive Fouls Drawn,BlockedLongMidRange,ShortMidRangePctBlocked,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceCorner3Frequency,Corner3FGM,Corner3Assists,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Fg3aBlocked,SelfOReb,Loose Ball Fouls,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,SelfORebPct,LongMidRangePctBlocked,Travels,BlockedShortMidRange,SecondChanceAtRimPctAssisted,Arc3PctBlocked,SecondChanceCorner3FGM,PenaltyCorner3FGM,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,PenaltyCorner3Accuracy,Blocked3s,BlockedArc3,OffensiveGoaltends,HeaveAttempts,team_id,year,season,team_vs
101108-101127-201158-201160-201189,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Jason Smith, Aaron Gray","Paul, Jack, Belinelli, Smith, Gray",101108-101127-201158-201160-201189,NOH,169.0,1,3.0,-4.0,6.0,6.0,3.0,3.0,12.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,7.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,0.25,0.5,0.25,0.5,0.3,0.5,1.0,1.0,1.0,1.0,102.24852071005917,16.5,11.666666666666666,16.5,11.666666666666666,0.25,0.75,0.3333333333333333,0.3333333333333333,1.0,0.408375,0.43305,0.2,0.2,1.0,15.325,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201160-2731,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Jason Smith, Emeka Okafor","Paul, Jack, Belinelli, Smith, Okafor",101108-101127-201158-201160-2731,NOH,20.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5163,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201171-2731,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Carl Landry, Emeka Okafor","Paul, Jack, Belinelli, Landry, Okafor",101108-101127-201158-201171-2731,NOH,224.0,2,4.0,4.0,7.0,5.0,,2.0,12.0,3.0,,1.0,3.0,5.0,4.0,10.0,6.0,,,,,,,,,,2.0,3.0,6.0,,,,,1.0,2.0,4.0,5.0,3.0,8.0,,,,,0.6,,0.42857142857142855,,0.5555555555555556,,0.6666666666666666,0.6666666666666666,,1.0,77.14285714285714,18.285714285714285,19.2,16.714285714285715,18.8,0.42857142857142855,0.14285714285714285,,,,0.46510714285714283,,0.3333333333333333,0.42857142857142855,,8.9,,2.0,2.0,2.0,2.0,3.0,0.2857142857142857,1.0,0.75,1.0,0.2857142857142857,0.42857142857142855,25.6,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.14285714285714285,1.0,1.0,0.6666666666666666,0.6666666666666666,0.5,0.5637,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-201189-2731,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Aaron Gray, Emeka Okafor","Paul, Jack, Belinelli, Gray, Okafor",101108-101127-201158-201189-2731,NOH,40.0,1,1.0,2.0,2.0,1.0,2.0,,3.0,1.0,,,1.0,1.0,2.0,4.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,,2.0,,,,,,,,,1.0,1.0,2.0,,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,108.0,12.5,15.0,12.5,15.0,1.0,,,,,0.4637,0.4637,,,1.0,13.5,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-2584-2772,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Willie Green, Trevor Ariza","Paul, Jack, Belinelli, Green, Ariza",101108-101127-201158-2584-2772,NOH,3.0,1,,3.0,1.0,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.5,,1.5,,,,,,480.0,3.0,,3.0,,,,,,,0.2895,,,,,,,1.0,1.0,1.0,,,1.0,,,,1.0,1.0,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201158-2731-2772,1610612740,"Chris Paul, Jarrett Jack, Marco Belinelli, Emeka Okafor, Trevor Ariza","Paul, Jack, Belinelli, Okafor, Ariza",101108-101127-201158-2731-2772,NOH,147.0,1,2.0,-2.0,5.0,6.0,3.0,3.0,11.0,1.0,,1.0,,2.0,1.0,4.0,6.0,,1.0,1.0,4.0,,,1.0,,3.0,1.0,1.0,1.0,1.0,,,,,2.0,3.0,6.0,1.0,4.0,4.0,3.0,,,,,0.375,0.75,0.2857142857142857,0.6666666666666666,1.0,1.0,,1.0,107.75510204081633,17.4,10.0,17.4,10.0,0.25,0.25,,,,0.4138625,0.369975,0.2,0.3333333333333333,1.0,12.8,0.6,2.0,2.0,2.0,,,0.5,,,,0.5,0.5,25.4,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,1.0,,1.0,1.0,,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201160-201171-2772,1610612740,"Chris Paul, Jarrett Jack, Jason Smith, Carl Landry, Trevor Ariza","Paul, Jack, Smith, Landry, Ariza",101108-101127-201160-201171-2772,NOH,59.0,1,1.0,-3.0,4.0,4.0,4.0,4.0,8.0,1.0,,,1.0,1.0,3.0,5.0,8.0,1.0,1.0,3.0,5.0,,,,,,,1.0,1.0,,,,,,,2.0,4.0,,5.0,2.0,2.0,,,1.0,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,,1.0,,,195.2542372881356,8.0,6.75,8.0,6.75,1.0,,,,,0.4015,0.4015,,,1.0,8.6,1.0,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201160-201189-2584,1610612740,"Chris Paul, Jarrett Jack, Jason Smith, Aaron Gray, Willie Green","Paul, Jack, Smith, Gray, Green",101108-101127-201160-201189-2584,NOH,329.0,3,5.0,-1.0,11.0,11.0,5.0,4.0,22.0,1.0,1.0,1.0,2.0,2.0,3.0,10.0,11.0,,,,3.0,,,,,,2.0,3.0,3.0,1.0,1.0,,1.0,3.0,4.0,3.0,4.0,2.0,10.0,3.0,5.0,,,1.0,,0.875,1.5,0.8333333333333334,1.5,1.0,1.0,1.0,,96.2917933130699,15.636363636363637,14.272727272727273,15.454545454545455,13.636363636363637,0.25,0.25,1.0,1.0,,0.43425,0.3243,0.3333333333333333,0.5,0.3,14.1,0.45454545454545453,1.0,2.0,1.0,,,0.5,,,,0.25,0.5,25.45,1.0,,,1.0,,,,,,4.0,,,2.0,1.0,,4.0,,,,,,0.6666666666666666,,,,,,,,1.0,1.0,,,,,,,,,1.0,1.0,3.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201160-2584-2731,1610612740,"Chris Paul, Jarrett Jack, Jason Smith, Willie Green, Emeka Okafor","Paul, Jack, Smith, Green, Okafor",101108-101127-201160-2584-2731,NOH,105.0,1,2.0,-2.0,2.0,3.0,,,5.0,1.0,,1.0,1.0,2.0,,2.0,4.0,,,,,,,,,,,1.0,1.0,,,,,,1.0,1.0,,,2.0,,,,,0.5,,0.5,,0.5,,,0.5,,,68.57142857142857,23.0,19.666666666666668,23.0,19.666666666666668,0.5,0.5,,,,0.42095,,,,,10.25,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
101108-101127-201160-2731-2772,1610612740,"Chris Paul, Jarrett Jack, Jason Smith, Emeka Okafor, Trevor Ariza","Paul, Jack, Smith, Okafor, Ariza",101108-101127-201160-2731-2772,NOH,286.0,3,5.0,3.0,9.0,7.0,6.0,2.0,16.0,2.0,2.0,4.0,5.0,7.0,,10.0,7.0,3.0,4.0,,6.0,8.0,4.0,4.0,1.0,8.0,1.0,4.0,4.0,1.0,1.0,,,1.0,3.0,1.0,,,10.0,6.0,6.0,0.8,0.8,0.7142857142857143,0.75,0.7142857142857143,0.75,0.7142857142857143,0.75,1.0,1.0,,1.0,80.55944055944056,16.666666666666668,19.428571428571427,16.666666666666668,19.428571428571427,0.2857142857142857,0.5714285714285714,0.5,0.5,0.5,0.4051,0.3723,,,0.6,13.057142857142859,0.6666666666666666,,,,,,,,,,,0.14285714285714285,,,1.0,1.0,2.0,,,,,,2.0,,1.0,1.0,,,2.0,,1.0,,,,1.0,1.0,,,,0.14285714285714285,1.0,1.0,1.0,1.0,,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,1.0,,1.0,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612740,2011,2010-11,False
