EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,HeaveAttempts,DefTwoPtRebounds,DefRebounds,Rebounds,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,Avg3ptShotDistance,FTDefRebounds,Steals,BadPassSteals,DefFTReboundPct,Minutes,PlusMinus,OpponentPoints,DefThreePtRebounds,ShootingFouls,Fouls,DefThreePtReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,FtPoints,Points,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,Fg2aBlocked,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,FirstChancePoints,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGM,SecondChanceArc3FGA,FG3M,SecondChanceFG3A,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,OffThreePtRebounds,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFouls,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,AtRimPctBlocked,LongMidRangePctBlocked,OffThreePtReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceArc3Frequency,NonHeaveArc3Accuracy,ThreePtShootingFoulsDrawnPct,PenaltyAtRimFGM,LongMidRangeFGM,PenaltyFG2M,PenaltyFtPoints,PenaltyPoints,PtsPutbacks,LongMidRangeAssists,LostBallTurnovers,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimAccuracy,PenaltyPointsPct,BlockingFoulsDrawn,DefCorner3ReboundPct,RecoveredBlocks,BlocksRecoveredPct,SelfOReb,OffAtRimReboundPct,OffLongMidRangeReboundPct,SelfORebPct,Loose Ball Fouls,SecondChanceFtPoints,ShortMidRangeFGM,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted3s,Corner3Assists,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Accuracy,ShortMidRangeAssists,Charge Fouls,Loose Ball Fouls Drawn,ShortMidRangePctAssisted,Charge Fouls Drawn,3SecondViolations,LostBallOutOfBoundsTurnovers,Offensive Fouls,Technical Free Throw Trips,BlockedLongMidRange,DefensiveGoaltends,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGA,Defensive 3 Seconds Violations,SecondChanceCorner3Frequency,OffCorner3ReboundPct,SecondChanceAtRimPctAssisted,StepOutOfBoundsTurnovers,Blocked3s,BlockedArc3,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3pt And 1 Free Throw Trips,Clear Path Fouls,OffensiveGoaltends,Corner3PctBlocked,team_id,year,season,team_vs
101126-101144-1718-200765-201175,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Rajon Rondo, Glen Davis","Robinson, Wafer, Pierce, Rondo, Davis",101126-101144-1718-200765-201175,BOS,24.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,60.0,23.0,23.0,1.0,1.0,1.0,74.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101126-101144-1718-200765-2605,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Rajon Rondo, Marquis Daniels","Robinson, Wafer, Pierce, Rondo, Daniels",101126-101144-1718-200765-2605,BOS,6.0,2,2.0,2.0,2.0,,,,,,,1.0,1.0,,,,,480.0,3.0,3.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101126-101144-1718-200765-951,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Rajon Rondo, Ray Allen","Robinson, Wafer, Pierce, Rondo, Allen",101126-101144-1718-200765-951,BOS,78.0,7,6.0,5.0,6.0,,,,,,1.0,2.0,2.0,,1.0,1.0,,110.76923076923076,12.833333333333334,12.833333333333334,,,,,,,,,1.0,-2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101126-101144-1718-201175-201623,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Semih Erden","Robinson, Wafer, Pierce, Davis, Erden",101126-101144-1718-201175-201623,BOS,307.0,3,10.0,3.0,21.0,,,,,,2.0,3.0,4.0,,0.4,0.5,0.5,98.50162866449512,14.6,14.0,,,0.4444444444444444,,,2.0,1.0,,5.0,-1.0,6.0,1.0,2.0,3.0,1.0,0.5,1.0,11.0,3.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,9.0,1.0,5.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,3.0,0.5,0.5,0.2222222222222222,1.0,0.2222222222222222,1.0,0.25,1.0,0.1111111111111111,1.0,0.5,0.16666666666666666,0.16666666666666666,1.0,14.636363636363637,14.090909090909092,0.4444444444444444,0.5,0.5,0.5,0.1111111111111111,0.4444444444444444,1.0,1.0,0.5,0.4874444444444444,0.538,0.55835,0.1,0.1,0.4,10.11111111111111,0.2727272727272727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101126-101144-1718-201175-202376,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Luke Harangody","Robinson, Wafer, Pierce, Davis, Harangody",101126-101144-1718-201175-202376,BOS,33.0,1,1.0,1.0,2.0,,,,,,,,,,,,,87.27272727272727,14.0,14.0,,,,,,,,,1.0,-2.0,2.0,,,,,,,1.0,1.0,,,,,,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,19.0,19.0,,,,,,1.0,,,,0.3651,,0.3651,,,,14.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101126-101144-1718-201175-2570,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Kendrick Perkins","Robinson, Wafer, Pierce, Davis, Perkins",101126-101144-1718-201175-2570,BOS,509.0,2,15.0,,30.0,5.0,,5.0,,,4.0,6.0,8.0,0.3333333333333333,1.0,1.0,1.0,84.87229862475444,14.0,14.0,0.3333333333333333,,0.5333333333333333,24.8,1.0,,,1.0,8.0,-10.0,20.0,1.0,4.0,6.0,1.0,,1.0,15.0,,2.0,2.0,3.0,,,,3.0,4.0,2.0,10.0,3.0,10.0,,,,,4.0,,2.0,2.0,3.0,2.0,7.0,,2.0,,,,1.0,,1.0,,8.0,4.0,1.0,,,,,10.0,,1.0,1.0,0.2,,0.23333333333333334,,0.3125,,0.2,,,,0.16666666666666666,,19.933333333333334,19.066666666666666,0.2,0.6666666666666666,1.0,1.0,0.2,0.26666666666666666,,,,0.4835766666666667,,,0.125,0.1,,10.6,,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.2,0.2,0.3333333333333333,0.25,0.5,0.5,1.0,0.2,0.2,1.0,1.0,0.2,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101126-101144-1718-201175-2605,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Marquis Daniels","Robinson, Wafer, Pierce, Davis, Daniels",101126-101144-1718-201175-2605,BOS,156.0,2,5.0,2.0,10.0,,,,,,,,3.0,,,,,92.3076923076923,9.8,9.8,,,0.3333333333333333,,,,,,3.0,-2.0,9.0,,3.0,3.0,,,,5.0,2.0,3.0,1.0,2.0,1.0,2.0,1.0,3.0,1.0,2.0,6.0,3.0,7.0,1.0,3.0,2.0,3.0,2.0,2.0,,1.0,1.0,,2.0,3.0,3.0,,1.0,,,,1.0,,2.0,3.0,,,,,,5.0,2.0,0.5,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,,,1.0,0.75,0.75,1.0,21.4,14.6,0.3333333333333333,0.5,0.5,,0.5,0.16666666666666666,0.6666666666666666,0.5,0.3333333333333333,0.45680000000000004,0.5210333333333333,0.4678333333333333,0.14285714285714285,,0.2857142857142857,8.549999999999999,0.4,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,5.0,2.0,1.0,1.0,5.0,0.3333333333333333,0.3333333333333333,0.625,1.0,1.0,1.0,1.0,0.7142857142857143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101126-101144-1718-201175-406,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Shaquille O'Neal","Robinson, Wafer, Pierce, Davis, O'Neal",101126-101144-1718-201175-406,BOS,168.0,2,5.0,,9.0,,,,,,2.0,3.0,3.0,,1.0,1.0,,77.14285714285715,19.2,19.2,,,0.25,,,,,,3.0,4.0,2.0,1.0,,,1.0,,,4.0,,,1.0,1.0,,,,1.0,2.0,3.0,4.0,,6.0,,,,,4.0,2.0,,2.0,2.0,1.0,4.0,,,,,,,,,,1.0,,,,,,,6.0,,0.6666666666666666,0.6666666666666666,0.75,,0.75,,0.75,,,,,,,,18.0,18.0,0.25,1.0,1.0,1.0,0.25,0.5,,,,0.481925,,,,,,11.475,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,1.0,,,,,,1.0,1.0,0.5,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101126-101144-1718-201175-708,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Kevin Garnett","Robinson, Wafer, Pierce, Davis, Garnett",101126-101144-1718-201175-708,BOS,43.0,1,1.0,1.0,4.0,1.0,1.0,1.0,1.0,,,,,0.3333333333333333,,,,133.95348837209303,10.0,10.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,25.8,,,,,1.0,,3.0,,,,,,,3.0,3.0,,1.0,1.0,,,1.0,,1.0,1.0,2.0,1.0,3.0,,,,2.0,,2.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,3.0,3.0,,,0.5,,0.3333333333333333,,0.5,,,,,,,,11.0,11.0,0.3333333333333333,1.0,1.0,,,0.3333333333333333,,,0.3333333333333333,0.44903333333333334,,0.44903333333333334,0.3333333333333333,0.5,,11.05,1.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,1.0,1.0,3.0,,,,3.0,0.5,0.3333333333333333,0.5,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101126-101144-1718-201175-979,1610612738,"Nate Robinson, Von Wafer, Paul Pierce, Glen Davis, Jermaine O'Neal","Robinson, Wafer, Pierce, Davis, O'Neal",101126-101144-1718-201175-979,BOS,165.0,1,6.0,,11.0,2.0,,2.0,,,2.0,3.0,3.0,1.0,1.0,1.0,,96.0,14.5,14.5,1.0,,1.0,25.95,,,,,3.0,1.0,2.0,1.0,,,1.0,1.0,1.0,5.0,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,3.0,,,,3.0,2.0,,,3.0,,,,,1.0,,1.0,1.0,3.0,,,,,,0.75,,0.75,,,,1.0,,,,15.6,15.6,,,,,,,,,,0.537975,,,,,,,,1.0,,1.0,,3.0,2.0,1.0,1.0,1.0,,,,,,,,1.0,0.5,0.5,,,,,1.0,0.5,0.5,1.0,,0.5,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
