EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGA,LongMidRangeFGM,LongMidRangeFGA,Arc3FGA,FG2M,FG2A,FG3A,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,NonHeaveArc3FGA,OffThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,SelfOReb,ShootingFouls,Fouls,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefTwoPtReboundPct,OffThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefAtRimReboundPct,SelfORebPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Arc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,AtRimFGM,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,PenaltyArc3FGA,FG3M,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,AtRimAssists,LongMidRangeAssists,AssistPoints,DefThreePtRebounds,FTDefRebounds,Steals,BadPassSteals,BlockingFouls,Loose Ball Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,DefFTReboundPct,DefThreePtReboundPct,DefShortMidRangeReboundPct,DefArc3ReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,SecondChanceAtRimFGA,ShortMidRangeFGA,Fg2aBlocked,OffTwoPtRebounds,FoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,OffTwoPtReboundPct,OffAtRimReboundPct,OffShortMidRangeReboundPct,BlocksRecoveredPct,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceShotQualityAvg,ShortMidRangeFGM,FtPoints,LiveBallTurnovers,BadPassTurnovers,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Charge Fouls Drawn,FTA,TwoPtShootingFoulsDrawn,LiveBallTurnoverPct,DefLongMidRangeReboundPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LostBallTurnovers,Technical Free Throw Trips,PenaltyFtPoints,SecondChanceAtRimFGM,Arc3FGM,PenaltyArc3FGM,PtsPutbacks,NonHeaveArc3FGM,Arc3Assists,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,2pt And 1 Free Throw Trips,BlockedShortMidRange,DefCorner3ReboundPct,DefensiveGoaltends,PtsUnassisted3s,LostBallSteals,Offensive Fouls,SecondChanceAtRimPctAssisted,SecondChanceFtPoints,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,SecondChanceTurnovers,BlockingFoulsDrawn,NonShootingFoulsDrawn,ShortMidRangePctBlocked,ShortMidRangePctAssisted,SecondChanceArc3FGA,SecondChanceFG3A,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockedLongMidRange,NonShootingPenaltyNonTakeFoulsDrawn,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,LongMidRangePctBlocked,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Fg3aBlocked,LostBallOutOfBoundsTurnovers,Travels,Charge Fouls,FG3APctBlocked,Corner3PctBlocked,Arc3PctBlocked,HeaveAttempts,3SecondViolations,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,FTOffRebounds,OffFTReboundPct,Defensive 3 Seconds Violations,Clear Path Fouls,ThreePtShootingFoulsDrawn,Blocked3s,BlockedArc3,OffensiveGoaltends,SecondChanceCorner3PctAssisted,ThreePtShootingFoulsDrawnPct,BlockedCorner3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
1495-1938-200779-201588-202390,1610612759,"Tim Duncan, Manu Ginobili, Steve Novak, George Hill, Gary Neal","Duncan, Ginobili, Novak, Hill, Neal",1495-1938-200779-201588-202390,SAS,97.0,1,2.0,-3.0,2.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,1.0,0.5,74.22680412371133,23.0,17.0,11.0,17.0,0.3333333333333333,0.3333333333333333,1.0,1.0,0.3333333333333333,0.6666666666666666,0.5125833333333333,1.0,11.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2011,2010-11,True
1495-1938-200779-2225-2588,1610612759,"Tim Duncan, Manu Ginobili, Steve Novak, Tony Parker, Matt Bonner","Duncan, Ginobili, Novak, Parker, Bonner",1495-1938-200779-2225-2588,SAS,174.0,1,3.0,4.0,7.0,6.0,,13.0,2.0,1.0,2.0,2.0,2.0,4.0,3.0,7.0,3.0,,,,,2.0,,2.0,4.0,,4.0,,,2.0,0.5,,0.5,,0.5,,0.42857142857142855,0.6666666666666666,,0.75,,,1.0,,107.58620689655173,11.142857142857142,16.0,11.142857142857142,13.666666666666666,0.2857142857142857,0.2857142857142857,0.5,0.5,0.2857142857142857,0.7142857142857143,0.4750571428571429,,10.2,24.433333333333334,7.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,3.0,7.0,4.0,3.0,2.0,1.0,3.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.14285714285714285,1.0,1.0,1.0,0.2857142857142857,0.5,0.14285714285714285,1.0,0.2857142857142857,0.4750571428571429,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2011,2010-11,True
1495-1938-200809-201588-2588,1610612759,"Tim Duncan, Manu Ginobili, Chris Quinn, George Hill, Matt Bonner","Duncan, Ginobili, Quinn, Hill, Bonner",1495-1938-200809-201588-2588,SAS,193.0,2,3.0,-6.0,4.0,6.0,1.0,10.0,4.0,,1.0,,,6.0,,,6.0,,2.0,,,,,2.0,3.0,2.0,5.0,,1.0,3.0,,,,,,,,0.6666666666666666,,0.75,0.3333333333333333,,1.0,,74.61139896373057,20.5,18.5,18.25,18.0,0.6666666666666666,0.16666666666666666,,,,0.6666666666666666,0.4782,,6.566666666666666,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5,0.3333333333333333,0.25,1.0,1.0,0.16666666666666666,1.0,0.5163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2011,2010-11,True
1495-1938-200809-201971-202390,1610612759,"Tim Duncan, Manu Ginobili, Chris Quinn, DeJuan Blair, Gary Neal","Duncan, Ginobili, Quinn, Blair, Neal",1495-1938-200809-201971-202390,SAS,257.0,1,4.0,2.0,10.0,9.0,,19.0,3.0,,,1.0,3.0,5.0,1.0,8.0,6.0,,,,6.0,1.0,,3.0,3.0,,3.0,,,,0.6,,0.5,,0.5714285714285714,,0.16666666666666666,0.6,,0.5,,,0.3333333333333333,,106.4591439688716,12.4,14.777777777777779,12.4,13.666666666666666,0.5,,,,0.16666666666666666,0.6666666666666666,0.504925,,5.34,26.6,3.0,9.0,1.0,,,,,,,,,2.0,2.0,,,4.0,,,,,,,,,,,,1.0,1.0,,,8.0,4.0,3.0,,,,,,,,1.0,1.0,1.0,,,1.0,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,0.4009,0.5,0.3,,2.0,,,2.0,2.0,2.0,2.0,1.0,,,,,,0.5,0.3333333333333333,,,2.0,2.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,0.6666666666666666,1.0,1.0,1.0,0.14285714285714285,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2011,2010-11,True
1495-1938-200809-201971-2210,1610612759,"Tim Duncan, Manu Ginobili, Chris Quinn, DeJuan Blair, Richard Jefferson","Duncan, Ginobili, Quinn, Blair, Jefferson",1495-1938-200809-201971-2210,SAS,120.0,1,2.0,-7.0,4.0,4.0,,8.0,,,1.0,2.0,,1.0,2.0,1.0,8.0,,,,,2.0,,,,,,,1.0,1.0,,,,,,,0.6666666666666666,,,,,,,,96.0,15.5,14.5,15.5,10.75,,0.3333333333333333,,,0.6666666666666666,0.6666666666666666,0.507,,15.8,26.3,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2011,2010-11,True
1495-1938-200809-202390-2588,1610612759,"Tim Duncan, Manu Ginobili, Chris Quinn, Gary Neal, Matt Bonner","Duncan, Ginobili, Quinn, Neal, Bonner",1495-1938-200809-202390-2588,SAS,38.0,2,1.0,-3.0,1.0,2.0,,3.0,,,,,,,,1.0,4.0,,,,,,,,,,,,1.0,1.0,,,,,0.5,,,,,,,,,,113.6842105263158,10.0,14.0,10.0,14.0,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,,,,2.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2011,2010-11,True
1495-1938-200809-202390-686,1610612759,"Tim Duncan, Manu Ginobili, Chris Quinn, Gary Neal, Antonio McDyess","Duncan, Ginobili, Quinn, Neal, McDyess",1495-1938-200809-202390-686,SAS,72.0,1,1.0,3.0,2.0,2.0,1.0,4.0,3.0,,,1.0,1.0,3.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,,1.0,1.0,2.0,3.0,,,,0.3333333333333333,1.0,0.625,1.0,0.625,1.0,0.25,1.0,,1.0,1.0,,,,80.0,16.5,19.5,16.5,19.5,0.75,,,,0.25,1.0,0.560125,0.4,2.0,23.8,2.0,2.0,1.0,1.0,3.0,,,,,1.0,1.0,1.0,3.0,1.0,1.0,5.0,,3.0,,1.0,1.0,,,,3.0,,,,,,,3.0,5.0,2.0,,,,1.0,1.0,1.0,1.0,0.3333333333333333,0.625,0.625,,,1.0,,0.3333333333333333,0.5,,,,,,,0.75,0.3333333333333333,,,0.25,0.560125,1.0,1.0,1.0,,1.0,2.0,,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,,1.0,0.5746,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2011,2010-11,True
1495-1938-200809-2137-2210,1610612759,"Tim Duncan, Manu Ginobili, Chris Quinn, Ime Udoka, Richard Jefferson","Duncan, Ginobili, Quinn, Udoka, Jefferson",1495-1938-200809-2137-2210,SAS,121.0,1,2.0,4.0,4.0,4.0,,8.0,1.0,1.0,1.0,,3.0,4.0,,6.0,2.0,,,,4.0,,,2.0,2.0,,2.0,,,,0.75,,0.75,,0.75,,,1.0,,1.0,,,,,95.20661157024794,10.5,19.75,10.5,19.75,0.25,0.25,1.0,1.0,,0.25,0.455425,,11.225,,4.0,,1.0,1.0,1.0,,,,,,,3.0,4.0,,,6.0,2.0,,1.0,,1.0,,,1.0,2.0,,,,,,,6.0,6.0,4.0,,0.3333333333333333,0.3333333333333333,,,,,0.75,0.75,0.75,,,1.0,,1.0,1.0,,1.0,,,,,0.25,1.0,,,,0.455425,1.0,1.0,,2.0,,,,,,,,,,,,,,0.5,,,1.0,,,,,,,,,,,1.0,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2011,2010-11,True
1495-1938-200809-2210-686,1610612759,"Tim Duncan, Manu Ginobili, Chris Quinn, Richard Jefferson, Antonio McDyess","Duncan, Ginobili, Quinn, Jefferson, McDyess",1495-1938-200809-2210-686,SAS,53.0,1,1.0,2.0,2.0,1.0,,3.0,1.0,1.0,1.0,,2.0,2.0,,4.0,2.0,,,,2.0,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,81.50943396226415,12.5,28.0,12.5,28.0,0.5,0.5,1.0,1.0,,0.5,0.5219,,10.95,,,,1.0,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,1.0,2.0,,,,,,,4.0,,,,0.5,0.5,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2011,2010-11,True
1495-1938-201168-201588-2210,1610612759,"Tim Duncan, Manu Ginobili, Tiago Splitter, George Hill, Richard Jefferson","Duncan, Ginobili, Splitter, Hill, Jefferson",1495-1938-201168-201588-2210,SAS,257.0,2,4.0,3.0,8.0,8.0,,16.0,1.0,2.0,4.0,,3.0,7.0,,9.0,6.0,,,,4.0,,,4.0,5.0,,5.0,,,,0.42857142857142855,,0.42857142857142855,,0.5,,,1.0,,1.0,,,1.0,,89.64980544747083,16.875,15.25,16.875,15.25,0.14285714285714285,0.5714285714285714,0.5,0.5,,0.14285714285714285,0.41577142857142857,,12.428571428571429,,,,,,,,,,,,,,,,,,2.0,,1.0,,1.0,,,1.0,2.0,1.0,,,,,,9.0,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,1.0,1.0,,,,,0.5,,,,,,,,,,,,,,2.0,,,3.0,1.0,,1.0,1.0,,,,,,1.0,0.2857142857142857,,,1.0,3.0,,,,,,,5.0,3.0,,1.0,0.5,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612759,2011,2010-11,True
