EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,OffPoss,PenaltyOffPoss,TotalPoss,Arc3FGA,PenaltyArc3FGA,FG3A,PenaltyFG3A,NonHeaveArc3FGA,PenaltyOffPossExcludingTakeFouls,FG3APct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,Arc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg3ptShotDistance,PenaltyOffPossPct,Minutes,PlusMinus,DefPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGA,Arc3FGM,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,FG2M,FG2A,FG3M,FtPoints,Points,OpponentPoints,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFtPoints,PenaltyPoints,PtsUnassisted2s,PtsUnassisted3s,NonHeaveArc3FGM,OffTwoPtRebounds,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,Steals,LostBallSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,LongMidRangeFrequency,Arc3Accuracy,UnblockedArc3Accuracy,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyDefPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffThreePtRebounds,Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,SecondChanceFg2Pct,OffThreePtReboundPct,OffArc3ReboundPct,AtRimPctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,Fg2aBlocked,ShortMidRangeAssists,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,BlockedLongMidRange,FG2APctBlocked,AtRimPctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceFtPoints,PtsAssisted3s,PtsPutbacks,ThreePtAssists,Corner3Assists,FTDefRebounds,SelfOReb,BadPassSteals,BadPassTurnovers,ShootingFouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedShortMidRange,NonShootingPenaltyNonTakeFouls,Assisted3sPct,DefFTReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,ThreePtShootingFoulsDrawnPct,SecondChanceCorner3FGA,Arc3Assists,DefensiveGoaltends,Arc3PctAssisted,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,Charge Fouls,OffCorner3ReboundPct,HeaveAttempts,LongMidRangeAssists,LongMidRangePctAssisted,Loose Ball Fouls,BadPassOutOfBoundsTurnovers,LostBallOutOfBoundsTurnovers,BlockingFouls,Charge Fouls Drawn,Defensive 3 Seconds Violations,SecondChanceArc3PctAssisted,StepOutOfBoundsTurnovers,FTOffRebounds,Travels,3SecondViolations,OffFTReboundPct,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,Blocked3s,BlockedArc3,team_id,year,season,team_vs
101144-1718-200765-201145-708,1610612738,"Von Wafer, Paul Pierce, Rajon Rondo, Jeff Green, Kevin Garnett","Wafer, Pierce, Rondo, Green, Garnett",101144-1718-200765-201145-708,BOS,4.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,360.0,4.0,4.0,1.0,1.0,1.0,0.2286,0.2286,28.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101144-201145-201175-2211-2753,1610612738,"Von Wafer, Jeff Green, Glen Davis, Troy Murphy, Delonte West","Wafer, Green, Davis, Murphy, West",101144-201145-201175-2211-2753,BOS,183.0,1,6.0,6.0,13.0,3.0,3.0,3.0,3.0,3.0,6.0,0.6,102.29508196721312,10.5,8.666666666666666,0.6,0.6,0.8,0.49257999999999996,0.49257999999999996,25.400000000000002,1.0,3.0,4.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,8.0,4.0,1.0,1.0,3.0,1.0,2.0,1.0,3.0,8.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,4.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,8.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5,1.5,0.5,0.5714285714285714,1.5,0.5714285714285714,1.0,1.0,0.6666666666666666,0.75,0.3333333333333333,1.0,1.0,1.0,0.5,1.0,17.142857142857142,13.857142857142858,0.2,1.0,1.0,0.2,0.3333333333333333,0.3333333333333333,1.0,1.0,0.2,1.0,0.3333333333333333,0.3333333333333333,0.48465,0.16666666666666666,0.3333333333333333,0.375,1.0,10.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
101144-201145-201175-2420-2753,1610612738,"Von Wafer, Jeff Green, Glen Davis, Nenad Krstic, Delonte West","Wafer, Green, Davis, Krstic, West",101144-201145-201175-2420-2753,BOS,121.0,1,3.0,1.0,6.0,1.0,,1.0,,1.0,1.0,0.3333333333333333,71.40495867768595,22.333333333333332,20.666666666666668,0.3333333333333333,,0.6666666666666666,0.4608666666666667,0.239,25.4,0.3333333333333333,2.0,-1.0,3.0,1.0,1.0,1.0,,,1.0,,,,,1.0,2.0,,1.0,3.0,4.0,,,2.0,,1.0,,,,,,,,,,,1.0,1.0,,,1.0,2.0,1.0,,,,,,1.0,,,,,,,0.5,,0.3333333333333333,1.0,,0.375,1.0,,,,,,0.5,,,,,,18.0,18.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,,,,,,,,,0.25,0.3333333333333333,0.6666666666666666,,11.55,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
1718-200765-201145-201175-2420,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Glen Davis, Nenad Krstic","Pierce, Rondo, Green, Davis, Krstic",1718-200765-201145-201175-2420,BOS,174.0,1,8.0,8.0,15.0,1.0,1.0,1.0,1.0,1.0,8.0,0.2,124.13793103448276,10.875,10.125,0.2,0.2,0.4,0.40718,0.40718,24.1,1.0,3.0,1.0,7.0,2.0,,1.0,,1.0,1.0,,,,,2.0,4.0,,3.0,7.0,6.0,,,,2.0,4.0,,3.0,7.0,2.0,,,1.0,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,7.0,7.0,1.0,,,,,0.5,0.5,0.4,,0.4,0.5833333333333334,,0.5833333333333334,0.5,0.5,,0.5,0.3333333333333333,,,,,0.5,12.428571428571429,11.0,0.2,,,0.2,,,,,0.2,,,,,0.2,0.25,,1.0,7.575,7.0,,,,,2.0,1.0,1.0,,2.0,,1.0,0.5,0.5,,,,,,,,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.4,0.5,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
1718-200765-201145-201175-2753,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Glen Davis, Delonte West","Pierce, Rondo, Green, Davis, West",1718-200765-201145-201175-2753,BOS,869.0,5,27.0,6.0,52.0,3.0,,7.0,2.0,3.0,6.0,0.25925925925925924,86.16800920598389,16.51851851851852,15.666666666666666,0.1111111111111111,,0.7037037037037037,0.5200592592592593,0.5100375,23.985714285714288,0.2222222222222222,14.0,18.0,25.0,6.0,4.0,12.0,,1.0,4.0,,,1.0,,6.0,20.0,3.0,12.0,33.0,15.0,,1.0,9.0,1.0,2.0,2.0,2.0,10.0,8.0,,,8.0,3.0,7.0,12.0,8.0,20.0,4.0,2.0,10.0,13.0,4.0,1.0,4.0,1.0,4.0,1.0,24.0,10.0,1.0,0.42857142857142855,,1.0,0.42857142857142855,0.3,0.5,0.3888888888888889,0.5714285714285714,1.0,0.5,0.6428571428571429,1.0,0.5833333333333334,0.5714285714285714,1.0,0.6666666666666666,0.4444444444444444,0.3333333333333333,1.0,1.0,1.0,0.25,16.92,16.28,0.4444444444444444,0.3333333333333333,0.3333333333333333,0.14814814814814814,,,0.14285714285714285,,0.25,,,,0.6072214285714285,0.16129032258064516,0.17391304347826086,0.2727272727272727,0.30303030303030304,5.01,9.0,4.0,6.0,4.0,6.0,4.0,2.0,5.0,1.0,13.0,,5.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,,,0.25,0.8571428571428571,0.6666666666666666,0.25,1.0,4.0,1.0,1.0,1.0,3.0,,2.0,3.0,1.0,1.0,,1.0,,0.05,,0.25,1.0,,0.6666666666666666,0.14814814814814814,0.25,0.3333333333333333,1.0,0.25,0.25,3.0,4.0,2.0,2.0,1.0,9.0,6.0,3.0,3.0,2.0,3.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,0.875,0.4,0.17647058823529413,0.14814814814814814,0.75,0.75,1.0,0.5,1.0,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
1718-200765-201145-201175-708,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Glen Davis, Kevin Garnett","Pierce, Rondo, Green, Davis, Garnett",1718-200765-201145-201175-708,BOS,306.0,3,10.0,4.0,20.0,2.0,1.0,3.0,1.0,2.0,4.0,0.2727272727272727,94.11764705882354,13.6,12.7,0.18181818181818182,0.3333333333333333,0.7272727272727273,0.4885136363636363,0.48855,24.5,0.4,5.0,-2.0,10.0,3.0,3.0,5.0,1.0,1.0,1.0,1.0,,,,3.0,8.0,1.0,,9.0,11.0,,1.0,2.0,1.0,2.0,,,2.0,2.0,,1.0,3.0,,4.0,4.0,3.0,7.0,,,1.0,2.0,1.0,,1.0,1.0,1.0,,7.0,2.0,,0.3333333333333333,,,0.3333333333333333,0.375,0.5,0.4090909090909091,0.3333333333333333,0.3333333333333333,0.375,0.3333333333333333,0.3333333333333333,0.8,0.6,,0.8,0.42857142857142855,1.0,0.6666666666666666,,,,17.0,15.5,0.45454545454545453,0.6,0.6,0.09090909090909091,0.5,0.5,,,0.3333333333333333,1.0,,0.5,0.5973,0.08333333333333333,0.1111111111111111,0.2222222222222222,0.2222222222222222,5.5,5.0,1.0,2.0,1.0,2.0,4.0,2.0,3.0,2.0,7.0,,3.0,0.6666666666666666,1.0,0.5,,,0.6666666666666666,0.6666666666666666,0.5,,,2.0,,,,2.0,,,2.0,,1.0,,,,,,,1.0,0.5,1.0,0.18181818181818182,,,,,,,1.0,,,,3.0,2.0,1.0,,,1.0,,2.0,1.0,,,,,,,1.0,1.0,,0.5,,0.14285714285714285,0.09090909090909091,,,,,,,1.0,1.0,1.0,1.0,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
1718-200765-201145-201175-951,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Glen Davis, Ray Allen","Pierce, Rondo, Green, Davis, Allen",1718-200765-201145-201175-951,BOS,401.0,6,12.0,5.0,26.0,5.0,3.0,6.0,3.0,5.0,5.0,0.42857142857142855,93.36658354114712,15.333333333333334,14.333333333333334,0.35714285714285715,0.6,0.7857142857142857,0.5287107142857143,0.50473,24.383333333333336,0.4166666666666667,7.0,1.0,14.0,4.0,1.0,5.0,,1.0,2.0,2.0,,,1.0,2.0,8.0,3.0,2.0,15.0,14.0,,,2.0,,2.0,1.0,2.0,5.0,4.0,3.0,2.0,2.0,1.0,2.0,5.0,3.0,8.0,2.0,1.0,2.0,2.0,,1.0,1.0,1.0,1.0,1.0,13.0,5.0,1.0,0.5,,0.3333333333333333,0.5,0.25,,0.4642857142857143,0.25,0.3,0.5,0.25,0.4166666666666667,1.0,0.3333333333333333,1.0,1.0,0.3333333333333333,,1.0,1.0,,1.0,15.5,15.5,0.35714285714285715,0.2,0.2,0.14285714285714285,0.4,0.5,,,0.2,,0.3333333333333333,0.4,0.5313,,,0.13333333333333333,0.3333333333333333,6.1375,8.0,1.0,3.0,1.0,4.0,,,2.0,,6.0,1.0,5.0,,,0.25,0.3333333333333333,0.3333333333333333,,0.75,0.3333333333333333,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,0.07142857142857142,1.0,1.0,,,,1.0,1.0,,,,6.0,2.0,2.0,1.0,2.0,,1.0,,2.0,,,1.0,,,,1.0,0.6666666666666666,1.0,0.5,,,0.07142857142857142,1.0,1.0,1.0,,,,,1.0,,0.5,,1.0,0.16666666666666666,0.2,,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
1718-200765-201145-2753-406,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Delonte West, Shaquille O'Neal","Pierce, Rondo, Green, West, O'Neal",1718-200765-201145-2753-406,BOS,60.0,1,2.0,2.0,5.0,,,,,,2.0,,120.0,9.5,9.5,,,,0.4079,0.4079,,1.0,1.0,-4.0,3.0,,,,,,1.0,,,,,,1.0,,,,4.0,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,13.666666666666666,13.666666666666666,,,,1.0,,,,,,,,,,,,,,23.0,3.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
1718-200765-201145-2753-708,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Delonte West, Kevin Garnett","Pierce, Rondo, Green, West, Garnett",1718-200765-201145-2753-708,BOS,228.0,2,6.0,6.0,12.0,1.0,1.0,2.0,2.0,1.0,6.0,0.4,75.78947368421053,18.333333333333332,15.666666666666666,0.2,0.2,0.8,0.51327,0.51327,23.6,1.0,4.0,-2.0,6.0,1.0,1.0,2.0,1.0,2.0,,,,,,2.0,3.0,,2.0,6.0,8.0,,,2.0,2.0,3.0,,2.0,6.0,,,,,,3.0,3.0,1.0,4.0,,,2.0,2.0,1.0,,1.0,1.0,1.0,,4.0,6.0,,,,,,0.6666666666666666,0.6666666666666666,0.4,1.0,0.4,0.5,1.0,0.5,0.6,,,0.6,0.3333333333333333,,0.75,,,,19.666666666666668,18.833333333333332,0.4,0.5,1.0,,,,,,0.4,0.5,,,,0.16666666666666666,0.25,0.3333333333333333,1.0,4.566666666666666,,,,1.0,1.0,4.0,2.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,0.5,,1.0,,,,1.0,1.0,,1.0,1.0,1.0,,,1.0,,1.0,,,,0.3333333333333333,0.5,,1.0,,,0.2,1.0,1.0,1.0,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,0.2,,,,0.2,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
1718-200765-201145-2753-951,1610612738,"Paul Pierce, Rajon Rondo, Jeff Green, Delonte West, Ray Allen","Pierce, Rondo, Green, West, Allen",1718-200765-201145-2753-951,BOS,44.0,5,,,6.0,1.0,1.0,1.0,1.0,,,1.0,196.36363636363637,,,1.0,1.0,1.0,,,40.8,,1.0,-3.0,6.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,,7.333333333333333,7.333333333333333,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1610612738,2011,2010-11,True
