EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGA,FG2M,FG2A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,DefRebounds,OffRebounds,Rebounds,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefLongMidRangeReboundPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,PenaltyPointsPct,Avg2ptShotDistance,PenaltyOffPossPct,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG3M,FG3A,PenaltyFG3M,PenaltyFG3A,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,LiveBallTurnovers,DeadBallTurnovers,LostBallTurnovers,Turnovers,PenaltyTurnovers,Fouls,Charge Fouls,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,FG3APct,LiveBallTurnoverPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,Avg3ptShotDistance,LongMidRangeFGA,OffThreePtRebounds,SelfOReb,OffThreePtReboundPct,OffArc3ReboundPct,SelfORebPct,LongMidRangeFrequency,ShortMidRangeFGM,LongMidRangeFGM,Corner3FGA,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceFtPoints,PtsUnassisted2s,HeaveAttempts,Fg2aBlocked,ShortMidRangeAssists,LongMidRangeAssists,FTOffRebounds,DefThreePtRebounds,Steals,BadPassSteals,LostBallSteals,SecondChanceTurnovers,ShootingFouls,Offensive Fouls,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,DefThreePtReboundPct,OffAtRimReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,SecondChanceArc3Frequency,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PtsPutbacks,FTDefRebounds,BadPassOutOfBoundsTurnovers,BadPassTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,Defensive 3 Seconds Violations,DefFTReboundPct,DefCorner3ReboundPct,PenaltyCorner3FGA,PtsAssisted3s,ThreePtAssists,Arc3Assists,Loose Ball Fouls,Charge Fouls Drawn,Loose Ball Fouls Drawn,Assisted3sPct,ShortMidRangePctBlocked,OffLongMidRangeReboundPct,Arc3PctAssisted,PenaltyCorner3Frequency,Corner3FGM,PenaltyCorner3FGM,Corner3Assists,NonShootingPenaltyNonTakeFouls,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,DefensiveGoaltends,OffensiveGoaltends,3SecondViolations,BlockedLongMidRange,BlockedShortMidRange,LostBallOutOfBoundsTurnovers,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,HeaveMakes,Travels,BlockingFoulsDrawn,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,Blocked3s,BlockedArc3,SecondChanceCorner3FGA,BlockingFouls,3pt And 1 Free Throw Trips,SecondChanceCorner3Frequency,SecondChanceCorner3FGM,StepOutOfBoundsTurnovers,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedCorner3,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,Clear Path Fouls,Arc3PctBlocked,team_id,year,season,team_vs
1710-201202-201596-2034-2544,1610612748,"Mike Bibby, Joel Anthony, Mario Chalmers, Mike Miller, LeBron James","Bibby, Anthony, Chalmers, Miller, James",1710-201202-201596-2034-2544,MIA,5.0,1,1.0,1.0,1.0,288.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,False
1710-201202-201596-2544-436,1610612748,"Mike Bibby, Joel Anthony, Mario Chalmers, LeBron James, Juwan Howard","Bibby, Anthony, Chalmers, James, Howard",1710-201202-201596-2544-436,MIA,85.0,1,2.0,,4.0,67.76470588235294,20.0,20.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,22.5,18.5,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,0.5,0.40965,0.4895,0.40965,0.6666666666666666,1.0,7.15,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,False
1710-201202-202354-2067-2592,1610612748,"Mike Bibby, Joel Anthony, Dexter Pittman, Eddie House, James Jones","Bibby, Anthony, Pittman, House, Jones",1710-201202-202354-2067-2592,MIA,135.0,1,5.0,,10.0,106.66666666666667,10.4,10.4,2.0,-1.0,5.0,5.0,,,,,,,,1.0,,1.0,,3.0,4.0,,,,,1.0,,3.0,,,,,,,3.0,3.0,,3.0,,,,3.0,3.0,5.0,,,,,,,0.75,,0.75,0.75,,0.75,1.0,,1.0,,,1.0,16.6,16.6,,,,,0.5,,,,,,0.5,0.460025,,0.460025,,1.0,8.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,25.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,False
1710-201202-2034-2067-2548,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, Eddie House, Dwyane Wade","Bibby, Anthony, Miller, House, Wade",1710-201202-2034-2067-2548,MIA,19.0,1,,,1.0,75.78947368421053,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,19.0,18.0,,,,,,,,,,,0.5,0.3888,,,,,18.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,0.5,,,,0.5,,,,,,24.4,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,False
1710-201202-2034-2544-2547,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, LeBron James, Chris Bosh","Bibby, Anthony, Miller, James, Bosh",1710-201202-2034-2544-2547,MIA,814.0,5,25.0,,49.0,86.68304668304668,16.24,15.76,14.0,-2.0,24.0,4.0,4.0,6.0,10.0,,1.0,,1.0,4.0,9.0,19.0,5.0,23.0,25.0,,1.0,1.0,,3.0,,,12.0,6.0,6.0,4.0,12.0,3.0,9.0,12.0,4.0,16.0,5.0,7.0,,22.0,,4.0,,0.6666666666666666,0.6666666666666666,0.47368421052631576,,,0.375,,,0.42592592592592593,0.16666666666666666,,0.75,0.3,0.75,0.21428571428571427,0.3333333333333333,1.0,17.0,16.083333333333332,0.4166666666666667,0.6,0.6666666666666666,0.6666666666666666,0.16666666666666666,0.5,,,0.25,,0.625,0.47968260869565216,0.536875,0.44226666666666664,0.043478260869565216,,7.9526315789473685,0.16666666666666666,,4.0,,1.0,,5.0,,1.0,,3.0,,,1.0,,1.0,1.0,6.0,,,,,0.20833333333333334,,0.6,0.75,0.16666666666666666,,,0.25,,,32.54,5.0,,,,,,0.20833333333333334,1.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,0.05263157894736842,0.1,0.3333333333333333,0.75,0.5,0.75,1.0,0.25,0.25,1.0,0.4,0.4,0.5,0.041666666666666664,0.5,0.14814814814814814,0.18181818181818182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,False
1710-201202-2034-2544-2548,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, LeBron James, Dwyane Wade","Bibby, Anthony, Miller, James, Wade",1710-201202-2034-2544-2548,MIA,1090.0,8,35.0,17.0,67.0,88.5137614678899,16.085714285714285,15.085714285714285,18.0,3.0,32.0,12.0,4.0,9.0,11.0,3.0,4.0,6.0,7.0,2.0,14.0,20.0,9.0,37.0,34.0,3.0,4.0,6.0,8.0,10.0,5.0,21.0,10.0,5.0,5.0,3.0,10.0,3.0,8.0,16.0,5.0,21.0,8.0,13.0,2.0,31.0,21.0,12.0,2.0,0.35714285714285715,0.4166666666666667,0.7,0.75,0.8,0.5,0.75,0.6153846153846154,0.5454545454545454,0.75,0.65625,1.0,0.6,0.8823529411764706,0.4166666666666667,1.0,1.0,16.46875,15.875,0.39285714285714285,0.8181818181818182,0.8181818181818182,0.3333333333333333,0.07142857142857142,1.0,0.75,0.3333333333333333,0.5384615384615384,0.8571428571428571,0.6785714285714286,0.5318333333333334,0.5757,0.5625375,0.16216216216216217,0.5675675675675675,8.290000000000001,0.375,,6.0,,3.0,,8.0,,3.0,,5.0,,3.0,4.0,1.0,7.0,1.0,6.0,1.0,,,,0.2857142857142857,0.42857142857142855,1.0,1.0,0.21428571428571427,,,0.23076923076923078,,,31.025,7.0,2.0,1.0,0.2857142857142857,0.4,0.08333333333333333,0.25,,5.0,2.0,,,,18.0,1.0,,,2.0,,7.0,2.0,1.0,1.0,1.0,4.0,,2.0,5.0,,,,,,,,0.7777777777777778,0.5,0.8571428571428571,,,,,0.7142857142857143,0.7142857142857143,0.4,0.07142857142857142,,0.16129032258064516,0.21739130434782608,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,False
1710-201202-2034-2544-2592,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, LeBron James, James Jones","Bibby, Anthony, Miller, James, Jones",1710-201202-2034-2544-2592,MIA,1146.0,9,37.0,21.0,73.0,91.72774869109946,14.675675675675675,14.027027027027026,19.0,-20.0,36.0,24.0,6.0,2.0,4.0,,,1.0,2.0,3.0,9.0,20.0,10.0,34.0,54.0,1.0,2.0,4.0,5.0,12.0,8.0,21.0,4.0,2.0,3.0,2.0,7.0,5.0,6.0,10.0,8.0,18.0,12.0,13.0,4.0,30.0,21.0,24.0,3.0,0.2222222222222222,0.2222222222222222,0.45,0.5,0.4166666666666667,0.375,0.2,0.30952380952380953,0.4342105263157895,0.3333333333333333,0.38461538461538464,0.5454545454545454,0.45454545454545453,0.6666666666666666,0.3684210526315789,0.5,0.75,16.75,15.527777777777779,0.125,0.5,0.6666666666666666,1.0,0.09375,,,,0.09523809523809523,0.5,0.5,0.4699234375,0.46795,0.4660690476190476,0.11764705882352941,0.6176470588235294,13.319999999999999,0.6666666666666666,2.0,10.0,1.0,7.0,2.0,12.0,1.0,9.0,3.0,10.0,2.0,4.0,2.0,2.0,6.0,4.0,9.0,,0.16666666666666666,0.1111111111111111,0.16666666666666666,0.375,0.6666666666666666,0.25,0.6666666666666666,0.3125,0.2,0.2,0.3333333333333333,0.14285714285714285,0.2,24.941666666666666,13.0,2.0,,0.25,0.3333333333333333,,0.40625,1.0,6.0,2.0,3.0,3.0,2.0,14.0,,2.0,,,1.0,4.0,1.0,1.0,,1.0,7.0,,,2.0,1.0,1.0,1.0,1.0,0.1,0.25,0.25,1.0,,1.0,1.0,0.3333333333333333,0.5,,0.46153846153846156,0.46153846153846156,,0.0625,0.6,0.058823529411764705,0.09090909090909091,,,1.0,2.0,,1.0,,,1.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,0.5,0.3333333333333333,0.5714285714285714,0.5,0.09523809523809523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,False
1710-201202-2034-2544-436,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, LeBron James, Juwan Howard","Bibby, Anthony, Miller, James, Howard",1710-201202-2034-2544-436,MIA,382.0,4,10.0,9.0,21.0,79.16230366492147,20.1,16.8,6.0,7.0,11.0,9.0,,,,,,,,2.0,4.0,5.0,,17.0,10.0,,,,3.0,4.0,,12.0,,,2.0,,6.0,,4.0,4.0,,4.0,,,,17.0,12.0,9.0,,,,0.8,,0.75,0.9444444444444444,,0.8571428571428571,0.9444444444444444,,0.8571428571428571,0.5714285714285714,,0.5714285714285714,,,0.5,16.454545454545453,16.454545454545453,,,,,0.2222222222222222,,,,,,0.4444444444444444,0.42955625,,0.42913333333333337,,0.7058823529411765,14.559999999999999,0.8181818181818182,1.0,2.0,1.0,2.0,3.0,4.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,,2.0,2.0,1.0,,0.75,0.6666666666666666,1.0,0.4444444444444444,0.5,0.3333333333333333,1.0,0.2222222222222222,0.5,0.5,0.2857142857142857,0.5,1.0,28.775,3.0,,,,,,0.3333333333333333,2.0,2.0,2.0,,,,8.0,1.0,,,,,,1.0,,1.0,,,,,,3.0,3.0,3.0,1.0,,,,,,,0.3333333333333333,1.0,1.0,,0.6666666666666666,0.6666666666666666,,0.2222222222222222,,,,,,,1.0,,,,,,1.0,6.0,2.0,1.0,,,,0.6666666666666666,,,1.0,0.14285714285714285,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,False
1710-201202-2034-2547-2548,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, Chris Bosh, Dwyane Wade","Bibby, Anthony, Miller, Bosh, Wade",1710-201202-2034-2547-2548,MIA,1851.0,7,61.0,2.0,119.0,92.5769854132901,15.672131147540984,14.950819672131148,31.0,-11.0,58.0,5.0,4.0,9.0,10.0,3.0,3.0,1.0,1.0,10.0,19.0,35.0,14.0,61.0,72.0,3.0,3.0,6.0,2.0,4.0,2.0,6.0,16.0,8.0,11.0,4.0,25.0,5.0,13.0,19.0,5.0,24.0,16.0,16.0,,55.0,6.0,5.0,,0.42105263157894735,0.5,0.5428571428571428,1.0,0.5,0.5,0.75,0.4,0.5754716981132075,0.75,0.5,0.6190476190476191,0.3125,0.7037037037037037,0.2,0.375,0.8333333333333334,15.431034482758621,15.293103448275861,0.2127659574468085,0.9,0.9,0.4444444444444444,0.2127659574468085,0.75,1.0,,0.2,1.0,0.46808510638297873,0.475518085106383,0.531475,0.4709,0.09836065573770492,0.09836065573770492,10.78857142857143,0.08620689655172414,3.0,11.0,,1.0,3.0,12.0,,1.0,,11.0,3.0,7.0,3.0,2.0,10.0,1.0,19.0,,0.25,,0.25,0.2553191489361702,0.7,0.375,0.7142857142857143,0.23404255319148937,0.2727272727272727,0.2727272727272727,0.2,,0.2727272727272727,24.974999999999998,15.0,,,,,,0.3191489361702128,2.0,8.0,1.0,1.0,1.0,,22.0,,1.0,,4.0,,6.0,9.0,8.0,1.0,,10.0,,4.0,10.0,3.0,3.0,3.0,1.0,0.02857142857142857,,,1.0,,1.0,0.3333333333333333,0.2,0.2222222222222222,,0.5333333333333333,0.5333333333333333,0.5,0.02127659574468085,0.25,0.18867924528301888,0.24390243902439024,6.0,,1.0,5.0,1.0,,,,1.0,,9.0,3.0,3.0,1.0,,,1.0,0.1,0.2857142857142857,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,False
1710-201202-2034-2547-2592,1610612748,"Mike Bibby, Joel Anthony, Mike Miller, Chris Bosh, James Jones","Bibby, Anthony, Miller, Bosh, Jones",1710-201202-2034-2547-2592,MIA,461.0,2,15.0,,30.0,93.70932754880694,14.8,13.866666666666667,8.0,-1.0,15.0,,,3.0,3.0,,,,,1.0,4.0,8.0,5.0,13.0,14.0,,,,,,,,8.0,4.0,4.0,3.0,8.0,,6.0,8.0,,8.0,5.0,6.0,,13.0,,,,1.0,1.0,0.5,,,0.5,,,0.5909090909090909,,,0.8571428571428571,,0.7777777777777778,,,1.0,15.933333333333334,15.933333333333334,0.375,1.0,1.0,1.0,0.125,,,,,,0.375,0.4714625,,,,,11.475,,,,,,,,,,,,,2.0,2.0,1.0,4.0,,4.0,,,,,,0.5,0.6666666666666666,1.0,,,,,,,,4.0,,,,,,0.5,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,2.0,,,3.0,4.0,2.0,4.0,3.0,,,,0.5,,0.5,0.75,,,,0.25,0.25,1.0,,,0.2727272727272727,0.2727272727272727,,1.0,1.0,1.0,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612748,2011,2010-11,False
