EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG2M,FG2A,FG3M,FG3A,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyPoints,PtsAssisted2s,PtsAssisted3s,TwoPtAssists,ThreePtAssists,Assists,Corner3Assists,ShortMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Fouls,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,PenaltyShotQualityAvg,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Arc3FGM,Arc3FGA,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,Arc3Assists,AtRimAssists,FTOffRebounds,OffRebounds,Steals,BadPassSteals,Loose Ball Fouls,FoulsDrawn,Offensive Fouls Drawn,FTA,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,NonHeaveArc3Accuracy,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyDefPoss,PenaltyArc3FGM,PenaltyArc3FGA,FtPoints,PenaltyFtPoints,PtsUnassisted3s,DefThreePtRebounds,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefThreePtReboundPct,DefArc3ReboundPct,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,LongMidRangeFGM,PtsUnassisted2s,PtsPutbacks,OffTwoPtRebounds,LostBallSteals,LiveBallTurnovers,BadPassTurnovers,Turnovers,PenaltyTurnovers,ShootingFouls,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,NonShootingPenaltyNonTakeFouls,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceFtPoints,OffThreePtRebounds,OffThreePtReboundPct,OffAtRimReboundPct,OffArc3ReboundPct,HeaveAttempts,Fg3aBlocked,LongMidRangeAssists,FTDefRebounds,SelfOReb,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,LostBallTurnovers,BlockingFouls,Charge Fouls,Offensive Fouls,Loose Ball Fouls Drawn,BlockingFoulsDrawn,Technical Free Throw Trips,BlockedShortMidRange,FG3APctBlocked,Arc3PctBlocked,DefFTReboundPct,OffLongMidRangeReboundPct,DefCorner3ReboundPct,SelfORebPct,LongMidRangePctAssisted,SecondChanceTurnovers,SecondChanceCorner3FGA,SecondChanceArc3FGM,SecondChanceArc3FGA,SecondChanceFG3M,SecondChanceFG3A,LostBallOutOfBoundsTurnovers,Travels,Charge Fouls Drawn,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,SecondChanceFg3Pct,OffCorner3ReboundPct,SecondChanceCorner3Frequency,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,ThreePtShootingFoulsDrawnPct,StepOutOfBoundsTurnovers,DefensiveGoaltends,Defensive 3 Seconds Violations,Corner3PctBlocked,SecondChanceArc3PctAssisted,3SecondViolations,Clear Path Fouls,HeaveMakes,team_id,year,season,team_vs
200796-201188-201564-201970-202349,1610612763,"Leon Powe, Marc Gasol, O.J. Mayo, Sam Young, Greivis Vasquez","Powe, Gasol, Mayo, Young, Vasquez",200796-201188-201564-201970-202349,MEM,93.0,1,2.0,5.0,3.0,2.0,3.0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,5.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,5.0,5.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.3333333333333333,1.0,1.0,1.0,1.0,77.41935483870968,13.666666666666666,26.0,13.666666666666666,26.0,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,1.0,0.3333333333333333,0.4626333333333333,0.4626333333333333,1.0,13.05,22.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
200796-201564-201589-202349-2203,1610612763,"Leon Powe, O.J. Mayo, Darrell Arthur, Greivis Vasquez, Shane Battier","Powe, Mayo, Arthur, Vasquez, Battier",200796-201564-201589-202349-2203,MEM,152.0,1,3.0,4.0,3.0,4.0,,7,1.0,1.0,,,,,,3.0,4.0,1.0,1.0,9.0,,,,,,6.0,3.0,3.0,1.0,4.0,,1.0,9.0,,,1.0,2.0,7.0,,,1.0,1.0,1.0,1.0,,1.0,0.75,,0.9,,0.9,,0.2,,,,,66.31578947368422,22.666666666666668,21.0,20.0,13.25,0.2,1.0,1.0,1.0,,,,,,,,0.8,0.6120099999999999,,,2.1,24.7,,2.0,3.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.25,0.3333333333333333,1.0,0.6,0.6666666666666666,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6459,0.4,0.5,0.2222222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
200796-201589-201632-201970-202349,1610612763,"Leon Powe, Darrell Arthur, Hamed Haddadi, Sam Young, Greivis Vasquez","Powe, Arthur, Haddadi, Young, Vasquez",200796-201589-201632-201970-202349,MEM,138.0,1,2.0,-1.0,5.0,5.0,5.0,10,,,,1.0,1.0,1.0,1.0,,,2.0,4.0,8.0,,,2.0,4.0,8.0,,3.0,,1.0,1.0,1.0,,3.0,,1.0,1.0,1.0,8.0,8.0,5.0,,,0.5,0.5,0.5,0.5,,,0.75,0.75,0.8,0.8,1.0,,0.3333333333333333,,,104.34782608695653,18.6,9.0,18.6,9.0,,,,,,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.4776,0.4776,1.0,,23.975,1.0,,,,,1.0,3.0,9.0,,,,3.0,1.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,0.75,0.3333333333333333,0.3333333333333333,,,,,0.3333333333333333,,,,,4.0,1.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.75,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
200796-201632-201970-202349-202397,1610612763,"Leon Powe, Hamed Haddadi, Sam Young, Greivis Vasquez, Ish Smith","Powe, Haddadi, Young, Vasquez, Smith",200796-201632-201970-202349-202397,MEM,460.0,3,8.0,1.0,17.0,17.0,17.0,34,,3.0,2.0,2.0,3.0,2.0,3.0,4.0,9.0,3.0,6.0,19.0,4.0,9.0,3.0,6.0,19.0,4.0,9.0,2.0,3.0,5.0,2.0,,13.0,6.0,6.0,8.0,3.0,17.0,19.0,17.0,0.5,0.6666666666666666,1.0,0.5,0.5,0.5,0.4444444444444444,0.4444444444444444,0.5666666666666667,0.5666666666666667,0.59375,0.59375,0.4,0.75,0.75,0.5,1.0,106.43478260869564,12.705882352941176,14.352941176470589,12.470588235294118,14.176470588235293,0.2,,,,0.13333333333333333,0.2,0.6666666666666666,0.6666666666666666,1.0,0.2,0.6666666666666666,0.6666666666666666,0.54796,0.54796,1.0,7.633333333333334,23.666666666666668,1.0,3.0,4.0,1.0,2.0,1.0,3.0,18.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,,2.0,2.0,,,1.0,,2.0,,1.0,0.5,0.5,0.5,0.1111111111111111,,,0.26666666666666666,0.75,0.75,0.6666666666666666,0.2,0.3333333333333333,0.3333333333333333,1.0,1.0,0.5,,0.3333333333333333,0.70265,0.0625,0.1,0.10526315789473684,10.0,1.0,3.0,2.0,2.0,,,,,,,0.2,0.3333333333333333,2.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.3333333333333333,1.0,0.4,0.25,0.6666666666666666,0.75,0.5,0.5,0.5,0.26666666666666666,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
201144-201188-201564-201589-201970,1610612763,"Mike Conley, Marc Gasol, O.J. Mayo, Darrell Arthur, Sam Young","Conley, Gasol, Mayo, Arthur, Young",201144-201188-201564-201589-201970,MEM,38.0,1,1.0,-1.0,1.0,1.0,,2,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,0.16666666666666666,,0.5,,,,,75.78947368421053,25.0,13.0,24.0,13.0,,,,,,,,,,,,1.0,0.58615,,,1.0,25.3,,,1.0,,1.0,,1.0,2.0,,1.0,1.0,1.0,,1.0,,,,2.0,,,,1.0,,2.0,,,,,0.25,1.0,1.0,,0.5,,,,0.5,,,,1.0,,,,,,,1.0,,,,1.0,,,,1.0,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
201144-201188-201564-201589-2203,1610612763,"Mike Conley, Marc Gasol, O.J. Mayo, Darrell Arthur, Shane Battier","Conley, Gasol, Mayo, Arthur, Battier",201144-201188-201564-201589-2203,MEM,2136.0,10,36.0,4.0,64.0,66.0,36.0,130,4.0,12.0,8.0,1.0,2.0,,,16.0,43.0,6.0,13.0,79.0,8.0,23.0,2.0,5.0,46.0,12.0,15.0,6.0,5.0,11.0,1.0,1.0,27.0,15.0,24.0,42.0,22.0,62.0,42.0,34.0,0.375,0.46153846153846156,0.8333333333333334,0.46153846153846156,0.4,0.5,0.37209302325581395,0.34782608695652173,0.44642857142857145,0.39285714285714285,0.5342465753424658,0.5357142857142857,0.23214285714285715,0.6818181818181818,0.71875,0.625,0.7142857142857143,87.64044943820224,16.296875,16.560606060606062,15.0,15.954545454545455,0.21428571428571427,0.3333333333333333,0.36363636363636365,0.25,0.14285714285714285,0.03571428571428571,0.5,0.5,1.0,,,0.6428571428571429,0.4825890909090909,0.5035685185185185,0.5822784810126582,5.858139534883721,27.784615384615385,0.5625,10.0,23.0,4.0,10.0,5.0,11.0,75.0,5.0,13.0,17.0,10.0,5.0,4.0,4.0,4.0,1.0,18.0,5.0,1.0,1.0,24.0,1.0,36.0,1.0,7.0,0.38461538461538464,0.38461538461538464,0.53125,0.09302325581395349,0.13043478260869565,0.2,0.4107142857142857,0.43478260869565216,0.5,0.4,0.19642857142857142,0.45454545454545453,0.5,0.8,0.7692307692307693,0.4,,0.5,0.5274166666666666,0.11290322580645161,0.14285714285714285,0.21518987341772153,33.0,2.0,5.0,29.0,24.0,3.0,8.0,11.0,9.0,0.8,0.8,0.17857142857142858,0.4,14.0,6.0,12.0,2.0,20.0,6.0,15.0,4.0,4.0,3.0,9.0,4.0,10.0,5.0,2.0,5.0,2.0,1.0,0.08333333333333333,0.4444444444444444,0.5555555555555556,0.5151515151515151,0.625,0.7142857142857143,0.4,0.25,0.25,0.42857142857142855,0.5,7.0,2.0,0.3333333333333333,0.6153846153846154,0.4,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,1.0,3.0,3.0,2.0,1.0,3.0,0.07692307692307693,0.09090909090909091,1.0,0.3333333333333333,0.8,0.034482758620689655,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
201144-201188-201564-201589-2754,1610612763,"Mike Conley, Marc Gasol, O.J. Mayo, Darrell Arthur, Tony Allen","Conley, Gasol, Mayo, Arthur, Allen",201144-201188-201564-201589-2754,MEM,93.0,2,2.0,2.0,3.0,4.0,2.0,7,,,1.0,,,,,2.0,2.0,,,4.0,1.0,1.0,,,2.0,2.0,,1.0,,1.0,,,2.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,0.5,0.5,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,108.38709677419355,12.333333333333334,14.0,12.333333333333334,14.0,,,,,0.5,,,,,,,0.5,0.51625,0.3744,0.5,8.6,,0.6666666666666666,1.0,1.0,,,,,2.0,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
201144-201188-201564-201632-2203,1610612763,"Mike Conley, Marc Gasol, O.J. Mayo, Hamed Haddadi, Shane Battier","Conley, Gasol, Mayo, Haddadi, Battier",201144-201188-201564-201632-2203,MEM,121.0,1,2.0,-5.0,3.0,4.0,,7,,,1.0,,,,,,1.0,1.0,2.0,3.0,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,0.5,,0.5,,,0.5,,0.5,,0.6666666666666666,,,,,83.30578512396694,17.666666666666668,17.0,17.666666666666668,15.25,,,,,0.3333333333333333,,,,,,,0.6666666666666666,0.49946666666666667,,,15.0,25.8,,,,,,1.0,2.0,8.0,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,0.6666666666666666,0.5,0.5,,,,,0.5,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,3.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
201144-201188-201564-201970-2203,1610612763,"Mike Conley, Marc Gasol, O.J. Mayo, Sam Young, Shane Battier","Conley, Gasol, Mayo, Young, Battier",201144-201188-201564-201970-2203,MEM,19.0,2,,-3.0,,3.0,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,0.5,,,227.3684210526316,,6.333333333333333,,6.333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
201144-201188-201564-201970-2216,1610612763,"Mike Conley, Marc Gasol, O.J. Mayo, Sam Young, Zach Randolph","Conley, Gasol, Mayo, Young, Randolph",201144-201188-201564-201970-2216,MEM,557.0,5,9.0,10.0,17.0,17.0,10.0,34,2.0,2.0,3.0,,,,,10.0,12.0,,1.0,28.0,6.0,7.0,,,16.0,10.0,,5.0,,5.0,,1.0,10.0,5.0,6.0,9.0,4.0,24.0,16.0,10.0,0.5,0.5,,,,,0.8333333333333334,0.8571428571428571,0.7692307692307693,0.8571428571428571,0.8235294117647058,0.8888888888888888,0.07692307692307693,0.8333333333333334,0.75,,1.0,87.89946140035907,13.529411764705882,19.235294117647058,12.941176470588236,18.0,0.15384615384615385,1.0,1.0,0.5,0.23076923076923078,,,,,,,0.6153846153846154,0.5211769230769231,0.5546285714285715,0.5714285714285714,7.0,24.5,0.5882352941176471,6.0,7.0,,,,1.0,18.0,,,4.0,1.0,,1.0,,2.0,1.0,3.0,1.0,,1.0,7.0,,9.0,1.0,3.0,,,1.0,0.08333333333333333,0.14285714285714285,1.0,0.5384615384615384,0.8571428571428571,1.0,0.3333333333333333,0.07692307692307693,,,,,,,,,0.2,0.21428571428571427,0.14285714285714285,2.0,,,8.0,4.0,,1.0,2.0,2.0,0.5,,,,3.0,5.0,5.0,2.0,10.0,,1.0,1.0,2.0,2.0,3.0,2.0,1.0,,,,,,,0.6666666666666666,0.5,0.6666666666666666,,1.0,,0.6666666666666666,0.6666666666666666,0.7142857142857143,1.0,4.0,1.0,1.0,1.0,1.0,,,2.0,,,1.0,1.0,,,,,1.0,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1610612763,2011,2010-11,True
