year,season,ortg,oreb%,total_points,total_fg_miss,total_oreb,total_opp_dreb,total_off_poss,total_ftoreb,total_fgoreb
2021,2020,1.024338172502135,0.2609067579127459,2399,1171,305,864,2342,3.0,302
2022,2021,1.035294117647059,0.2692878338278932,2816,1332,363,985,2720,8.0,355
2023,2022,1.042701646664806,0.234006734006734,3736,1728,417,1365,3583,13.0,404
2024,2023,1.0326569435637285,0.2747047855811063,3257,1600,442,1167,3154,11.0,431
2025,2024,1.0517494854454572,0.2737030411449016,3577,1680,459,1218,3401,11.0,448
2026,2025,1.0304461942257217,0.261854583772392,3926,1879,497,1401,3810,7.0,490
