year,season,ortg,oreb%,total_points,total_fg_miss,total_oreb,total_opp_dreb,total_off_poss,total_ftoreb,total_fgoreb
2021,2020,1.0351208459214503,0.2709135802469136,21928,9972,2743,7382,21184,67.0,2676
2022,2021,1.0179774542347257,0.2656902379216648,30974,14856,4009,11080,30427,115.0,3894
2023,2022,1.0298165802207992,0.2665351034565243,35540,16389,4457,12265,34511,134.0,4323
2024,2023,1.0374627723496526,0.26677350427350427,39712,18349,4994,13726,38278,157.0,4837
2025,2024,1.027074005794048,0.27278545144258975,38998,18343,5115,13636,37970,157.0,4958
2026,2025,1.044897594132904,0.28119920534585513,46732,21609,6228,15920,44724,215.0,6013
2027,2026,1.0705622932745313,0.30518018018018017,1942,845,271,617,1814,11.0,260
