TeamId,TEAM_NAME,TeamAbbreviation,GamesPlayed,OffPoss,DefPoss,FG3M,FG3A,tight_FG3A,tight_FG3M,tight_FG3_PCT,tight_FG3A_FREQUENCY,very_tight_FG3A,very_tight_FG3M,very_tight_FG3_PCT,very_tight_FG3A_FREQUENCY,wide_open_FG3A_FREQUENCY,wide_open_FG3A,wide_open_FG3M,wide_open_FG3_PCT,open_FG3M,open_FG3A_FREQUENCY,open_FG3A,open_FG3_PCT,PULL_UP_FG3A,PULL_UP_FG3M,PULL_UP_FG3_PCT,opp_very_tight_FG3A,opp_very_tight_FG3M,opp_very_tight_FG3_PCT,opp_very_tight_FG3A_FREQUENCY,opp_tight_FG3A_FREQUENCY,opp_tight_FG3A,opp_tight_FG3_PCT,opp_tight_FG3M,opp_open_FG3A,opp_open_FG3M,opp_open_FG3_PCT,opp_open_FG3A_FREQUENCY,opp_wide_open_FG3M,opp_wide_open_FG3_PCT,opp_wide_open_FG3A,opp_wide_open_FG3A_FREQUENCY,year
1610612742,,DAL,10,885,884,61,172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
1610612747,,LAL,16,1487,1488,98,254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
1610612749,,MIL,18,1606,1606,121,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
1610612750,,MIN,4,349,352,12,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
1610612753,,ORL,4,386,384,32,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
1610612755,,PHI,23,2017,2017,88,262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
1610612758,,SAC,8,776,780,40,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
1610612752,,NYK,5,442,440,20,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
1610612756,,PHX,4,390,389,17,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
1610612762,,UTA,5,429,431,18,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001
