EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,LongMidRangeFGA,FG2A,OpponentPoints,PenaltyFG2A,Fouls,Defensive 3 Seconds Violations,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,LongMidRangeFrequency,ShotQualityAvg,PenaltyShotQualityAvg,Avg2ptShotDistance,PenaltyOffPossPct,Loose Ball Fouls,SecondChanceOffPoss,Corner3FGA,Arc3FGA,SecondChanceArc3FGA,PenaltyArc3FGA,FG3A,FtPoints,Points,SecondChanceFG3A,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,NonHeaveArc3FGA,DefThreePtRebounds,DefRebounds,Rebounds,ShootingFouls,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Corner3Frequency,Arc3Frequency,SecondChanceArc3Frequency,PenaltyArc3Frequency,AtRimFG3AFrequency,PenaltyPointsPct,Avg3ptShotDistance,AtRimFGA,PenaltyAtRimFGA,ShortMidRangeFGA,LongMidRangeFGM,FG2M,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PenaltyFG2M,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,Assists,LongMidRangeAssists,AssistPoints,FTOffRebounds,DefTwoPtRebounds,OffRebounds,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Travels,Turnovers,PenaltyTurnovers,TwoPtShootingFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,ShortMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyAtRimFrequency,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,AtRimFGM,Arc3FGM,FG3M,PtsAssisted3s,PtsUnassisted3s,NonHeaveArc3FGM,ThreePtAssists,Arc3Assists,AtRimAssists,OffThreePtRebounds,OffTwoPtRebounds,FTDefRebounds,Steals,BadPassSteals,LostBallSteals,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,RecoveredBlocks,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,DefFTReboundPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,BlocksRecoveredPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,NonHeaveArc3Accuracy,PenaltyAtRimFGM,PenaltyArc3FGM,PenaltyFG3M,PtsUnassisted2s,LiveBallTurnovers,BadPassTurnovers,PenaltyFg3Pct,LiveBallTurnoverPct,DefAtRimReboundPct,PenaltyAtRimAccuracy,PenaltyArc3Accuracy,SecondChanceAtRimFGA,Corner3FGM,SecondChanceArc3FGM,SecondChanceFG3M,Corner3Assists,SecondChanceFg3Pct,OffAtRimReboundPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyCorner3FGA,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,PenaltyCorner3Frequency,ThreePtShootingFoulsDrawnPct,ShortMidRangeFGM,SecondChanceCorner3FGA,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,SecondChanceCorner3Frequency,LostBallOutOfBoundsTurnovers,Offensive Fouls,Offensive Fouls Drawn,SecondChanceAtRimFGM,SecondChanceFtPoints,PtsPutbacks,2pt And 1 Free Throw Trips,SecondChanceAtRimAccuracy,HeaveAttempts,Fg3aBlocked,ShortMidRangeAssists,FG3APctBlocked,Arc3PctBlocked,DefCorner3ReboundPct,ShortMidRangePctAssisted,LostBallTurnovers,SecondChanceTurnovers,OffShortMidRangeReboundPct,PenaltyCorner3FGM,SelfOReb,BlockedLongMidRange,SelfORebPct,PenaltyCorner3Accuracy,3SecondViolations,ShortMidRangePctBlocked,SecondChanceAtRimPctAssisted,OffensiveGoaltends,LongMidRangePctBlocked,OffCorner3ReboundPct,team_id,year,season,team_vs
101129-101236-101249-1503-436,1610612745,"Luther Head, Chuck Hayes, John Lucas III, Tracy McGrady, Juwan Howard","Head, Hayes, Lucas III, McGrady, Howard",101129-101236-101249-1503-436,HOU,39.0,1,1.0,-2.0,1.0,1,1.0,1.0,2,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,73.84615384615384,14.0,25.0,14.0,25.0,1.0,0.3974,0.3974,19.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2007,2006-07,False
101129-101236-101249-1503-87,1610612745,"Luther Head, Chuck Hayes, John Lucas III, Tracy McGrady, Dikembe Mutombo","Head, Hayes, Lucas III, McGrady, Mutombo",101129-101236-101249-1503-87,HOU,13.0,1,,-2.0,,1,,1.0,1,,,2.0,,1.0,,,1.0,110.76923076923076,,13.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2007,2006-07,False
101129-101236-1503-1747-2203,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Rafer Alston, Shane Battier","Head, Hayes, McGrady, Alston, Battier",101129-101236-1503-1747-2203,HOU,63.0,4,1.0,-1.0,4.0,5,3.0,5.0,9,,,2.0,,2.0,,3.0,1.0,205.7142857142857,7.25,6.8,3.25,6.8,,0.4623,0.4482,,0.75,,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,0.16666666666666666,0.25,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,24.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2007,2006-07,False
101129-101236-1503-1747-2397,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Rafer Alston, Yao Ming","Head, Hayes, McGrady, Alston, Ming",101129-101236-1503-1747-2397,HOU,480.0,4,8.0,3.0,14.0,13,9.0,3.0,27,3.0,5.0,7.0,3.0,6.0,,9.0,,81.0,12.857142857142858,23.076923076923077,11.785714285714286,19.46153846153846,0.5,0.46331666666666665,0.47725,13.74,0.6428571428571429,,1.0,,1.0,,1.0,1.0,8.0,10.0,,1.0,7.0,9.0,1.0,2.0,9.0,10.0,,7.0,12.0,3.0,8.0,9.0,3.0,0.4166666666666667,0.5,0.16666666666666666,0.6666666666666666,0.9,0.6666666666666666,,0.16666666666666666,,0.25,0.3333333333333333,0.9,25.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,7.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,1.0,0.2,1.0,0.3333333333333333,0.16666666666666666,1.0,0.25,1.0,0.2,1.0,0.3333333333333333,1.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.25,0.4128,0.3333333333333333,0.375,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2007,2006-07,False
101129-101236-1503-1747-436,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Rafer Alston, Juwan Howard","Head, Hayes, McGrady, Alston, Howard",101129-101236-1503-1747-436,HOU,511.0,4,9.0,3.0,13.0,16,,4.0,29,4.0,8.0,9.0,,5.0,1.0,,,81.72211350293541,17.384615384615383,17.8125,15.692307692307692,14.8125,0.2857142857142857,0.5172642857142857,,10.475,,,,2.0,4.0,1.0,,6.0,2.0,12.0,1.0,,,,4.0,2.0,8.0,11.0,3.0,3.0,2.0,,12.0,,,0.4,,0.42857142857142855,0.5,0.5454545454545454,0.5,0.14285714285714285,0.2857142857142857,0.5,,0.6428571428571429,,25.066666666666666,3.0,,1.0,,2.0,,1.0,,,4.0,1.0,2.0,3.0,,7.0,,4.0,3.0,1.0,1.0,,1.0,,1.0,1.0,1.0,0.25,,,0.35714285714285715,,,,0.125,0.3333333333333333,,0.5714285714285714,0.75,1.0,0.21428571428571427,0.07142857142857142,,,,,0.5124,0.06666666666666667,0.1111111111111111,,2.0,2.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,2.0,1.0,4.0,2.0,2.0,4.0,2.0,0.5,0.3333333333333333,0.3333333333333333,1.0,0.16666666666666666,0.5,0.3,0.25,1.0,0.5,0.6666666666666666,1.0,1.0,0.5,0.5,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2007,2006-07,False
101129-101236-1503-1747-87,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Rafer Alston, Dikembe Mutombo","Head, Hayes, McGrady, Alston, Mutombo",101129-101236-1503-1747-87,HOU,268.0,5,4.0,7.0,8.0,8,7.0,3.0,16,1.0,4.0,5.0,4.0,3.0,,7.0,1.0,85.97014925373134,17.375,16.125,17.375,16.125,0.16666666666666666,0.480375,0.480375,6.975,0.875,1.0,,,2.0,,2.0,2.0,3.0,12.0,,2.0,3.0,12.0,2.0,2.0,6.0,6.0,2.0,4.0,4.0,,12.0,12.0,,0.75,0.75,0.3333333333333333,1.0,0.8571428571428571,1.0,,0.3333333333333333,,0.3333333333333333,0.6666666666666666,1.0,25.8,2.0,2.0,1.0,1.0,3.0,,,,3.0,,,,,,,,4.0,,,,,1.0,,2.0,,,0.75,,0.75,0.75,,0.75,,,,,0.8,1.0,0.6666666666666666,0.3333333333333333,0.16666666666666666,1.0,1.0,,0.3333333333333333,,0.25,0.3333333333333333,,2.0,1.0,1.0,,3.0,1.0,,,,,,,,,,,1.0,1.0,,1.0,1.0,,0.5,0.5,,,,,,,1.0,1.0,1.0,,0.5,0.5,,0.5,2.0,1.0,1.0,6.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2007,2006-07,False
101129-101236-1503-2203-436,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Shane Battier, Juwan Howard","Head, Hayes, McGrady, Battier, Howard",101129-101236-1503-2203-436,HOU,232.0,2,4.0,1.0,7.0,7,,3.0,14,1.0,7.0,9.0,,5.0,,,,86.89655172413794,14.714285714285714,18.428571428571427,13.571428571428571,18.142857142857142,0.1,0.577725,,2.557142857142857,,,1.0,1.0,2.0,1.0,,3.0,,10.0,1.0,,,,2.0,1.0,1.0,4.0,5.0,,,,7.0,,,0.5,,0.3,1.0,0.3333333333333333,1.0,0.1,0.2,0.3333333333333333,,0.9,,24.866666666666664,6.0,,,,2.0,,2.0,3.0,,4.0,3.0,2.0,4.0,,10.0,,,3.0,,,,,,,1.0,1.0,0.2857142857142857,,,0.5,0.5,,0.5,0.42857142857142855,0.5,,,,,0.6,,,,,,0.5060666666666667,,,0.3,2.0,1.0,2.0,6.0,,1.0,2.0,1.0,2.0,,3.0,,1.0,1.0,,,,,,,,1.0,0.6666666666666666,0.6666666666666666,,0.6,,0.5,1.0,,,0.3333333333333333,0.6666666666666666,1.0,0.5,0.5,1.0,0.5,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2007,2006-07,False
101129-101236-1503-2745-436,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Kirk Snyder, Juwan Howard","Head, Hayes, McGrady, Snyder, Howard",101129-101236-1503-2745-436,HOU,74.0,1,1.0,1.0,2.0,2,1.0,2.0,4,,,2.0,,,,1.0,,77.83783783783784,15.5,21.5,15.5,21.5,,0.526725,0.5328,,0.5,,,1.0,1.0,,,2.0,,3.0,,1.0,,,1.0,,,,,1.0,1.0,,3.0,,,0.75,,1.0,,,,0.5,0.5,,,1.0,,24.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,0.5,,,,1.0,1.0,,3.0,1.0,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2007,2006-07,False
101129-101236-1503-2745-87,1610612745,"Luther Head, Chuck Hayes, Tracy McGrady, Kirk Snyder, Dikembe Mutombo","Head, Hayes, McGrady, Snyder, Mutombo",101129-101236-1503-2745-87,HOU,131.0,2,2.0,-3.0,4.0,3,4.0,1.0,7,2.0,3.0,5.0,3.0,,1.0,4.0,,76.94656488549619,19.25,18.0,12.75,18.0,0.4,0.47359,0.47359,15.6,1.0,,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,2.0,2.0,,2.0,1.0,,,2.0,,,,,2.0,2.0,,0.2,0.2,0.4,,,,0.2,0.2,0.5,0.2,0.4,1.0,24.45,,,1.0,,1.0,,,,1.0,,,,,,,,,2.0,,,,,,,,,0.3333333333333333,,0.3333333333333333,0.2,,0.2,,,,,,,,,0.2,,,,,0.5271,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,0.5,0.5,0.5,0.5,1.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,0.2,,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2007,2006-07,False
101129-101236-1747-2203-2397,1610612745,"Luther Head, Chuck Hayes, Rafer Alston, Shane Battier, Yao Ming","Head, Hayes, Alston, Battier, Ming",101129-101236-1747-2203-2397,HOU,74.0,1,1.0,,3.0,3,3.0,,6,,1.0,,1.0,,,3.0,,116.75675675675676,10.333333333333334,14.333333333333334,10.333333333333334,14.333333333333334,,0.6731,0.6731,,1.0,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,1.0,,,1.0,,2.0,2.0,,,,,,,,,,,1.0,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612745,2007,2006-07,False
