EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,ShortMidRangeFGA,Arc3FGA,SecondChanceArc3FGA,FG2A,FG3A,OpponentPoints,SecondChanceFG3A,NonHeaveArc3FGA,OffTwoPtRebounds,OffRebounds,Rebounds,ShootingFouls,Fouls,FG3APct,OffTwoPtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,Arc3Frequency,SecondChanceArc3Frequency,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,ShortMidRangeFGM,FG2M,FtPoints,Points,PenaltyFG2M,PenaltyFG2A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,LongMidRangeFGM,LongMidRangeFGA,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsUnassisted2s,PtsPutbacks,Fg2aBlocked,AtRimAssists,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Steals,BadPassSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,2pt And 1 Free Throw Trips,TwoPtShootingFoulsDrawn,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG2APctBlocked,AtRimPctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,OffAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Arc3FGM,FG3M,PtsUnassisted3s,NonHeaveArc3FGM,SelfOReb,LiveBallTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls Drawn,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,Fg3Pct,NonHeaveFg3Pct,LiveBallTurnoverPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,SelfORebPct,BlocksRecoveredPct,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,PenaltyAtRimFGA,PenaltyTurnovers,PenaltyAtRimFrequency,PenaltyAtRimFGM,SecondChanceArc3FGM,SecondChanceFG3M,PtsAssisted3s,ThreePtAssists,Arc3Assists,LongMidRangeAssists,OffThreePtRebounds,FTDefRebounds,LostBallTurnovers,Travels,SecondChanceTurnovers,Offensive Fouls,Assisted3sPct,SecondChanceFg3Pct,ShortMidRangePctBlocked,DefFTReboundPct,OffThreePtReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,LongMidRangePctAssisted,Arc3PctAssisted,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimAccuracy,DefCorner3ReboundPct,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,PenaltyFG3A,HeaveAttempts,PenaltyFg3Pct,PenaltyArc3Frequency,PenaltyArc3Accuracy,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Corner3Assists,Loose Ball Fouls,DefensiveGoaltends,OffCorner3ReboundPct,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,FTOffRebounds,LostBallSteals,OffFTReboundPct,SecondChanceAtRimPctAssisted,NonShootingPenaltyNonTakeFouls,SecondChanceFtPoints,3SecondViolations,Defensive 3 Seconds Violations,BlockedShortMidRange,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Offensive Fouls Drawn,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Technical Free Throw Trips,Clear Path Fouls,Fg3aBlocked,Blocked3s,BlockedCorner3,FG3APctBlocked,Arc3PctBlocked,LongMidRangePctBlocked,OffensiveGoaltends,SecondChanceCorner3PctAssisted,BlockedLongMidRange,BlockedArc3,Corner3PctBlocked,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101115-101142-1742-1885-2756,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Lamar Odom, Sasha Vujacic","Bynum, Turiaf, Williams, Odom, Vujacic",101115-101142-1742-1885-2756,LAL,43.0,1,1.0,-5.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5,1.0,100.46511627906976,27.0,8.0,20.0,3.5,0.5,0.5,1.0,0.5,0.44655,0.5085,11.2,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-101142-1742-1885-977,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Lamar Odom, Kobe Bryant","Bynum, Turiaf, Williams, Odom, Bryant",101115-101142-1742-1885-977,LAL,40.0,1,1.0,1.0,2.0,1.0,1.0,,3.0,1.0,,,1.0,,3.0,,,,,,,,,,,,108.0,8.0,24.0,8.0,24.0,1.0,,,,0.4289,,4.5,,2.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4289,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-101142-1742-2230-977,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Maurice Evans, Kobe Bryant","Bynum, Turiaf, Williams, Evans, Bryant",101115-101142-1742-2230-977,LAL,21.0,1,,,1.0,,,,1.0,,1.0,,,1.0,,,1.0,,,,1.0,1.0,1.0,,,,68.57142857142857,15.0,,15.0,,,1.0,,1.0,0.522,,,26.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-101142-1742-243-977,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Aaron McKie, Kobe Bryant","Bynum, Turiaf, Williams, McKie, Bryant",101115-101142-1742-243-977,LAL,231.0,1,4.0,4.0,7.0,8.0,,1.0,15.0,1.0,,,6.0,,6.0,,,1.0,1.0,5.0,1.0,1.0,,0.5,0.5,,93.5064935064935,14.0,16.625,13.857142857142858,16.625,0.16666666666666666,,,0.6666666666666666,0.55735,0.5577,4.783333333333333,,,,4.0,2.0,10.0,,,,,2.0,1.0,1.0,,2.0,2.0,3.0,,8.0,,,,0.25,0.3333333333333333,0.6666666666666666,,0.6666666666666666,,0.7142857142857143,,,,,,,,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.16666666666666666,0.25,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,1.0,0.3333333333333333,0.16666666666666666,1.0,1.0,1.0,1.0,0.2857142857142857,0.2857142857142857,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-101142-1742-2756-977,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Sasha Vujacic, Kobe Bryant","Bynum, Turiaf, Williams, Vujacic, Bryant",101115-101142-1742-2756-977,LAL,444.0,4,7.0,1.0,14.0,16.0,,2.0,30.0,3.0,1.0,,9.0,1.0,13.0,,1.0,2.0,2.0,9.0,6.0,6.0,0.1,0.4,0.4,1.0,97.29729729729729,14.285714285714286,15.25,13.785714285714286,13.4375,0.3,0.1,,0.3,0.44084,0.4788,11.81111111111111,24.2,,2.0,4.0,3.0,14.0,,,,,2.0,1.0,1.0,1.0,2.0,3.0,4.0,,12.0,,,,0.25,0.25,0.4444444444444444,,0.55,,0.5833333333333334,,0.6666666666666666,0.6666666666666666,0.5,,,,,2.0,,1.0,2.0,4.0,1.0,2.0,2.0,6.0,,,,2.0,5.0,7.0,,,,2.0,4.0,,2.0,0.5,0.5,0.5,,,0.7142857142857143,1.0,0.7777777777777778,0.5,0.5,1.0,0.2,,,,0.4,0.5,0.5,0.5,,0.16666666666666666,0.18181818181818182,0.14285714285714285,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,0.2,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-101142-1885-200770-977,1610612747,"Andrew Bynum, Ronny Turiaf, Lamar Odom, Jordan Farmar, Kobe Bryant","Bynum, Turiaf, Odom, Farmar, Bryant",101115-101142-1885-200770-977,LAL,79.0,1,1.0,-4.0,3.0,3.0,,,6.0,,,,2.0,,4.0,,,,,1.0,1.0,1.0,,,,,109.36708860759494,16.0,10.333333333333334,16.0,10.333333333333334,,,,1.0,0.52635,,,,3.0,,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,0.52635,,1.0,,2.0,,,,,,,,,,2.0,,,1.0,1.0,,,,,1.0,,,,,,1.0,1.0,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,,,,2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-101142-1885-2470-977,1610612747,"Andrew Bynum, Ronny Turiaf, Lamar Odom, Smush Parker, Kobe Bryant","Bynum, Turiaf, Odom, Parker, Bryant",101115-101142-1885-2470-977,LAL,755.0,4,13.0,-4.0,22.0,25.0,3.0,3.0,47.0,6.0,3.0,2.0,17.0,3.0,27.0,2.0,3.0,3.0,4.0,14.0,4.0,7.0,0.15,0.375,0.4,0.5,89.64238410596026,17.40909090909091,14.88,15.818181818181818,14.48,0.3,0.15,0.5,0.45,0.47635500000000003,0.5633,8.358823529411765,25.366666666666664,1.0,2.0,8.0,4.0,23.0,1.0,1.0,,2.0,6.0,3.0,4.0,,9.0,4.0,4.0,,20.0,2.0,1.0,,0.375,0.375,0.47058823529411764,1.0,0.475,1.0,0.5476190476190477,1.0,0.3333333333333333,0.5,,0.5708,0.08695652173913043,0.045454545454545456,3.0,6.0,,2.0,3.0,5.0,,2.0,3.0,10.0,,3.0,1.0,1.0,6.0,10.0,1.0,1.0,,3.0,6.0,2.0,3.0,,0.375,0.375,0.17647058823529413,0.16666666666666666,0.6666666666666666,1.0,0.7,,1.0,1.0,0.3,0.5,0.6,0.3333333333333333,0.25,0.6,0.6,0.5,,0.14285714285714285,0.16666666666666666,0.13043478260869565,1.0,1.0,,1.0,1.0,3.0,2.0,,,,2.0,2.0,2.0,1.0,0.3333333333333333,0.3333333333333333,0.5,0.25,1.0,0.125,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,,1.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3333333333333333,1.0,0.5,0.5,0.5,0.6666666666666666,1.0,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-101142-200770-2230-2575,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Maurice Evans, Luke Walton","Bynum, Turiaf, Farmar, Evans, Walton",101115-101142-200770-2230-2575,LAL,209.0,1,3.0,4.0,7.0,8.0,,,15.0,1.0,1.0,,4.0,1.0,5.0,,1.0,,,3.0,1.0,1.0,0.2,,,,103.34928229665071,10.428571428571429,17.0,10.428571428571429,14.125,0.2,0.2,,0.8,0.59782,,3.425,24.6,,1.0,3.0,,9.0,,,,,6.0,3.0,4.0,1.0,9.0,,,,9.0,,,,1.0,1.0,0.75,,0.9,,0.9,,1.0,1.0,1.0,,,,2.0,3.0,,,,,,,,,,1.0,2.0,2.0,1.0,3.0,1.0,1.0,,,2.0,,,,,,0.25,0.3333333333333333,0.3333333333333333,1.0,0.6,,0.5,1.0,0.6,0.6666666666666666,1.0,1.0,,,,,,,,,1.0,1.0,,1.0,,2.0,2.0,,,,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,1.0,1.0,1.0,,,,,,,3.0,1.0,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-101142-200770-2230-2756,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Maurice Evans, Sasha Vujacic","Bynum, Turiaf, Farmar, Evans, Vujacic",101115-101142-200770-2230-2756,LAL,639.0,4,11.0,-4.0,23.0,23.0,9.0,2.0,46.0,2.0,5.0,,14.0,5.0,26.0,,4.0,2.0,2.0,10.0,2.0,4.0,0.2631578947368421,0.2857142857142857,0.2,,103.6619718309859,14.130434782608695,13.652173913043478,13.956521739130435,13.652173913043478,0.10526315789473684,0.2631578947368421,,0.7368421052631579,0.5224444444444445,0.59675,5.171428571428572,31.74,21.0,2.0,7.0,5.0,22.0,7.0,12.0,5.0,22.0,8.0,4.0,5.0,1.0,11.0,5.0,8.0,3.0,20.0,22.0,21.0,3.0,0.5714285714285714,0.6666666666666666,0.5,0.5833333333333334,0.4473684210526316,0.53125,0.4782608695652174,0.55,1.0,1.0,0.5,0.5239233333333334,1.0,0.9130434782608695,4.0,9.0,1.0,2.0,1.0,3.0,1.0,2.0,2.0,6.0,2.0,2.0,2.0,,7.0,8.0,1.0,1.0,,,2.0,,1.0,0.5,0.5,0.5,0.14285714285714285,0.2222222222222222,0.875,,0.875,0.4,1.0,,0.47368421052631576,0.4444444444444444,0.5714285714285714,0.5,0.15789473684210525,0.3333333333333333,0.3333333333333333,1.0,0.5,0.05,0.06666666666666667,0.09090909090909091,1.0,1.0,,1.0,,2.0,,,,,2.0,2.0,2.0,2.0,0.2,0.25,1.0,0.6666666666666666,,,1.0,0.2,0.2,0.25,7.0,2.0,0.4375,4.0,,,3.0,1.0,1.0,1.0,,1.0,2.0,,,,1.0,,,1.0,,,,1.0,1.0,,,0.5714285714285714,,1.0,4.0,1.0,4.0,1.0,0.25,0.25,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
101115-101142-200770-2230-977,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Maurice Evans, Kobe Bryant","Bynum, Turiaf, Farmar, Evans, Bryant",101115-101142-200770-2230-977,LAL,811.0,5,14.0,11.0,25.0,23.0,4.0,6.0,48.0,6.0,4.0,3.0,17.0,8.0,22.0,3.0,4.0,2.0,5.0,14.0,4.0,7.0,0.32,0.3333333333333333,0.45454545454545453,,85.22811344019728,18.48,15.173913043478262,16.84,14.434782608695652,0.24,0.16,0.5,0.56,0.472566,0.455,7.311764705882353,25.025,9.0,4.0,11.0,2.0,33.0,6.0,7.0,,15.0,6.0,3.0,6.0,2.0,15.0,2.0,2.0,,24.0,15.0,9.0,,0.2727272727272727,0.3,0.6470588235294118,0.8571428571428571,0.62,0.6818181818181818,0.6346153846153846,0.6818181818181818,0.6666666666666666,0.6666666666666666,0.5,0.5008636363636364,0.45454545454545453,0.36,4.0,6.0,2.0,2.0,3.0,5.0,3.0,3.0,9.0,16.0,2.0,1.0,,4.0,4.0,9.0,,,1.0,2.0,4.0,,1.0,1.0,0.75,0.75,0.058823529411764705,0.16666666666666666,1.0,0.8,0.8888888888888888,0.5,1.0,1.0,0.24,0.6666666666666666,0.8,,0.2,0.6,0.6,0.3333333333333333,1.0,0.038461538461538464,0.05555555555555555,0.2727272727272727,2.0,3.0,,2.0,,2.0,1.0,,,1.0,1.0,1.0,1.0,1.0,0.375,0.375,0.5,1.0,1.0,,1.0,0.5,0.5,0.5,2.0,1.0,0.18181818181818182,2.0,1.0,1.0,9.0,3.0,2.0,1.0,3.0,1.0,1.0,,,1.0,1.0,0.3333333333333333,,1.0,0.6,0.5,,0.3333333333333333,1.0,0.3333333333333333,1.0,1.0,0.6666666666666666,,,1.0,4.0,,0.25,,,1.0,4.0,1.0,4.0,1.0,1.0,1.0,1.0,0.16,0.25,0.25,1.0,0.36363636363636365,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,False
