EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,PenaltyDefPoss,TotalPoss,Corner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,DefTwoPtRebounds,FTDefRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,PenaltyTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,DefFGReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,SecondChanceOffPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,FG2M,FG2A,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PtsAssisted2s,PtsUnassisted2s,PtsPutbacks,TwoPtAssists,Assists,ShortMidRangeAssists,AssistPoints,OffTwoPtRebounds,OffRebounds,ShootingFouls,Fouls,2pt And 1 Free Throw Trips,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,SecondChancePointsPct,Avg2ptShotDistance,LiveBallTurnovers,BadPassTurnovers,Turnovers,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,LiveBallTurnoverPct,DefShortMidRangeReboundPct,BlocksRecoveredPct,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyCorner3FGA,PenaltyFG3A,OffThreePtRebounds,OffThreePtReboundPct,OffCorner3ReboundPct,PenaltyCorner3Frequency,LongMidRangeFGM,Offensive Fouls Drawn,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,DefThreePtRebounds,DefThreePtReboundPct,DefArc3ReboundPct,Fg2aBlocked,SelfOReb,NonShootingPenaltyNonTakeFouls,FG2APctBlocked,AtRimPctBlocked,OffAtRimReboundPct,SelfORebPct,DeadBallTurnovers,PenaltyTurnovers,Corner3FGM,PtsAssisted3s,ThreePtAssists,Corner3Assists,Assisted3sPct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyArc3FGM,PenaltyArc3FGA,PenaltyFG3M,Arc3Assists,PenaltyFg3Pct,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimAssists,LongMidRangeAssists,FTOffRebounds,Steals,BadPassSteals,LostBallSteals,LostBallTurnovers,SecondChanceTurnovers,Loose Ball Fouls,Offensive Fouls,BlockedAtRim,3SecondViolations,ShortMidRangePctBlocked,OffFTReboundPct,DefAtRimReboundPct,AtRimPctAssisted,LongMidRangePctAssisted,DefCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,Fg3aBlocked,LostBallOutOfBoundsTurnovers,DefensiveGoaltends,FG3APctBlocked,Corner3PctBlocked,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,PenaltyCorner3FGM,Loose Ball Fouls Drawn,OffArc3ReboundPct,PenaltyCorner3Accuracy,Technical Free Throw Trips,SecondChanceAtRimPctAssisted,BadPassOutOfBoundsTurnovers,Travels,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,BlockedLongMidRange,StepOutOfBoundsTurnovers,HeaveAttempts,SecondChanceArc3FGM,ThreePtShootingFoulsDrawn,LongMidRangePctBlocked,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,ThreePtShootingFoulsDrawnPct,Defensive 3 Seconds Violations,Blocked3s,BlockedArc3,team_id,year,season,team_vs
101145-101180-101235-1502-2694,1610612744,"Monta Ellis, Sarunas Jasikevicius, Kelenna Azubuike, Adonal Foyle, Josh Powell","Ellis, Jasikevicius, Azubuike, Foyle, Powell",101145-101180-101235-1502-2694,GSW,95.0,2,2.0,2.0,3.0,5.0,1.0,5.0,8,1.0,1.0,1.0,1.0,2.0,1.0,4.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,4.0,1.0,1.0,0.5,0.5,0.75,0.6666666666666666,0.5,1.0,1.0,1.0,0.5,1.0,121.26315789473685,9.0,13.6,9.0,11.6,0.5,0.5,1.0,1.0,1.0,1.0,0.49995,0.3333333333333333,1.0,0.25,24.75,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,True
101145-101180-101235-1733-2554,1610612744,"Monta Ellis, Sarunas Jasikevicius, Kelenna Azubuike, Al Harrington, Mickael Pietrus","Ellis, Jasikevicius, Azubuike, Harrington, Pietrus",101145-101180-101235-1733-2554,GSW,4.0,1,,2.0,1.0,,1.0,,1,,,,,,2.0,2.0,,2.0,2.0,,,,,,,,1.0,2.0,1.0,2.0,2.0,1.0,,,,1.0,1.0,,,,,,360.0,4.0,,4.0,,,,,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,True
101145-101235-1502-2554-2694,1610612744,"Monta Ellis, Kelenna Azubuike, Adonal Foyle, Mickael Pietrus, Josh Powell","Ellis, Azubuike, Foyle, Pietrus, Powell",101145-101235-1502-2554-2694,GSW,85.0,2,1.0,2.0,3.0,1.0,2.0,1.0,4,1.0,,,,1.0,1.0,5.0,3.0,1.0,5.0,,,,,,,1.0,1.0,1.0,1.0,2.0,5.0,2.0,,,0.5,0.625,0.8333333333333334,0.25,,,,,67.76470588235294,18.333333333333332,30.0,18.333333333333332,30.0,0.25,,,,0.5,,0.4330125,0.25,0.3333333333333333,1.0,24.6,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.6666666666666666,1.0,0.6666666666666666,1.5,1.0,0.5,1.0,0.25,1.0,1.0,0.25,1.0,1.0,1.0,0.25,1.0,1.0,0.3333333333333333,1.0,0.5376,0.3998,0.6,9.233333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,True
101145-101235-1536-1733-2740,1610612744,"Monta Ellis, Kelenna Azubuike, Stephen Jackson, Al Harrington, Andris Biedrins","Ellis, Azubuike, Jackson, Harrington, Biedrins",101145-101235-1536-1733-2740,GSW,145.0,1,2.0,-5.0,5.0,6.0,,,11,,,3.0,,3.0,,2.0,7.0,,,,3.0,,1.0,1.0,2.0,2.0,,,,2.0,,,,,0.25,0.25,,0.75,1.0,0.5,0.5,,109.24137931034484,17.4,9.666666666666666,17.4,8.5,,0.75,,,1.0,,0.56865,,,,24.866666666666664,,,1.0,1.0,,,,,,,,1.0,1.0,,,,,,,,2.0,,,,,,,,1.0,1.0,,,,1.0,,,,,,,,,0.25,1.0,1.0,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,True
101145-101235-1536-1884-2440,1610612744,"Monta Ellis, Kelenna Azubuike, Stephen Jackson, Baron Davis, Matt Barnes","Ellis, Azubuike, Jackson, Davis, Barnes",101145-101235-1536-1884-2440,GSW,1.0,1,,2.0,1.0,,1.0,,1,,,,,,2.0,2.0,,2.0,2.0,,,,,,,,1.0,2.0,,2.0,2.0,1.0,,,,1.0,1.0,,,,,,1440.0,1.0,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,True
101145-101235-1733-1884-2202,1610612744,"Monta Ellis, Kelenna Azubuike, Al Harrington, Baron Davis, Jason Richardson","Ellis, Azubuike, Harrington, Davis, Richardson",101145-101235-1733-1884-2202,GSW,21.0,1,,,,1.0,,1.0,1,1.0,,,,1.0,,,,,,,,,,1.0,1.0,2.0,1.0,2.0,,,,,,,,,,1.0,1.0,,,,68.57142857142857,,2.0,,2.0,1.0,,,,1.0,,0.56565,,,,23.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,0.56565,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,True
101145-101235-1733-1884-2554,1610612744,"Monta Ellis, Kelenna Azubuike, Al Harrington, Baron Davis, Mickael Pietrus","Ellis, Azubuike, Harrington, Davis, Pietrus",101145-101235-1733-1884-2554,GSW,29.0,1,,2.0,1.0,1.0,1.0,1.0,2,,,,,,,2.0,,,2.0,,,,,,,,1.0,,,2.0,2.0,1.0,,,1.0,1.0,1.0,,,,,,99.3103448275862,12.0,17.0,12.0,17.0,,,,,,,0.3839,,,1.0,,1.0,,,,,,,,,,1.0,1.0,1.0,,,,,1.0,1.0,,2.0,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,0.3839,,17.1,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,True
101145-101235-1733-2202-2440,1610612744,"Monta Ellis, Kelenna Azubuike, Al Harrington, Jason Richardson, Matt Barnes","Ellis, Azubuike, Harrington, Richardson, Barnes",101145-101235-1733-2202-2440,GSW,8.0,1,,,1.0,1.0,1.0,1.0,2,,,,,,,,,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,1.0,,360.0,3.0,5.0,3.0,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,True
101145-101235-1733-2202-2554,1610612744,"Monta Ellis, Kelenna Azubuike, Al Harrington, Jason Richardson, Mickael Pietrus","Ellis, Azubuike, Harrington, Richardson, Pietrus",101145-101235-1733-2202-2554,GSW,17.0,1,,2.0,1.0,,,,1,,,,,,2.0,2.0,,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,1.0,,,,,,,84.70588235294117,17.0,,17.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,True
101145-101235-1733-2202-2740,1610612744,"Monta Ellis, Kelenna Azubuike, Al Harrington, Jason Richardson, Andris Biedrins","Ellis, Azubuike, Harrington, Richardson, Biedrins",101145-101235-1733-2202-2740,GSW,36.0,1,1.0,-1.0,1.0,1.0,,,2,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,80.0,20.0,16.0,20.0,16.0,1.0,,,,1.0,,0.5538,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612744,2007,2006-07,True
