EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,DefPoss,PenaltyDefPoss,TotalPoss,FTDefRebounds,DefRebounds,Rebounds,DefFTReboundPct,Pace,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,Minutes,PlusMinus,OffPoss,PenaltyOffPoss,AtRimFGM,AtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGM,Corner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,Corner3Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,Steals,BadPassSteals,LostBallSteals,ShootingFouls,Fouls,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,Blocked2s,BlockedShortMidRange,Blocks,RecoveredBlocks,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,Fg2Pct,PenaltyFg2Pct,EfgPct,PenaltyEfgPct,TsPct,PenaltyTsPct,FG3APct,FG2APctBlocked,ShortMidRangePctBlocked,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ThreePtShootingFoulsDrawnPct,PenaltyPointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPossPct,LongMidRangeAssists,LongMidRangePctAssisted,DeadBallTurnovers,Turnovers,PenaltyTurnovers,Offensive Fouls,DefensiveGoaltends,SecondChanceOffPoss,SecondChanceFG2A,OffThreePtRebounds,OffTwoPtRebounds,OffRebounds,SelfOReb,LiveBallTurnovers,BadPassTurnovers,Offensive Fouls Drawn,Technical Free Throw Trips,LiveBallTurnoverPct,OffTwoPtReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,OffArc3ReboundPct,SelfORebPct,SecondChanceShotQualityAvg,LostBallTurnovers,SecondChanceAtRimFGM,SecondChanceAtRimFGA,SecondChanceFG2M,SecondChancePoints,Fg3aBlocked,ShortMidRangeAssists,BadPassOutOfBoundsTurnovers,StepOutOfBoundsTurnovers,Loose Ball Fouls,2pt And 1 Free Throw Trips,BlockedAtRim,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APctBlocked,LongMidRangePctBlocked,Corner3PctBlocked,OffLongMidRangeReboundPct,ShortMidRangePctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChancePointsPct,PtsPutbacks,AtRimPctBlocked,OffAtRimReboundPct,Travels,Arc3PctBlocked,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceTurnovers,SecondChanceArc3Frequency,HeaveAttempts,LostBallOutOfBoundsTurnovers,Loose Ball Fouls Drawn,SecondChanceFtPoints,PtsUnassisted3s,OffCorner3ReboundPct,FTOffRebounds,OffFTReboundPct,SecondChanceCorner3FGA,3SecondViolations,SecondChanceCorner3Frequency,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,team_id,year,season,team_vs
101121-101181-1515-1725-2547,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Rasho Nesterovic, Chris Bosh","Graham, Calderon, Parker, Nesterovic, Bosh",101121-101181-1515-1725-2547,TOR,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1440.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101181-1515-200745-2050,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Andrea Bargnani, Morris Peterson","Graham, Calderon, Parker, Bargnani, Peterson",101121-101181-1515-200745-2050,TOR,745.0,1,21.0,9.0,42.0,1.0,9.0,9.0,1.0,81.18120805369128,17.857142857142858,17.761904761904763,12.0,21.0,21.0,12.0,4.0,6.0,1.0,2.0,2.0,3.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,10.0,14.0,3.0,4.0,6.0,35.0,14.0,5.0,6.0,3.0,3.0,6.0,25.0,2.0,18.0,9.0,3.0,2.0,1.0,1.0,3.0,4.0,2.0,1.0,1.0,11.0,4.0,4.0,2.0,1.0,1.0,1.0,3.0,6.0,7.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,25.0,12.0,1.0,1.0,0.1,0.1,1.0,0.75,1.0,0.75,0.7142857142857143,0.8333333333333334,0.8055555555555556,1.0555555555555556,0.8333333333333334,1.0416666666666667,0.2222222222222222,0.07142857142857142,0.3333333333333333,0.6666666666666666,1.0,0.8,0.5,0.5,1.0,1.0,1.0,1.0,17.61904761904762,17.61904761904762,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.25,0.16666666666666666,0.6666666666666666,1.0,0.2777777777777778,0.8,0.8,0.05555555555555555,1.0,1.0,1.0,0.16666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.2222222222222222,0.5,0.1111111111111111,1.0,0.2222222222222222,1.0,0.5555555555555556,0.6666666666666666,0.4848583333333333,0.4990611111111111,0.1,0.06666666666666667,0.2,0.7142857142857143,8.985714285714286,24.25,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101181-1515-200745-2413,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Andrea Bargnani, Juan Dixon","Graham, Calderon, Parker, Bargnani, Dixon",101121-101181-1515-200745-2413,TOR,240.0,1,8.0,,16.0,1.0,5.0,5.0,1.0,96.0,16.625,16.625,4.0,2.0,8.0,8.0,2.0,2.0,2.0,2.0,,,2.0,3.0,,1.0,,1.0,,,,,4.0,5.0,,1.0,4.0,12.0,10.0,4.0,5.0,,1.0,4.0,12.0,4.0,4.0,,,,,2.0,,2.0,,,1.0,4.0,2.0,2.0,,,,1.0,1.0,2.0,4.0,,,2.0,,,,,12.0,12.0,8.0,,2.0,0.5,0.5,,,,,0.8,0.8,0.6666666666666666,0.6666666666666666,0.75,0.75,0.16666666666666666,,,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,13.375,13.375,0.3333333333333333,1.0,1.0,0.5,,,,0.5,0.6666666666666666,0.6666666666666666,0.16666666666666666,,,,,,,,0.3333333333333333,1.0,0.16666666666666666,,,,0.5,,0.5280333333333334,0.5280333333333334,,,,1.0,12.14,23.5,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101181-1515-200745-2547,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Andrea Bargnani, Chris Bosh","Graham, Calderon, Parker, Bargnani, Bosh",101121-101181-1515-200745-2547,TOR,31.0,1,1.0,1.0,2.0,,,,,92.9032258064516,10.0,10.0,1.0,-2.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101181-1515-2050-2547,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Morris Peterson, Chris Bosh","Graham, Calderon, Parker, Peterson, Bosh",101121-101181-1515-2050-2547,TOR,338.0,2,11.0,7.0,22.0,1.0,2.0,4.0,1.0,93.72781065088756,13.363636363636363,13.272727272727273,6.0,-7.0,11.0,3.0,1.0,1.0,,,1.0,4.0,2.0,3.0,,,,,1.0,3.0,1.0,3.0,4.0,8.0,1.0,3.0,1.0,12.0,19.0,,,1.0,3.0,,3.0,2.0,6.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,5.0,,1.0,,,,2.0,4.0,4.0,1.0,,,,,,,,12.0,3.0,3.0,2.0,,0.25,0.25,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,,0.5,0.5,0.5,0.5,0.2727272727272727,0.125,0.25,1.0,,1.0,,,1.0,,,,17.363636363636363,16.363636363636363,0.09090909090909091,1.0,1.0,1.0,0.36363636363636365,0.25,0.3333333333333333,0.2727272727272727,0.6666666666666666,0.6666666666666666,,,,,0.2727272727272727,0.3333333333333333,0.3333333333333333,1.0,,,,,1.0,0.3333333333333333,0.36363636363636365,0.3333333333333333,0.3820227272727273,0.33405,,,,0.25,12.125,24.933333333333334,0.2727272727272727,,,,1.0,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.25,0.5,0.3333333333333333,0.3333333333333333,0.5,0.2,0.3379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101181-1515-2413-2743,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Juan Dixon, Kris Humphries","Graham, Calderon, Parker, Dixon, Humphries",101121-101181-1515-2413-2743,TOR,94.0,1,2.0,,5.0,,1.0,1.0,,76.59574468085107,24.0,21.5,2.0,-4.0,3.0,,,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,0.5,,,15.333333333333334,15.333333333333334,,,,,0.5,,,0.5,,,,,,,,,,,,,,,,,,,0.41065,,,,,,17.2,,,,,,1.0,,,,,,,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101181-1515-2547-2743,1610612761,"Joey Graham, Jose Calderon, Anthony Parker, Chris Bosh, Kris Humphries","Graham, Calderon, Parker, Bosh, Humphries",101121-101181-1515-2547-2743,TOR,800.0,2,24.0,8.0,46.0,1.0,12.0,13.0,1.0,82.8,18.625,17.25,13.0,3.0,22.0,2.0,2.0,3.0,,,3.0,5.0,,5.0,2.0,3.0,,,1.0,2.0,,,5.0,13.0,3.0,5.0,4.0,23.0,20.0,1.0,2.0,,,1.0,3.0,6.0,4.0,9.0,2.0,1.0,1.0,3.0,3.0,6.0,1.0,2.0,1.0,15.0,4.0,7.0,,,,4.0,9.0,4.0,6.0,4.0,,,1.0,,1.0,1.0,21.0,3.0,2.0,3.0,,0.6,0.6,1.0,0.6,,0.6,0.38461538461538464,0.5,0.5277777777777778,0.5,0.575,0.75,0.2777777777777778,0.07692307692307693,,0.7,0.6666666666666666,0.6875,1.0,1.0,0.4,0.6666666666666666,0.6666666666666666,1.0,16.045454545454547,15.590909090909092,0.16666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.2777777777777778,0.6,0.6,0.2777777777777778,,,0.16666666666666666,0.6666666666666666,1.0,1.0,0.1111111111111111,0.5,0.5,1.0,,,,,,,0.4444444444444444,0.5,0.43966388888888885,0.35535,0.2,0.26666666666666666,,0.13043478260869565,9.623076923076923,23.28,0.09090909090909091,,,2.0,3.0,,,,1.0,1.0,,1.0,1.0,,1.0,1.0,,,0.3333333333333333,0.125,,0.1,,,,0.5544,,1.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,0.2,0.2,0.3333333333333333,0.2,0.6666666666666666,1.0,1.0,0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101181-200745-2050-2413,1610612761,"Joey Graham, Jose Calderon, Andrea Bargnani, Morris Peterson, Juan Dixon","Graham, Calderon, Bargnani, Peterson, Dixon",101121-101181-200745-2050-2413,TOR,42.0,1,2.0,,3.0,,,,,102.85714285714286,10.0,10.0,1.0,-3.0,1.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,22.0,22.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,0.5376,,,,,,,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101181-200745-2413-2743,1610612761,"Joey Graham, Jose Calderon, Andrea Bargnani, Juan Dixon, Kris Humphries","Graham, Calderon, Bargnani, Dixon, Humphries",101121-101181-200745-2413-2743,TOR,451.0,2,13.0,,26.0,,3.0,3.0,,83.01552106430155,21.846153846153847,18.384615384615383,8.0,-3.0,13.0,,2.0,2.0,,,1.0,1.0,1.0,4.0,,,,,1.0,1.0,,,4.0,7.0,1.0,1.0,2.0,13.0,16.0,,,,,,,6.0,2.0,3.0,1.0,1.0,,3.0,1.0,4.0,1.0,,1.0,9.0,1.0,2.0,2.0,1.0,1.0,3.0,7.0,6.0,6.0,3.0,,,1.0,,1.0,,13.0,,,,,0.75,0.75,1.0,1.0,,1.0,0.5714285714285714,,0.6875,,0.5909090909090909,,0.125,,,0.3333333333333333,1.0,0.42857142857142855,,,0.6666666666666666,1.0,,,12.846153846153847,12.846153846153847,0.25,1.0,1.0,0.5,0.125,1.0,1.0,0.5,0.25,0.25,,,,,0.125,1.0,1.0,1.0,,,,,,,0.375,1.0,0.4895125,,0.2727272727272727,0.3,,,11.485714285714286,25.5,,1.0,1.0,2.0,2.0,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
101121-101181-2050-2413-2743,1610612761,"Joey Graham, Jose Calderon, Morris Peterson, Juan Dixon, Kris Humphries","Graham, Calderon, Peterson, Dixon, Humphries",101121-101181-2050-2413-2743,TOR,172.0,1,6.0,,12.0,,1.0,3.0,,100.46511627906976,13.166666666666666,13.166666666666666,3.0,-2.0,6.0,,1.0,4.0,,,,,2.0,3.0,,,,,,1.0,,,3.0,7.0,,1.0,1.0,7.0,9.0,,,,,,,2.0,4.0,,1.0,,2.0,1.0,,1.0,,,,2.0,,1.0,1.0,,1.0,,,,1.0,,,,,,,,5.0,,,,,0.3333333333333333,0.5,,,,,0.42857142857142855,,0.375,,0.375,,0.125,0.2857142857142857,,1.0,,1.0,1.0,,,,,,15.5,14.166666666666666,0.5,0.25,0.5,,,,,0.375,0.6666666666666666,0.6666666666666666,,,,,0.125,,,,,,,,,,0.625,,0.5291625,,,,,,8.014285714285714,24.9,,1.0,0.5,,,,,,2.0,2.0,,2.0,2.0,,,,,1.0,,0.5,,0.4,,,,0.56735,,1.0,2.0,1.0,2.0,,,,,,,,0.5,0.5,0.5,,,,,,1.0,0.5,0.2857142857142857,2.0,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,1610612761,2007,2006-07,False
