EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGM,LongMidRangeFGA,Corner3FGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,LongMidRangeAssists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,BadPassSteals,Fouls,FoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,DefLongMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,Corner3Frequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,PenaltyArc3FGA,PenaltyFG3A,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFouls,PenaltyArc3Frequency,PenaltyShotQualityAvg,PenaltyOffPossPct,AtRimFGM,AtRimFGA,PenaltyAtRimFGA,PenaltyFG2A,AtRimAssists,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,DefAtRimReboundPct,BlocksRecoveredPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimFGM,PenaltyFG2M,PenaltyPoints,PenaltyPointsExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,PenaltyAtRimAccuracy,PenaltyPointsPct,Fg2aBlocked,OffTwoPtRebounds,DefThreePtRebounds,OffRebounds,FTA,TwoPtShootingFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,OffTwoPtReboundPct,DefThreePtReboundPct,OffFGReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,ShootingFouls,PenaltyCorner3FGA,FtPoints,PenaltyFtPoints,FTDefRebounds,DeadBallTurnovers,Turnovers,PenaltyTurnovers,3SecondViolations,DefFTReboundPct,PenaltyCorner3Frequency,SecondChanceOffPoss,SecondChanceAtRimFGM,SecondChanceAtRimFGA,Corner3FGM,PenaltyArc3FGM,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG3M,PtsUnassisted3s,PtsPutbacks,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,SelfOReb,LostBallSteals,LiveBallTurnovers,BadPassOutOfBoundsTurnovers,BadPassTurnovers,LostBallOutOfBoundsTurnovers,LostBallTurnovers,Travels,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls Drawn,2pt And 1 Free Throw Trips,NonShootingFoulsDrawn,BlockedShortMidRange,Defensive 3 Seconds Violations,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyFg3Pct,SecondChanceFg2Pct,SecondChanceEfgPct,SecondChanceTsPct,AtRimPctBlocked,LiveBallTurnoverPct,OffThreePtReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,OffArc3ReboundPct,DefCorner3ReboundPct,SelfORebPct,ShortMidRangePctAssisted,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,SecondChancePointsPct,Offensive Fouls,Technical Free Throw Trips,LongMidRangePctBlocked,OffCorner3ReboundPct,SecondChanceArc3FGA,SecondChanceFG3A,SecondChanceArc3Frequency,SecondChanceTurnovers,PenaltyCorner3FGM,PenaltyCorner3Accuracy,SecondChanceArc3FGM,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,Fg3aBlocked,FG3APctBlocked,Arc3PctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,team_id,year,season,team_vs
1499-2039-2045-2306-2545,1610612753,"Tony Battie, Keyon Dooling, Hedo Turkoglu, Carlos Arroyo, Darko Milicic","Battie, Dooling, Turkoglu, Arroyo, Milicic",1499-2039-2045-2306-2545,ORL,137.0,1,2.0,4.0,4.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,7.0,3.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,5.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,7.0,0.5,0.5,1.0,0.5,0.5,1.0,0.875,0.875,0.5,1.0,1.0,1.0,1.0,84.08759124087592,14.0,20.25,14.0,20.25,0.25,1.0,1.0,0.25,1.0,1.0,1.0,0.25,0.25,1.0,1.0,1.0,0.5,1.0,0.483675,13.5,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2007,2006-07,True
1499-2039-2045-2545-255,1610612753,"Tony Battie, Keyon Dooling, Hedo Turkoglu, Darko Milicic, Grant Hill","Battie, Dooling, Turkoglu, Milicic, Hill",1499-2039-2045-2545-255,ORL,38.0,1,1.0,-2.0,1.0,1.0,2.0,,,,,,,1.0,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,75.78947368421053,19.0,19.0,19.0,19.0,,,,,,,,,1.0,,,,1.0,,0.4674,,30.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4674,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2007,2006-07,True
1499-2039-2045-2545-2749,1610612753,"Tony Battie, Keyon Dooling, Hedo Turkoglu, Darko Milicic, Jameer Nelson","Battie, Dooling, Turkoglu, Milicic, Nelson",1499-2039-2045-2545-2749,ORL,61.0,1,1.0,,2.0,2.0,4.0,,,,,,,,1.0,2.0,,,2.0,2.0,2.0,,,,,1.0,,1.0,,,2.0,1.0,1.0,1.0,,,,1.0,2.0,1.0,1.0,,,,0.5,0.5,0.5,,1.0,1.0,,,94.42622950819673,12.0,18.5,12.0,18.5,,,,,,,,,,,,,1.0,,0.52175,,,1.0,,,,1.0,,,0.5329,0.5,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2007,2006-07,True
1499-2039-2045-255-2772,1610612753,"Tony Battie, Keyon Dooling, Hedo Turkoglu, Grant Hill, Trevor Ariza","Battie, Dooling, Turkoglu, Hill, Ariza",1499-2039-2045-255-2772,ORL,3.0,1,,2.0,1.0,,1.0,,,,,,,,1.0,1.0,,,2.0,,2.0,,,,,1.0,,1.0,,,2.0,,,,,,,,2.0,1.0,1.0,,,,1.0,1.0,1.0,,,,,,480.0,3.0,,3.0,,,,,,,,,,,,,,1.0,,0.3996,,,1.0,,,,1.0,,,0.3996,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2007,2006-07,True
1499-2039-2045-2730-2749,1610612753,"Tony Battie, Keyon Dooling, Hedo Turkoglu, Dwight Howard, Jameer Nelson","Battie, Dooling, Turkoglu, Howard, Nelson",1499-2039-2045-2730-2749,ORL,74.0,2,1.0,-2.0,1.0,2.0,3.0,,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,1.0,2.0,,,1.0,1.0,,,,,,,,,,,,0.5,,,58.37837837837838,45.0,14.5,45.0,14.0,1.0,,,,,,,,,,,,,,0.3809,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2007,2006-07,True
1499-2039-2306-2545-255,1610612753,"Tony Battie, Keyon Dooling, Carlos Arroyo, Darko Milicic, Grant Hill","Battie, Dooling, Arroyo, Milicic, Hill",1499-2039-2306-2545-255,ORL,4.0,1,,-2.0,,1.0,1.0,,,,,,,1.0,,,,1.0,,2.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,360.0,,3.0,,3.0,,,,,,,,,1.0,,,,1.0,,,,38.3,,1.0,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2007,2006-07,True
1499-2039-2306-2545-2772,1610612753,"Tony Battie, Keyon Dooling, Carlos Arroyo, Darko Milicic, Trevor Ariza","Battie, Dooling, Arroyo, Milicic, Ariza",1499-2039-2306-2545-2772,ORL,82.0,1,1.0,-6.0,2.0,2.0,4.0,,1.0,,1.0,,,,,2.0,,,,6.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,70.2439024390244,20.5,20.5,20.5,20.5,0.5,,,0.5,,,,,,,,,,,0.40885,16.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2007,2006-07,True
1499-2045-2306-2545-255,1610612753,"Tony Battie, Hedo Turkoglu, Carlos Arroyo, Darko Milicic, Grant Hill","Battie, Turkoglu, Arroyo, Milicic, Hill",1499-2045-2306-2545-255,ORL,149.0,1,2.0,-5.0,4.0,4.0,8.0,,,,,1.0,,1.0,,,,2.0,2.0,7.0,,,,1.0,,,,,,,,,1.0,1.0,,,2.0,2.0,2.0,,,,,,,,0.25,1.0,,,,,77.31543624161074,25.5,11.75,25.5,11.75,,,,,,,,0.5,0.5,,,,1.0,,0.610275,,24.2,4.0,,1.0,2.0,4.0,,0.5,0.610275,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,0.25,,1.0,,,,,4.0,2.0,,,,,,,,0.5,1.0,2.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2007,2006-07,True
1499-2045-2545-255-2749,1610612753,"Tony Battie, Hedo Turkoglu, Darko Milicic, Grant Hill, Jameer Nelson","Battie, Turkoglu, Milicic, Hill, Nelson",1499-2045-2545-255-2749,ORL,13.0,1,,-2.0,,1.0,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,110.76923076923076,,13.0,,13.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2007,2006-07,True
1499-2045-255-2730-2749,1610612753,"Tony Battie, Hedo Turkoglu, Grant Hill, Dwight Howard, Jameer Nelson","Battie, Turkoglu, Hill, Howard, Nelson",1499-2045-255-2730-2749,ORL,4256.0,4,71.0,31.0,125.0,123.0,248.0,11.0,30.0,18.0,40.0,6.0,8.0,12.0,42.0,89.0,13.0,18.0,151.0,120.0,48.0,36.0,36.0,12.0,8.0,24.0,12.0,36.0,7.0,13.0,84.0,35.0,45.0,59.0,7.0,4.0,23.0,28.0,131.0,0.5714285714285714,0.631578947368421,0.9230769230769231,0.7222222222222222,0.7222222222222222,0.47191011235955055,0.5747663551401869,0.604,0.16822429906542055,0.7142857142857143,0.7017543859649122,0.7333333333333333,0.6470588235294118,83.90977443609022,17.504,16.8130081300813,17.08,16.1869918699187,0.2803738317757009,0.36666666666666664,0.39285714285714285,0.37383177570093457,0.45,0.45,0.7222222222222222,0.056074766355140186,0.11214953271028037,0.6666666666666666,0.6666666666666666,0.875,0.34579439252336447,0.6666666666666666,0.46053457943925236,10.82808988764045,24.844444444444445,11.0,19.0,1.0,1.0,11.0,1.0,0.16666666666666666,0.429625,0.088,13.0,19.0,,5.0,7.0,6.0,5.0,6.0,3.0,0.7647058823529411,0.5,0.17757009345794392,0.6842105263157895,0.7647058823529411,0.5384615384615384,,,,9.0,9.0,,0.25,0.45,,0.059602649006622516,4.0,12.0,5.0,14.0,37.0,15.0,0.0449438202247191,0.06666666666666667,0.2553191489361702,0.625,0.2692307692307692,0.3157894736842105,0.8,0.12396694214876033,0.14563106796116504,11.0,,28.0,6.0,5.0,10.0,14.0,2.0,,1.0,,14.0,4.0,6.0,5.0,1.0,7.0,10.0,6.0,20.0,1.0,3.0,8.0,5.0,4.0,2.0,2.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,4.0,1.0,2.0,3.0,1.0,0.7,0.7,0.7142857142857143,0.10526315789473684,0.2857142857142857,0.4,0.3333333333333333,0.18181818181818182,0.5,0.3333333333333333,0.041666666666666664,0.36363636363636365,0.8333333333333334,0.8333333333333334,1.0,0.6,0.6666666666666666,0.25,1.0,0.52046,0.13245033112582782,,,,,,,,,,,,,,,,,,,,,,,,1610612753,2007,2006-07,True
