EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyOffPoss,SecondChanceOffPoss,TotalPoss,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,PenaltyCorner3FGM,PenaltyCorner3FGA,FG3M,FG3A,FtPoints,Points,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,PtsUnassisted3s,DefThreePtRebounds,DefRebounds,Rebounds,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,Fg3Pct,SecondChanceFg3Pct,PenaltyFg3Pct,NonHeaveFg3Pct,EfgPct,SecondChanceEfgPct,PenaltyEfgPct,TsPct,SecondChanceTsPct,PenaltyTsPct,FG3APct,DefThreePtReboundPct,DefFGReboundPct,DefArc3ReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,Avg3ptShotDistance,PenaltyOffPossPct,PenaltyDefPoss,Arc3FGM,Arc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,OpponentPoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,ThreePtAssists,Assists,Arc3Assists,AssistPoints,Fouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,PenaltyArc3Frequency,PenaltyArc3Accuracy,NonHeaveArc3Accuracy,LongMidRangeFGM,LongMidRangeFGA,FG2M,FG2A,PtsUnassisted2s,DefTwoPtRebounds,FTDefRebounds,LiveBallTurnovers,BadPassTurnovers,Turnovers,ShootingFouls,Blocked2s,BlockedAtRim,Blocks,Fg2Pct,LiveBallTurnoverPct,DefFTReboundPct,DefTwoPtReboundPct,DefShortMidRangeReboundPct,LongMidRangeFrequency,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,Avg2ptShotDistance,AtRimFGM,AtRimFGA,SecondChanceAtRimFGA,ShortMidRangeFGA,SecondChanceFG2A,PtsAssisted2s,Fg2aBlocked,TwoPtAssists,AtRimAssists,OffTwoPtRebounds,FTOffRebounds,OffRebounds,Steals,BadPassSteals,DeadBallTurnovers,Travels,Loose Ball Fouls,Assisted2sPct,NonPutbacksAssisted2sPct,FG2APctBlocked,AtRimPctBlocked,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffAtRimReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,SecondChanceAtRimFrequency,RecoveredBlocks,BlocksRecoveredPct,PenaltyAtRimFGA,ShortMidRangeFGM,SecondChanceFtPoints,PenaltyFG2A,ShortMidRangeAssists,LongMidRangeAssists,LostBallSteals,Offensive Fouls Drawn,BlockedShortMidRange,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangePctAssisted,PenaltyAtRimFrequency,Corner3Assists,BadPassOutOfBoundsTurnovers,SecondChanceTurnovers,2pt And 1 Free Throw Trips,Corner3PctAssisted,SecondChanceAtRimFGM,PenaltyAtRimFGM,SecondChanceFG2M,PenaltyFG2M,PtsPutbacks,LostBallOutOfBoundsTurnovers,PenaltyTurnovers,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceAtRimAccuracy,PenaltyAtRimAccuracy,OffThreePtRebounds,Loose Ball Fouls Drawn,Technical Free Throw Trips,OffThreePtReboundPct,OffCorner3ReboundPct,LostBallTurnovers,NonShootingFoulsDrawn,NonShootingPenaltyNonTakeFoulsDrawn,DefCorner3ReboundPct,SecondChanceArc3FGA,OffShortMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceArc3FGM,OffArc3ReboundPct,SecondChanceArc3Accuracy,ShortMidRangePctBlocked,Offensive Fouls,SecondChanceAtRimPctAssisted,SecondChanceArc3PctAssisted,SelfOReb,SelfORebPct,SecondChanceCorner3PctAssisted,StepOutOfBoundsTurnovers,Fg3aBlocked,Blocked3s,BlockedArc3,FG3APctBlocked,Corner3PctBlocked,3SecondViolations,3pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,BlockedLongMidRange,Defensive 3 Seconds Violations,ThreePtShootingFoulsDrawnPct,HeaveAttempts,OffensiveGoaltends,LongMidRangePctBlocked,Clear Path Fouls,DefensiveGoaltends,Arc3PctBlocked,BlockedCorner3,HeaveMakes,team_id,year,season,team_vs
101115-101142-1742-1885-2756,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Lamar Odom, Sasha Vujacic","Bynum, Turiaf, Williams, Odom, Vujacic",101115-101142-1742-1885-2756,LAL,43.0,1,1.0,5.0,2.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.25,1.5,1.25,1.0,1.0,0.5,1.0,100.46511627906976,8.0,27.0,3.5,20.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5907,0.5907,0.5907,0.5,1.0,0.6,1.0,23.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,True
101115-101142-1742-1885-977,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Lamar Odom, Kobe Bryant","Bynum, Turiaf, Williams, Odom, Bryant",101115-101142-1742-1885-977,LAL,40.0,1,1.0,-1.0,1.0,2.0,1.0,,3.0,,,,,,,1.0,1.0,,3.0,,,,1.0,1.0,,3.0,,,,,,,,3.0,3.0,1.0,1.0,,1.0,1.0,1.5,,1.5,1.5,,1.5,1.0,,,,108.0,24.0,8.0,24.0,8.0,,,,,,,,1.0,0.35355,,0.35355,,,,1.0,27.5,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,True
101115-101142-1742-2230-977,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Maurice Evans, Kobe Bryant","Bynum, Turiaf, Williams, Evans, Bryant",101115-101142-1742-2230-977,LAL,21.0,1,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,68.57142857142857,,15.0,,15.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,True
101115-101142-1742-243-977,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Aaron McKie, Kobe Bryant","Bynum, Turiaf, Williams, McKie, Bryant",101115-101142-1742-243-977,LAL,231.0,1,4.0,-4.0,8.0,7.0,,,15.0,,,,,,,,2.0,2.0,6.0,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,6.0,,,,,,,0.3333333333333333,,,0.42857142857142855,,,0.3333333333333333,,0.5,,93.5064935064935,16.625,14.0,16.625,13.857142857142858,,,,,,,,0.3333333333333333,0.4682,,,0.14285714285714285,0.2,,,24.95,,,,2.0,,,10.0,,2.0,,,,,,2.0,,,0.3333333333333333,,,,,,,2.0,4.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.6666666666666666,0.5,0.5,18.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,True
101115-101142-1742-2756-977,1610612747,"Andrew Bynum, Ronny Turiaf, Shammond Williams, Sasha Vujacic, Kobe Bryant","Bynum, Turiaf, Williams, Vujacic, Bryant",101115-101142-1742-2756-977,LAL,444.0,4,7.0,-1.0,16.0,14.0,,3.0,30.0,,,,,,,,2.0,9.0,13.0,,,,,,,,,,4.0,7.0,6.0,12.0,6.0,13.0,,,,,,,0.18181818181818182,,,0.38235294117647056,,,0.18181818181818182,,0.6,,97.29729729729729,15.25,14.285714285714286,13.4375,13.785714285714286,,,,,,,,0.6363636363636364,0.49309545454545456,0.40873333333333334,,0.35294117647058826,0.4,,,26.15,,,,2.0,,,14.0,,2.0,,,2.0,,4.0,3.0,,,0.18181818181818182,,,,,,,,2.0,2.0,9.0,,3.0,1.0,,,2.0,2.0,,,,0.2222222222222222,,1.0,0.6,,0.18181818181818182,,,6.355555555555556,2.0,5.0,1.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,0.2222222222222222,0.4,1.0,0.2857142857142857,0.2222222222222222,0.3333333333333333,0.5,0.5,1.0,0.45454545454545453,0.4,0.6666666666666666,1.0,0.18181818181818182,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,True
101115-101142-1885-200770-977,1610612747,"Andrew Bynum, Ronny Turiaf, Lamar Odom, Jordan Farmar, Kobe Bryant","Bynum, Turiaf, Odom, Farmar, Bryant",101115-101142-1885-200770-977,LAL,79.0,1,1.0,4.0,3.0,3.0,,,6.0,,,,,,,,,2.0,4.0,,,,,,,,,,2.0,2.0,1.0,2.0,1.0,4.0,,,,,,,0.5,,,0.6666666666666666,,,,,1.0,,109.36708860759494,10.333333333333334,16.0,10.333333333333334,16.0,,,,,,,,0.5,0.4465,,,0.3333333333333333,0.3333333333333333,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,0.5,,,1.0,,0.5,1.0,1.0,8.25,,1.0,,,,,1.0,,,,,,1.0,1.0,,,,,,0.5,1.0,,,,,,1.0,,0.5,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,True
101115-101142-1885-2470-977,1610612747,"Andrew Bynum, Ronny Turiaf, Lamar Odom, Smush Parker, Kobe Bryant","Bynum, Turiaf, Odom, Parker, Bryant",101115-101142-1885-2470-977,LAL,755.0,4,13.0,4.0,25.0,22.0,3.0,1.0,47.0,,,,,,,,1.0,7.0,27.0,,,1.0,,,5.0,5.0,,1.0,6.0,9.0,7.0,8.0,4.0,26.0,5.0,3.0,,,,,0.5,,,0.5625,0.16666666666666666,0.4166666666666667,0.05,0.5,0.6,0.5,89.64238410596026,14.88,17.40909090909091,14.48,15.818181818181818,,,,,,,,0.45,0.48984500000000003,0.6499,0.5591666666666667,0.16666666666666666,0.17391304347826086,0.037037037037037035,0.18518518518518517,24.1,0.12,1.0,,1.0,,,23.0,,1.0,,,7.0,,14.0,4.0,,,0.05,,,,,,,5.0,7.0,10.0,19.0,6.0,5.0,,1.0,1.0,2.0,3.0,3.0,1.0,3.0,0.5263157894736842,0.5,,0.625,0.5,0.35,0.7142857142857143,0.7142857142857143,8.75263157894737,4.0,8.0,2.0,4.0,2.0,14.0,2.0,7.0,4.0,3.0,,3.0,3.0,2.0,1.0,,,0.7,0.7,0.10526315789473684,0.25,,0.3333333333333333,0.3,0.75,,1.0,0.5,0.4,0.5,0.6666666666666666,1.0,0.2,1.0,1.0,0.3333333333333333,3.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,0.25,0.25,1.0,0.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,True
101115-101142-200770-2230-2575,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Maurice Evans, Luke Walton","Bynum, Turiaf, Farmar, Evans, Walton",101115-101142-200770-2230-2575,LAL,209.0,1,3.0,-4.0,8.0,7.0,,2.0,15.0,1.0,2.0,,1.0,,,1.0,3.0,,5.0,,1.0,,,,,,,,1.0,4.0,1.0,1.0,1.0,5.0,,,0.3333333333333333,,,0.3333333333333333,0.35714285714285715,,,0.35714285714285715,,,0.42857142857142855,,1.0,,103.34928229665071,17.0,10.428571428571429,14.125,10.428571428571429,0.2857142857142857,0.5,0.5,0.5,,,,0.7142857142857143,0.5263785714285715,0.57965,,0.14285714285714285,0.25,,,24.53333333333333,,,,1.0,,,9.0,3.0,1.0,,1.0,1.0,,3.0,,,1.0,0.14285714285714285,,,,,,,,2.0,1.0,4.0,2.0,1.0,,1.0,1.0,4.0,,1.0,1.0,1.0,0.25,0.25,,1.0,,0.2857142857142857,,,8.8,1.0,2.0,1.0,,1.0,,1.0,,,2.0,1.0,3.0,2.0,2.0,3.0,1.0,,,,0.25,0.5,1.0,0.6666666666666666,0.4,1.0,0.5,1.0,,0.2857142857142857,0.5,1.0,,,0.5,1.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,True
101115-101142-200770-2230-2756,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Maurice Evans, Sasha Vujacic","Bynum, Turiaf, Farmar, Evans, Vujacic",101115-101142-200770-2230-2756,LAL,639.0,4,11.0,4.0,23.0,23.0,9.0,1.0,46.0,,,,,,,3.0,3.0,3.0,26.0,,,2.0,2.0,2.0,1.0,11.0,3.0,3.0,9.0,10.0,4.0,4.0,2.0,24.0,11.0,9.0,1.0,,1.0,1.0,0.6388888888888888,1.0,0.7142857142857143,0.65,1.0,0.6875,0.16666666666666666,1.0,0.8,1.0,103.6619718309859,13.652173913043478,14.130434782608695,13.652173913043478,13.956521739130435,,,,,,,,0.7222222222222222,0.5391027777777777,0.713,0.5558714285714286,0.1,0.11764705882352941,0.07692307692307693,0.4230769230769231,25.5,0.391304347826087,21.0,3.0,3.0,2.0,2.0,22.0,6.0,3.0,3.0,2.0,6.0,2.0,14.0,5.0,3.0,0.6666666666666666,0.16666666666666666,1.0,1.0,0.6666666666666666,0.2857142857142857,1.0,1.0,,5.0,7.0,15.0,6.0,5.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,2.0,0.4666666666666667,0.25,1.0,0.7142857142857143,,0.2777777777777778,,,6.613333333333333,7.0,10.0,1.0,,1.0,8.0,2.0,4.0,4.0,1.0,,1.0,2.0,,3.0,2.0,,0.5714285714285714,0.6666666666666666,0.13333333333333333,0.2,,0.125,0.125,0.3333333333333333,,0.6,1.0,0.5555555555555556,0.7,0.875,0.5714285714285714,,1.0,1.0,0.5,4.0,,,5.0,,,2.0,,,,,,,0.5714285714285714,,,,,,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.4,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,True
101115-101142-200770-2230-977,1610612747,"Andrew Bynum, Ronny Turiaf, Jordan Farmar, Maurice Evans, Kobe Bryant","Bynum, Turiaf, Farmar, Evans, Bryant",101115-101142-200770-2230-977,LAL,811.0,5,14.0,-11.0,23.0,25.0,4.0,1.0,48.0,,3.0,,,,1.0,,5.0,6.0,22.0,,,2.0,,1.0,,,,2.0,6.0,7.0,7.0,9.0,4.0,20.0,,4.0,,,,,0.4444444444444444,1.0,,0.5,1.0,,0.2777777777777778,0.4,0.5454545454545454,1.0,85.22811344019728,15.173913043478262,18.48,14.434782608695652,16.84,0.16666666666666666,,,,,0.3333333333333333,,0.5,0.4838916666666667,,0.42375,0.18181818181818182,0.23529411764705882,0.09090909090909091,,24.34,0.17391304347826086,9.0,,2.0,,,33.0,,2.0,,,4.0,,8.0,2.0,,,0.1111111111111111,,,,,,,3.0,6.0,8.0,13.0,8.0,4.0,,,,2.0,1.0,1.0,1.0,1.0,0.6153846153846154,,,0.6666666666666666,1.0,0.3333333333333333,0.5,0.5,10.63846153846154,3.0,4.0,,3.0,1.0,8.0,1.0,4.0,2.0,,,1.0,2.0,1.0,2.0,1.0,1.0,0.5,0.5,0.07692307692307693,0.25,,,0.1111111111111111,,,0.5,0.5,0.2222222222222222,0.75,1.0,0.6666666666666666,0.16666666666666666,,,,,2.0,,2.0,1.0,1.0,1.0,1.0,,0.6666666666666666,0.6666666666666666,0.5,0.3333333333333333,,,1.0,,,,,,1.0,,,,1.0,1.0,,,,1.0,1.0,1.0,0.2,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612747,2007,2006-07,True
