EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,PenaltyDefPoss,SecondChanceOffPoss,TotalPoss,AtRimFGM,AtRimFGA,SecondChanceAtRimFGM,SecondChanceAtRimFGA,ShortMidRangeFGA,LongMidRangeFGA,Arc3FGM,Arc3FGA,FG2M,FG2A,FG3M,FG3A,FtPoints,Points,OpponentPoints,SecondChanceFG2M,SecondChanceFG2A,SecondChancePoints,PtsAssisted2s,PtsUnassisted2s,PtsAssisted3s,PtsPutbacks,NonHeaveArc3FGA,NonHeaveArc3FGM,TwoPtAssists,ThreePtAssists,Assists,Arc3Assists,AtRimAssists,AssistPoints,OffTwoPtRebounds,DefTwoPtRebounds,FTDefRebounds,DefRebounds,OffRebounds,Rebounds,Steals,BadPassSteals,LostBallSteals,FoulsDrawn,FTA,TwoPtShootingFoulsDrawn,FirstChancePoints,Assisted2sPct,NonPutbacksAssisted2sPct,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,Fg2Pct,SecondChanceFg2Pct,EfgPct,SecondChanceEfgPct,TsPct,SecondChanceTsPct,FG3APct,DefFTReboundPct,DefTwoPtReboundPct,OffTwoPtReboundPct,DefFGReboundPct,OffFGReboundPct,OffAtRimReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,ShortMidRangeFrequency,LongMidRangeFrequency,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,AtRimFG3AFrequency,NonHeaveArc3Accuracy,ShotQualityAvg,SecondChanceShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,Corner3FGA,PenaltyCorner3FGA,PenaltyFG2M,PenaltyFG2A,PenaltyFG3A,PenaltyPoints,OffThreePtRebounds,DeadBallTurnovers,Turnovers,SecondChanceTurnovers,PenaltyTurnovers,Fouls,Offensive Fouls,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,PenaltyFg2Pct,PenaltyEfgPct,PenaltyTsPct,OffThreePtReboundPct,OffCorner3ReboundPct,Corner3Frequency,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyCorner3Frequency,PenaltyShotQualityAvg,PenaltyPointsPct,PenaltyOffPossPct,LongMidRangeFGM,PtsUnassisted3s,Fg2aBlocked,LongMidRangeAssists,FTOffRebounds,DefThreePtRebounds,LiveBallTurnovers,BadPassTurnovers,Loose Ball Fouls Drawn,NonShootingFoulsDrawn,FG2APctBlocked,ShortMidRangePctBlocked,LiveBallTurnoverPct,OffFTReboundPct,DefThreePtReboundPct,OffShortMidRangeReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,BadPassOutOfBoundsTurnovers,LostBallTurnovers,ShootingFouls,NonShootingPenaltyNonTakeFouls,AtRimPctBlocked,OffArc3ReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,Corner3FGM,PenaltyCorner3FGM,PenaltyFG3M,Corner3Assists,StepOutOfBoundsTurnovers,2pt And 1 Free Throw Trips,PenaltyFg3Pct,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,PenaltyCorner3Accuracy,PenaltyArc3FGA,PenaltyArc3Frequency,PenaltyFtPoints,Offensive Fouls Drawn,SelfOReb,SelfORebPct,NonShootingPenaltyNonTakeFoulsDrawn,PenaltyArc3FGM,PenaltyArc3Accuracy,SecondChanceArc3FGA,SecondChanceFG3A,OffLongMidRangeReboundPct,SecondChanceArc3Frequency,SecondChanceFtPoints,LostBallOutOfBoundsTurnovers,Blocked2s,BlockedAtRim,Blocks,RecoveredBlocks,3SecondViolations,BlocksRecoveredPct,SecondChanceAtRimPctAssisted,HeaveAttempts,Fg3aBlocked,Loose Ball Fouls,FG3APctBlocked,Corner3PctBlocked,ShortMidRangeFGM,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangeAssists,Travels,BlockedShortMidRange,ShortMidRangePctAssisted,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceFG3M,SecondChanceFg3Pct,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,LongMidRangePctBlocked,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,SecondChanceArc3FGM,BlockedLongMidRange,Defensive 3 Seconds Violations,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,DefensiveGoaltends,Blocked3s,BlockedArc3,team_id,year,season,team_vs
1506-1717-1891-1904-2572,1610612742,"Austin Croshere, Dirk Nowitzki, Jason Terry, Devean George, Josh Howard","Croshere, Nowitzki, Terry, George, Howard",1506-1717-1891-1904-2572,DAL,265.0,1,4.0,5.0,8.0,9.0,8.0,2.0,17,4.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,8.0,1.0,1.0,2.0,13.0,8.0,1.0,2.0,2.0,6.0,2.0,3.0,2.0,1.0,1.0,3.0,1.0,4.0,1.0,3.0,9.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,1.0,3.0,2.0,1.0,11.0,0.75,1.0,1.0,1.0,1.0,0.5,0.5,0.6111111111111112,0.5,0.65,0.5,0.1111111111111111,1.0,1.0,0.5,1.0,0.5,1.0,1.0,92.37735849056604,19.375,12.222222222222221,16.75,12.222222222222221,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.75,0.1111111111111111,0.1111111111111111,0.1111111111111111,1.0,1.0,1.0,0.5,1.0,0.7777777777777778,1.0,0.5851000000000001,0.4721,0.1,0.1111111111111111,0.15384615384615385,3.0875,24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1717-1891-1904-711,1610612742,"Austin Croshere, Dirk Nowitzki, Jason Terry, Devean George, Jerry Stackhouse","Croshere, Nowitzki, Terry, George, Stackhouse",1506-1717-1891-1904-711,DAL,79.0,1,1.0,-3.0,3.0,2.0,2.0,1.0,5,1.0,1.0,,,,,,,1.0,1.0,,1.0,,2.0,5.0,,,,,2.0,,,,,,,,,,,,,,,1.0,1.0,,,,,,,2.0,,,,,,1.0,,0.5,,0.5,,0.5,,,,,1.0,,,91.13924050632912,19.333333333333332,10.5,18.666666666666668,10.5,0.5,1.0,1.0,,,,,,,,,,1.0,,0.58135,,,,,,22.2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,3.0,1.0,0.5,0.5,1.0,1.0,0.5,0.5,1.0,0.5,0.58135,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1717-1891-200772-2572,1610612742,"Austin Croshere, Dirk Nowitzki, Jason Terry, Maurice Ager, Josh Howard","Croshere, Nowitzki, Terry, Ager, Howard",1506-1717-1891-200772-2572,DAL,353.0,2,6.0,-3.0,9.0,9.0,,2.0,18,1.0,1.0,,,1.0,2.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,9.0,12.0,,,,2.0,2.0,,,2.0,1.0,1.0,,1.0,,,2.0,1.0,1.0,,3.0,2.0,5.0,,,,4.0,4.0,1.0,9.0,0.5,0.5,,0.5,0.5,0.5,,0.5833333333333334,,0.5625,,0.3333333333333333,,1.0,0.5,0.75,0.3333333333333333,,1.0,73.42776203966005,18.11111111111111,21.11111111111111,16.77777777777778,19.444444444444443,0.16666666666666666,1.0,1.0,,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.5,,,,0.5,0.5,0.46325,,0.14285714285714285,0.2,,11.1,25.7,3.0,1.0,1.0,,,1.0,2.0,,2.0,,2.0,4.0,2.0,1.0,2.0,1.0,2.0,3.0,0.5,0.5,0.5,,,,0.5,1.0,,0.50145,0.2222222222222222,0.3333333333333333,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,0.25,1.0,0.5,1.0,0.6666666666666666,1.0,0.5,1.0,0.5,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1717-1891-2572-2734,1610612742,"Austin Croshere, Dirk Nowitzki, Jason Terry, Josh Howard, Devin Harris","Croshere, Nowitzki, Terry, Howard, Harris",1506-1717-1891-2572-2734,DAL,16.0,1,,,1.0,,,,1,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,16.0,,16.0,,,,,,,1.0,,,,,,,,,0.3643,,,,,17.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1717-1891-2572-711,1610612742,"Austin Croshere, Dirk Nowitzki, Jason Terry, Josh Howard, Jerry Stackhouse","Croshere, Nowitzki, Terry, Howard, Stackhouse",1506-1717-1891-2572-711,DAL,195.0,2,3.0,-8.0,7.0,7.0,3.0,1.0,14,,2.0,,,2.0,1.0,,1.0,,5.0,,1.0,,,8.0,,1.0,,,,,,1.0,,,,,,,,,2.0,1.0,3.0,1.0,4.0,,,,2.0,,,,,,,,,,,,,,,0.16666666666666666,1.0,1.0,,1.0,0.16666666666666666,,,103.38461538461539,19.857142857142858,8.0,19.428571428571427,8.0,0.3333333333333333,,,,0.3333333333333333,0.16666666666666666,0.16666666666666666,,,,,,0.5,,0.40625,,,,,7.56,25.5,,,,,,,,,,1.0,1.0,2.0,,,3.0,,,,,,,1.0,,,,,,,,,,,2.0,,,,1.0,,,,0.4,,0.5,,,,,,,,,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1717-1891-2734-711,1610612742,"Austin Croshere, Dirk Nowitzki, Jason Terry, Devin Harris, Jerry Stackhouse","Croshere, Nowitzki, Terry, Harris, Stackhouse",1506-1717-1891-2734-711,DAL,222.0,3,4.0,,7.0,7.0,3.0,,14,2.0,2.0,,,,1.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,15.0,15.0,,,,,6.0,6.0,,1.0,1.0,,2.0,2.0,1.0,,6.0,,,1.0,2.0,,2.0,,,,2.0,3.0,2.0,15.0,,,1.0,1.0,1.0,1.0,,1.2,,1.25,,0.4,1.0,,,0.25,,,,90.8108108108108,14.571428571428571,17.142857142857142,14.571428571428571,15.0,0.4,1.0,1.0,,,0.2,0.2,1.0,1.0,1.0,,,0.8,1.0,0.49683,,0.3333333333333333,0.5,,4.866666666666666,23.85,2.0,,,1.0,1.0,,,1.0,3.0,,1.0,1.0,,1.0,3.0,,3.0,2.0,,1.5,1.5,,,0.2,,,1.0,0.56415,0.2,0.2857142857142857,1.0,,,,,1.0,,,,,,,,,0.3333333333333333,,,1.0,1.0,1.0,,,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1717-200772-2572-2734,1610612742,"Austin Croshere, Dirk Nowitzki, Maurice Ager, Josh Howard, Devin Harris","Croshere, Nowitzki, Ager, Howard, Harris",1506-1717-200772-2572-2734,DAL,65.0,1,1.0,-1.0,2.0,2.0,,,4,,,,,,,,1.0,,,,1.0,2.0,2.0,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,2.0,1.0,2.0,,,,,,,,,,0.5,,1.0,,,,,,,,88.61538461538463,10.5,22.0,10.5,22.0,,,,,,,1.0,,,,,,1.0,,0.50115,,0.5,1.0,,,26.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1717-2572-2734-711,1610612742,"Austin Croshere, Dirk Nowitzki, Josh Howard, Devin Harris, Jerry Stackhouse","Croshere, Nowitzki, Howard, Harris, Stackhouse",1506-1717-2572-2734-711,DAL,36.0,1,1.0,-2.0,1.0,2.0,,,3,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,1.0,,,,120.0,20.0,8.0,20.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1761-1891-2572-711,1610612742,"Austin Croshere, Greg Buckner, Jason Terry, Josh Howard, Jerry Stackhouse","Croshere, Buckner, Terry, Howard, Stackhouse",1506-1761-1891-2572-711,DAL,30.0,1,,-2.0,1.0,1.0,1.0,,2,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,96.0,6.0,24.0,6.0,24.0,,,,,,,1.0,,,,,,1.0,,0.40395,,,,,,24.5,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,0.40395,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
1506-1761-1904-200772-200826,1610612742,"Austin Croshere, Greg Buckner, Devean George, Maurice Ager, J.J. Barea","Croshere, Buckner, George, Ager, Barea",1506-1761-1904-200772-200826,DAL,122.0,1,2.0,4.0,5.0,4.0,4.0,,9,,,,,,2.0,,,1.0,2.0,,1.0,2.0,4.0,,,,,,2.0,,,,,,,,,,,,2.0,,2.0,,2.0,,,,3.0,4.0,2.0,4.0,,,,,,0.5,,0.3333333333333333,,0.4,,0.3333333333333333,,1.0,,1.0,,,,106.22950819672131,9.0,19.25,9.0,19.25,,,,,,0.6666666666666666,,,,,,,0.3333333333333333,,0.3718333333333333,,0.4,0.5,,19.45,23.6,5.0,,,1.0,1.0,1.0,2.0,1.0,4.0,,,,,,,,4.0,5.0,0.5,0.3333333333333333,0.4,,,0.3333333333333333,,,0.3333333333333333,0.3718333333333333,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612742,2007,2006-07,False
