EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,Minutes,PlusMinus,OffPoss,DefPoss,TotalPoss,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,FG2A,FG3M,FG3A,Points,OpponentPoints,PtsAssisted3s,ThreePtAssists,Assists,Corner3Assists,AssistPoints,DefTwoPtRebounds,DefRebounds,Rebounds,Steals,LostBallSteals,BadPassOutOfBoundsTurnovers,DeadBallTurnovers,Turnovers,ShootingFouls,Fouls,FoulsDrawn,FirstChancePoints,Assisted3sPct,Fg3Pct,NonHeaveFg3Pct,EfgPct,TsPct,FG3APct,DefTwoPtReboundPct,DefFGReboundPct,DefShortMidRangeReboundPct,Pace,SecondsPerPossOff,SecondsPerPossDef,SecondsExcludingORebsPerPossOff,SecondsExcludingORebsPerPossDef,ShortMidRangeFrequency,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,AtRimFG3AFrequency,ShotQualityAvg,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyOffPoss,PenaltyDefPoss,LiveBallTurnovers,BadPassTurnovers,PenaltyTurnovers,PenaltyOffPossExcludingTakeFouls,LiveBallTurnoverPct,PenaltyOffPossPct,AtRimFGA,ShortMidRangeFGM,LongMidRangeFGM,FG2M,FtPoints,PtsUnassisted2s,Fg2aBlocked,Loose Ball Fouls,FTA,TwoPtShootingFoulsDrawn,Blocked2s,BlockedAtRim,BlockedShortMidRange,Blocks,NonShootingPenaltyNonTakeFouls,Fg2Pct,FG2APctBlocked,AtRimPctBlocked,AtRimFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,Arc3FGM,Arc3FGA,PtsUnassisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,NonHeaveArc3Accuracy,AtRimFGM,PtsAssisted2s,TwoPtAssists,AtRimAssists,LongMidRangeAssists,Assisted2sPct,NonPutbacksAssisted2sPct,ShortMidRangePctBlocked,DefLongMidRangeReboundPct,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,LongMidRangePctAssisted,SecondChanceOffPoss,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceArc3FGM,SecondChanceArc3FGA,PenaltyArc3FGM,PenaltyArc3FGA,SecondChanceFG2M,SecondChanceFG2A,SecondChanceFG3M,SecondChanceFG3A,SecondChanceFtPoints,SecondChancePoints,PenaltyFG2M,PenaltyFG2A,PenaltyFG3M,PenaltyFG3A,PenaltyFtPoints,PenaltyPoints,Arc3Assists,OffTwoPtRebounds,FTOffRebounds,FTDefRebounds,OffRebounds,BadPassSteals,LostBallTurnovers,Offensive Fouls,2pt And 1 Free Throw Trips,ThreePtShootingFoulsDrawn,NonShootingFoulsDrawn,PenaltyPointsExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,SecondChanceFg3Pct,PenaltyFg3Pct,SecondChanceFg2Pct,PenaltyFg2Pct,SecondChanceEfgPct,PenaltyEfgPct,SecondChanceTsPct,PenaltyTsPct,DefFTReboundPct,OffFTReboundPct,OffTwoPtReboundPct,OffFGReboundPct,OffLongMidRangeReboundPct,DefAtRimReboundPct,Arc3PctAssisted,SecondChanceArc3Frequency,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,PenaltyArc3Frequency,PenaltyArc3Accuracy,SecondChanceShotQualityAvg,PenaltyShotQualityAvg,ThreePtShootingFoulsDrawnPct,SecondChancePointsPct,PenaltyPointsPct,DefThreePtRebounds,Travels,SecondChanceTurnovers,Loose Ball Fouls Drawn,Offensive Fouls Drawn,RecoveredBlocks,DefThreePtReboundPct,DefArc3ReboundPct,DefCorner3ReboundPct,BlocksRecoveredPct,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PtsPutbacks,OffAtRimReboundPct,OffShortMidRangeReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,ShortMidRangeAssists,SelfOReb,SelfORebPct,ShortMidRangePctAssisted,SecondChanceAtRimPctAssisted,PenaltyCorner3FGM,PenaltyCorner3FGA,HeaveAttempts,OffThreePtRebounds,OffThreePtReboundPct,OffArc3ReboundPct,OffCorner3ReboundPct,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,LostBallOutOfBoundsTurnovers,Defensive 3 Seconds Violations,Technical Free Throw Trips,LongMidRangePctBlocked,SecondChanceCorner3FGM,SecondChanceCorner3FGA,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,3SecondViolations,BlockedLongMidRange,DefensiveGoaltends,Fg3aBlocked,Clear Path Fouls,FG3APctBlocked,Arc3PctBlocked,StepOutOfBoundsTurnovers,Corner3PctBlocked,OffensiveGoaltends,Blocked3s,BlockedArc3,3pt And 1 Free Throw Trips,team_id,year,season,team_vs
101110-101127-101195-1711-200750,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Raef LaFrentz, Brandon Roy","Webster, Jack, Schenscher, LaFrentz, Roy",101110-101127-101195-1711-200750,POR,178.0,1,3.0,-1.0,6.0,6.0,12.0,1.0,3.0,1.0,1.0,4.0,1.0,1.0,3.0,4.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,1.0,0.3,0.3,0.2,1.0,1.0,1.0,97.07865168539325,16.333333333333332,13.333333333333334,16.333333333333332,13.333333333333334,0.2,0.6,0.2,1.0,1.0,1.0,0.2,0.43592000000000003,16.35,23.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,False
101110-101127-101195-1711-200771,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Raef LaFrentz, Sergio Rodriguez","Webster, Jack, Schenscher, LaFrentz, Rodriguez",101110-101127-101195-1711-200771,POR,22.0,1,,-5.0,1.0,2.0,3.0,,,,,,,,,5.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,196.36363636363637,13.0,4.5,13.0,4.5,,,,,,,,,,,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,False
101110-101127-101195-1711-2410,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Raef LaFrentz, Fred Jones","Webster, Jack, Schenscher, LaFrentz, Jones",101110-101127-101195-1711-2410,POR,188.0,1,3.0,-3.0,5.0,5.0,10.0,1.0,2.0,,,4.0,,,5.0,8.0,,,,,,1.0,1.0,1.0,,,,,,,2.0,2.0,5.0,,,,0.5,0.5,,0.25,0.25,0.5,76.59574468085107,20.2,17.4,20.2,16.0,0.25,0.5,,,,,0.25,0.4398,12.45,,,5.0,,,,,,,1.0,1.0,1.0,2.0,1.0,4.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,0.5,0.25,1.0,0.25,1.0,1.0,0.5,0.5,0.2,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,False
101110-101127-101195-200750-2566,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Brandon Roy, Travis Outlaw","Webster, Jack, Schenscher, Roy, Outlaw",101110-101127-101195-200750-2566,POR,50.0,1,1.0,-3.0,2.0,3.0,5.0,,1.0,,,1.0,1.0,1.0,3.0,6.0,,,,,,,,,,,,,,,1.0,,3.0,,1.0,1.0,0.75,0.75,0.5,,,,144.0,13.0,8.0,13.0,7.666666666666667,,0.5,,,,,0.5,0.534025,21.4,24.4,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,1.0,3.0,1.0,1.0,0.5,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,False
101110-101127-101195-200771-2566,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Sergio Rodriguez, Travis Outlaw","Webster, Jack, Schenscher, Rodriguez, Outlaw",101110-101127-101195-200771-2566,POR,283.0,1,5.0,3.0,9.0,8.0,17.0,2.0,1.0,,,5.0,,1.0,12.0,9.0,,,2.0,,4.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,2.0,2.0,12.0,,,,0.6666666666666666,0.75,0.16666666666666666,0.3333333333333333,0.3333333333333333,,86.5017667844523,14.11111111111111,19.5,14.11111111111111,19.25,0.3333333333333333,0.16666666666666666,,,,,0.5,0.46543333333333337,9.059999999999999,24.1,,8.0,,,,,,,2.0,1.0,1.0,4.0,4.0,4.0,1.0,,4.0,2.0,,,,,1.0,0.8,0.2,,0.3333333333333333,0.5,1.0,1.0,1.0,0.25,0.2857142857142857,,1.0,,1.0,,0.16666666666666666,,,,2.0,4.0,2.0,1.0,1.0,0.5,0.5,0.5,0.3333333333333333,1.0,1.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,False
101110-101127-101195-2410-2566,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Fred Jones, Travis Outlaw","Webster, Jack, Schenscher, Jones, Outlaw",101110-101127-101195-2410-2566,POR,601.0,3,10.0,-3.0,20.0,21.0,41.0,2.0,4.0,,,9.0,1.0,1.0,22.0,25.0,3.0,1.0,1.0,,3.0,4.0,5.0,7.0,2.0,,1.0,4.0,5.0,4.0,7.0,10.0,16.0,1.0,1.0,1.0,0.45,0.6111111111111112,0.1,0.5714285714285714,0.5,0.5,98.23627287853577,15.75,13.619047619047619,14.8,12.904761904761905,0.2,0.4,,,,,0.4,0.46574,9.977777777777778,23.7,18.0,15.0,1.0,,4.0,18.0,0.2,0.9,3.0,2.0,,3.0,13.0,6.0,,,19.0,4.0,,,,,1.0,0.3333333333333333,,,0.3,1.0,1.0,,,0.4,0.3333333333333333,1.0,1.0,,1.0,1.0,0.1,1.0,1.0,1.0,1.0,,,,,,,,0.3333333333333333,0.3333333333333333,0.3333333333333333,,,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,9.0,1.0,1.0,10.0,19.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,19.0,2.0,1.0,1.0,1.0,0.3333333333333333,1.25,0.45,1.5,0.5588235294117647,1.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.25,1.0,1.0,0.5,1.0,1.0,0.3,0.3333333333333333,0.1,1.0,0.4614,0.46574,0.6666666666666666,0.2727272727272727,0.8636363636363636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,False
101110-101127-101195-2424-2566,1610612757,"Martell Webster, Jarrett Jack, Luke Schenscher, Dan Dickau, Travis Outlaw","Webster, Jack, Schenscher, Dickau, Outlaw",101110-101127-101195-2424-2566,POR,320.0,2,5.0,-4.0,11.0,11.0,22.0,3.0,4.0,,,8.0,,1.0,4.0,8.0,,,,,,2.0,4.0,5.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,3.0,4.0,,,,0.1111111111111111,0.2,0.1111111111111111,1.0,1.0,,99.0,15.909090909090908,13.181818181818182,13.818181818181818,13.181818181818182,0.3333333333333333,0.4444444444444444,,,,,0.2222222222222222,0.4307166666666667,12.6875,24.8,9.0,11.0,,,2.0,9.0,,0.8181818181818182,1.0,1.0,,1.0,2.0,2.0,3.0,,2.0,,2.0,2.0,,2.0,,0.125,0.375,1.0,0.1111111111111111,0.3333333333333333,1.0,,,,,,1.0,,1.0,,0.1111111111111111,,,,,,,,,,,0.6666666666666666,,,,,,1.0,,1.0,,,,1.0,,,,,,,1.0,5.0,,1.0,2.0,4.0,,1.0,,,1.0,,,,,,1.0,4.0,1.0,,,,0.2,,0.16666666666666666,,0.2857142857142857,,,0.14285714285714285,0.125,0.25,1.0,,,,,0.16666666666666666,,0.16666666666666666,,,0.45250833333333335,,,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,False
101110-101127-101211-200746-2216,1610612757,"Martell Webster, Jarrett Jack, Stephen Graham, LaMarcus Aldridge, Zach Randolph","Webster, Jack, Graham, Aldridge, Randolph",101110-101127-101211-200746-2216,POR,120.0,1,2.0,,4.0,4.0,8.0,,1.0,,,2.0,,1.0,4.0,4.0,,,2.0,,4.0,2.0,2.0,2.0,,,,,1.0,1.0,2.0,,4.0,,,,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,1.0,,96.0,13.25,16.75,13.25,16.75,,0.3333333333333333,,,,,0.6666666666666666,0.5113833333333333,9.5,25.0,,,1.0,,,,1.0,,1.0,,1.0,2.0,,,,,,,,,,,,1.0,,,0.3333333333333333,,,1.0,1.0,,,,1.0,,1.0,,0.3333333333333333,,,,1.0,4.0,2.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,False
101110-101127-101211-200746-2566,1610612757,"Martell Webster, Jarrett Jack, Stephen Graham, LaMarcus Aldridge, Travis Outlaw","Webster, Jack, Graham, Aldridge, Outlaw",101110-101127-101211-200746-2566,POR,3.0,1,,-3.0,,1.0,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,480.0,,3.0,,3.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,False
101110-101127-101211-2038-2566,1610612757,"Martell Webster, Jarrett Jack, Stephen Graham, Joel Przybilla, Travis Outlaw","Webster, Jack, Graham, Przybilla, Outlaw",101110-101127-101211-2038-2566,POR,180.0,1,3.0,3.0,5.0,6.0,11.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,8.0,5.0,6.0,2.0,2.0,1.0,6.0,3.0,4.0,7.0,,,,1.0,2.0,,1.0,,6.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.75,0.6666666666666666,1.0,88.0,14.6,17.833333333333332,13.4,16.833333333333332,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,0.6666666666666666,0.514725,7.05,23.85,,6.0,1.0,,,,0.5,,2.0,,,1.0,,2.0,1.0,,,,,,,,,0.25,0.25,,0.3333333333333333,,,,,,,1.0,1.0,,1.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,,,,,,,1.0,,0.5,0.5,,,2.0,,,,,,,1.0,2.0,,,,2.0,,,,,,,1.0,3.0,,,3.0,,1.0,1.0,,,,,,,,0.5,,0.5,,0.5,,,,1.0,1.0,1.0,0.5,1.0,,,,,,,,0.56625,,,0.25,,1.0,,1.0,,,,0.5,0.5,,,1.0,2.0,2.0,1.0,1.0,1.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612757,2007,2006-07,False
