EntityId,TeamId,Name,ShortName,RowId,TeamAbbreviation,SecondsPlayed,GamesPlayed,PlusMinus,OffPoss,PenaltyOffPoss,TotalPoss,FtPoints,Points,PenaltyFtPoints,PenaltyPoints,FoulsDrawn,FTA,NonShootingFoulsDrawn,FirstChancePoints,PenaltyPointsExcludingTakeFouls,PenaltyOffPossExcludingTakeFouls,NonShootingPenaltyNonTakeFoulsDrawn,TsPct,PenaltyTsPct,Pace,SecondsPerPossOff,SecondsExcludingORebsPerPossOff,PenaltyPointsPct,PenaltyOffPossPct,Minutes,DefPoss,PenaltyDefPoss,AtRimFGM,AtRimFGA,FG2M,FG2A,OpponentPoints,PtsAssisted2s,TwoPtAssists,Assists,AtRimAssists,AssistPoints,DefThreePtRebounds,DefTwoPtRebounds,DefRebounds,Rebounds,DeadBallTurnovers,StepOutOfBoundsTurnovers,Travels,Turnovers,Blocked2s,BlockedLongMidRange,Blocks,RecoveredBlocks,Assisted2sPct,NonPutbacksAssisted2sPct,Fg2Pct,EfgPct,DefTwoPtReboundPct,DefThreePtReboundPct,DefFGReboundPct,DefAtRimReboundPct,DefLongMidRangeReboundPct,DefArc3ReboundPct,BlocksRecoveredPct,SecondsPerPossDef,SecondsExcludingORebsPerPossDef,AtRimFrequency,AtRimAccuracy,UnblockedAtRimAccuracy,AtRimPctAssisted,AtRimFG3AFrequency,ShotQualityAvg,SecondChanceOffPoss,ShortMidRangeFGM,ShortMidRangeFGA,LongMidRangeFGA,Corner3FGM,Corner3FGA,SecondChanceCorner3FGM,SecondChanceCorner3FGA,Arc3FGM,Arc3FGA,FG3M,FG3A,SecondChanceFG3M,SecondChanceFG3A,SecondChancePoints,PtsAssisted3s,NonHeaveArc3FGA,NonHeaveArc3FGM,Fg2aBlocked,ThreePtAssists,Arc3Assists,Corner3Assists,ShortMidRangeAssists,OffThreePtRebounds,FTDefRebounds,OffRebounds,Steals,BadPassSteals,LiveBallTurnovers,BadPassTurnovers,ShootingFouls,Fouls,NonShootingPenaltyNonTakeFouls,Assisted3sPct,Fg3Pct,SecondChanceFg3Pct,NonHeaveFg3Pct,SecondChanceEfgPct,SecondChanceTsPct,FG3APct,FG2APctBlocked,AtRimPctBlocked,LiveBallTurnoverPct,DefFTReboundPct,OffThreePtReboundPct,OffFGReboundPct,OffArc3ReboundPct,DefShortMidRangeReboundPct,DefCorner3ReboundPct,ShortMidRangeFrequency,ShortMidRangeAccuracy,UnblockedShortMidRangeAccuracy,ShortMidRangePctAssisted,LongMidRangeFrequency,Corner3Frequency,Corner3Accuracy,UnblockedCorner3Accuracy,Corner3PctAssisted,Arc3Frequency,Arc3Accuracy,UnblockedArc3Accuracy,Arc3PctAssisted,SecondChanceCorner3Frequency,SecondChanceCorner3Accuracy,SecondChanceCorner3PctAssisted,NonHeaveArc3Accuracy,SecondChancePointsPct,Avg2ptShotDistance,Avg3ptShotDistance,PenaltyArc3FGA,PenaltyFG3A,LostBallTurnovers,TwoPtShootingFoulsDrawn,BlockedShortMidRange,PenaltyArc3Frequency,PenaltyShotQualityAvg,ShootingFoulsDrawnPct,TwoPtShootingFoulsDrawnPct,LongMidRangeFGM,PenaltyArc3FGM,PenaltyFG2A,PenaltyFG3M,PtsUnassisted2s,PtsUnassisted3s,LongMidRangeAssists,PenaltyTurnovers,PenaltyFg3Pct,PenaltyEfgPct,LongMidRangeAccuracy,UnblockedLongMidRangeAccuracy,LongMidRangePctAssisted,PenaltyArc3Accuracy,LostBallSteals,SecondChanceAtRimFGM,SecondChanceAtRimFGA,PenaltyAtRimFGM,PenaltyAtRimFGA,SecondChanceFG2M,SecondChanceFG2A,PenaltyFG2M,OffTwoPtRebounds,BadPassOutOfBoundsTurnovers,Loose Ball Fouls Drawn,2pt And 1 Free Throw Trips,DefensiveGoaltends,SecondChanceFg2Pct,PenaltyFg2Pct,OffTwoPtReboundPct,OffAtRimReboundPct,SecondChanceAtRimFrequency,SecondChanceAtRimAccuracy,SecondChanceAtRimPctAssisted,PenaltyAtRimFrequency,PenaltyAtRimAccuracy,SecondChanceShotQualityAvg,OffLongMidRangeReboundPct,PtsPutbacks,LostBallOutOfBoundsTurnovers,SecondChanceFtPoints,OffShortMidRangeReboundPct,Offensive Fouls,Loose Ball Fouls,OffCorner3ReboundPct,Offensive Fouls Drawn,SecondChanceTurnovers,SelfOReb,SelfORebPct,Defensive 3 Seconds Violations,ShortMidRangePctBlocked,PenaltyCorner3FGM,PenaltyCorner3FGA,SecondChanceArc3FGA,SecondChanceArc3Frequency,PenaltyCorner3Frequency,PenaltyCorner3Accuracy,HeaveAttempts,Fg3aBlocked,FG3APctBlocked,Corner3PctBlocked,FTOffRebounds,OffFTReboundPct,BlockedAtRim,3SecondViolations,Technical Free Throw Trips,ThreePtShootingFoulsDrawn,ThreePtShootingFoulsDrawnPct,Blocked3s,BlockedArc3,LongMidRangePctBlocked,Arc3PctBlocked,SecondChanceArc3FGM,SecondChanceArc3Accuracy,SecondChanceArc3PctAssisted,OffensiveGoaltends,3pt And 1 Free Throw Trips,BlockedCorner3,Clear Path Fouls,team_id,year,season,team_vs
101117-101137-101189-1749-2078,1610612746,"Yaroslav Korolev, Daniel Ewing, James Singleton, Cuttino Mobley, Jason Hart","Korolev, Ewing, Singleton, Mobley, Hart",101117-101137-101189-1749-2078,LAC,2.0,1,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,1.0,1.0,1440.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2007,2006-07,True
101117-101137-101189-1882-1894,1610612746,"Yaroslav Korolev, Daniel Ewing, James Singleton, Elton Brand, Corey Maggette","Korolev, Ewing, Singleton, Brand, Maggette",101117-101137-101189-1882-1894,LAC,140.0,1,2.0,4.0,,8.0,,4.0,,,1.0,,,4.0,,,,1.0,,82.28571428571428,15.5,15.5,,,2.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,4.0,1.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.75,1.0,0.5,1.0,1.0,19.5,19.25,1.0,1.0,1.0,1.0,1.0,0.6148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2007,2006-07,True
101117-101137-101189-1894-200781,1610612746,"Yaroslav Korolev, Daniel Ewing, James Singleton, Corey Maggette, Paul Davis","Korolev, Ewing, Singleton, Maggette, Davis",101117-101137-101189-1894-200781,LAC,372.0,1,-1.0,14.0,,27.0,,12.0,,,,,,9.0,,,,0.5454545454545454,,104.51612903225806,13.642857142857142,13.0,,,6.0,13.0,13.0,2.0,3.0,3.0,7.0,13.0,6.0,3.0,5.0,2.0,12.0,3.0,3.0,7.0,8.0,2.0,,1.0,3.0,,,,,1.0,1.0,0.42857142857142855,0.5454545454545454,0.6,1.0,0.75,,0.3333333333333333,1.0,,13.923076923076923,12.0,0.2727272727272727,0.6666666666666666,1.0,1.0,0.6363636363636364,0.5011272727272728,1.0,1.0,1.0,3.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,4.0,1.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,0.5,1.0,0.5,1.5,1.5,0.36363636363636365,0.14285714285714285,0.3333333333333333,0.3333333333333333,0.5,0.5,0.16666666666666666,1.0,1.0,1.0,0.09090909090909091,1.0,1.0,1.0,0.2727272727272727,0.18181818181818182,0.5,0.5,1.0,0.18181818181818182,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.25,8.657142857142857,24.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2007,2006-07,True
101117-101137-101189-200781-2549,1610612746,"Yaroslav Korolev, Daniel Ewing, James Singleton, Paul Davis, Chris Kaman","Korolev, Ewing, Singleton, Davis, Kaman",101117-101137-101189-200781-2549,LAC,137.0,1,-6.0,5.0,1.0,10.0,1.0,3.0,,,1.0,2.0,,3.0,,1.0,,0.375,,105.1094890510949,15.8,15.8,,0.2,2.0,5.0,5.0,1.0,1.0,1.0,2.0,9.0,2.0,1.0,1.0,1.0,2.0,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,0.5,0.3333333333333333,,,,,,,,11.6,11.4,0.3333333333333333,1.0,1.0,1.0,0.6666666666666666,0.5598166666666667,,,,1.0,,,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,0.3333333333333333,,,1.0,,,,,,,,,,,0.3333333333333333,,,,,0.3333333333333333,,,,,,,,,9.4,25.4,1.0,1.0,1.0,1.0,1.0,1.0,0.50955,0.25,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2007,2006-07,True
101117-101137-101189-200781-2624,1610612746,"Yaroslav Korolev, Daniel Ewing, James Singleton, Paul Davis, Quinton Ross","Korolev, Ewing, Singleton, Davis, Ross",101117-101137-101189-200781-2624,LAC,523.0,3,10.0,15.0,7.0,30.0,4.0,19.0,2.0,8.0,2.0,4.0,,19.0,8.0,7.0,,0.7307692307692307,0.8,82.60038240917783,16.666666666666668,16.666666666666668,0.42105263157894735,0.4666666666666667,9.0,15.0,8.0,,1.0,3.0,7.0,9.0,2.0,1.0,3.0,,8.0,2.0,5.0,8.0,8.0,,,,2.0,,,,,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6818181818181818,0.7142857142857143,0.6666666666666666,0.7,,0.6,0.6666666666666666,,18.2,17.133333333333333,0.09090909090909091,,,,0.45454545454545453,0.42397727272727276,,1.0,2.0,4.0,,,,,3.0,4.0,3.0,4.0,,,,6.0,4.0,3.0,,2.0,2.0,,,,1.0,,,,2.0,2.0,1.0,5.0,2.0,0.6666666666666666,0.75,,0.75,,,0.36363636363636365,,,1.0,1.0,,,,1.0,,0.18181818181818182,0.5,0.5,,0.36363636363636365,,,,,0.36363636363636365,0.75,0.75,0.6666666666666666,,,,0.75,,13.299999999999999,25.05,3.0,3.0,,2.0,,0.75,0.4358875,0.15384615384615385,0.2222222222222222,2.0,2.0,1.0,2.0,4.0,3.0,1.0,2.0,0.6666666666666666,0.75,0.5,0.5,0.5,0.6666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2007,2006-07,True
101117-101137-101189-200781-2733,1610612746,"Yaroslav Korolev, Daniel Ewing, James Singleton, Paul Davis, Shaun Livingston","Korolev, Ewing, Singleton, Davis, Livingston",101117-101137-101189-200781-2733,LAC,413.0,1,,12.0,,24.0,,14.0,,,,,,14.0,,,,0.7,,83.68038740920096,17.916666666666668,17.916666666666668,,,7.0,12.0,10.0,3.0,3.0,4.0,7.0,14.0,8.0,4.0,6.0,3.0,14.0,1.0,3.0,4.0,4.0,,,,1.0,,,,,1.0,1.0,0.5714285714285714,0.7,1.0,1.0,1.0,,1.0,1.0,,16.5,14.916666666666666,0.3,1.0,1.0,1.0,0.6,0.48195,,1.0,3.0,1.0,2.0,2.0,,,,1.0,2.0,3.0,,,,6.0,1.0,,,2.0,,2.0,1.0,,,,1.0,,1.0,,3.0,3.0,,1.0,0.6666666666666666,,0.6666666666666666,,,0.3,,,1.0,,,,,1.0,,0.3,0.3333333333333333,0.3333333333333333,1.0,0.1,0.2,1.0,1.0,1.0,0.1,,,,,,,,,7.071428571428571,24.8,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2007,2006-07,True
101117-101137-1425-200781-2624,1610612746,"Yaroslav Korolev, Daniel Ewing, Aaron Williams, Paul Davis, Quinton Ross","Korolev, Ewing, Williams, Davis, Ross",101117-101137-1425-200781-2624,LAC,356.0,1,3.0,13.0,13.0,27.0,3.0,13.0,3.0,13.0,5.0,9.0,2.0,11.0,13.0,13.0,2.0,0.65,0.65,109.21348314606742,10.0,9.692307692307692,1.0,1.0,6.0,14.0,2.0,3.0,4.0,5.0,6.0,10.0,8.0,4.0,4.0,2.0,8.0,1.0,4.0,5.0,6.0,3.0,,,4.0,,,,,0.8,0.8,0.8333333333333334,0.8333333333333334,0.8,1.0,0.8333333333333334,,0.8,1.0,,16.142857142857142,14.857142857142858,0.6666666666666666,0.75,1.0,0.6666666666666666,0.6666666666666666,0.5906666666666667,1.0,,,2.0,,,,,,,,,,,2.0,,,,1.0,,,,,,,1.0,3.0,3.0,1.0,1.0,1.0,1.0,,,,,,1.0,1.0,,0.16666666666666666,0.25,0.25,,,1.0,,,,,,,,0.3333333333333333,,,,,,,,,,,,,0.15384615384615385,5.666666666666667,,,,,3.0,,,0.5906666666666667,0.375,0.375,2.0,,6.0,,2.0,,2.0,4.0,,0.8333333333333334,1.0,1.0,1.0,,,1.0,1.0,3.0,4.0,1.0,1.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.75,0.6959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2007,2006-07,True
101117-101137-1501-1749-2078,1610612746,"Yaroslav Korolev, Daniel Ewing, Tim Thomas, Cuttino Mobley, Jason Hart","Korolev, Ewing, Thomas, Mobley, Hart",101117-101137-1501-1749-2078,LAC,51.0,1,4.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,1.0,1.0,112.94117647058823,10.5,10.5,1.0,1.0,1.0,2.0,,1.0,1.0,1.0,1.0,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,1.0,1.0,1.0,,1.0,,1.0,,,15.0,15.0,1.0,1.0,1.0,,1.0,0.5935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5935,,,,,1.0,,2.0,,,,,1.0,,,,,,,,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2007,2006-07,True
101117-101137-1882-1894-2549,1610612746,"Yaroslav Korolev, Daniel Ewing, Elton Brand, Corey Maggette, Chris Kaman","Korolev, Ewing, Brand, Maggette, Kaman",101117-101137-1882-1894-2549,LAC,52.0,1,,2.0,2.0,4.0,,2.0,,2.0,,,,2.0,2.0,2.0,,0.3333333333333333,0.3333333333333333,110.76923076923076,11.5,11.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,,1.0,1.0,2.0,,,,,1.0,,1.0,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,,1.0,,,,1.0,14.5,14.5,0.3333333333333333,1.0,1.0,1.0,0.3333333333333333,0.42893333333333333,1.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,1.0,,1.0,,0.3333333333333333,,,,0.3333333333333333,,,,,,,,,,,,,,8.166666666666666,,,,,,1.0,,0.42893333333333333,,,,,3.0,,,,,,,0.3333333333333333,,,,,,,,1.0,1.0,,1.0,1.0,1.0,,,,,,0.3333333333333333,1.0,,,,,0.3333333333333333,1.0,0.1882,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2007,2006-07,True
101117-101189-101215-200781-2624,1610612746,"Yaroslav Korolev, James Singleton, Will Conroy, Paul Davis, Quinton Ross","Korolev, Singleton, Conroy, Davis, Ross",101117-101189-101215-200781-2624,LAC,362.0,1,6.0,13.0,13.0,26.0,6.0,17.0,6.0,17.0,7.0,8.0,2.0,15.0,17.0,13.0,2.0,0.85,0.85,103.42541436464089,11.923076923076923,11.76923076923077,1.0,1.0,6.0,13.0,13.0,4.0,4.0,4.0,6.0,11.0,2.0,1.0,2.0,1.0,5.0,,6.0,6.0,7.0,1.0,,,3.0,,,,,0.25,0.3333333333333333,0.6666666666666666,0.7857142857142857,0.75,,0.75,,0.8333333333333334,,,15.923076923076923,14.923076923076923,0.5714285714285714,1.0,1.0,0.25,0.7142857142857143,0.5341642857142858,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,1.0,,,2.0,3.0,1.0,1.0,,1.0,1.0,,,,,1.0,1.0,1.0,2.0,1.0,,,,1.0,1.0,,1.0,1.0,1.0,0.14285714285714285,,,0.6666666666666666,,,0.5,,0.5,,0.14285714285714285,,,,0.14285714285714285,,,,,0.14285714285714285,1.0,1.0,1.0,,,,1.0,0.11764705882352941,5.25,25.7,1.0,1.0,1.0,3.0,,0.14285714285714285,0.5341642857142858,0.375,0.42857142857142855,,1.0,6.0,1.0,6.0,,,3.0,1.0,0.7857142857142857,,,,1.0,,1.0,1.0,4.0,4.0,1.0,1.0,4.0,1.0,,,2.0,,1.0,0.6666666666666666,0.5,,1.0,1.0,,0.5714285714285714,1.0,0.6099,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1610612746,2007,2006-07,True
